date,open,high,low,last,close,vol,count,value
20200711,9694.67,9695,9695,9694.67,9694.67,6784976,986,67849760000.00
20200712,9694.67,9695,9695,9694.67,9694.67,14199766,3289,141997660000.00
20200713,9694.67,9695,9695,9694.67,9694.67,8025367,2049,80253670000.00
20200714,9694.67,9695,9695,9694.67,9694.67,15563177,2777,155631770000.00
20200715,9694.67,9695,9695,9694.67,9694.67,20176565,3526,201765650000.00
20200816,9695.64,9704,9263,9263.25,9469.75,1795092,475,17534018271.00
20200817,9025.74,9152,8510,9151.77,8783.37,3878293,1314,35136996973.00
20200818,9694.67,9700,9210,9557.97,9479.45,2973920,1249,29080050233.00
20200819,9500.77,9501,8754,9016.04,8950.12,1656058,564,15288123852.00
20200822,8951.09,9501,8920,9142.07,9206.06,1593310,521,15129549912.00
20200823,9219.63,9297,8580,8609.83,8805.67,1503603,418,13657534181.00
20200824,8608.86,8890,8155,8337.41,8409.15,2350647,469,20389589057.00
20200825,8822.15,9278,8754,9277.80,9134.32,9165801,703,86364195424.00
20200826,9791.61,10275,9792,10033.01,10000.05,26909289,3208,277581153780.00
20200831,10760.11,10761,9423,9704.36,10046.58,8525519,1808,88353207099.00
20200901,9694.67,9695,8968,9054.82,9263.25,4057970,845,38771970309.00
20200902,8822.15,8833,8648,8725.20,8737.80,2978303,598,26842163924.00
20200905,9083.90,9636,8919,9636.50,9261.32,4434645,958,42363616477.00
20200906,9791.61,9951,9055,9284.58,9553.13,4607164,1601,45400711598.00
20200907,9180.85,9181,8601,8647.64,8814.39,2141932,691,19475291960.00
20200908,8143.52,8425,7862,7899.21,8018.46,3415479,791,28247909605.00
20200909,7784.82,9006,7777,9006.35,8521.61,16500045,1940,145042688315.00
20200912,9335.96,9675,9055,9432.91,9338.87,17112289,2711,164845030582.00
20200913,9355.35,9685,8628,9142.07,9114.93,13151549,2225,123655189201.00
20200914,9305.91,9695,9017,9692.73,9490.11,14851150,2445,145380235437.00
20200915,9791.61,10662,9763,10662.20,10273.44,11885366,2922,125950616996.00
20200916,11032.53,11246,10286,10412.07,10827.00,23137675,4288,258394327929.00
20200919,10373.29,11055,9792,10211.39,10473.15,13501781,3221,145860516545.00
20200920,10276.35,10359,9695,9742.17,9833.30,11579784,2389,117448359767.00
20200921,9500.77,9695,9142,9694.67,9377.65,6851640,1139,66272527041.00
20200922,9828.45,10383,9506,10373.29,9990.35,16006968,2745,164948398572.00
20200923,10654.44,10858,10373,10808.58,10678.68,16176506,3466,178177328553.00
20200926,10858.03,11246,10226,10363.60,10677.71,11790539,2704,129855193785.00
20200927,10373.29,10373,9589,9616.14,9731.51,8071528,1825,81018795829.00
20200928,9549.25,9549,8968,8986.96,9089.72,5999901,1245,56254750829.00
20200929,8725.20,9947,8725,9946.73,9829.42,28726554,3086,291251336250.00
20200930,10319.97,10373,9598,9910.86,10021.38,19742103,3217,204077643180.00
20201003,10018.47,10078,9695,9818.76,9892.44,19338363,3274,197336255713.00
20201004,9704.36,9822,9191,9276.83,9452.30,15552652,2327,151637221865.00
20201005,9133.35,9693,9133,9692.73,9529.86,7782940,1620,76504507544.00
20201006,9940.37,10164,9940,10164.20,10046.91,60606,15,622977195.00
20201007,10067.44,10067,9589,9689.18,9800.60,11163275,2133,111936428987.00
20201010,9730.23,9730,9448,9539.63,9556.25,7219421,1598,70583605785.00
20201011,9636.40,9940,9582,9600.23,9764.44,12008843,2089,119968853006.00
20201012,9495.65,9667,9295,9445.80,9502.49,7251916,1576,70502740335.00
20201013,9383.24,9647,9286,9568.95,9477.08,10385689,1417,100703480674.00
20201014,9480.99,9569,9190,9324.60,9330.46,5330201,902,50882611392.00
20201018,9198.51,9403,8915,8933.63,9028.44,2963080,943,27369467285.00
20201019,8806.57,8807,8241,8265.07,8448.83,4184851,1115,36174716608.00
20201020,7957.19,8591,7832,8408.76,8147.78,7079937,1673,59018717191.00
20201021,8699.05,8943,8205,8396.05,8492.81,5837188,1262,50718127932.00
20201024,8166.36,8455,7741,7770.50,7920.05,3120688,911,25288386308.00
20201026,7692.31,7818,7244,7575.02,7498.78,5950750,1056,45656977106.00
20201027,7721.63,7995,7135,7252.47,7333.59,3637508,793,27292295519.00
20201028,7301.34,7604,6971,7467.50,7308.18,6441133,1017,48159049508.00
20201031,7526.14,7907,7428,7796.89,7764.64,6734381,1369,53498612923.00
20201101,7818.39,7818,7331,7335.55,7494.87,5596244,966,42914639770.00
20201102,7252.47,7565,7136,7359.98,7397.12,2543606,612,19249542225.00
20201104,7623.89,7819,7430,7759.75,7653.21,6170316,932,48312930676.00
20201107,7330.66,7428,7077,7099.01,7171.34,5833123,1000,42795609996.00
20201108,6890.82,6891,6304,6382.56,6452.94,6646530,1147,43880916739.00
20201109,6450.00,6723,6255,6714.88,6543.84,9211705,1397,61675747528.00
20201110,6793.08,6920,6553,6714.88,6692.40,7867831,1363,53867648176.00
20201111,6837.06,7184,6598,7017.89,6872.25,7758144,1418,54546238742.00
20201114,7281.79,7673,7082,7672.76,7536.90,14665512,1951,113082449689.00
20201115,7868.24,7966,7233,7377.58,7605.32,19464710,2912,151457427525.00
20201116,7428.40,7819,7233,7642.46,7654.19,12444667,1711,97452660727.00
20201117,7760.73,8015,7528,7945.46,7894.63,10766014,1944,86957897976.00
20201118,7975.76,8455,7976,8452.74,8322.74,12313317,1929,104853437930.00
20201121,8601.31,8680,7918,7974.78,8386.28,14558536,2560,124906348476.00
20201122,7971.85,8582,7848,8492.81,8304.17,23181193,2440,196944224719.00
20201123,8601.31,8747,8455,8746.94,8641.38,10671909,1779,94345184373.00
20201124,8796.79,8991,8358,8473.27,8662.89,13379161,2211,118583597518.00
20201125,8438.08,8854,8357,8684.39,8691.23,11781814,1917,104767305998.00
20201128,8531.91,8836,8532,8693.19,8711.76,8770507,1449,78175496188.00
20201129,8787.02,9070,8699,9058.74,8874.01,12861220,2018,116764089957.00
20201130,9109.57,9364,9041,9256.18,9190.69,8397859,1647,78967040623.00
20201201,9246.41,9334,8895,9090.02,9183.85,6590122,1421,61919357746.00
20201202,9091.00,9283,8896,8934.61,9074.38,5504467,1076,51102640199.00
20201205,8944.38,9331,8943,9331.44,9212.20,6113196,1148,57615535246.00
20201206,9334.37,9734,9334,9578.73,9535.72,8251958,1569,80509355627.00
20201207,9592.41,9686,9202,9330.46,9499.56,7990360,1379,77660609934.00
20201208,9383.24,9546,9207,9314.83,9385.20,4670692,1096,44849484382.00
20201209,9383.24,9578,9300,9505.42,9461.44,6254817,1226,60544985241.00
20201212,9578.73,9867,9561,9627.60,9721.43,10247808,1540,101920819414.00
20201213,9665.72,9666,9442,9529.86,9567.00,4556412,1046,44600008673.00
20201215,9250.00,9250,8440,8650.00,8710.00,10181324,1604,88684406814.00
