date,open,high,low,last,close,vol,count,value
20101228,1930.69,1931,1931,1930.69,1930.69,3775267,600,16377108246.00
20101229,2026.83,2027,2027,2026.83,2026.83,26311,8,119820294.00
20110101,2127.86,2128,2128,2127.86,2127.86,7900,6,37769900.00
20110102,2234.23,2234,2234,2234.23,2234.23,101050,23,507271000.00
20110103,2345.94,2346,2346,2345.94,2345.94,1400413,192,7381576923.00
20110104,2462.99,2463,2463,2462.99,2462.99,202800,44,1122295200.00
20110105,2585.83,2586,2586,2585.83,2585.83,112600,12,654206000.00
20110108,2714.90,2715,2715,2714.90,2714.90,100850,22,615185000.00
20110109,2850.64,2851,2851,2850.64,2850.64,750,3,4803750.00
20110110,2993.07,2993,2993,2993.07,2993.07,197923,43,1331032175.00
20110111,3142.61,3143,3143,3142.61,3142.61,191023,21,1348813403.00
20110112,3299.72,3300,3300,3299.72,3299.72,191523,41,1419951522.00
20110115,3464.39,3464,3464,3464.39,3464.39,195029,44,1518105736.00
20110116,3637.52,3638,3638,3637.52,3637.52,191225,44,1562881925.00
20110117,3819.11,3819,3819,3819.11,3819.11,190223,21,1632303563.00
20110118,4010.04,4010,4010,4010.04,4010.04,190023,20,1712107230.00
20110119,4210.32,4210,4210,4210.32,4210.32,206629,56,1954710340.00
20110122,4420.84,4421,4421,4420.84,4420.84,192959,46,1916661747.00
20110123,4641.59,4642,4642,4641.59,4641.59,190913,32,1991031677.00
20110124,4873.47,4873,4873,4873.47,4873.47,190023,20,2080751850.00
20110126,5116.92,5117,5117,5116.92,5116.92,190423,22,2189293231.00
20110129,5372.39,5372,5372,5372.39,5372.39,214938,82,2594516598.00
20110130,5640.76,5641,5641,5640.76,5640.76,220830,90,2798799420.00
20110131,5922.49,5922,5922,5922.49,5922.49,194033,38,2581997131.00
20110201,6218.46,6218,6218,6218.46,6218.46,204328,57,2854870816.00
20110205,6529.11,6529,6529,6529.11,6529.11,330775,106,4852469250.00
20110206,6855.34,6855,6699,6855.34,6855.34,4736906,2840,72962346426.00
20110207,7198.05,7198,7198,7198.05,7198.05,477623,186,7724596779.00
20110216,6838.43,7477,6838,7254.57,7094.35,3166291,2148,50471215299.00
20110219,7254.57,7335,6747,6765.00,7083.66,1788049,900,28458820008.00
20110220,6769.89,6854,6730,6729.84,6735.62,1595907,818,24152263715.00
20110222,6743.19,7032,6676,6676.43,6874.48,645671,403,9973054717.00
20110223,6894.96,6899,6676,6725.39,6785.02,431286,225,6574916764.00
20110226,6836.21,7124,6836,7124.16,7042.72,978347,447,15481626165.00
