date,open,high,low,last,close,vol,count,value
20010325,7630.49,7630,7630,7629.98,7629.98,1650,5,24926050.00
20010327,7626.95,7630,7627,7630.49,7630.49,1600,3,24170500.00
20010328,7630.49,7630,7630,7630.49,7630.49,1363,3,20590841.00
20010331,7633.52,7637,7634,7637.05,7637.05,500,2,7558600.00
20010403,7637.56,7638,7638,7637.56,7637.56,200,1,3024200.00
20010408,7630.99,7638,7631,7637.56,7637.56,700,2,10582100.00
20010409,7727.97,7778,7688,7778.48,7778.48,4875,14,74733375.00
20010410,7828.99,8082,7829,8081.54,8081.54,7962,12,126264266.00
20010411,8085.07,8138,8085,8137.60,8137.60,2100,7,33728500.00
20010414,8182.56,8243,8183,8243.17,8243.17,2536,6,41138019.00
20010415,8285.60,8655,8284,8655.33,8655.33,4237,16,70103285.00
20010416,8871.51,8872,8872,8871.51,8871.51,2500,5,43910000.00
20010418,9093.25,9093,9093,9093.25,9093.25,1113,2,20037339.00
20010421,9184.16,9184,9184,9184.16,9184.16,1011,5,18383013.00
20010422,9275.59,9276,9276,9275.59,9275.59,6857,11,125921948.00
20010423,9368.02,9368,9368,9368.02,9368.02,6240,11,115733280.00
20010424,9461.46,9461,9461,9461.46,9461.46,12765,22,239113980.00
20010425,9367.01,9367,9367,9367.01,9367.01,1907,7,35365315.00
20010428,9364.48,9373,9364,9372.56,9372.56,8177,14,151650815.00
20010429,9379.64,9466,9373,9372.56,9372.56,68006,62,1266330572.00
20010430,9466.01,9466,9466,9466.01,9466.01,37172,45,696640452.00
20010704,6702.63,6703,5814,6702.63,6702.63,22100,40,281219500.00
20010707,6769.30,6769,6636,6635.95,6635.95,35882,68,478057200.00
20010708,6569.79,6645,6570,6569.79,6569.79,15834,40,207508012.00
20010709,6504.12,6504,6504,6504.12,6504.12,1020,2,13134540.00
20010710,6439.47,6439,6439,6439.47,6439.47,2642,4,33682858.00
20010711,6278.85,6279,6279,6278.85,6278.85,1078,3,13400618.00
20010714,6122.27,6279,6122,6278.85,6278.85,34426,48,421007294.00
20010715,6276.83,6277,6160,6160.15,6160.15,7330,27,90025760.00
20010716,6157.63,6160,6112,6111.66,6111.66,3339,12,40637178.00
20010717,6111.16,6111,6061,6061.15,6061.15,19100,40,229930780.00
20010718,6063.68,6213,6061,6212.68,6212.68,4826,23,58256217.00
20010722,6367.75,6368,6368,6367.75,6367.75,1504,5,18960928.00
20010729,7071.35,7071,6688,7063.26,7063.26,31463,78,439868805.00
