date,open,high,low,last,close,vol,count,value
20200622,7570.92,7571,7571,7570.92,7570.92,18288632,657,146491942320.00
20200623,7948.99,7949,7949,7948.99,7948.99,25593686,2183,215242899260.00
20200624,8317.61,8346,7656,8345.97,8296.82,46718299,4935,410091566149.00
20200627,8648.43,8648,7883,8100.22,8134.25,33988592,6074,292507513121.00
20200628,8128.58,8129,7728,7727.82,7793.98,8262977,1561,68139050518.00
20200629,7404.57,7405,7405,7404.57,7569.03,3287331,613,25752951054.00
20200630,7211.75,7947,7212,7947.10,7786.42,63680094,4284,524573671012.00
20200701,8081.32,8100,7572,7901.73,7879.05,29844711,4224,248783047559.00
20200704,7708.92,7902,7486,7485.85,7557.69,32694699,3739,261428840758.00
20200705,7485.85,7935,7195,7934.81,7786.42,39181158,2826,322770166627.00
20200706,8119.13,8175,7940,8174.89,8163.55,9476136,990,81847911133.00
20200707,8487.75,8488,7854,8034.06,8127.63,20379576,2991,175238391929.00
20200708,7817.61,8033,7722,7750.50,7769.41,27343093,2534,224762386356.00
20200711,7380.94,8158,7381,8157.88,7895.12,19606890,2137,163779448566.00
20200712,8289.26,8289,8289,8289.26,8289.26,6119499,624,53668006230.00
20200713,8703.25,8703,8393,8703.25,8693.80,19126388,1716,175916856016.00
20200714,9127.64,9128,8694,9127.64,9118.18,21119189,2161,203729504395.00
20200715,9450.89,9574,8887,9573.76,9436.71,13209557,2116,131889590928.00
20200718,9451.83,9908,9438,9908.36,9775.09,12655053,1515,130882311529.00
20200719,10263.75,10264,9924,10263.75,10261.86,16798862,2097,182389438815.00
20200725,10761.25,10761,10224,10223.66,10325.83,2227735,304,24252386018.00
20200726,9810.21,9810,9810,9810.21,10182.60,1291199,290,13265778526.00
20200727,9673.66,9674,9674,9673.66,10075.66,976062,191,9888484122.00
20200728,9572.45,9768,9572,9572.45,9588.68,22377090,2506,224715192371.00
20200729,9185.73,9739,9109,9730.00,9289.81,25540801,3163,248477263558.00
20200801,9753.87,9754,9754,9753.87,9753.87,9402881,1027,96050429415.00
20200802,10240.85,10241,10241,10240.85,10223.66,4957917,819,53173659825.00
20200803,10734.51,10503,9713,9959.17,9879.91,9841166,1717,101827592697.00
20200804,9987.81,10374,9959,10373.57,10353.52,7073037,839,76692903172.00
20200805,10871.06,10871,9845,10015.50,10337.29,11567525,2229,125232439717.00
20200809,9835.03,10694,9821,9820.71,10030.78,5549537,1067,58300036019.00
20200810,9529.48,9529,9529,9529.48,9864.64,1533671,312,15306036580.00
20200811,9371.93,9372,9372,9371.93,9812.12,495772,109,4866002180.00
20200812,9322.28,9812,9322,9405.35,9345.19,9911871,1191,97003149442.00
20200815,8878.27,9040,8878,8878.27,8967.07,4172818,534,38814156624.00
20200816,8519.24,8737,8519,8519.24,8527.83,5168480,742,46159005609.00
20200817,8278.62,8508,8102,8154.49,8137.30,8375065,975,71369439862.00
20200818,8522.11,8544,8135,8544.07,8471.50,7605767,1180,67477481178.00
20200819,8498.23,8541,8048,8048.50,8105.79,5860609,643,49748291782.00
20200822,8431.39,8431,7701,8076.19,7950.15,5558021,1057,46224332713.00
20200823,7552.92,7935,7553,7552.92,7882.35,1009831,189,7989283700.00
20200824,7488.95,8021,7489,7488.95,7819.33,1039787,234,8195523477.00
20200825,7457.44,8210,7457,8209.87,7989.29,3551505,390,30131814352.00
20200826,8388.43,8388,8388,8388.43,8127.75,2036902,252,17894184070.00
20200831,8533.56,8534,7722,7895.72,7962.56,8873718,973,73995264868.00
20200901,7641.73,8054,7565,7638.86,7730.53,11053555,1079,89484795396.00
20200902,7356.22,7830,7345,7344.77,7484.18,8424852,819,66034376380.00
20200905,7543.38,7858,7363,7857.52,7763.95,6149882,504,50068880321.00
20200906,8151.62,8152,7641,8151.62,8130.61,17464492,1075,148705860586.00
20200907,7829.83,8107,7725,7724.80,8040.86,1444519,227,11702598572.00
20200908,7638.86,7639,7639,7638.86,8033.22,125775,23,1006200000.00
20200909,7632.18,8008,7632,7640.77,7794.50,4805814,696,38838284267.00
20200912,8116.29,8184,7543,7868.03,7920.55,4895279,804,40769391973.00
20200913,7657.96,7921,7525,7550.06,7787.82,2878169,504,23020447933.00
20200914,7410.65,7782,7399,7431.66,7669.42,3341684,608,26496202020.00
20200915,7447.89,7964,7448,7734.35,7747.72,3919450,761,31980437991.00
20200916,7639.82,7916,7400,7562.47,7663.69,3813044,809,30400366766.00
20200919,7611.17,7620,7281,7280.79,7302.75,7878760,764,60255090696.00
20200920,7064.99,7065,6938,6938.00,7267.42,622192,140,4526590848.00
20200921,6904.58,6905,6905,6904.58,7263.60,59792,16,432355952.00
20200922,6900.76,6901,6901,6900.76,7221.59,726668,94,5251629636.00
20200923,6860.65,7457,6861,6860.65,6966.64,7933009,618,57876776650.00
20200926,6693.55,7314,6619,6619.07,6913.17,2241290,369,15971425625.00
20200927,6567.51,6568,6568,6567.51,6890.25,452527,56,3112480706.00
20200928,6546.50,6547,6547,6546.50,6888.34,31368,16,215059008.00
20200929,6544.60,7114,6545,6544.60,6706.92,4347648,503,30062812620.00
20200930,6374.63,6779,6372,6397.55,6613.34,1991598,391,13316569132.00
20201003,6323.07,6903,6323,6808.14,6653.45,3993839,533,27962125599.00
20201004,6846.33,6941,6359,6684.00,6646.76,1528278,333,10595790786.00
20201005,6315.43,6741,6314,6354.58,6513.08,3602458,399,24068360617.00
20201006,6767.08,6839,6684,6838.69,6534.09,498438,56,3557122578.00
20201007,6860.65,6861,6703,6860.65,6859.70,7392032,356,53106292814.00
20201010,6944.68,7202,6945,7202.49,7050.67,4096305,375,30818137900.00
20201011,7403.01,7403,7209,7352.40,7346.68,5882431,423,45590693468.00
20201012,7352.40,7629,6980,7323.76,7297.02,3881596,539,29500974649.00
20201013,7352.40,7638,7056,7541.47,7311.35,3697917,522,28363144650.00
20201014,7634.09,7676,7311,7648.41,7511.87,4579687,723,36527607534.00
20201018,7696.15,7696,7137,7295.11,7443.12,2164698,421,16573337557.00
20201019,7071.68,7419,7072,7071.68,7352.40,1577739,188,11696878422.00
20201020,6984.78,7332,6985,7237.82,7274.11,1618518,258,11941620615.00
20201021,7636.00,7637,7307,7636.95,7566.29,5215066,471,41672425401.00
20201024,7829.83,7830,7188,7188.17,7454.57,2563326,523,19576581404.00
20201026,7082.18,7429,7082,7351.45,7364.82,1809991,411,13539996880.00
20201027,7364.82,7515,6997,7199.63,7309.44,1570435,354,11745864891.00
20201028,6980.01,7352,6945,7161.43,7218.72,2182920,441,16113709736.00
20201031,7256.92,7429,6970,7209.18,7233.05,3548649,485,26923752451.00
20201101,6923.67,7275,6876,6947.55,7197.72,921821,232,6738437621.00
20201102,6838.69,7152,6839,6847.29,7130.88,1369563,260,9857777878.00
20201104,6836.78,7018,6775,6865.43,7049.71,1745444,310,12471832768.00
20201107,6970.46,6970,6697,6697.37,6948.50,2024216,164,14224735344.00
20201108,6601.89,6602,6602,6601.89,6932.27,309638,38,2140837132.00
20201109,6585.65,6586,6586,6585.65,6914.13,352901,32,2433958197.00
20201110,6568.47,6684,6568,6568.47,6837.74,1525541,132,10503851323.00
20201111,6495.90,6904,6496,6750.84,6706.92,3588454,475,24768719597.00
20201114,6779.49,7042,6779,7027.75,6848.24,3201035,417,23535266262.00
20201115,7190.08,7190,6522,6676.37,6911.26,2937013,387,21532840664.00
20201116,6578.97,7256,6579,7255.96,7182.44,8813923,545,66301616446.00
20201117,7541.47,7541,7541,7541.47,7405.88,4425361,270,34951501178.00
20201118,7734.35,7775,7557,7775.41,7657.00,4983544,627,40526470775.00
20201121,8020.81,8039,7372,7743.90,7838.43,7194058,1444,59059086120.00
20201122,7820.29,8154,7447,7791.64,7852.75,3748649,765,30864002665.00
20201123,7791.64,8038,7734,7972.11,7861.34,4888399,870,40256659579.00
20201124,8154.49,8154,7469,7468.90,7650.32,4868260,948,38702721079.00
20201125,7268.38,7906,7268,7715.25,7669.42,5848619,869,46982777592.00
20201128,7610.22,7734,7372,7446.94,7537.65,5822569,788,45908823907.00
20201129,7638.86,7914,7287,7913.86,7793.55,13318091,1472,108706553256.00
20201130,8116.29,8183,7925,8183.13,8135.39,6966692,803,59359454681.00
