date,open,high,low,last,close,vol,count,value
20170205,1642.84,1643,1544,1544.41,1629.94,340000000,29515,816285739441.00
20170206,1608.90,1643,1563,1615.01,1615.69,106622418,14248,253744687533.00
20170207,1615.01,1622,1574,1575.64,1598.72,26797759,6625,63111160419.00
20170208,1598.72,1599,1527,1528.79,1549.16,31489438,5853,71859896719.00
20170211,1520.65,1531,1492,1494.17,1499.60,23820268,4469,52615235904.00
20170212,1493.49,1506,1462,1493.49,1492.14,13676734,2713,30058882774.00
20170213,1490.10,1561,1490,1534.23,1538.30,9934939,1724,22514272035.00
20170214,1541.01,1543,1496,1527.44,1520.65,4506511,991,10089771428.00
20170215,1534.23,1541,1493,1507.07,1507.75,6435749,1291,14294596834.00
20170218,1517.25,1517,1470,1474.49,1493.49,6513127,1428,14330958405.00
20170219,1477.20,1502,1461,1465.66,1483.31,8131985,1606,17771401695.00
20170220,1465.66,1466,1419,1420.86,1430.36,12112460,2451,25523597015.00
20170221,1420.86,1421,1379,1384.88,1390.31,9155255,2053,18752827489.00
20170222,1390.99,1443,1391,1417.46,1422.89,6999620,1570,14668213670.00
20170225,1434.43,1434,1384,1384.20,1390.31,3339893,819,6840419078.00
20170226,1376.73,1390,1358,1361.12,1363.15,5492510,1265,11027198373.00
20170227,1357.72,1358,1310,1312.92,1322.42,7029749,1587,13695019880.00
20170228,1296.62,1365,1290,1334.64,1337.36,9342122,1799,18406826816.00
20170301,1350.25,1372,1314,1319.71,1331.92,2285697,461,4484494922.00
20170304,1297.98,1310,1291,1291.87,1297.98,2684432,670,5132078647.00
20170305,1289.84,1317,1270,1301.38,1297.30,9782749,1023,18692758845.00
20170306,1303.41,1331,1291,1308.84,1319.71,5719223,495,11116874664.00
20170307,1319.03,1343,1304,1323.78,1332.60,3478090,380,6827898616.00
20170308,1330.57,1339,1297,1297.30,1325.82,5117977,519,9996352395.00
20170311,1290.51,1331,1286,1299.34,1316.99,7313233,673,14184723110.00
20170312,1310.20,1326,1291,1292.55,1312.24,4417356,522,8539196931.00
20170313,1293.91,1318,1292,1296.62,1307.49,3605423,432,6942693683.00
20170314,1292.55,1316,1293,1297.30,1308.84,8176315,519,15767817811.00
20170315,1300.70,1323,1297,1321.74,1310.20,9877426,624,19063861847.00
20170318,1318.35,1337,1310,1320.38,1312.92,6116843,363,11832615014.00
20170325,1319.03,1327,1310,1323.78,1321.74,1686489,244,3283269417.00
20170326,1336.00,1337,1321,1323.78,1330.57,1269941,300,2489819582.00
20170327,1330.57,1334,1312,1316.31,1318.35,1441126,257,2799157416.00
20170328,1310.88,1324,1304,1304.09,1307.49,1830645,400,3526284293.00
20170329,1304.09,1306,1297,1300.02,1300.70,2172135,450,4161310528.00
20170403,1297.98,1303,1292,1300.02,1298.66,1526959,346,2920376878.00
20170404,1295.27,1303,1286,1288.48,1291.19,3501980,608,6659931122.00
20170405,1291.19,1317,1278,1300.02,1299.34,3076849,669,5890115681.00
20170408,1297.98,1315,1282,1300.70,1293.91,4067255,825,7751692263.00
20170409,1306.81,1307,1287,1290.51,1292.55,3487486,691,6639424126.00
20170410,1296.62,1352,1290,1335.32,1325.82,7510986,1117,14669225861.00
20170412,1337.36,1357,1307,1310.20,1323.78,3114124,643,6072245406.00
20170415,1312.24,1312,1291,1295.95,1302.05,5069182,1014,9721172381.00
20170416,1296.62,1298,1290,1290.51,1291.19,4971673,767,9454681251.00
20170417,1291.87,1294,1284,1287.80,1288.48,3091382,548,5866197439.00
20170418,1286.44,1289,1282,1283.05,1283.05,2553070,573,4826042700.00
20170419,1285.76,1303,1284,1291.87,1290.51,2281331,444,4337508687.00
20170422,1291.87,1303,1288,1293.23,1291.19,4365768,726,8301986291.00
20170423,1286.44,1290,1282,1283.73,1285.76,3064034,530,5802747161.00
20170424,1289.84,1324,1271,1300.70,1297.98,5108294,932,9767803094.00
20170426,1293.23,1319,1293,1301.38,1305.45,2597681,445,4996417282.00
