date,open,high,low,last,close,vol,count,value
20120714,238.19,265,238,244.80,243.22,8384501,1402,15406768879.00
20120715,238.19,245,233,243.48,241.63,904249,290,1650784520.00
20120716,244.67,249,243,243.61,244.80,647098,138,1197140343.00
20120717,248.77,250,245,250.10,245.86,518099,126,962674167.00
20120718,255.26,255,245,253.67,249.17,406948,200,766301796.00
20120721,245.33,250,245,247.45,247.45,1512343,6,2827884132.00
20120722,251.29,253,245,250.10,251.02,988501,140,1875370078.00
20120723,251.29,251,246,246.79,246.39,33500,8,62366840.00
20120724,244.80,249,245,244.94,244.94,242474,57,448852700.00
20120725,244.94,247,245,247.32,244.94,73000,8,135147000.00
20120728,244.94,245,245,244.94,244.94,713779,138,1321251729.00
20120729,248.51,249,245,244.80,244.80,2820160,703,5217310940.00
20120730,244.80,247,245,246.13,245.46,540258,100,1002438800.00
20120731,243.48,243,243,243.48,243.48,200000,20,368000000.00
20120801,238.19,245,231,244.80,236.33,220600,57,393939040.00
20120805,244.67,245,238,238.19,243.08,324023,188,595219527.00
20120806,237.92,238,231,231.04,236.20,210000,26,374830000.00
20120807,236.47,236,236,236.47,236.47,100,1,178700.00
20120811,230.64,231,225,224.95,225.35,13800,4,23504400.00
20120812,230.78,231,223,224.95,224.95,325700,68,553605200.00
20120813,216.35,216,214,213.71,215.43,41500,12,67544500.00
20120814,204.71,226,205,225.62,220.32,280810,68,467559557.00
20120815,224.95,225,225,224.95,224.95,517000,101,878900000.00
20120818,230.64,231,231,230.64,230.64,200,1,348600.00
20120821,224.95,225,224,223.76,224.29,190000,19,322050000.00
20120822,230.78,231,231,230.78,230.78,200,1,348800.00
20120825,227.47,230,225,229.98,225.22,176000,114,299634000.00
20120826,227.60,228,225,225.35,225.35,5010,3,8532200.00
20120827,224.95,225,225,224.95,224.95,486250,55,826625000.00
20120902,234.35,234,234,234.35,234.35,200,1,354200.00
20120903,231.57,234,232,234.22,231.84,45000,7,78850000.00
20120904,233.42,233,232,231.57,232.23,60600,13,106338200.00
20120908,224.95,225,225,224.95,224.95,38042,8,64671400.00
20120909,225.09,225,225,224.95,224.95,90000,18,153010000.00
20120910,230.25,230,225,224.95,225.75,149000,16,254169000.00
20120911,224.95,225,225,224.95,224.95,171774,31,292016990.00
20120915,224.95,225,225,224.95,224.95,380000,64,646000000.00
20120916,224.95,225,225,224.95,224.95,135340,25,230078000.00
20120917,224.95,225,225,224.95,224.95,549908,120,934843600.00
20120918,224.95,225,214,224.95,224.69,438884,88,745128320.00
20120919,224.95,225,225,224.95,224.95,175528,36,298397600.00
20120922,224.95,225,225,224.95,224.95,160000,16,272000000.00
20120923,224.95,225,225,224.95,224.95,4000,1,6800000.00
20120924,224.95,225,225,224.95,224.95,29999,6,50998300.00
20120925,234.08,234,225,225.09,225.09,40000,5,68037200.00
20120926,226.54,227,227,226.54,226.54,140000,14,239680000.00
20120929,224.95,234,225,234.48,228.00,20740,3,35743280.00
20120930,227.60,228,225,224.95,226.94,77000,11,132040000.00
20121001,224.95,225,225,224.95,224.95,17300,4,29410000.00
20121002,224.95,228,225,224.95,224.95,520740,74,885392800.00
20121003,224.95,225,225,224.95,224.95,144860,20,246262000.00
20121007,224.95,225,225,224.95,224.95,21000,3,35700000.00
20121008,236.20,236,236,236.20,236.20,100,1,178500.00
20121009,231.70,232,232,231.57,231.70,140500,15,246015000.00
20121010,224.95,230,225,224.95,225.35,77900,15,132681600.00
20121013,224.95,225,225,224.95,224.95,64500,13,109650000.00
20121014,225.35,225,225,224.95,224.95,71200,17,121054075.00
