date,open,high,low,last,close,vol,count,value
20010326,2791.74,2792,2792,2791.74,2791.74,664,6,3420264.00
20010327,2791.74,2792,2792,2791.74,2791.74,10000,6,51510000.00
20010328,2791.19,2792,2791,2791.74,2791.74,554778,17,2857658478.00
20010331,2791.74,2792,2792,2791.74,2791.74,216,1,1112616.00
20010403,2791.74,2792,2792,2791.74,2791.74,76,2,391476.00
20010407,2791.74,2845,2792,2845.39,2845.39,1625,3,8497361.00
20010408,2899.59,2900,2900,2899.59,2899.59,1500,1,8025000.00
20010409,2937.53,2938,2938,2937.53,2937.53,2000,1,10840000.00
20010410,3056.22,3078,2938,2937.53,2937.53,909388,15,5162448488.00
20010415,2937.53,2938,2938,2937.53,2937.53,2586,8,14016120.00
20010416,2938.61,2939,2938,2938.61,2938.61,357,3,1935597.00
20010418,2938.61,2939,2939,2938.61,2938.61,223,1,1209106.00
20010421,2938.61,2943,2938,2942.95,2942.95,1072,4,5816554.00
20010422,2942.95,2943,2943,2943.49,2943.49,2325,5,12625278.00
20010423,2944.57,2945,2945,2945.12,2945.12,754,4,4096904.00
20010424,2946.20,2946,2946,2946.20,2946.20,182,2,989352.00
20010428,2946.20,2946,2945,2946.20,2946.20,2542,10,13816239.00
20010429,2947.28,2947,2947,2947.28,2947.28,218,2,1185484.00
20010430,2947.28,2947,2947,2947.28,2947.28,1626,5,8842188.00
20010501,2945.12,2947,2945,2947.28,2947.28,3253,6,17685549.00
20010502,2947.28,2947,2947,2947.28,2947.28,225,1,1223550.00
20010505,2949.45,2950,2949,2948.91,2948.91,5000,5,27209000.00
20010506,2950.54,2952,2950,2951.08,2951.08,1992,5,10845204.00
20010507,2951.08,2952,2951,2952.16,2952.16,644,2,3507224.00
20010508,2953.79,2954,2952,2952.16,2952.16,3025,2,16477730.00
20010509,2952.16,2952,2952,2952.16,2952.16,1500,1,8170500.00
20010512,2952.16,2952,2947,2947.28,2947.28,557,3,3029227.00
20010513,2947.28,2948,2945,2945.12,2945.12,2421,9,13160616.00
20010515,2945.12,2945,2945,2945.12,2945.12,101,1,548834.00
