date,open,high,low,last,close,vol,count,value
20040928,554.46,554,274,496.46,496.46,2891838,2623,16283852805.00
20040929,521.27,521,521,521.27,521.27,8191000,2537,58524695000.00
20041002,547.31,547,547,547.31,547.31,4950000,1705,37134900000.00
20041003,574.67,575,575,574.67,574.67,4950000,1482,38991150000.00
20041004,603.34,603,603,603.34,603.34,4977970,1359,41167811900.00
20041005,633.47,633,633,633.47,633.47,5068591,1175,44010575653.00
20041006,665.14,665,665,665.14,665.14,9339418,2533,85147473906.00
20041009,660.25,686,634,662.29,662.29,2179143,970,19784119128.00
20041010,654.78,655,629,637.93,637.93,1024731,550,8961039032.00
20041011,633.77,670,634,648.80,648.80,854012,373,7594834796.00
20041012,666.74,678,653,662.88,662.88,5255660,270,47901626579.00
20041013,663.90,675,664,669.08,669.08,408559,188,3747302048.00
20041016,663.90,667,649,657.77,657.77,356611,141,3215497416.00
20041017,649.31,657,635,648.50,648.50,377693,183,3357616730.00
20041018,637.93,642,631,634.57,634.57,403597,152,3510498031.00
20041019,633.04,633,611,620.42,620.42,343789,138,2923785515.00
20041020,604.07,613,589,600.64,600.64,389276,154,3205105296.00
20041023,600.64,631,601,623.84,623.84,308985,117,2642163202.00
20041024,623.92,633,598,619.83,619.83,160585,56,1364401077.00
20041025,627.42,627,614,620.42,620.42,157712,80,1341311280.00
20041026,620.05,620,609,613.85,613.85,273066,100,2297692831.00
20041027,613.85,614,599,604.88,604.88,819524,129,6856316408.00
20041030,598.31,598,575,582.55,582.55,396706,134,3167721681.00
20041031,575.91,576,554,559.72,559.72,197880,81,1518193289.00
20041101,548.63,588,547,560.15,560.15,100169,44,769116417.00
20041102,564.75,588,562,563.00,563.00,4989977,320,38501809687.00
20041103,591.09,591,591,591.01,591.01,1103545,220,8940880537.00
20041106,620.49,621,610,619.83,619.83,1666388,286,14135419027.00
20041107,641.28,651,621,641.79,641.79,735137,173,6346018893.00
20041108,628.00,635,620,625.01,625.01,549789,240,4710229024.00
20041109,624.43,638,620,627.86,627.86,455203,206,3917567711.00
20041110,645.59,657,635,647.56,647.56,351836,170,3123104048.00
20041113,646.90,647,617,625.38,625.38,274408,142,2352416705.00
20041115,656.60,657,627,655.58,655.58,837991,208,7530158521.00
20041116,656.97,657,643,652.59,652.59,357131,153,3194744083.00
20041117,649.31,649,635,642.16,642.16,184837,103,1627003003.00
20041120,642.01,642,635,639.46,639.46,137194,85,1202630031.00
20041121,639.31,639,627,630.63,630.63,169714,86,1467008839.00
20041122,630.56,640,630,633.77,633.77,227625,102,1977385984.00
20041123,628.15,633,621,627.20,627.20,217649,89,1871331754.00
20041124,627.20,627,620,622.68,622.68,228607,93,1951374360.00
20041127,627.42,654,627,641.86,641.86,178519,100,1570616116.00
20041128,673.89,674,651,662.22,662.22,401106,168,3640881086.00
20041129,670.32,670,664,667.03,667.03,386669,169,3535610324.00
20041130,666.74,680,667,676.23,676.23,426570,189,3954246294.00
20041201,676.23,676,664,664.85,664.85,473043,131,4311295411.00
20041204,663.90,672,664,669.59,669.59,272209,105,2498407806.00
20041205,669.59,673,670,670.83,670.83,152413,71,1401571072.00
20041206,670.83,693,671,686.73,686.73,310058,153,2918802231.00
20041207,685.78,721,686,707.82,707.82,390184,148,3785625603.00
20041211,720.51,729,695,713.07,713.07,337158,120,3295436010.00
20041212,711.32,719,704,712.12,712.12,357092,145,3485670337.00
20041213,693.81,694,677,681.77,681.77,293849,124,2746069263.00
20041214,678.49,679,671,675.57,675.57,269468,116,2495452530.00
20041215,675.13,700,675,694.47,694.47,155395,94,1479267953.00
20041218,694.47,694,677,691.04,691.04,52637,54,497380959.00
20041219,691.04,693,684,686.81,686.81,105211,62,990534738.00
20041220,685.05,689,682,685.42,685.42,105452,60,990764533.00
20041221,682.14,689,678,684.25,684.25,94025,52,881868875.00
20041222,685.78,687,685,685.93,685.93,211006,71,1983941659.00
20041225,685.93,693,686,691.69,691.69,349599,117,3314565768.00
20041226,690.09,690,686,688.85,688.85,116326,46,1098374060.00
20041227,686.22,690,686,686.59,686.59,150136,89,1412936738.00
20041228,686.51,689,676,686.00,686.00,90054,45,846848564.00
20041229,693.01,693,686,687.61,687.61,78865,44,743405772.00
20050101,687.39,688,679,682.65,682.65,200803,68,1878918176.00
20050102,677.03,682,677,678.42,678.42,172367,80,1602841973.00
20050103,678.56,680,677,678.27,678.27,155485,52,1445637913.00
20050104,682.06,704,678,697.17,697.17,261415,109,2498189769.00
20050105,696.73,706,697,702.78,702.78,116284,61,1120256971.00
20050108,700.38,708,694,703.73,703.73,1434680,102,13866725573.00
20050109,703.66,708,695,703.37,703.37,201018,78,1938196007.00
20050110,703.37,708,693,701.25,701.25,1466680,90,14187731788.00
20050111,698.19,700,683,692.28,692.28,1852969,55,17762846529.00
20050112,692.79,865,658,677.83,677.83,51503284,124,609026235749.00
20050115,677.39,678,649,665.28,665.28,935871,167,8499878775.00
20050116,655.00,655,632,636.47,636.47,230488,59,2010800072.00
20050117,636.47,638,631,636.03,636.03,120549,60,1051047274.00
20050118,641.57,643,631,638.80,638.80,217437,57,1903965338.00
20050119,636.03,637,627,633.26,633.26,156575,54,1359124155.00
20050122,632.75,638,631,633.55,633.55,54076,37,469751313.00
20050123,633.91,634,627,628.44,628.44,99900,51,860580157.00
20050124,624.14,628,624,625.23,625.23,151792,45,1300926465.00
20050125,625.08,625,605,619.54,619.54,31845,15,266715436.00
20050126,604.22,620,598,610.71,610.71,179723,55,1504598379.00
20050201,618.59,619,598,607.87,607.87,23291,13,191886948.00
20050202,590.94,595,578,595.46,595.46,39779,18,317940907.00
20050205,569.05,613,569,588.39,588.39,231450,69,1866812414.00
20050206,577.59,606,572,588.02,588.02,159069,46,1282206435.00
20050207,583.65,598,571,592.25,592.25,67517,27,548860510.00
20050208,569.86,575,570,573.72,573.72,72644,28,569518367.00
20050209,573.72,584,574,577.08,577.08,75257,31,595515753.00
20050212,571.61,577,562,572.41,572.41,49697,25,388061723.00
20050213,566.87,572,567,572.34,572.34,990,2,7693050.00
20050214,558.11,558,544,545.34,545.34,85899,29,642162913.00
20050215,518.13,545,518,545.05,545.05,708,2,5031906.00
20050216,517.84,537,518,536.88,536.88,23947,8,169978416.00
20050221,510.11,510,510,510.11,510.11,321545,61,2248252640.00
20050222,506.75,511,507,509.67,509.67,153425,53,1071870086.00
20050223,509.60,525,510,517.04,517.04,184805,49,1309747360.00
20050226,532.58,543,522,522.22,522.22,19081,20,140922691.00
20050227,547.17,548,528,527.76,527.76,17505,6,131397265.00
20050228,554.10,554,554,554.03,554.03,79848,34,606445550.00
20050301,581.68,582,554,572.12,572.12,99511,54,780401814.00
20050302,554.46,599,554,576.64,576.64,77182,39,610317426.00
20050305,587.29,587,570,577.08,577.08,4218,7,33840789.00
20050306,575.40,576,562,571.61,571.61,31042,19,239592129.00
20050307,558.18,567,558,560.96,560.96,111029,43,853798498.00
20050308,560.96,561,560,560.52,560.52,73330,35,563434277.00
20050309,554.54,555,554,554.54,554.54,137614,44,1046022186.00
20050312,539.87,561,540,554.46,554.46,3450,6,26159560.00
20050314,560.37,560,555,554.54,554.54,1021,5,7842147.00
20050315,560.30,561,556,555.85,555.85,18289,15,140499658.00
20050316,563.29,569,560,559.57,559.57,23589,14,183875193.00
20050326,572.70,588,562,561.54,561.54,9475,5,74877615.00
20050327,565.04,566,562,561.69,561.69,3610,4,27964671.00
20050328,589.26,590,563,562.93,562.93,6503,10,51488998.00
20050329,591.01,591,578,577.81,577.81,42530,16,344533720.00
20050330,605.53,607,586,586.27,586.27,23631,11,196467316.00
20050403,606.70,616,607,614.14,614.14,120343,36,1013099646.00
20050404,627.42,629,614,625.08,625.08,84346,22,722752221.00
20050418,667.18,708,638,658.79,658.79,277511,103,2505971639.00
20050419,657.84,658,638,652.88,652.88,38970,37,345485686.00
20050420,656.60,671,649,659.59,659.59,183574,81,1659806196.00
20050423,670.46,675,657,669.00,669.00,196117,60,1798544442.00
20050424,663.82,667,660,662.88,662.88,178833,53,1624948947.00
20050425,662.88,671,663,670.39,670.39,108077,46,993126166.00
20050427,670.32,671,667,671.12,671.12,210651,66,1937932051.00
20050430,671.12,671,660,666.09,666.09,209173,73,1909842984.00
20050501,661.71,664,657,660.91,660.91,126174,53,1143060078.00
20050502,656.60,659,656,657.04,657.04,98308,41,885381752.00
20050503,657.04,660,649,656.67,656.67,333650,100,3003203925.00
20050504,663.53,664,663,663.82,663.82,201857,66,1836701925.00
20050507,657.40,663,657,662.88,662.88,22300,12,201911652.00
20050508,662.80,664,657,659.52,659.52,293507,72,2653490195.00
20050509,659.45,659,654,656.53,656.53,135760,54,1221814924.00
20050510,657.33,664,657,659.59,659.59,85127,42,769712150.00
20050511,663.90,671,664,667.69,667.69,199746,63,1828171915.00
20050514,658.50,660,657,658.79,658.79,119993,30,1083571465.00
20050515,656.60,659,649,656.09,656.09,235553,70,2118413046.00
20050516,656.60,660,657,657.48,657.48,94518,35,851882726.00
20050517,656.75,660,657,657.11,657.11,126016,38,1135104237.00
20050518,656.60,660,649,656.02,656.02,310509,70,2792318303.00
20050521,648.65,657,642,647.12,647.12,126587,33,1122839807.00
20050522,647.12,657,647,654.63,654.63,85085,33,763483505.00
20050523,656.02,658,656,656.97,656.97,107479,44,967910893.00
20050524,656.67,660,653,657.62,657.62,61429,28,553915318.00
20050525,656.60,658,649,655.43,655.43,205083,27,1832611188.00
20050528,666.09,671,656,663.75,663.75,133693,71,1216377783.00
20050529,658.79,664,659,661.34,661.34,110657,47,1003201107.00
20050530,663.82,671,663,668.42,668.42,2162230,143,19873434375.00
20050531,667.55,677,668,670.83,670.83,119585,54,1099655273.00
20050601,677.90,704,677,697.89,697.89,694298,248,6632169745.00
20050606,714.97,730,715,723.87,723.87,302027,130,2996892242.00
20050607,720.07,720,693,712.12,712.12,53137,34,514450666.00
20050608,693.08,699,677,698.77,698.77,37903,34,355396492.00
20050611,668.27,699,668,674.55,674.55,144642,81,1337365091.00
20050612,670.90,674,659,671.19,671.19,58777,36,539853384.00
20050613,671.12,675,671,672.43,672.43,113936,44,1050181259.00
20050614,693.01,700,675,695.78,695.78,342202,93,3263820227.00
20050615,688.12,688,673,679.15,679.15,332201,136,3092460529.00
20050814,496.10,538,489,495.88,495.88,160818,92,1093158884.00
20050815,496.10,496,479,483.70,483.70,171793,106,1139062294.00
20050816,487.34,492,485,487.71,487.71,116576,52,779401006.00
20050817,491.72,499,492,495.73,495.73,80367,34,546124300.00
20050820,510.62,520,503,512.81,512.81,90482,34,636075184.00
20050821,538.41,538,525,537.90,537.90,265575,144,1958220150.00
20050822,546.88,562,541,547.82,547.82,169193,83,1270594311.00
20050823,554.46,554,541,547.10,547.10,44857,33,336085427.00
20050824,547.24,551,546,547.46,547.46,29605,28,222459484.00
20050827,550.82,575,551,564.97,564.97,86341,59,668695614.00
20050828,539.95,564,540,544.69,544.69,72923,46,542479406.00
20050829,525.43,542,524,542.28,542.28,9647,9,69451007.00
20050830,542.28,542,522,525.57,525.57,111003,65,799741901.00
20050831,528.93,529,526,526.67,526.67,47260,44,341710380.00
20050903,527.25,527,515,524.77,524.77,34519,29,247133383.00
20050904,515.21,515,505,513.97,513.97,64067,28,449079909.00
20050905,504.12,506,497,506.02,506.02,47941,30,329107925.00
20050906,506.24,507,503,505.88,505.88,22015,12,152569810.00
20050907,510.69,522,506,517.91,517.91,105489,65,748868404.00
20050910,517.26,522,514,517.33,517.33,20065,26,141880549.00
20050911,514.78,518,503,511.06,511.06,80072,35,560938913.00
20050912,510.47,511,500,510.76,510.76,1882,4,12900560.00
20050913,503.39,510,503,510.18,510.18,7160,10,49511143.00
20050914,514.34,514,503,509.96,509.96,2566,4,17766340.00
20050917,510.69,519,507,511.64,511.64,30063,28,212027084.00
20050918,508.14,511,500,509.89,509.89,28721,28,199528500.00
20050919,503.39,508,500,507.99,507.99,18695,17,128606808.00
20050921,499.82,504,496,504.27,504.27,27663,17,188588934.00
20050924,499.82,504,500,504.20,504.20,120,2,822720.00
20050925,496.10,496,479,495.08,495.08,36683,15,243555834.00
20050926,478.95,494,470,494.35,494.35,2600,5,16894110.00
20051001,469.69,494,470,493.98,493.98,1010,2,6505710.00
20051002,469.32,489,469,470.27,470.27,255212,129,1645261827.00
20051003,469.91,470,470,469.91,469.91,56363,21,362999730.00
20051004,469.62,470,469,469.84,469.84,6649,9,42779921.00
20051005,469.76,471,467,469.84,469.84,37549,18,241893541.00
20051008,473.56,478,471,470.86,470.86,10710,6,70172693.00
20051009,494.20,494,474,473.63,473.63,46488,32,303121246.00
20051010,475.31,482,475,475.31,475.31,19706,17,129856495.00
20051011,481.58,482,476,476.26,476.26,14958,18,98542302.00
20051012,471.29,481,471,474.50,474.50,40810,14,264495692.00
20051015,474.21,474,467,472.17,472.17,25661,18,164389776.00
20051016,470.56,472,465,471.73,471.73,13567,6,87351099.00
20051017,461.74,470,456,469.62,469.62,15655,14,98956691.00
20051018,455.97,461,446,459.26,459.26,176038,26,1090804786.00
20051019,448.60,463,449,459.48,459.48,48794,30,307432437.00
20051022,456.19,458,445,458.09,458.09,22892,10,142738790.00
20051023,457.36,460,438,456.63,456.63,61920,37,387248082.00
20051024,445.10,456,445,455.83,455.83,12903,9,79907533.00
20051026,455.61,457,455,455.83,455.83,25772,17,161089220.00
20051029,455.83,456,438,450.06,450.06,37087,24,225473706.00
20051030,427.59,447,428,447.29,447.29,15110,15,90233930.00
20051031,436.28,436,425,425.55,425.55,77815,43,453328005.00
