date,open,high,low,last,close,vol,count,value
20150318,1207.83,1421,1208,1420.98,1367.69,1242300,15,2391560000.00
20150325,1222.04,1421,1208,1207.83,1325.06,355000,9,662117000.00
20150405,1420.27,1420,1066,1342.83,1351.35,140000,5,266310000.00
20150418,1278.88,1279,1279,1278.88,1278.88,534,2,961200.00
20150422,1342.83,1343,1343,1342.83,1342.83,466,1,880740.00
20150427,1065.73,1069,1066,1065.73,1067.16,2050000,5,3078500000.00
20150428,888.11,1350,888,1349.93,1068.58,320000,6,481380267.00
20150429,1314.41,1314,1314,1314.41,1314.41,100000,1,185000000.00
20150503,1314.41,1349,1314,1349.22,1325.77,30000,2,55990000.00
20150504,1243.36,1350,1243,1243.36,1247.62,134400,5,235994100.00
20150505,1243.36,1243,1243,1243.36,1243.36,218,1,381500.00
20150506,1172.31,1350,1172,1349.93,1272.49,30000,5,53728100.00
20150510,1243.36,1243,1243,1243.36,1243.36,697,2,1219750.00
20150511,1243.36,1279,1243,1278.88,1275.33,15385,3,27618150.00
20150512,1243.36,1243,1243,1243.36,1243.36,491,1,859250.00
20150513,1314.41,1314,1314,1314.41,1314.41,35010,1,64768500.00
20150518,1243.36,1243,1243,1243.36,1243.36,153,1,267750.00
20150519,1307.30,1314,1307,1314.41,1314.41,31000,3,57342470.00
20150520,1314.41,1314,1314,1314.41,1314.41,15000,1,27750000.00
20150523,1314.41,1314,1243,1314.41,1314.41,50087,3,92652250.00
20150524,1314.41,1314,1314,1314.41,1314.41,34753,1,64293050.00
20150526,1492.03,1528,1492,1527.55,1506.95,17456,5,37030400.00
20150530,1813.17,1813,1813,1813.17,1813.17,4522,1,11540144.00
20150531,1904.82,1908,1876,1882.80,1881.38,1550000,8,4103661798.00
20150607,1918.32,2131,1918,2131.47,1921.16,152514,6,412387800.00
20150608,1989.37,1989,1989,1989.37,1989.37,400000,2,1120000000.00
20150609,2024.90,2025,2025,2024.90,2024.90,500000,2,1425000000.00
20150610,2024.90,2025,2025,2024.90,2024.90,500000,2,1425000000.00
20150613,2024.90,2032,2025,2032.00,2024.90,536986,3,1530585100.00
20150614,2024.90,2025,2025,2024.90,2024.90,231822,1,660692700.00
20150615,2024.90,2025,2025,2024.90,2024.90,119,1,339150.00
20150627,1641.23,1641,1634,1634.13,1637.68,9000,2,20744000.00
20150628,1563.08,1634,1563,1563.08,1568.05,5400,3,11920000.00
20150630,1598.60,1599,1599,1598.60,1598.60,87,1,195750.00
20150705,1634.13,1634,1634,1634.13,1634.13,13,1,29900.00
20150824,1478.50,1556,1478,1556.31,1534.52,2476,2,4883200.00
20150908,1531.41,1531,1531,1531.41,1531.41,8290,1,16314720.00
20151208,1531.41,1531,1531,1531.41,1531.41,14340,1,28221120.00
20151213,1556.31,1556,1556,1556.31,1556.31,4400,1,8800000.00
20160103,1361.77,1401,1362,1400.68,1392.90,10717,10,19188600.00
20160118,1396.79,1397,1397,1396.79,1396.79,598,1,1073410.00
20160125,1396.79,1401,1397,1400.68,1399.12,2897,4,5208380.00
20160213,1322.86,1323,1323,1322.86,1322.86,2530,5,4301000.00
20160214,1322.86,1323,1323,1322.86,1322.86,280,3,476000.00
20160217,1322.86,1323,1323,1322.86,1322.86,41,1,69700.00
20160223,1322.86,1323,1321,1322.86,1322.86,20302,5,34511823.00
20160302,1256.72,1257,1257,1256.72,1256.72,3000,1,4845000.00
20160314,1245.05,1323,1245,1322.86,1301.08,72534,7,121299070.00
20160413,1322.86,1323,1323,1322.86,1322.86,5000,1,8500000.00
20160416,1322.09,1322,1322,1322.09,1322.09,5000,1,8495000.00
20160419,1315.08,1315,1284,1283.96,1315.08,30131,2,50916150.00
20160420,1322.86,1323,1323,1322.86,1322.86,20000,2,34000000.00
20160424,1245.05,1284,1245,1283.96,1265.28,3084,3,5013150.00
20160517,1205.36,1245,1205,1245.05,1206.14,4476,3,6936909.00
20160530,1090.20,1093,1090,1092.53,1090.20,20049,2,28088796.00
20160531,1092.53,1093,1093,1092.53,1092.53,786,1,1103544.00
20160601,1050.51,1051,1051,1050.51,1050.51,10292,5,13894200.00
20160605,1050.51,1051,1051,1050.51,1050.51,1458,1,1968300.00
20160606,1011.60,1012,1012,1011.60,1011.60,4664,3,6063200.00
20160607,1012.38,1012,1012,1012.38,1012.38,4680,1,6088680.00
20160611,1050.51,1051,1019,1019.38,1027.94,13255,3,17505490.00
20160612,1027.17,1027,1027,1027.17,1027.17,19000,4,25080000.00
20160620,980.48,1051,980,1050.51,987.48,1874,4,2378820.00
20160626,1011.60,1012,984,987.48,990.59,5034,4,6409152.00
20160810,987.92,990,988,989.70,989.70,576,2,640322.00
20160822,979.02,979,979,979.02,979.02,13129,1,14441900.00
20160831,979.02,979,979,979.02,979.02,162,1,178200.00
20160911,979.02,979,979,979.02,979.02,698,2,767800.00
20160919,979.91,980,980,979.91,979.91,294,1,323694.00
20160924,988.81,989,989,988.81,988.81,131,1,145541.00
20160925,988.81,989,989,988.81,988.81,97,1,107767.00
20160926,988.81,989,988,987.92,988.81,1629,2,1809668.00
