date,open,high,low,last,close,vol,count,value
20020701,138.34,138,138,138.34,138.34,700,1,700000.00
20020803,152.17,152,152,152.17,152.17,700,1,770000.00
20020807,159.78,160,160,159.78,159.78,10000,3,11550000.00
20020810,167.67,168,168,167.67,167.67,20000,5,24240000.00
20020811,175.97,176,176,175.97,175.97,10000,1,12720000.00
20020813,184.68,185,185,184.68,184.68,60000,31,80100000.00
20020814,193.81,194,194,193.81,193.81,200000,78,280200000.00
20020817,203.50,203,203,203.50,203.50,100000,40,147100000.00
20020819,208.48,208,208,208.48,208.48,200000,82,301400000.00
20020820,213.60,214,214,213.60,213.60,250000,94,386000000.00
20020821,218.85,219,219,218.85,218.85,284000,61,449288000.00
20020826,229.78,230,230,229.78,229.78,21900,14,36375900.00
20020827,241.26,241,241,241.26,241.26,559900,95,976465600.00
20020828,253.30,253,253,253.30,253.30,644230,182,1179343710.00
20020831,253.30,253,248,248.73,248.73,107238,42,193540813.00
20020901,248.60,249,248,248.73,248.73,225510,50,405446055.00
20020902,248.73,249,243,243.48,243.48,56097,19,100621415.00
20020903,242.09,242,231,231.30,231.30,44689,12,74890750.00
20020904,230.89,231,221,221.34,221.34,80000,20,128783000.00
20020908,211.66,212,210,210.28,210.28,6280,3,9558400.00
20020910,208.62,209,209,208.89,208.89,51618,8,77932462.00
20020917,206.13,209,206,208.89,208.89,25695,10,38725560.00
20020918,211.66,219,209,218.58,218.58,32731,13,51054210.00
20020922,220.65,230,221,229.50,229.50,15000,8,24469500.00
20020923,240.85,241,235,240.85,240.85,440900,59,759470200.00
20020924,234.62,241,232,239.47,239.47,179260,53,309489802.00
20020929,235.18,239,235,239.19,239.19,31000,6,53291500.00
20021001,231.16,231,231,231.03,231.03,5583,3,9325610.00
20021002,221.34,221,221,220.93,220.93,16420,11,26255740.00
20021006,220.93,221,221,220.93,220.93,16500,5,26350500.00
20021007,220.79,221,221,220.93,220.93,7500,4,11975000.00
20021008,220.79,221,221,220.79,220.79,50,1,79800.00
20021009,220.51,221,221,220.51,220.51,1245,2,1984530.00
20021012,220.65,221,221,220.65,220.65,1866,2,2976270.00
20021014,219.96,220,220,219.96,219.96,750,1,1192500.00
20021019,218.58,219,219,218.58,218.58,314,1,496120.00
20021021,213.04,213,213,213.04,213.04,1486,2,2288440.00
20021027,213.32,214,213,213.18,213.18,6877,9,10606826.00
20021028,213.18,213,213,213.18,213.18,5000,5,7705000.00
20021029,213.04,213,213,213.04,213.04,1000,1,1540000.00
20021030,213.04,223,213,222.73,222.73,14873,11,23259420.00
20021102,226.88,227,224,225.08,225.08,43005,21,70025017.00
20021103,235.18,236,232,236.28,236.28,40750,12,69527000.00
20021104,235.18,235,235,235.18,235.18,2450,2,4165000.00
20021105,235.18,235,230,229.64,229.64,10500,7,17805950.00
20021106,221.34,222,180,221.90,221.90,9689532,2900,12621398362.00
20021109,222.73,225,223,224.80,224.80,25000,5,40325000.00
20021110,234.62,236,235,236.01,236.01,196398,38,334812918.00
20021111,247.77,248,248,247.77,247.77,179882,43,322168662.00
20021112,253.58,254,248,249.01,249.01,11359,12,20547471.00
20021113,249.01,249,237,236.56,236.56,17414,7,30851700.00
20021116,248.32,248,248,248.32,248.32,78444,20,140751980.00
20021117,260.63,261,261,260.63,260.63,254500,44,479478000.00
20021118,273.63,274,273,272.53,272.53,191650,49,378979700.00
20021119,269.76,273,270,272.53,272.53,56223,26,109867949.00
20021120,280.83,282,275,275.29,275.29,50915,24,102888520.00
20021123,283.60,289,283,288.99,288.99,29945,13,61560305.00
20021124,290.51,291,277,276.95,276.95,28112,16,58790200.00
20021125,290.10,291,277,276.68,276.68,36049,21,73921644.00
20021126,279.72,291,280,290.51,290.51,32997,13,68676520.00
20021130,298.81,300,299,300.20,300.20,11597,3,25149520.00
20021201,315.14,315,315,315.14,315.14,226470,55,515898660.00
20021202,315.14,315,315,315.14,315.14,51355,16,116986956.00
20021203,315.14,328,315,327.86,327.86,66158,22,152973200.00
20021204,332.01,344,331,339.07,339.07,740638,131,1818700280.00
20021207,341.84,343,342,341.70,341.70,1135441,158,2806052910.00
20021208,345.99,351,346,351.38,351.38,636580,95,1596085858.00
20021209,355.67,357,352,357.05,357.05,371979,61,956689257.00
20021210,374.90,375,371,371.44,371.44,1000000,149,2697133750.00
20021211,389.98,390,390,389.98,389.98,586424,108,1653129256.00
20021214,409.35,409,409,409.35,409.35,27950,18,82704050.00
20021215,429.68,430,389,401.18,401.18,311388,121,910380705.00
20021216,401.18,401,381,387.35,387.35,133438,46,373634365.00
20021217,381.82,401,368,387.21,387.21,214179,70,594159838.00
20021218,375.18,394,375,387.35,387.35,270867,43,769178366.00
20021221,387.35,387,373,373.38,373.38,64744,31,176286363.00
20021222,354.84,355,355,354.84,354.84,6910,4,17724150.00
20021223,337.13,347,337,347.23,347.23,175903,65,433392146.00
20021224,364.52,365,350,358.30,358.30,69790,24,180387600.00
20021225,363.83,373,358,358.30,358.30,194981,56,513322434.00
20021228,357.75,365,357,363.83,363.83,72228,36,189140055.00
20021229,363.83,365,353,352.76,352.76,98235,57,255813978.00
20021231,352.76,359,353,352.90,352.90,141271,41,362321546.00
20030101,352.76,362,353,361.62,361.62,163115,60,422900055.00
20030104,363.83,369,362,365.22,365.22,165550,77,438943090.00
20030105,370.06,383,362,366.74,366.74,2398325,348,6370422488.00
20030106,368.81,374,367,367.57,367.57,1263000,176,3354461604.00
20030107,374.07,380,371,374.35,374.35,456400,97,1230689210.00
20030108,375.18,376,374,374.90,374.90,543500,102,1470920147.00
20030111,374.90,376,372,373.52,373.52,477544,141,1290963068.00
20030112,373.38,374,355,354.98,354.98,457462,83,1209750159.00
20030113,366.74,371,355,367.98,367.98,372390,79,986409458.00
20030114,373.24,373,359,372.69,372.69,314003,46,835369794.00
20030115,372.13,374,369,373.38,373.38,1421583,228,3807067589.00
20030118,377.39,392,376,391.91,391.91,2590700,367,7159123500.00
20030119,411.42,411,411,411.42,411.42,12000,3,35688000.00
20030120,431.89,432,412,431.89,431.89,1166118,199,3618753869.00
20030121,453.48,453,453,453.48,453.48,56105,17,183912190.00
20030122,476.02,476,453,476.02,476.02,2287457,430,7839100622.00
20030126,475.75,476,401,442.69,442.69,513557,98,1578883222.00
20030127,442.69,443,423,435.77,435.77,432273,137,1340423490.00
20030210,581.02,602,553,577.15,577.15,978103,274,4181770702.00
20030215,580.75,581,548,548.38,548.38,211993,108,864474882.00
20030216,535.10,553,523,553.36,553.36,419222,224,1635925062.00
20030217,574.11,577,567,574.11,574.11,420687,151,1744600471.00
