date,open,high,low,last,close,vol,count,value
20200304,2039.09,2039,2039,2039.09,2039.09,707757479,1681523,2406375428600.00
20200307,2141.04,2141,2141,2141.04,2141.04,15287785,3680,54577392450.00
20200309,2247.80,2248,2248,2247.80,2247.80,26461377,4437,99177240996.00
20200310,2359.95,2360,2360,2359.95,2359.95,71263007,5131,280419932545.00
20200311,2477.49,2477,2477,2477.49,2477.49,33462984,7309,138235586904.00
20200314,2601.04,2601,2601,2601.04,2570.45,9108060,7639,39501656220.00
20200315,2698.79,2699,2699,2698.79,2601.64,2932308,5799,13195386000.00
20200316,2731.18,2731,2731,2731.18,2629.82,2651847,5916,12076511238.00
20200317,2761.17,2761,2761,2761.17,2658.61,2627412,4957,12096604848.00
20200318,2791.15,2791,2791,2791.15,2685.60,2473728,5842,11512730112.00
20200324,2819.34,2819,2819,2819.34,2714.39,2390153,5387,11236109253.00
20200325,2849.93,2850,2850,2849.93,2747.97,2778744,6150,13204591488.00
20200328,2885.31,2885,2885,2885.31,2882.91,10703674,5489,51495375614.00
20200329,3026.85,3027,3027,3026.85,2924.89,3181040,8031,16054708880.00
20200330,3070.63,3071,3071,3070.63,3058.03,9986877,8253,51132810240.00
20200406,3210.84,3371,3211,3370.85,3360.06,13946195,13221,78202684629.00
20200407,3527.85,3704,3528,3704.04,3375.04,869298,2168,5117671986.00
20200408,3543.44,3543,3543,3543.44,3543.44,19906955,25375,117709824915.00
20200411,3720.22,3906,3720,3905.99,3901.79,27997895,10358,182303409130.00
20200412,4096.55,4097,4097,4096.55,4096.55,24753583,11331,169215493388.00
20200413,4083.97,4301,3892,3998.27,4019.25,194425233,192355,1303927438273.00
20200414,3818.50,4220,3818,3903.59,3856.25,60781579,77664,391137805900.00
20200415,3818.50,4049,3664,4048.61,4033.03,26732001,42657,179910689620.00
20200418,4234.38,4234,4234,4234.38,4234.38,29494614,16771,208408942524.00
20200419,4445.92,4446,4134,4368.62,4375.21,173345559,98779,1265676321414.00
20200420,4593.94,4594,4594,4593.94,4593.94,21032707,19564,161236731862.00
20200421,4823.46,4823,4823,4823.46,4637.09,1403604,1398,11297608596.00
20200422,4868.40,4868,4868,4868.40,4868.40,24791095,9545,201402855780.00
20200425,5111.70,5112,5112,5111.70,5111.70,22400819,6948,191078986070.00
20200426,5366.99,5367,5367,5366.99,5247.74,3281885,5447,29392562060.00
20200427,5509.61,5510,5510,5509.61,5509.61,8083086,17293,74315892684.00
20200428,5784.67,5785,5785,5784.67,5784.67,24208238,15568,233682121414.00
20200429,6073.52,6074,6074,6073.52,5893.14,2311252,2357,23424539020.00
20200504,6187.38,6497,6187,6496.60,6469.03,25899463,14529,279585391355.00
20200505,6792.03,6792,6497,6792.03,6729.11,217276603,74415,2439776931938.00
20200506,6659.00,7065,6393,7065.30,6947.24,69219806,49896,802444601654.00
20200509,7294.22,7294,7294,7294.22,7294.22,14034650,14589,170829759800.00
20200510,7658.57,7659,7659,7658.57,7658.57,34785587,17459,444559801860.00
20200511,8041.49,8041,7662,8036.10,8036.70,34878272,18531,467741313226.00
20200512,7635.20,7635,7635,7635.20,7635.20,21144070,7956,269396595870.00
20200513,7253.47,7850,7253,7253.47,7370.32,157542607,74603,1937607022430.00
20200519,6808.76,7149,6743,6864.97,6913.70,67442625,46364,746480059765.00
20200520,6652.59,6871,6568,6568.26,6643.85,41683584,29004,443339487197.00
20200523,6312.15,6553,6312,6490.18,6336.51,94024949,68357,953787909641.00
20200526,6350.24,6644,6083,6118.81,6399.52,90495915,69042,928393000000.00
20200527,6300.33,6719,6300,6718.90,6631.57,41190432,38584,437895881001.00
20200530,6962.81,6963,6963,6962.81,6962.81,6415655,7595,71611541110.00
20200531,7310.88,7311,6660,7310.88,7240.39,95968484,23477,1113912236531.00
20200601,7357.67,7602,6987,7602.20,7542.31,33487951,14348,404903654443.00
20200602,7919.08,7919,7728,7919.08,7913.47,18272454,9428,231800224533.00
20200606,8308.96,8309,8309,8308.96,8308.96,11575936,7104,154191467520.00
20200607,8724.40,8724,8724,8724.40,8724.40,10706167,5334,149736451662.00
20200608,9160.44,9160,8484,9160.44,9129.87,118443750,24592,1733560978195.00
20200609,9391.24,9586,8870,9585.87,9514.13,37246991,11184,568105467706.00
20200610,9989.46,9989,9989,9989.46,9989.46,11501600,6972,184186622400.00
20200613,10486.00,10486,10486,10486.00,10367.48,2370118,2446,39841683580.00
