date,open,high,low,last,close,vol,count,value
20040117,183.30,183,183,183.30,183.30,159984,130,695930400.00
20040118,183.30,192,183,190.80,190.80,200010,109,883065280.00
20040119,200.33,200,200,200.33,200.33,25000,12,118850000.00
20040120,202.27,202,202,202.27,202.27,20000,10,96000000.00
20040121,202.31,203,202,202.52,202.52,9510,8,45711035.00
20040124,206.48,212,206,211.58,211.58,27310,21,137130824.00
20040125,211.87,215,212,214.15,214.15,13166,6,66918932.00
20040126,219.12,225,217,221.90,221.90,24650,15,129812900.00
20040127,232.90,233,233,232.90,232.90,17600,12,97276000.00
20040201,244.53,245,237,236.73,236.73,1010,2,5859180.00
20040203,244.53,245,245,244.53,244.53,12927,15,75015381.00
20040204,244.57,245,245,244.57,244.57,5661,4,32856444.00
20040207,244.40,245,244,244.53,244.53,270,2,1566030.00
20040208,244.36,245,244,244.36,244.36,3430,6,19890852.00
20040209,244.53,245,244,244.40,244.40,1003,2,5820379.00
20040215,232.18,232,232,232.18,232.18,7674,4,42283740.00
20040216,240.02,240,235,234.75,234.75,1010,2,5751710.00
20040218,234.71,235,235,234.71,234.71,5010,5,27907700.00
20040310,222.96,235,223,228.05,228.05,6568,27,35549838.00
20040327,222.96,226,223,226.24,226.24,3852,5,20681912.00
20040328,226.28,226,226,226.28,226.28,4983,3,26758710.00
20040407,227.42,228,227,227.42,227.42,16517,38,89158542.00
20040410,227.42,227,227,227.42,227.42,385,2,2077845.00
20040412,227.42,227,227,227.42,227.42,458,2,2471826.00
20040418,227.17,227,227,227.34,227.34,725,3,3908517.00
20040607,216.00,227,216,220.89,220.89,10010,11,52474387.00
20040609,227.42,227,227,227.38,227.38,5180,7,27952950.00
20040614,228.81,229,229,228.81,228.81,4000,1,21720000.00
20040615,228.81,232,229,231.51,231.51,25010,5,137414940.00
20040619,231.76,236,232,233.62,233.62,9130,5,50617440.00
20040620,233.87,234,234,233.87,233.87,4000,1,22200000.00
20040627,233.83,234,234,233.83,233.83,2300,2,12762700.00
20040712,233.74,234,234,233.74,233.74,12760,16,70791645.00
20040810,233.66,242,234,238.25,238.25,8690,5,49139840.00
20040811,242.30,242,242,242.30,242.30,4200,3,24150000.00
20040814,246.51,247,247,246.51,246.51,4300,4,25155000.00
20040815,250.73,251,251,250.73,250.73,10000,1,59500000.00
20040816,252.83,257,253,253.00,253.00,23876,6,143356040.00
20040817,257.05,257,257,257.05,257.05,5000,1,30500000.00
20040822,257.47,257,257,257.47,257.47,5000,1,30550000.00
20040823,263.37,263,263,263.37,263.37,10000,1,62500000.00
20040825,262.86,276,263,267.88,267.88,31110,9,197784970.00
20040901,267.88,268,268,267.88,267.88,500,1,3178500.00
20040918,262.52,263,263,262.52,262.52,5000,1,31150000.00
20040919,257.05,257,257,257.05,257.05,5000,1,30500000.00
20040920,251.57,252,252,251.57,251.57,5000,1,29850000.00
20040921,251.53,252,247,248.11,248.11,26710,6,157289380.00
20040922,260.50,261,257,260.21,260.21,7154,4,44179958.00
20040925,260.50,271,261,269.31,269.31,16939,7,108269505.00
20040926,269.31,282,269,275.80,275.80,10010,4,65520450.00
20040927,275.80,277,276,276.13,276.13,3010,5,19735530.00
20040928,277.06,277,277,277.06,277.06,4000,1,26300000.00
20041004,278.12,278,278,278.12,278.12,4000,1,26400000.00
20041005,278.12,280,278,279.59,279.59,4010,4,26606350.00
20041006,281.06,281,281,281.06,281.06,4000,1,26680000.00
20041009,282.33,282,282,281.91,281.91,4022,2,26907400.00
20041010,281.06,281,281,281.49,281.49,2010,2,13406800.00
20041011,281.49,281,281,281.49,281.49,98,1,654640.00
20041012,280.69,281,281,280.73,280.73,10151,7,67626721.00
20041013,280.22,280,280,280.22,280.22,4000,1,26600000.00
20041026,266.23,266,266,266.23,266.23,37017,11,233873406.00
20041113,265.81,266,266,265.81,265.81,4700,2,29647600.00
20041115,265.77,266,266,265.81,265.81,8610,10,54314080.00
