date,open,high,low,last,close,vol,count,value
20050115,593.39,593,593,593.39,593.39,1440000,1810,2592000000.00
20050116,623.06,623,623,623.06,623.06,260120,257,491626800.00
20050117,654.05,654,654,654.05,654.05,1500000,1227,2976000000.00
20050126,686.68,687,687,686.68,686.68,269196,198,560735268.00
20050130,720.97,721,679,712.72,712.72,2673786,1834,5781634832.00
20050131,692.29,748,692,745.69,745.69,1162420,335,2629635600.00
20050201,782.94,783,749,763.82,763.82,1366584,371,3166883606.00
20050202,778.33,778,735,751.95,751.95,347088,227,791954104.00
20050205,754.26,775,733,755.91,755.91,1099893,238,2522605232.00
20050206,758.55,789,758,770.75,770.75,1148484,272,2685725061.00
20050207,758.22,758,739,756.57,756.57,296570,99,680700809.00
20050208,746.68,759,742,747.01,747.01,84067,59,190512884.00
20050209,758.22,784,758,777.67,777.67,174206,78,410973728.00
20050212,816.24,816,816,816.24,816.24,57924,34,143419824.00
20050213,856.79,857,857,856.79,856.79,42510,15,110483490.00
20050214,899.31,899,861,894.04,894.04,441861,161,1198460594.00
20050215,893.38,900,850,874.26,874.26,178747,92,474120249.00
20050216,830.74,849,831,848.54,848.54,23645,13,59585940.00
20050221,806.35,827,806,807.67,807.67,103932,70,254702992.00
20050222,767.45,791,767,773.71,773.71,134817,68,316520283.00
20050223,766.79,780,758,772.39,772.39,123877,60,290333176.00
20050226,810.96,811,776,797.78,797.78,30974,15,75678140.00
20050227,837.67,838,831,837.34,837.34,245132,86,622690352.00
20050228,879.20,879,838,864.70,864.70,302552,111,793687653.00
20050301,883.16,890,861,873.93,873.93,141090,55,374066135.00
20050302,873.60,874,854,859.75,859.75,167889,52,437971665.00
20050305,869.97,870,858,864.70,864.70,33653,21,88427949.00
20050306,867.01,873,857,865.69,865.69,111572,56,293001865.00
20050307,868.65,909,858,884.48,884.48,7076749,94,18638422057.00
20050308,928.65,929,929,928.65,928.65,144082,43,405878994.00
20050309,931.62,975,897,953.05,953.05,344037,99,994938147.00
20050312,953.05,969,911,944.48,944.48,310590,83,889848952.00
20050313,991.62,992,959,991.29,991.29,394747,115,1187105074.00
20050314,1040.74,1041,1041,1040.74,1040.74,335285,98,1058494745.00
20050315,1090.52,1092,1071,1088.87,1088.87,342141,127,1130265020.00
20050316,1087.88,1143,1076,1097.77,1097.77,303799,95,1011704517.00
20050326,1088.21,1104,1085,1095.46,1095.46,26960,10,89531130.00
20050327,1147.22,1150,1129,1129.09,1129.09,25126,19,87598959.00
20050328,1150.18,1150,1073,1103.70,1103.70,236115,105,790622131.00
20050329,1051.62,1104,1049,1052.93,1052.93,135137,66,431712722.00
20050330,1029.53,1088,1017,1048.65,1048.65,137586,57,437731987.00
20050403,1054.91,1081,1010,1039.42,1039.42,110122,42,347250340.00
20050404,1041.07,1041,993,1020.63,1020.63,69577,24,215437689.00
20050405,998.54,1068,972,1009.09,1009.09,186084,71,569668382.00
20050406,995.24,1048,986,1006.12,1006.12,539196,127,1645898947.00
20050410,1012.06,1056,1012,1031.51,1031.51,3921412,20,12041454818.00
20050411,1082.93,1083,1040,1039.75,1039.75,6615,7,21728965.00
20050412,1091.50,1092,1054,1053.59,1053.59,10771,10,35661631.00
20050413,1106.01,1106,1106,1106.01,1106.01,51165,11,171658575.00
20050416,1161.06,1161,1161,1161.06,1161.06,258765,79,911370330.00
20050417,1219.08,1219,1132,1186.45,1186.45,399693,154,1438549555.00
20050418,1127.77,1131,1127,1127.44,1127.44,419198,104,1433846726.00
20050419,1127.77,1128,1078,1089.53,1089.53,129674,57,428635210.00
20050420,1102.71,1127,1039,1089.86,1089.86,3082608,60,9740568793.00
20050423,1105.68,1144,1106,1142.60,1142.60,174401,58,604646179.00
20050424,1153.48,1200,1143,1172.27,1172.27,312294,86,1110797328.00
20050425,1186.12,1231,1168,1205.90,1205.90,287037,81,1050254338.00
20050501,1265.89,1266,1146,1178.53,1178.53,26966,19,95364251.00
20050502,1146.89,1147,1120,1122.16,1122.16,119713,44,407571005.00
20050503,1120.84,1178,1072,1122.82,1122.82,465236,137,1584718204.00
20050504,1178.20,1179,1132,1155.79,1155.79,455883,63,1598695442.00
20050507,1178.53,1187,1153,1163.70,1163.70,207422,87,732266878.00
20050508,1163.70,1187,1106,1146.89,1146.89,539061,92,1858348691.00
20050509,1155.79,1204,1139,1189.41,1189.41,600885,120,2154602901.00
20050510,1248.75,1249,1249,1248.75,1248.75,80016,37,303100608.00
20050511,1311.06,1311,1311,1311.06,1311.06,64870,34,257987990.00
20050514,1376.33,1376,1376,1376.33,1376.33,177487,65,741008225.00
20050515,1444.90,1445,1381,1437.98,1437.98,1779214,570,7762549494.00
20050516,1473.58,1510,1447,1505.89,1505.89,443352,159,2025164634.00
20050517,1581.05,1581,1579,1580.72,1580.72,489157,206,2345883182.00
20050518,1659.51,1660,1647,1658.85,1658.85,231574,89,1165284368.00
20050523,1576.10,1742,1576,1649.95,1649.95,515234,229,2579034851.00
20050524,1732.36,1732,1594,1683.90,1683.90,524927,213,2681468869.00
20050525,1616.65,1637,1609,1618.63,1618.63,286645,140,1407708088.00
20050528,1699.40,1699,1634,1696.76,1696.76,303110,126,1560176134.00
20050529,1763.68,1764,1649,1691.16,1691.16,221894,94,1138475891.00
20050530,1675.99,1711,1607,1638.08,1638.08,1049463,319,5215138790.00
20050531,1556.98,1600,1556,1557.97,1557.97,368001,108,1739258165.00
20050601,1480.17,1480,1480,1480.17,1480.17,329127,83,1477780230.00
20050606,1419.52,1554,1420,1453.80,1453.80,902870,319,3982243447.00
20050607,1450.17,1520,1425,1481.16,1481.16,297060,108,1334767691.00
20050608,1481.16,1525,1467,1485.78,1485.78,282386,113,1272781946.00
20050611,1454.46,1455,1437,1450.83,1450.83,155591,51,684803049.00
20050612,1464.68,1523,1464,1510.83,1510.83,208402,72,955054955.00
20050613,1579.07,1586,1504,1548.41,1548.41,356074,143,1672455863.00
20050614,1625.55,1626,1582,1624.23,1624.23,317656,83,1565296516.00
20050615,1704.34,1705,1599,1674.67,1674.67,859711,277,4367318030.00
20050618,1758.08,1758,1675,1712.25,1712.25,269848,108,1401829847.00
20050619,1682.58,1683,1627,1627.86,1627.86,347759,96,1717516676.00
20050620,1556.33,1709,1548,1646.65,1646.65,127215,55,635452001.00
20050621,1648.30,1681,1640,1646.65,1646.65,117984,76,589336988.00
20050622,1677.64,1729,1665,1709.62,1709.62,384341,137,1993375573.00
20050625,1624.23,1624,1624,1624.23,1624.23,184228,46,907691356.00
20050626,1621.93,1624,1543,1545.78,1545.78,1243416,308,5831413237.00
20050627,1508.85,1516,1469,1474.90,1474.90,478614,126,2141354770.00
20050628,1414.24,1415,1401,1401.71,1401.71,436320,140,1855560830.00
20050629,1335.78,1365,1332,1332.49,1332.49,473931,125,1915758976.00
20050702,1331.83,1332,1266,1266.22,1266.22,643323,185,2471468006.00
20050703,1265.89,1266,1203,1202.93,1202.93,667859,142,2437174031.00
20050704,1142.93,1263,1143,1207.54,1207.54,229130,78,839350413.00
20050705,1262.60,1268,1209,1209.19,1209.19,2206,5,8464640.00
20050706,1269.52,1270,1237,1236.55,1236.55,29320,8,112910320.00
20050709,1298.20,1298,1270,1269.52,1269.52,34510,16,135899510.00
20050711,1332.82,1333,1286,1325.89,1325.89,223041,113,897085131.00
20050712,1302.16,1392,1302,1371.06,1371.06,185974,86,773637633.00
20050713,1354.90,1356,1303,1339.41,1339.41,42582,29,170991936.00
20050716,1285.67,1286,1272,1274.14,1274.14,117886,40,455637070.00
20050717,1220.07,1253,1211,1226.34,1226.34,89365,35,332492016.00
20050718,1213.15,1226,1165,1172.27,1172.27,109671,34,390091229.00
20050719,1129.42,1134,1114,1117.22,1117.22,69587,21,235896450.00
20050720,1172.93,1173,1153,1166.34,1166.34,53480,15,189032630.00
20050723,1203.26,1203,1169,1168.97,1168.97,4943,2,18040910.00
20050724,1227.32,1227,1215,1214.80,1214.80,50510,24,188048350.00
20050725,1275.45,1275,1275,1275.45,1275.45,280490,51,1085215810.00
20050726,1317.98,1339,1213,1304.14,1304.14,429536,170,1699330146.00
20050727,1304.14,1369,1304,1355.89,1355.89,126741,41,521400656.00
20050730,1369.41,1369,1319,1340.07,1340.07,55553,30,225495906.00
20050731,1384.57,1385,1286,1308.09,1308.09,228795,30,915819155.00
20050801,1318.64,1319,1269,1304.14,1304.14,109700,35,434018891.00
20050802,1285.67,1319,1286,1311.72,1311.72,52342,23,208626472.00
20050803,1311.72,1319,1312,1312.38,1312.38,7590,6,30357500.00
20050806,1312.05,1340,1309,1316.00,1316.00,40089,18,160340334.00
20050807,1316.66,1319,1293,1315.67,1315.67,10811,13,43128012.00
20050808,1315.67,1318,1269,1295.89,1295.89,30501,34,117935806.00
20050809,1252.71,1318,1253,1289.63,1289.63,167645,58,655835754.00
20050810,1318.31,1347,1312,1312.05,1312.05,36466,22,147081896.00
20050813,1308.09,1319,1308,1311.39,1311.39,42235,12,168021580.00
20050814,1285.67,1319,1286,1310.07,1310.07,138433,47,550155206.00
20050815,1310.07,1310,1271,1306.11,1306.11,8420,7,32747280.00
20050816,1286.00,1319,1260,1286.33,1286.33,64380,35,251228251.00
20050817,1262.27,1319,1262,1302.16,1302.16,2250410,24,8993233200.00
20050820,1308.75,1344,1302,1316.33,1316.33,2533401,21,10009756990.00
20050821,1318.64,1351,1289,1332.82,1332.82,46410,27,188587468.00
20050822,1318.97,1351,1319,1337.76,1337.76,427068,47,1739728036.00
20050823,1380.62,1404,1322,1364.13,1364.13,416643,37,1739697503.00
20050824,1322.93,1349,1319,1349.30,1349.30,22034,15,88368601.00
20050827,1364.13,1417,1319,1384.24,1384.24,95818,39,401940919.00
20050828,1383.91,1384,1335,1347.32,1347.32,498124,32,2052811962.00
20050829,1347.32,1347,1335,1345.67,1345.67,42418,19,173093611.00
20050830,1320.29,1352,1320,1342.05,1342.05,40520,18,164717252.00
20050831,1345.67,1369,1346,1356.88,1356.88,49755,20,205475403.00
20050903,1364.46,1368,1290,1346.00,1346.00,104574,26,427051034.00
20050904,1347.65,1352,1302,1339.41,1339.41,410218,36,1647892455.00
20050905,1336.11,1336,1319,1327.87,1327.87,35550,19,142223119.00
20050906,1318.64,1334,1319,1318.64,1318.64,149795,32,599223950.00
20050907,1318.64,1337,1319,1331.50,1331.50,79921,27,322878553.00
20050910,1331.50,1331,1331,1331.50,1331.50,80015,14,323180585.00
20050911,1318.64,1331,1318,1328.20,1328.20,511713,27,2050164898.00
20050912,1345.01,1345,1328,1328.20,1328.20,62729,19,252786881.00
20050913,1334.79,1354,1335,1349.63,1349.63,102614,40,420145031.00
20050914,1371.39,1415,1352,1410.94,1410.94,173220,53,741537000.00
20050917,1480.17,1481,1411,1474.24,1474.24,240387,51,1075094104.00
20050918,1401.06,1533,1401,1526.99,1526.99,122210,27,565531020.00
