date,open,high,low,last,close,vol,count,value
20200909,1648.74,1649,1649,1648.74,1648.74,4238037410,5180466,7416565467500.00
20200912,1724.11,1724,1724,1724.11,1724.11,40623207,9911,74340468810.00
20200913,1808.90,1809,1809,1808.90,1808.90,71923540,8946,138093196800.00
20200914,1893.69,1894,1894,1893.69,1893.69,56208746,8575,112979579460.00
20200915,1987.91,1988,1988,1987.91,1987.91,33162228,12402,69972301080.00
20200916,2082.12,2082,2082,2082.12,2082.12,28895608,22605,63859293680.00
20200919,2185.75,2186,2186,2185.75,2185.75,23359980,30540,54195153600.00
20200920,2289.39,2289,2289,2289.39,2289.39,48303542,63976,117377607060.00
20200921,2402.45,2402,2402,2402.45,2402.45,22866998,18439,58310844900.00
20200922,2515.50,2516,2516,2515.50,2477.82,14246232,13810,38037439440.00
20200926,2600.29,2600,2525,2600.29,2600.29,579245045,150253,1598547513150.00
20200927,2543.77,2544,2478,2477.82,2506.08,163480803,27986,434995834220.00
20200928,2383.60,2384,2384,2383.60,2421.29,13520766,2028,34207537980.00
20200929,2308.23,2308,2308,2308.23,2345.92,12959882,2218,31751710900.00
20200930,2232.86,2233,2233,2232.86,2232.86,22588101,3171,53533799370.00
20201003,2129.23,2336,2129,2336.50,2261.12,585543660,240519,1402410197590.00
20201004,2345.92,2374,2148,2374.18,2327.07,729360150,174743,1799768897700.00
20201005,2298.81,2440,2223,2440.13,2383.60,423012590,134778,1071422734260.00
20201006,2496.66,2497,2497,2496.66,2496.66,34828723,26962,92296115950.00
20201007,2619.14,2619,2497,2619.14,2619.14,299943176,48128,832944223100.00
20201010,2619.14,2742,2497,2741.61,2694.51,276406447,61737,790251170940.00
20201011,2826.41,2826,2713,2826.41,2816.98,155867869,41641,466536090100.00
20201012,2798.14,2949,2779,2948.88,2930.04,432135834,104749,1345126324670.00
20201013,2967.73,3071,2949,3071.36,3052.52,214024109,69768,694187085870.00
20201014,3203.26,3203,3071,3203.26,3193.84,315779289,84938,1070382814130.00
20201018,3043.10,3043,3043,3043.10,3043.10,37765528,4798,121982655440.00
20201019,2892.36,2892,2892,2892.36,2967.73,7303501,671,22421748070.00
20201024,2826.41,2826,2826,2826.41,2882.93,9787679,639,29363037000.00
20201026,2741.61,2742,2742,2741.61,2816.98,7522822,556,21891412020.00
20201027,2685.09,2685,2685,2685.09,2713.35,12696610,608,36185338500.00
20201028,2581.45,2581,2581,2581.45,2581.45,19715030,1334,54019182200.00
20201031,2458.97,2704,2459,2628.56,2553.19,545389615,150169,1476728108420.00
20201101,2458.97,2459,2431,2430.71,2440.13,40114995,3681,103893131810.00
20201102,2327.07,2327,2327,2327.07,2327.07,24763539,1238,61165941330.00
20201104,2214.02,2355,2214,2336.50,2242.28,409261829,69913,973343959590.00
20201107,2223.44,2233,2139,2138.65,2157.49,126015363,13246,288932385360.00
20201108,2053.86,2054,2054,2053.86,2129.23,5231224,565,11404068320.00
20201109,2025.59,2082,2026,2025.59,2025.59,85706926,14086,184509583090.00
20201110,2025.59,2120,1941,2100.96,2035.01,529240903,75387,1143697717920.00
20201111,2082.12,2129,2082,2129.23,2129.23,235064522,34718,530574216940.00
20201114,2232.86,2233,2233,2232.86,2232.86,40564476,20507,96137808120.00
20201115,2336.50,2336,2129,2157.49,2242.28,669668591,57870,1592268882120.00
20201116,2166.91,2308,2139,2204.60,2223.44,427253866,48361,1008348964070.00
20201117,2214.02,2327,2176,2327.07,2308.23,448859655,47072,1099986088450.00
20201118,2374.18,2421,2327,2421.29,2393.02,401770375,50789,1020497610110.00
20201121,2421.29,2421,2280,2279.97,2298.81,351382228,38191,858993105890.00
20201122,2185.75,2233,2186,2185.75,2195.18,263583591,25553,613497701670.00
20201123,2195.18,2271,2120,2185.75,2176.33,319604981,47691,738319024360.00
20201124,2214.02,2223,2073,2091.54,2119.80,356900950,43513,803765922630.00
20201125,2082.12,2186,2044,2157.49,2129.23,313658038,41960,709429414940.00
20201128,2110.38,2233,2082,2232.86,2185.75,329254398,46345,763959156010.00
20201129,2242.28,2289,2195,2289.39,2270.55,312925254,38734,754424429740.00
20201130,2298.81,2346,2205,2214.02,2261.12,359162580,44702,861685877840.00
20201201,2176.33,2242,2148,2185.75,2176.33,266763472,45311,616540070020.00
20201202,2166.91,2242,2120,2148.07,2166.91,194304426,40563,447503346540.00
20201205,2166.91,2271,2120,2270.55,2242.28,284873089,39558,679379893450.00
20201206,2298.81,2308,2186,2204.60,2242.28,266615943,40044,633898709210.00
20201207,2204.60,2252,2139,2138.65,2166.91,319420508,65491,735651430810.00
20201208,2166.91,2271,2167,2270.55,2251.70,363457691,60110,868769084460.00
20201209,2355.34,2355,2355,2355.34,2355.34,176890588,38956,442226470000.00
20201212,2449.55,2468,2327,2393.02,2430.71,852086544,55895,2196435491360.00
20201213,2374.18,2468,2318,2336.50,2383.60,266154287,32540,672596401940.00
20201215,2267.33,2267,2267,2267.33,2267.33,28077371,2464,65701048140.00
20201216,2160.75,2219,2161,2199.50,2170.43,248018987,31566,556565188130.00
20201219,2218.88,2277,2161,2277.02,2247.95,165727590,27991,385162191720.00
20201220,2277.02,2287,2141,2189.81,2209.19,160139526,21751,364603497500.00
20201221,2199.50,2267,2151,2189.81,2199.50,126094201,21478,285720922360.00
20201222,2209.19,2258,2141,2189.81,2170.43,293648422,28773,659207057020.00
20201223,2209.19,2219,2151,2160.75,2170.43,141035964,21699,315929055420.00
20201226,2180.12,2180,2093,2092.92,2121.99,108116086,20464,237256242180.00
20201227,2180.12,2219,2132,2160.75,2180.12,162886851,26950,366750791930.00
20201228,2170.43,2180,2083,2121.99,2121.99,183723115,32620,402749205780.00
20201229,2121.99,2122,2025,2044.47,2044.47,156999704,25187,331238435040.00
20201230,2044.47,2064,1948,1966.96,1996.02,145663938,32558,300636771770.00
20210102,1928.20,1938,1899,1899.13,1899.13,126262456,21109,248003254680.00
20210103,1850.68,1977,1822,1899.13,1889.44,180505283,30621,351854823340.00
20210104,1918.51,1977,1851,1976.65,1957.27,206590083,29685,416626722940.00
20210105,1986.34,2035,1909,1928.20,1957.27,182828782,27416,368481449860.00
20210106,1908.82,1919,1860,1870.06,1870.06,183046002,23990,353027185660.00
20210109,1870.06,1957,1802,1957.27,1918.51,257949787,30938,510627733690.00
20210110,1996.02,2006,1948,2005.71,1996.02,214801080,25138,443205048450.00
20210111,2034.78,2074,1919,1947.58,1976.65,180902239,22680,369792550820.00
20210112,1937.89,1996,1880,1879.75,1899.13,122982813,15324,241424771880.00
