date,open,high,low,last,close,vol,count,value
20110511,401.33,401,401,401.33,401.33,24703996,670,203807967000.00
20110514,421.37,421,421,421.37,421.37,300353,67,2601657686.00
20110515,442.44,442,442,442.44,442.44,4042181,222,36763636195.00
20110516,464.52,465,438,442.68,458.54,18127487,12329,170869280064.00
20110517,439.76,444,436,435.63,436.16,5708477,2422,51184751302.00
20110518,428.09,448,424,437.86,440.00,4267091,2328,38595747893.00
20110521,436.60,445,433,438.54,438.40,1954985,1070,17618325157.00
20110522,429.30,431,417,416.51,419.04,636935,369,5486819805.00
20110523,412.03,415,404,408.38,406.34,1052783,594,8794275801.00
20110524,401.38,413,396,403.28,407.95,893171,439,7489890138.00
20110525,398.51,408,388,408.14,397.73,1327453,475,10853669500.00
20110528,403.81,408,401,403.76,402.50,671895,257,5558939490.00
20110529,403.71,404,382,382.41,393.84,989413,307,8009982041.00
20110530,377.06,404,377,403.76,400.75,912542,205,7517102073.00
20110531,402.79,408,398,403.71,403.86,678304,169,5631296385.00
20110601,397.49,398,387,389.17,390.48,409255,99,3284997209.00
20110606,386.98,392,382,382.11,386.49,306763,154,2437231845.00
20110607,381.92,382,367,372.19,372.73,798819,217,6120920799.00
20110608,359.64,379,360,376.52,371.12,298618,124,2278045856.00
20110611,367.28,374,353,352.59,353.85,451996,166,3288005316.00
20110612,346.41,355,346,351.71,351.56,452174,197,3267889519.00
20110613,350.30,362,350,355.12,356.92,226680,124,1663043408.00
20110614,352.25,369,352,359.98,356.67,169437,131,1242290840.00
20110615,359.98,360,341,347.82,347.72,137714,89,984344180.00
20110618,343.20,350,343,345.39,344.61,141470,72,1002187917.00
20110619,345.39,348,343,345.44,345.48,224236,107,1592627060.00
20110620,345.39,346,344,345.92,344.85,141870,90,1005746447.00
20110621,345.39,346,345,345.39,345.39,138960,97,986677581.00
20110622,344.90,350,345,349.28,347.92,141417,100,1011418733.00
20110625,343.25,362,343,350.25,350.84,79739,74,575099689.00
20110626,345.39,350,335,341.01,346.21,484755,132,3449759150.00
20110627,333.81,350,329,328.94,330.21,883299,288,5995787231.00
20110628,330.79,341,331,330.84,333.13,142441,51,975428226.00
20110629,335.17,347,335,343.05,343.73,256047,69,1809256564.00
