date,open,high,low,last,close,vol,count,value
20200812,2084.10,2084,2084,2084.10,2084.10,3422230444,5276588,7528906976800.00
20200815,2188.31,2188,2188,2188.31,2188.31,62444178,1975,144246051180.00
20200816,2292.51,2293,2293,2292.51,2197.78,1435364,2414,3473580880.00
20200817,2301.98,2302,2302,2301.98,2226.20,5261758,8582,12786071940.00
20200818,2330.40,2330,2330,2330.40,2330.40,22469991,8069,55276177860.00
20200819,2444.08,2444,2444,2444.08,2434.61,20629181,6918,53223286980.00
20200822,2548.29,2548,2548,2548.29,2538.81,17754731,9940,47760226390.00
20200823,2661.97,2662,2662,2661.97,2661.97,23668535,12424,66508583350.00
20200824,2794.59,2795,2795,2794.59,2794.59,19716959,15328,58165029050.00
20200825,2927.21,2927,2927,2927.21,2927.21,29635290,11967,91573046100.00
20200826,3069.31,3069,3069,3069.31,3069.31,27310617,9015,88486399080.00
20200831,3220.88,3221,3221,3220.88,3126.15,5419380,8340,18425892000.00
20200902,3277.72,3278,3278,3277.72,3277.72,20263111,25047,70110364060.00
20200905,3438.77,3439,3439,3438.77,3438.77,26236787,26395,95239536810.00
20200906,3609.28,3609,3609,3609.28,3609.28,23920027,24111,91135302870.00
20200907,3789.27,3789,3609,3789.27,3779.80,1177355388,288406,4698850520530.00
20200908,3599.81,3600,3600,3599.81,3599.81,62812747,16084,238688438600.00
20200909,3419.82,3780,3420,3779.80,3590.34,605763904,220633,2298814260380.00
20200913,3789.27,3979,3600,3978.74,3827.17,575167542,132692,2324462721450.00
20200914,4016.63,4017,4017,4016.63,4016.63,29870739,35006,126651933360.00
20200915,4215.57,4216,4216,4215.57,4215.57,36768506,30194,163619851700.00
20200916,4423.98,4424,4424,4423.98,4423.98,80108612,58766,374107218040.00
20200919,4329.25,4642,4206,4452.40,4433.45,622821469,276164,2916859626120.00
20200920,4414.50,4547,4216,4215.57,4272.41,172683263,95029,778648974880.00
20200921,4064.00,4064,4064,4064.00,4082.94,9736259,2103,41768551110.00
20200922,3884.01,4083,3884,3884.01,3912.43,348762092,79885,1439839358130.00
20200923,3950.32,4073,3723,3722.96,3836.64,386117825,98574,1563402008410.00
20200926,3760.85,3875,3647,3647.18,3713.49,68445193,23113,268211235790.00
20200927,3533.50,3533,3533,3533.50,3666.12,3203749,853,11949983770.00
20200928,3486.13,3486,3486,3486.13,3628.23,2816043,484,10363038240.00
20200929,3448.24,3448,3448,3448.24,3571.39,4144486,785,15085929040.00
20200930,3400.87,3401,3401,3400.87,3495.61,5489642,1058,19707814780.00
20201003,3325.09,3666,3325,3666.12,3524.03,305187593,122479,1135663968480.00
20201004,3486.13,3590,3354,3353.51,3381.93,165538294,45819,591484890960.00
20201005,3220.88,3543,3221,3542.97,3381.93,306047276,69392,1091379343930.00
20201006,3542.97,3543,3429,3542.97,3542.97,77866397,28911,291010693880.00
20201007,3704.02,3713,3458,3694.54,3637.70,285057860,64442,1094368775070.00
20201010,3599.81,3742,3458,3599.81,3561.92,202055324,60493,760363451030.00
20201011,3599.81,3732,3505,3533.50,3656.65,213724071,57776,824344782570.00
20201012,3476.66,3562,3477,3495.61,3486.13,140610635,39110,517852607390.00
