date,open,high,low,last,close,vol,count,value
20210512,10000.00,10000,10000,10000.00,10000.00,7368917,220,73689170000.00
20210515,10000.00,10000,10000,10000.00,10000.00,3771456,180,37714560000.00
20210516,10000.00,10000,10000,10000.00,10000.00,355485,195,3554850000.00
20210626,10011.00,10150,10011,10150.00,10139.00,14617,20,148197830.00
20210627,10150.00,10160,10050,10050.00,10052.00,142072,63,1428065777.00
20210628,10100.00,10100,10001,10005.00,10005.00,26463,22,264750371.00
20210629,10000.00,10039,10000,10024.00,10006.00,33596,25,336150040.00
20210630,10000.00,10000,9980,9980.00,9999.00,54557,14,545518780.00
20210703,9946.00,9950,9851,9851.00,9913.00,163140,42,1617202678.00
20210704,9720.00,9845,9720,9750.00,9731.00,2926,6,28473045.00
20210705,9900.00,10000,9750,10000.00,9998.00,342386,17,3423137892.00
20210706,10100.00,10100,9980,10100.00,10058.00,22223,18,223512060.00
20210707,10200.00,10200,10030,10058.00,10078.00,17187,11,173212670.00
20210710,10000.00,10200,10000,10000.00,10024.00,7546,14,75639513.00
20210711,10200.00,10200,10000,10170.00,10027.00,118832,36,1191586232.00
20210712,10058.00,10250,10010,10010.00,10027.00,154739,20,1551593372.00
20210713,10090.00,10185,10000,10002.00,10101.00,65625,10,662856044.00
20210714,10070.00,10199,10070,10071.00,10102.00,6718,12,67865018.00
20210717,10102.00,10199,10102,10102.00,10117.00,3290,4,33283692.00
20210718,10080.00,10080,10080,10080.00,10080.00,8195,7,82605600.00
20210719,10050.00,10060,10050,10060.00,10050.00,2986,8,30010600.00
20210726,10100.00,10150,10100,10150.00,10114.00,10154,13,102700013.00
20210727,10150.00,10151,10150,10150.00,10150.00,2132,6,21640300.00
20210728,10300.00,10300,10199,10200.00,10229.00,3410,10,34881958.00
20210731,10290.00,10440.00,10230.00,10440.00,10315.00,11880,17,122540998.00
