date,open,high,low,last,close,vol,count,value
20150809,1759.77,1763,1732,1745.61,1758.59,1414721,114,10543677494.00
20150810,1760.24,1764,1711,1760.24,1750.80,613872,86,4531556292.00
20150812,1757.41,1757,1699,1699.36,1747.50,189644,46,1388057788.00
20150815,1746.08,1762,1722,1741.36,1749.15,375738,80,2791638219.00
20150816,1743.48,1751,1723,1746.08,1746.79,643821,103,4759285874.00
20150817,1751.98,1765,1724,1757.64,1747.73,368919,84,2736966301.00
20150818,1725.32,1765,1725,1741.36,1747.02,258322,50,1909589489.00
20150819,1745.14,1763,1724,1760.00,1748.20,395561,52,2935621432.00
20150822,1746.08,1746,1729,1728.62,1748.20,22158,18,163638200.00
20150823,1755.52,1756,1699,1698.89,1747.73,23497,26,171323010.00
20150824,1691.81,1718,1692,1694.17,1745.37,64481,30,463543267.00
20150825,1687.33,1699,1663,1665.85,1741.60,77252,70,549864095.00
20150826,1668.45,1817,1655,1816.87,1751.74,1439575,190,10687613376.00
20150829,1814.51,1815,1753,1757.88,1751.98,35205,21,262833017.00
20150830,1765.66,1773,1700,1741.13,1755.28,423342,52,3162210948.00
20150831,1769.68,1770,1675,1722.01,1726.50,680631,145,4899084995.00
20150901,1734.28,1746,1713,1726.97,1731.69,437120,46,3228129550.00
20150902,1746.79,1747,1699,1745.84,1731.92,40700,19,299673500.00
20150905,1745.61,1746,1697,1703.61,1729.33,127736,38,922220056.00
20150906,1699.60,1722,1697,1710.69,1727.91,64800,34,466517063.00
20150907,1692.05,1746,1685,1716.59,1730.74,279697,55,2064929957.00
20150908,1739.00,1741,1711,1722.48,1731.45,221542,56,1629440308.00
20150909,1739.00,1739,1705,1724.84,1730.74,66070,49,481078568.00
20150912,1722.48,1746,1697,1746.08,1734.99,503500,67,3717166908.00
20150913,1695.35,1822,1694,1736.64,1775.34,16112861,147,121229939299.00
20150914,1722.48,1722,1699,1722.48,1774.40,22140,21,160805334.00
20150915,1768.97,1769,1686,1733.81,1766.84,128313,55,921000439.00
20150916,1731.21,1731,1679,1678.60,1754.57,199436,52,1422952884.00
20150919,1677.65,1793,1678,1757.88,1752.69,194500,49,1435580071.00
20150920,1687.09,1687,1680,1681.43,1750.80,33818,18,241066702.00
20150921,1687.09,1687,1666,1676.47,1748.44,39509,34,280184837.00
20150922,1693.93,1696,1670,1695.82,1746.79,41878,25,300388723.00
20150923,1692.52,1693,1666,1675.29,1740.65,116184,81,825684886.00
20150926,1675.29,1708,1654,1657.36,1728.62,194967,55,1369445859.00
20150927,1657.83,1687,1658,1687.09,1728.38,8123,11,57715647.00
20150928,1698.65,1699,1661,1661.14,1727.20,28893,22,204417616.00
20150929,1659.25,1668,1652,1651.70,1722.96,81724,44,573965748.00
20150930,1656.65,1673,1642,1642.73,1720.12,54014,38,378065660.00
