date,open,high,low,last,close,vol,count,value
20080518,641.06,641,641,641.06,641.06,118668000,4493,296670000000.00
20080519,660.29,660,660,660.29,660.29,3029575,444,7801155625.00
20080520,680.04,680,680,680.04,680.04,6306240,758,16724148480.00
20080521,700.29,700,684,683.63,683.63,358285,76,978475685.00
20080524,703.88,704,687,686.96,686.96,335510,76,920974290.00
20080525,707.47,707,691,691.32,691.32,428253,107,1181549397.00
20080526,711.83,712,694,693.63,693.63,232680,51,645918970.00
20080527,714.40,714,697,696.70,696.70,296200,53,825212510.00
20080528,717.47,717,700,700.29,700.29,352893,91,987393944.00
20080531,721.06,721,703,702.86,702.86,239059,62,672233198.00
20080601,723.88,724,724,723.88,723.88,2221234,337,6270543582.00
20080602,745.42,745,745,745.42,745.42,2489701,303,7237560807.00
20080608,767.73,768,754,754.14,754.14,783049,101,2344448176.00
20080609,776.71,777,759,759.01,759.01,441460,70,1337181650.00
20080610,781.58,782,770,770.04,770.04,967536,120,2949049278.00
20080611,793.12,793,778,777.73,777.73,659750,91,2040606150.00
20080614,800.81,801,783,782.61,782.61,421405,85,1316047105.00
20080615,805.94,806,787,787.22,787.22,386610,80,1215114500.00
20080616,810.81,811,791,791.07,791.07,335060,75,1059458950.00
20080617,814.66,815,797,796.71,796.71,484064,102,1537870628.00
20080618,820.56,821,812,812.35,812.35,1310848,182,4194713280.00
20080621,836.71,837,819,819.27,819.27,576439,108,1880919777.00
20080622,843.63,844,828,828.25,828.25,734333,128,2415954970.00
20080623,852.87,853,830,830.30,830.30,177200,39,589366320.00
20080624,855.17,855,833,833.38,833.38,250597,41,835740145.00
20080705,1190.83,1428,1026,1307.25,1307.25,27072882,4575,138017664658.00
20080706,1346.22,1346,1311,1310.58,1310.58,176565,63,926964860.00
20080707,1349.81,1350,1271,1314.17,1314.17,13758187,2519,70531675100.00
20080708,1353.40,1353,1321,1351.61,1351.61,13663515,2777,72014408536.00
20080709,1353.92,1377,1311,1315.71,1315.71,11165645,1871,57293514570.00
20080712,1310.33,1315,1276,1278.27,1278.27,5654954,1118,28195553776.00
20080713,1315.20,1316,1300,1300.07,1300.07,1171493,301,6011736070.00
20080714,1339.04,1339,1319,1318.79,1318.79,954980,240,4986904770.00
20080715,1358.28,1358,1327,1326.74,1326.74,403259,143,2136061693.00
20080719,1366.48,1366,1330,1329.56,1329.56,143534,62,764891246.00
20080720,1369.30,1369,1343,1343.40,1343.40,698927,277,3732269170.00
20080721,1383.66,1384,1369,1383.41,1383.41,11619036,2288,62688246078.00
20080722,1424.69,1425,1385,1384.94,1384.94,70890,38,393863290.00
20080723,1426.49,1426,1386,1385.97,1385.97,55010,24,306019050.00
20080726,1427.51,1428,1413,1413.15,1413.15,1302843,379,7252926421.00
20080727,1455.46,1455,1415,1415.46,1415.46,113108,53,641999448.00
20080728,1457.77,1458,1418,1417.77,1417.77,114429,57,650527305.00
20080729,1460.08,1460,1419,1419.31,1419.31,72204,36,411127986.00
20080802,1461.87,1462,1422,1421.61,1421.61,109906,55,626572536.00
20080803,1464.18,1464,1438,1437.77,1437.77,757155,245,4323354020.00
20080804,1437.77,1481,1438,1472.13,1472.13,6971431,1665,40029686595.00
20080805,1516.23,1516,1457,1508.03,1508.03,13011759,2841,76501072356.00
20080806,1477.00,1493,1463,1463.67,1463.67,10647701,2088,60781279415.00
20080809,1436.74,1495,1420,1434.95,1434.95,5168193,998,28865970040.00
20080825,1653.93,1692,1572,1625.21,1625.21,7284331,1764,46174440244.00
20080826,1615.47,1680,1612,1669.06,1669.06,2784951,704,18129755727.00
20080827,1719.06,1719,1683,1682.91,1682.91,558558,178,3744571422.00
20080830,1715.47,1733,1672,1715.73,1715.73,4214985,1265,28203080109.00
20080831,1664.45,1715,1664,1714.96,1714.96,31261,25,202917121.00
20080901,1663.68,1713,1664,1664.19,1664.19,8945953,1618,58066985019.00
20080902,1664.19,1692,449,1672.65,1672.65,125252349,714,235962013035.00
20080903,1722.14,1723,1678,1718.55,1718.55,3883037,907,26027100381.00
20080906,1722.65,1764,1667,1694.70,1694.70,1788527,494,11800842787.00
20080907,1646.24,1691,1644,1691.37,1691.37,132084,41,846915326.00
20080908,1640.86,1641,1641,1640.86,1640.86,2488742,367,15925460058.00
20080909,1591.88,1641,1592,1597.26,1597.26,1787944,409,11102798482.00
20080910,1549.57,1597,1550,1597.26,1597.26,2524,4,15254392.00
20080921,1533.41,1549,1304,1362.12,1362.12,7664921,1707,40719364884.00
20080923,1321.35,1397,1321,1337.25,1337.25,4971750,847,25932437564.00
20080924,1377.25,1377,1321,1369.05,1369.05,1608133,368,8634969866.00
20080927,1382.12,1385,1329,1352.89,1352.89,1572084,299,8190573709.00
20080928,1345.71,1384,1315,1346.22,1346.22,921605,194,4809910263.00
20080929,1337.25,1345,1306,1328.02,1328.02,973763,210,4971210902.00
20080930,1302.38,1316,1288,1315.97,1315.97,605420,147,3042395328.00
20081004,1276.73,1315,1277,1314.68,1314.68,61409,16,305756891.00
20081005,1275.45,1310,1275,1309.56,1309.56,266010,59,1323135070.00
20081006,1270.32,1308,1270,1307.50,1307.50,100220,25,496491330.00
20081007,1268.53,1307,1269,1307.25,1307.25,17630,8,87217120.00
20081008,1268.27,1307,1268,1307.25,1307.25,3630,8,17955500.00
20081011,1268.27,1268,1268,1268.27,1268.27,2011510,399,9948928460.00
20081012,1230.32,1230,1230,1230.32,1230.32,2791033,585,13391376334.00
20081013,1193.65,1194,1194,1193.65,1193.65,2307600,479,10741878000.00
20081020,820.30,820,667,714.91,714.91,3626461,710,10111483359.00
20081021,736.19,736,716,715.94,715.94,96683,27,277576103.00
20081022,737.22,737,716,715.94,715.94,56,2,160170.00
20081026,737.22,737,718,717.99,717.99,199263,54,572880375.00
20081027,718.24,740,718,718.24,718.24,1275027018,16,3571352919165.00
20081028,739.78,740,721,720.81,720.81,245665,48,708742785.00
20081029,742.35,742,721,720.81,720.81,5353,3,15496095.00
20081101,742.35,742,721,720.81,720.81,5011,4,14506005.00
20081102,742.35,742,739,739.27,739.27,1720777,307,4981649295.00
20081103,761.32,761,740,740.04,740.04,74260,14,220477110.00
20081104,762.09,762,740,740.04,740.04,1486,3,4415532.00
20081105,762.09,762,740,740.30,740.30,15010,8,44608870.00
20081108,762.35,762,741,740.55,740.55,23170,9,68883560.00
20081109,762.60,763,731,758.76,758.76,4941918,823,14625263466.00
20081110,758.50,759,736,753.37,753.37,500372,114,1438204497.00
20081111,730.81,750,731,750.04,750.04,303599,54,865257900.00
20081112,727.73,742,728,741.83,741.83,726248,142,2061092374.00
20081115,725.68,741,720,730.81,730.81,1608576,245,4519302699.00
20081116,730.81,744,710,730.29,730.29,1084497,64,3051814776.00
20081117,718.24,733,708,725.17,725.17,1895082,119,5314623976.00
20081118,704.14,721,704,721.06,721.06,627394,90,1734723693.00
20081119,717.99,719,700,719.01,719.01,212172,66,580164269.00
20081122,707.73,715,697,714.91,714.91,1596162,99,4345180198.00
20081123,693.88,713,694,713.11,713.11,163686,39,442811390.00
20081124,691.83,713,692,712.86,712.86,32441,11,87526638.00
20081125,691.57,713,692,712.60,712.60,25930,10,69934030.00
20081126,691.32,712,691,712.35,712.35,24810,14,66888580.00
20081129,691.06,712,691,712.09,712.09,30010,11,80877770.00
20081130,690.81,712,321,711.83,711.83,1200024333,12,1500065553922.00
20081201,690.55,711,691,711.32,711.32,47010,12,126598740.00
20081202,690.04,711,690,711.06,711.06,24010,8,64611730.00
20081203,689.78,711,690,711.06,711.06,3770,11,10142130.00
20081206,689.78,690,690,689.78,704.40,634817,136,1707657730.00
20081207,683.37,683,683,683.37,702.60,161110,19,429358150.00
20081208,681.57,682,682,681.57,702.09,60000,8,159480000.00
20081210,681.06,681,681,681.06,702.09,3000,2,7968000.00
20081213,681.06,681,681,681.06,701.58,45456,11,120731136.00
20081214,680.55,681,681,680.55,701.32,26119,5,69319826.00
20081215,680.29,680,680,680.29,700.81,40000,9,106120000.00
20081216,680.04,680,680,680.04,698.50,211120,30,559890240.00
20081220,677.73,678,678,677.73,696.19,210000,44,555030000.00
20081221,675.42,675,675,675.42,683.37,1233602,169,3249307668.00
20081222,665.68,683,663,669.27,676.45,862750,210,2244500363.00
20081223,666.96,692,667,677.22,677.22,149171,40,399084140.00
20081224,689.27,692,667,679.27,677.47,52380,21,140492995.00
20081227,672.09,672,657,657.21,676.45,128278,26,330042799.00
20081228,656.70,659,656,656.19,675.93,59190,17,151683730.00
20081229,656.44,672,656,655.68,675.16,82334,32,210741638.00
20081230,655.16,655,655,655.16,674.14,106811,33,272904105.00
20081231,666.45,666,654,654.14,673.88,20171,3,51464429.00
20090103,653.88,654,654,653.88,673.11,75103,18,191512650.00
20090104,653.11,666,653,653.11,672.86,15680,6,39951960.00
20090105,653.11,653,653,652.85,672.60,24337,9,61973002.00
20090111,653.88,654,653,652.85,672.34,21924,11,55811465.00
20090112,652.34,652,652,652.34,671.32,101685,28,258686640.00
20090114,651.32,651,651,651.32,671.32,8000,3,20320000.00
20090117,651.32,651,651,651.32,671.32,1011,1,2567940.00
20090119,651.32,691,651,691.32,670.04,300938,83,778287822.00
20090120,690.04,690,690,690.04,670.04,2500,1,6727500.00
20090121,690.04,690,690,690.04,670.29,28240,7,75993840.00
20090124,690.29,690,690,690.04,674.65,448628,111,1207706055.00
20090125,685.93,695,656,684.65,674.65,139477,32,366503833.00
20090126,657.21,658,656,656.70,673.88,98102,26,251458658.00
20090127,664.65,684,665,684.39,673.88,15416,4,40088594.00
20090128,670.55,692,670,674.91,673.88,31789,14,83940022.00
20090131,676.70,694,677,693.63,674.65,95054,28,255496996.00
20090201,693.63,695,694,694.65,675.16,42431,16,114931359.00
20090202,685.93,690,682,682.09,675.16,20373,15,54635094.00
20090203,682.09,682,674,682.09,675.16,12752,11,33855880.00
20090204,692.34,695,692,695.16,677.22,213541,54,578867901.00
20090207,697.47,697,697,697.47,677.73,41080,9,111737600.00
20090208,697.99,698,698,697.99,677.73,1500,1,4083000.00
20090211,697.99,698,698,697.99,697.99,50,1,136100.00
20090214,718.76,719,719,718.76,697.99,7000,2,19621000.00
20090215,718.76,719,719,718.76,718.76,66500,18,186399500.00
20090217,740.30,740,697,726.70,720.04,321534,86,911267415.00
20090218,718.50,718,698,699.01,719.01,103478,39,283242100.00
20090221,698.75,741,699,728.24,719.52,287114,68,808402189.00
20090222,723.63,741,724,738.50,719.78,46089,21,131935976.00
20090223,723.11,723,718,717.99,719.78,32078,11,90039370.00
20090225,716.96,717,700,700.55,719.78,4016,5,11141106.00
20090228,698.24,705,698,698.24,719.52,25032,11,68267375.00
20090302,697.99,698,698,697.99,719.52,1825,2,4967650.00
20090303,697.99,698,698,697.99,719.52,358,1,974476.00
20090307,697.99,698,698,697.99,719.52,1354,2,3685588.00
20090308,697.99,698,698,697.99,719.52,1000,1,2722000.00
20090309,697.99,698,698,697.99,719.52,7043,4,19171046.00
20090311,697.99,698,698,697.99,717.47,201230,26,547748060.00
20090314,696.19,708,696,696.19,715.68,175132,52,476538997.00
20090316,695.93,710,696,697.99,715.42,30741,9,84062075.00
20090317,694.14,694,694,694.14,714.40,103529,28,280255003.00
20090318,693.11,710,693,693.11,714.14,31729,10,86263465.00
20090325,692.86,693,693,692.86,714.14,11500,4,31073000.00
20090328,707.47,713,695,712.86,714.14,36642,12,101225624.00
20090329,730.81,735,731,735.42,714.40,15791,8,45279588.00
20090330,735.68,736,736,735.68,714.40,6950,3,19939550.00
20090331,735.68,736,718,735.68,715.17,92410,30,263957999.00
20090404,735.17,735,735,735.42,715.17,5000,2,14338700.00
20090405,730.81,736,731,736.45,715.42,24237,10,69385544.00
20090406,736.71,737,737,736.71,717.47,197903,46,568575319.00
20090407,733.37,733,718,717.99,717.47,10113,7,28650203.00
20090408,717.99,718,697,697.47,716.96,63716,13,174086920.00
20090411,700.04,728,696,717.99,716.70,27484,7,75066642.00
20090412,696.45,716,695,695.42,716.45,33246,17,90401552.00
20090413,710.29,710,695,695.16,716.19,35576,15,96613001.00
20090414,694.91,715,695,714.65,715.42,80500,16,218520669.00
20090415,714.14,714,694,694.14,715.17,22008,13,59694506.00
20090418,717.99,736,708,717.47,715.17,98584,30,274194350.00
20090419,717.99,736,718,736.45,719.27,402064,101,1153141808.00
20090420,740.81,741,741,740.81,719.52,20932,7,60472548.00
20090422,741.06,741,741,741.06,719.78,29810,7,86150900.00
20090425,741.32,741,741,741.32,720.29,41600,7,120265600.00
20090426,741.83,742,742,741.83,721.06,59900,10,173290700.00
20090427,742.60,743,743,742.60,721.06,330,1,955680.00
20090428,742.60,743,743,742.60,721.32,24414,7,70702944.00
20090429,742.86,743,743,742.86,722.60,129142,27,374124374.00
20090502,744.14,744,744,744.14,723.11,50110,11,145419220.00
20090504,744.65,745,745,744.65,744.65,216600,48,629006400.00
20090517,935.07,935,810,918.07,895.63,2085448,463,5493386552.00
20090518,922.49,922,918,921.47,915.01,1445954,319,3922650075.00
20090519,894.27,896,888,888.48,891.89,2055924,167,5393072238.00
20090520,912.29,918,876,896.99,896.31,612931,125,1634423175.00
20090607,918.07,1001,918,986.07,966.35,2802889,585,7964867606.00
20090608,989.47,993,937,965.67,970.77,1739417,128,4970339616.00
20090609,978.93,989,963,986.07,972.47,832551,150,2386826198.00
20090610,992.53,1001,985,1001.37,983.35,1008390,196,2948937090.00
20090613,978.59,983,958,958.87,981.65,240335,64,684385955.00
20090614,952.41,955,952,952.41,963.97,1206479,201,3379456863.00
20090615,935.07,935,935,935.07,944.59,1331008,216,3660272000.00
20090617,944.59,966,945,952.41,944.93,43073,16,120890954.00
20090620,919.43,961,919,952.07,944.93,33142,15,92915266.00
20090621,945.95,948,917,948.33,944.59,113054,28,312015349.00
20090622,958.87,973,952,972.81,954.79,758177,114,2167130657.00
20090623,983.35,983,983,983.35,955.81,74342,20,214997064.00
20090624,984.37,984,984,984.37,955.81,7174,5,20768730.00
20090627,984.37,984,984,984.37,961.25,380824,79,1102485480.00
