date,open,high,low,last,close,vol,count,value
20180818,503.93,504,504,503.93,503.93,4836358,181,2393997210.00
20180820,458.12,461,458,461.18,458.12,39462466,2195,17766485730.00
20180825,489.68,549,490,548.73,523.28,13026046,564,6693746824.00
20180827,580.29,580,544,543.64,573.16,36977388,1771,20830767480.00
20180829,565.02,565,549,548.73,560.95,12638055,579,6958594285.00
20180901,523.28,529,523,529.39,524.30,34547665,1847,17785272178.00
20180903,542.62,543,541,540.58,542.62,34732204,1731,18507251214.00
20180905,558.91,578,559,578.25,561.96,44927176,2230,24808655767.00
20180908,585.38,631,585,631.19,605.74,37119495,1475,22078982310.00
20180910,669.88,684,670,684.13,673.95,55466229,2583,36702083936.00
20180912,763.54,886,764,885.70,816.48,31463357,1293,25230509550.00
20180915,1058.77,1059,947,946.79,1026.19,71645078,3502,72228404000.00
20180917,936.61,956,937,955.95,939.66,111806308,5170,103230426217.00
20180922,1058.77,1059,1059,1058.77,1058.77,99496856,4725,103476730240.00
20180924,987.51,997,988,996.67,988.53,95206348,5154,92421025153.00
20180926,997.69,998,916,916.24,974.27,36627032,1915,35056635440.00
20180929,967.15,1018,967,1018.05,987.51,61339305,2739,59503921850.00
20181001,1170.76,1171,1067,1066.92,1138.18,78398591,3431,87620843030.00
20181003,936.61,967,937,967.15,941.70,78711461,3845,72785250010.00
20181006,1048.59,1049,937,936.61,1025.18,59555169,2711,59964362160.00
20181008,824.62,845,825,844.98,825.64,75755235,4076,61458359310.00
20181010,881.63,882,826,825.64,843.96,27565547,945,22859655022.00
20181013,844.98,845,733,733.00,778.81,14575954,677,11156958270.00
20181015,814.44,876,814,875.52,846.00,26770770,1077,22250770440.00
20181017,788.99,845,789,844.98,814.44,28432276,1164,22759195875.00
20181020,913.19,913,904,904.03,912.17,68504551,3408,61394601723.00
20181022,860.25,860,825,824.62,841.93,13782751,557,11398181565.00
20181024,753.36,753,735,735.03,748.27,26496178,1319,19487310890.00
20181027,749.28,753,749,753.36,750.30,22966276,1223,16914739804.00
20181029,824.62,835,825,834.80,825.64,49853878,2474,40448782920.00
20181031,824.62,835,825,834.80,826.66,23030597,1125,18710239630.00
20181103,824.62,825,794,794.08,821.57,23561396,1218,19018424910.00
20181105,797.13,835,797,834.80,817.49,16359920,779,13142947304.00
20181110,835.82,836,814,814.44,832.76,32818947,1811,26861290197.00
20181112,828.69,840,829,839.89,832.76,32982678,1624,26982386079.00
20181114,824.62,825,825,824.62,824.62,22094293,1251,17896377330.00
20181117,795.10,795,784,783.90,794.08,22136272,1304,17268164595.00
20181119,783.90,784,784,783.90,783.90,25997454,1357,20018039580.00
20181121,783.90,804,784,804.26,786.95,13325428,763,10299419520.00
20181124,834.80,835,825,824.62,830.73,15199085,701,12406177500.00
20181126,823.60,824,794,794.08,807.31,4330222,198,3435093964.00
20181128,787.97,788,780,779.83,784.92,7100270,418,5473460332.00
20181201,773.72,774,748,748.27,757.43,5533256,340,4119386535.00
20181203,772.70,773,739,739.10,760.48,14925149,781,11155868625.00
20181205,763.54,794,764,794.08,781.86,14947457,737,11486737140.00
20181208,829.71,835,830,834.80,830.73,30312995,1820,24744111865.00
20181210,804.26,804,793,793.06,803.24,30630097,1666,24180340629.00
20181212,804.26,804,792,792.04,803.24,9912972,591,7817963904.00
20181215,792.04,792,774,773.72,779.83,5839046,307,4474018670.00
20181217,794.08,794,758,758.45,786.95,20738060,979,16029402585.00
20181219,762.52,763,763,762.52,762.52,18309110,1116,13713523390.00
20181222,753.36,753,753,753.36,753.36,16179469,952,11972807060.00
20181224,773.72,774,749,749.28,758.45,8461991,318,6303031568.00
20181226,752.34,774,752,773.72,760.48,15150988,819,11314699315.00
20181229,781.86,782,751,751.32,767.61,7357229,370,5547433032.00
20181231,763.54,764,764,763.54,763.54,14405892,780,10804419000.00
20190102,783.90,804,784,804.26,788.99,40778969,2050,31586443610.00
20190105,813.42,814,813,814.44,813.42,36624083,1955,29270323369.00
20190107,828.69,839,829,838.87,830.73,41476205,2224,33860173760.00
20190114,834.80,835,785,784.92,809.35,10826622,475,8608862621.00
20190116,791.02,791,785,784.92,790.01,23971198,1400,18606137862.00
20190119,795.10,813,795,813.42,797.13,18690775,1031,14641026475.00
20190121,823.60,824,799,799.17,815.46,17254304,758,13814698528.00
20190123,842.94,847,843,847.02,842.94,54742972,2970,45346700056.00
20190126,892.83,893,855,855.16,879.59,18932294,986,16350226820.00
20190129,875.52,958,835,917.26,921.33,61319201,4721,55522162192.00
20190130,928.46,962,902,908.10,930.50,56405777,3688,51559668028.00
20190202,924.39,924,848,860.25,882.65,29598936,2215,25669338843.00
20190203,881.63,928,835,911.15,882.65,56050270,4210,48619962658.00
20190204,911.15,937,896,895.88,910.14,26322504,1871,23542252582.00
20190205,911.15,911,876,881.63,887.74,15527947,1115,13539902740.00
20190206,896.90,916,853,897.92,879.59,33558108,2519,29005372645.00
20190210,897.92,912,864,867.38,887.74,24138223,1659,21057952368.00
20190212,868.40,884,843,842.94,852.11,16115280,1298,13490161090.00
20190213,841.93,855,810,818.51,821.57,24299627,1809,19602248928.00
20190216,824.62,844,799,804.26,816.48,22736018,1828,18244475788.00
20190217,804.26,804,765,771.68,776.77,19755940,1634,15081183349.00
20190218,783.90,805,777,783.90,794.08,11792494,905,9202500881.00
20190219,794.08,831,786,813.42,814.44,12942483,1088,10350438803.00
20190220,813.42,824,784,795.10,802.22,11615445,900,9150937752.00
20190223,788.99,848,784,835.82,811.39,18988962,1413,15136955937.00
20190224,824.62,854,810,811.39,829.71,16612408,1374,13538033333.00
20190225,813.42,839,794,794.08,811.39,18893223,1364,15056883604.00
20190226,793.06,794,775,774.74,783.90,16793534,1246,12925624518.00
20190227,801.20,801,775,780.84,780.84,11675152,956,8957775421.00
