date,open,high,low,last,close,vol,count,value
20010408,6979.69,7109,6976,7108.75,7108.75,6413,62,105522480.00
20010410,7025.69,7026,7026,7025.69,7025.69,204,1,3364980.00
20010411,6900.04,6900,6815,6814.86,6814.86,4170,18,66762000.00
20010414,6814.86,6815,6687,6814.86,6814.86,9654,85,154041834.00
20010415,6814.86,6900,6815,6900.04,6900.04,3143,26,50549340.00
20010416,7245.04,7245,6941,7245.04,7245.04,12652,53,209851560.00
20010417,7330.23,7607,7247,7607.08,7607.08,12460,54,218169888.00
20010418,7607.08,7607,7602,7602.40,7602.40,1993,24,35594116.00
20010421,7245.04,7593,7245,7593.45,7593.45,1004,11,17894581.00
20010422,7222.47,7369,7214,7368.56,7368.56,14466,104,246392392.00
20010423,7240.36,7240,7001,7193.93,7193.93,5258,24,88569486.00
20010424,7000.14,7000,7000,6999.71,6999.71,250,4,4108730.00
20010428,6960.52,6961,6960,6959.67,6959.67,3040,8,49681630.00
20010430,6650.45,6772,6616,6615.52,6615.52,7707,47,120379205.00
20010501,6613.39,6613,6601,6601.47,6601.47,128,5,1986288.00
20010505,6554.19,6554,6389,6388.93,6388.93,10060,40,150922360.00
20010506,6388.93,6390,6387,6388.93,6388.93,20521,86,307802370.00
20010507,6388.93,6517,6389,6516.71,6516.71,11310,51,170067828.00
20010508,6517.98,6559,6517,6559.30,6559.30,4255,17,65273254.00
20010509,6521.82,6598,6517,6559.30,6559.30,12460,41,191245140.00
20010512,6559.30,6559,6517,6556.74,6556.74,2606,13,40030184.00
20010513,6556.74,6557,6495,6495.41,6495.41,5209,18,79705655.00
20010515,6494.56,6538,6491,6491.15,6491.15,7740,25,118014060.00
20010516,6490.73,6496,6491,6495.41,6495.41,7822,32,119250398.00
20010519,6495.41,6545,6495,6542.26,6542.26,9618,24,147486299.00
20010520,6542.26,6542,6538,6539.28,6539.28,6788,22,104199098.00
20010521,6549.93,6587,6543,6562.28,6562.28,2379,12,36651092.00
20010602,7032.51,7241,7028,7027.82,7027.82,18956,48,316670020.00
20010603,6857.45,7028,6815,7027.82,7027.82,13777,33,224775835.00
20010606,7027.40,7028,7027,7027.82,7027.82,4772,19,78737800.00
20010609,7091.71,7242,7092,7242.06,7242.06,9383,21,158252580.00
20010611,7368.56,7411,7242,7411.16,7411.16,37777,54,654454030.00
20010612,7432.45,7490,7415,7487.82,7487.82,18312,43,320296127.00
20010613,7581.95,7629,7488,7628.81,7628.81,15184,51,270740086.00
20010616,7710.58,7717,7579,7578.97,7578.97,38845,105,697233317.00
20010710,6858.30,6858,6687,6814.86,6814.86,48082,52,764919932.00
20010711,6687.08,6815,6687,6814.86,6814.86,53902,90,855091691.00
20010714,6815.28,6945,6815,6943.49,6943.49,16914,43,274101862.00
20010715,6945.19,6986,6944,6985.23,6985.23,9308,25,152379895.00
20010716,6985.23,6987,6943,6979.69,6979.69,38346,61,627610686.00
20010717,6977.99,6985,6969,6985.23,6985.23,33917,65,555437764.00
20010718,6985.23,7028,6985,7027.82,7027.82,22837,17,376629860.00
20010721,7029.10,7030,7028,7029.10,7029.10,3450,15,56935000.00
20010722,6985.65,7028,6985,7027.82,7027.82,24550,26,404566450.00
20010723,7027.82,7028,7028,7027.82,7027.82,200,1,3300000.00
20010724,6963.93,6964,6943,6942.64,6942.64,3000,6,48950000.00
20010725,6857.45,6921,6836,6899.19,6899.19,26633,32,429182750.00
20010728,6861.28,6921,6857,6917.93,6917.93,23419,33,378333264.00
20010729,6911.12,6911,6911,6910.69,6910.69,3600,4,58410200.00
20010730,6878.75,6879,6815,6870.23,6870.23,891,6,14354080.00
20010731,6815.71,6816,6772,6772.26,6772.26,3097,11,49455300.00
20010801,6730.10,6731,6730,6730.10,6730.10,2373,5,37495993.00
20010804,6726.26,6726,6726,6726.26,6726.26,169,1,2668848.00
20010805,6644.91,6699,6644,6699.00,6699.00,3600,10,56214636.00
20010806,6586.56,6679,6587,6678.56,6678.56,5510,13,85413750.00
20010812,6601.89,6602,6602,6601.89,6601.89,1000,1,15500000.00
20010815,6388.93,6578,6389,6557.60,6557.60,14263,29,215680612.00
20010818,6418.74,6554,6419,6554.19,6554.19,5950,6,90040100.00
20010819,6512.45,6512,6432,6431.52,6431.52,11378,23,171967500.00
20010820,6423.00,6423,6389,6388.93,6388.93,17534,37,263882220.00
20010821,6303.74,6418,6304,6388.93,6388.93,9750,31,145146900.00
20010822,6388.93,6389,6368,6367.63,6367.63,2828,10,42359024.00
20010825,6367.21,6367,6367,6367.21,6367.21,110,1,1644390.00
20010826,6337.82,6346,6304,6346.34,6346.34,8290,19,123092523.00
20010827,6337.39,6338,6304,6303.74,6303.74,2200,9,32567962.00
20010828,6261.15,6304,6261,6303.74,6303.74,3008,7,44290400.00
20010829,6175.96,6304,6133,6302.89,6302.89,12469,12,181555400.00
20010901,6299.06,6299,6299,6299.06,6299.06,268,1,3963452.00
20010902,6218.56,6298,6219,6298.21,6298.21,6433,21,94400297.00
20010903,6295.22,6295,6261,6261.15,6261.15,1111,2,16340580.00
20010904,6175.96,6261,6048,6261.15,6261.15,15527,24,226426700.00
20010905,6261.15,6282,6260,6282.45,6282.45,6069,7,89263880.00
20010908,6278.19,6304,6278,6303.74,6303.74,15680,33,231759100.00
20010909,6303.74,6304,6282,6303.74,6303.74,14230,26,210221100.00
20010910,6290.96,6304,6261,6303.74,6303.74,10200,15,150515492.00
20010911,6297.78,6298,6298,6297.78,6297.78,200,1,2957200.00
