date,open,high,low,last,close,vol,count,value
20010506,52.53,57,51,53.30,53.30,55879,77,181379751.00
20010507,53.30,53,53,53.30,53.30,99962,80,325663118.00
20010508,53.46,55,53,53.64,53.64,241949,87,797914981.00
20010509,54.77,56,54,53.64,53.64,415588,185,1392841852.00
20010512,54.61,56,54,56.23,56.23,23538,26,79685410.00
20010513,56.52,57,56,56.41,56.41,127297,112,441025763.00
20010515,57.06,57,56,56.41,56.41,102172,89,355398008.00
20010516,56.41,57,56,56.39,56.39,62860,48,217613221.00
20010519,56.42,56,56,56.24,56.24,26226,24,90483021.00
20010520,56.24,56,55,54.77,54.77,26034,28,89218325.00
20010521,55.26,56,55,55.26,55.26,34546,25,117339780.00
20010523,55.57,56,55,55.56,55.56,16305,28,55159260.00
20010526,55.56,57,56,56.98,56.98,16990,18,58733327.00
20010527,56.63,57,55,55.59,55.59,27728,32,94707263.00
20010528,55.56,56,55,55.38,55.38,35706,39,121141724.00
20010529,55.42,55,55,55.36,55.36,5596,12,18934395.00
20010530,55.31,56,55,55.54,55.54,33550,35,113594525.00
20010602,55.52,56,56,55.51,55.51,15079,17,51202040.00
20010603,54.92,56,54,55.51,55.51,45834,35,154024550.00
20010606,55.47,55,55,54.77,54.77,9593,14,32235913.00
20010609,54.77,55,54,54.71,54.71,4332,8,14439487.00
20010611,54.69,55,55,55.10,55.10,27198,29,91127132.00
20010612,54.77,55,55,55.10,55.10,16469,27,55268630.00
20010613,54.77,55,54,54.79,54.79,18069,13,60502419.00
20010616,54.74,55,54,54.74,54.74,8865,19,29636159.00
20010617,53.95,54,54,54.44,54.44,75439,22,247791246.00
20010618,54.44,54,54,53.92,53.92,10467,11,34758552.00
20010619,53.79,54,53,54.39,54.39,39421,31,129168395.00
20010620,53.92,54,52,53.95,53.95,38538,24,124607629.00
20010623,53.95,54,54,53.95,53.95,16285,22,53747179.00
20010624,53.95,54,54,53.95,53.95,8556,10,28234800.00
20010625,53.92,54,54,53.95,53.95,14654,24,48366538.00
20010626,53.97,55,54,53.97,53.97,9456,19,31240492.00
20010627,53.97,55,54,53.97,53.97,16015,16,52918885.00
20010630,53.97,54,54,53.97,53.97,2059,1,6796759.00
20010701,53.92,55,54,54.77,54.77,73895,34,246753785.00
20010702,54.75,55,55,54.75,54.75,9462,6,31687718.00
20010703,54.74,55,55,54.77,54.77,30498,18,102162058.00
20010704,54.71,55,54,53.95,53.95,15980,9,53068080.00
20010707,53.99,54,54,53.95,53.95,17431,14,57537390.00
20010708,53.95,55,54,54.28,54.28,7520,15,24965879.00
20010709,54.28,54,54,54.12,54.12,6316,10,20931320.00
20010710,54.12,54,54,54.20,54.20,10203,11,33752845.00
20010711,54.20,54,54,54.10,54.10,29481,29,97460165.00
20010714,53.95,54,54,54.10,54.10,9570,21,31687605.00
20010715,54.07,54,54,54.44,54.44,218087,36,718147696.00
20010903,51.66,52,52,51.50,51.50,30703,23,96919480.00
20010904,51.16,51,49,49.67,49.67,176977,63,540773941.00
20010905,49.05,50,47,49.67,49.67,263539,71,786013051.00
20010908,49.65,50,49,49.05,49.05,45891,28,137620924.00
20010909,49.02,49,48,49.05,49.05,49955,33,148677304.00
20010910,49.05,49,48,48.95,48.95,111676,323,331348214.00
20010911,48.39,49,47,48.95,48.95,1093029,48,3177304878.00
20010912,48.67,49,48,48.48,48.48,3411,6,10114525.00
20010915,48.36,48,47,48.23,48.23,18994,20,55450058.00
20010916,48.23,48,48,48.13,48.13,1334,6,3931556.00
20010917,47.25,48,46,47.74,47.74,48391,32,138767086.00
20010918,47.22,47,47,47.22,47.22,6490,5,18753696.00
20010919,47.07,47,47,46.60,46.60,46700,33,133105949.00
20010922,46.60,47,47,46.60,46.60,13183,16,37628828.00
20010923,45.76,47,45,46.40,46.40,14741,21,41276590.00
20010924,46.22,46,45,45.78,45.78,52918,33,146161561.00
20010925,45.60,46,44,45.60,45.60,7833,6,21388164.00
20010926,44.34,46,44,45.61,45.61,48772,22,132970090.00
20010929,44.94,45,45,44.96,44.96,3620,5,9954850.00
20010930,44.80,45,43,44.80,44.80,93953,42,256780530.00
20011002,44.73,45,45,44.76,44.76,5133,14,14060432.00
20011003,44.70,45,44,44.70,44.70,28554,57,77447466.00
20011006,44.47,45,44,44.14,44.14,51130,24,138746336.00
20011007,44.11,44,44,44.29,44.29,16961,15,45709549.00
20011008,43.82,44,43,44.26,44.26,6152,11,16481424.00
20011009,44.26,44,44,44.21,44.21,9382,9,25395328.00
20011010,43.96,44,44,44.06,44.06,80530,415,217330860.00
20011013,44.05,44,44,44.05,44.05,4405,5,11867050.00
20011014,43.41,44,43,44.05,44.05,69943,47,186312124.00
20011016,44.03,44,44,43.98,43.98,105878,44,284823058.00
20011017,43.98,44,44,44.14,44.14,154492,48,415769902.00
20011020,44.14,44,44,44.14,44.14,74202,49,200247140.00
20011021,44.11,45,44,44.24,44.24,110635,70,299643910.00
20011022,44.32,46,44,45.78,45.78,91786,33,254267552.00
20011023,46.92,48,46,47.49,47.49,114019,63,329958655.00
20011024,48.39,49,47,47.49,47.49,143995,52,421719302.00
20011027,47.61,48,47,47.41,47.41,122190,55,355513157.00
20011028,47.25,47,47,46.92,46.92,44527,29,128154959.00
20011029,46.92,47,46,45.81,45.81,152720,48,429808414.00
20011030,45.86,47,46,45.78,45.78,150172,46,423670778.00
20011031,46.89,47,46,45.81,45.81,92676,39,259888102.00
20011103,46.11,47,46,45.78,45.78,90062,51,253327793.00
20011104,45.79,46,46,45.78,45.78,253693,71,710416147.00
20011105,45.78,46,46,45.83,45.83,547593,103,1534237794.00
20011106,46.11,47,46,47.40,47.40,1524090,119,4306162244.00
20011107,47.61,50,47,49.08,49.08,522363,127,1543971441.00
20011110,49.08,50,48,49.05,49.05,260621,68,784562192.00
20011111,48.74,49,48,48.23,48.23,79570,35,235080169.00
20011112,47.99,49,48,48.75,48.75,96297,42,286703956.00
