date,open,high,low,last,close,vol,count,value
20121219,56.03,56,56,56.03,56.03,4965225,566,4965365000.00
20121222,56.03,56,56,56.03,56.03,8101853,937,8101986686.00
20121223,56.03,56,56,56.03,56.03,9463714,1115,9463724000.00
20121224,56.03,56,56,56.03,56.03,9906080,1169,9906091010.00
20121225,56.03,56,56,56.03,56.03,8463660,962,8463861000.00
20121226,56.03,56,56,56.03,56.03,7989799,932,7989849970.00
20121229,56.03,56,56,56.03,56.03,7161080,791,7161080000.00
20121230,56.03,56,53,53.23,56.03,5835227,651,5834162350.00
20121231,56.03,56,53,53.23,56.03,6050500,685,6050509450.00
20130101,56.03,56,53,53.23,56.03,5860258,666,5857453470.00
20130102,56.03,56,53,53.23,56.03,5659534,627,5656914000.00
20130106,56.03,56,53,56.03,55.97,4924684,550,4920712850.00
20130107,56.03,56,53,53.23,55.97,4934354,545,4928316450.00
20130108,56.03,56,53,53.23,55.97,4699328,515,4696423000.00
20130109,56.03,56,53,53.23,55.97,4472936,494,4467026750.00
20130113,56.03,56,53,53.23,55.92,3947006,450,3937282700.00
20130114,56.03,56,53,53.17,55.64,738950,81,733849490.00
20130115,52.89,53,53,52.89,52.89,65000,8,61360000.00
20130119,50.26,56,50,55.53,53.40,941132,135,896829012.00
20130120,56.03,56,51,53.23,55.86,5084464,582,5068094000.00
20130121,56.03,56,53,53.12,55.92,4306587,497,4298744400.00
20130122,56.03,56,53,56.03,55.97,3994505,443,3992465000.00
20130123,56.03,56,53,53.23,55.97,3799050,431,3796049450.00
20130126,56.03,56,53,53.23,55.92,3386754,385,3380309250.00
20130127,56.03,56,53,53.17,56.03,2882962,315,2882452000.00
20130128,56.03,56,53,53.23,55.97,2836696,311,2835196000.00
20130130,56.03,56,53,53.23,55.97,2645145,291,2643634500.00
20130202,56.03,56,53,53.23,55.97,2595479,283,2593431500.00
20130203,56.03,56,53,53.23,55.97,2729469,304,2727979750.00
20130204,56.03,56,56,56.03,56.03,2728104,298,2728104000.00
20130205,56.03,56,53,53.23,56.03,2490405,273,2489904500.00
20130206,56.03,56,53,53.23,55.92,13057787,360,13034204100.00
20130209,56.03,56,53,53.17,55.97,11076225,281,11064033290.00
20130211,56.03,56,53,53.23,55.92,2190452,247,2186289100.00
20130212,56.03,56,53,53.17,55.81,2532764,293,2522563490.00
20130213,56.03,56,53,53.06,55.75,2426594,270,2415579250.00
20130216,56.03,56,53,53.00,55.97,1919298,211,1916534280.00
20130217,56.03,56,53,53.23,55.97,1959399,215,1958324000.00
20130218,56.03,56,53,53.23,55.97,1944095,217,1942490950.00
20130219,56.03,56,53,53.23,55.92,1835780,202,1832656600.00
20130220,56.03,56,53,53.17,55.75,1871509,212,1862541007.00
20130223,56.03,56,53,53.00,55.25,2169462,231,2139484062.00
20130224,56.03,56,53,52.50,55.97,1585563,171,1584303000.00
20130225,56.03,56,53,53.23,56.03,1489564,167,1489003600.00
20130226,56.03,56,53,53.23,56.03,1264665,137,1264165000.00
20130227,56.03,56,53,53.23,55.97,1298435,150,1297385150.00
20130302,56.03,56,53,53.23,55.81,1252185,137,1247120500.00
20130303,56.03,56,53,53.06,55.75,1291276,159,1284900100.00
20130304,56.03,56,53,53.00,55.75,1255577,143,1249035922.00
20130305,56.03,56,53,53.00,55.64,1233862,147,1224628756.00
20130306,56.03,56,53,52.89,55.41,1117229,133,1105228705.00
20130309,56.03,56,53,52.67,55.92,1072965,123,1070624400.00
20130310,56.03,56,53,53.17,55.92,1038240,116,1035690000.00
20130311,56.03,56,53,53.17,56.03,1126138,140,1126112500.00
20130312,56.03,56,53,53.23,55.86,999160,124,995934000.00
20130313,56.03,56,53,53.12,55.64,1002059,127,995403624.00
20130316,56.03,56,56,56.09,56.03,907315,111,907364695.00
20130317,56.03,56,53,53.23,55.81,1067348,120,1063298000.00
20130318,56.03,56,53,53.06,55.92,1012441,114,1010121000.00
20130325,53.17,53,53,53.17,53.17,350841,71,332948109.00
20130326,50.54,51,51,50.54,50.54,39306,10,35454012.00
20130327,48.02,48,48,48.02,48.02,138241,25,118472537.00
20130330,45.66,46,46,45.66,45.66,175000,24,142625000.00
20130331,43.42,43,43,43.42,43.42,2227701,530,1726468275.00
20130403,41.29,41,41,41.29,41.29,109769,18,80899753.00
20130406,39.39,43,39,43.31,42.13,2218502,266,1667503816.00
20130407,44.21,44,40,44.21,43.37,1094940,179,847422800.00
20130408,45.50,45,45,44.88,45.50,3270223,741,2655040505.00
20130409,45.66,46,43,43.26,43.37,1615887,247,1250623745.00
20130410,44.88,45,41,44.26,42.30,3471194,993,2621527540.00
20130413,44.26,44,43,44.38,44.32,2942848,1076,2327139168.00
20130415,45.10,47,45,46.51,46.51,2079489,430,1724945974.00
20130416,47.79,49,48,48.80,48.69,5484071,985,4764379089.00
20130422,51.10,51,51,51.10,51.10,5024178,504,4582050336.00
20130423,53.51,54,50,50.43,52.00,1613074,196,1496835118.00
20130424,49.47,53,49,49.42,49.70,282976,157,251018231.00
20130427,47.23,47,47,47.23,47.23,620679,119,523232397.00
20130428,44.94,47,45,44.88,44.94,496419,106,398262519.00
20130429,42.70,45,43,44.54,42.70,3770664,987,2874377959.00
20130430,41.46,45,41,44.26,42.81,296552,59,226689960.00
20130501,44.77,45,42,42.02,43.20,1992945,898,1536811815.00
20130504,44.77,45,45,44.82,45.10,2370278,613,1907210572.00
20130505,47.35,47,45,46.51,45.66,732339,225,597139708.00
20130506,47.23,47,44,45.55,44.94,143004,24,114696072.00
20130507,44.54,45,43,42.81,43.20,550584,258,424257965.00
20130508,43.70,44,42,42.19,43.76,292892,195,228630999.00
20130511,42.86,44,43,44.49,44.15,252781,62,199098644.00
20130512,46.34,46,45,45.38,46.22,2318708,346,1912491156.00
20130513,43.93,44,44,43.93,43.93,9682,4,7590688.00
20130514,42.02,42,42,41.80,41.80,829901,107,619267576.00
20130515,41.18,44,41,43.76,43.09,141061,25,108524909.00
20130518,42.02,45,42,42.25,44.66,237831,63,189644011.00
20130519,44.77,45,42,42.47,44.10,785380,416,617818088.00
20130520,42.02,42,42,41.91,41.91,1179519,163,882340212.00
20130521,42.02,42,40,39.84,39.95,2311717,453,1647422587.00
20130522,38.10,39,38,37.99,38.04,2278086,789,1546033408.00
