date,open,high,low,last,close,vol,count,value
20010326,3961.34,3961,3961,3961.34,3961.34,204,1,1182792.00
20010328,3960.66,3961,3961,3960.66,3960.66,200,1,1159400.00
20010409,3948.36,3948,3948,3948.36,3948.36,342,1,1976418.00
20010410,3948.36,3948,3948,3948.36,3948.36,2931,5,16938249.00
20010411,3959.97,3960,3960,3959.97,3959.97,1158,1,6711768.00
20010414,3960.66,3997,3961,3996.87,3996.87,714,2,4167572.00
20010416,3997.55,4000,3998,4000.28,4000.28,1151,3,6735221.00
20010417,4001.65,4003,4002,4003.02,4003.02,962,2,5635358.00
20010418,4058.36,4099,4008,4099.35,4099.35,5554,8,33144564.00
20010421,4167.67,4168,4168,4167.67,4167.67,990,1,6039000.00
20010424,4376.06,4376,4376,4376.06,4376.06,733,1,4694865.00
20010425,4380.16,4595,4380,4380.84,4380.84,3377,7,22396825.00
20010428,4441.65,4599,4442,4599.47,4599.47,3767,5,25165544.00
20010429,4598.79,4612,4598,4599.47,4599.47,64904,29,437133816.00
20010430,4600.84,4829,4599,4599.47,4599.47,50500,26,340649000.00
20010501,4603.57,4604,4603,4602.89,4602.89,13500,17,90950500.00
20010502,4602.89,4603,4603,4602.89,4602.89,5000,8,33685000.00
20010505,4602.89,4603,4602,4602.89,4602.89,5536,7,37293032.00
20010506,4602.89,4603,4603,4602.89,4602.89,3503,2,23599711.00
20010507,4602.89,4603,4598,4602.89,4602.89,3170,5,21348090.00
20010508,4570.78,4603,4571,4602.89,4602.89,10000,8,67305952.00
20010509,4602.89,4603,4603,4602.89,4602.89,2730,2,18392010.00
20010512,4440.96,4441,4441,4440.96,4440.96,3000,4,19500000.00
20010513,4455.99,4456,4441,4440.96,4440.96,20517,18,133530624.00
20010515,4442.33,4448,4441,4440.96,4440.96,15491,10,100769342.00
20010516,4440.96,4663,4441,4611.77,4611.77,15945,16,106700000.00
20010519,4714.25,4714,4647,4661.64,4661.64,5918,10,40697545.00
20010520,4668.48,4668,4668,4667.79,4667.79,2300,6,15714600.00
20010521,4669.84,4670,4670,4669.84,4669.84,1200,3,8202000.00
20010523,4782.57,4885,4783,4784.62,4784.62,5365,6,37705600.00
20010526,5021.70,5022,4798,4797.61,4797.61,2200,3,16103400.00
20010527,5037.42,5037,4813,4850.90,4850.90,2700,4,19568500.00
20010529,5021.70,5022,4859,4859.10,4859.10,1465,2,10624950.00
20010530,4858.41,4860,4858,4859.10,4859.10,500,4,3556120.00
20010602,4863.20,4866,4861,4865.93,4865.93,8220,8,58507125.00
20010603,4865.93,4866,4865,4864.56,4864.56,4455,9,31726275.00
20010606,4865.25,5022,4865,5021.70,5021.70,4465,8,32263285.00
20010611,5124.87,5126,5125,5125.55,5125.55,1800,2,13503200.00
20010612,5131.70,5139,5117,5117.36,5117.36,8247,16,61934201.00
20010613,5113.94,5117,5111,5113.94,5113.94,6736,14,50430229.00
20010617,5099.59,5100,5099,5098.91,5098.91,1440,2,10748020.00
20010618,5083.19,5083,5083,5083.19,5083.19,1813,2,13488720.00
20010619,5082.51,5097,5076,5096.18,5096.18,29006,30,215832030.00
20010620,5106.42,5124,5105,5124.19,5124.19,27408,20,204909060.00
20010623,5137.85,5141,5124,5141.27,5141.27,2180,5,16395000.00
20010624,5226.67,5227,5156,5226.67,5226.67,8208,12,62541320.00
20010625,5226.67,5259,5227,5258.78,5258.78,5750,7,44131250.00
20010626,5261.52,5300,5262,5299.78,5299.78,3424,3,26511904.00
20010627,5318.91,5432,5319,5431.64,5431.64,4500,6,35333464.00
20010630,5465.80,5466,5363,5363.32,5363.32,10540,23,83710710.00
20010701,5322.32,5363,5193,5192.51,5192.51,5290,11,40721057.00
20010702,5124.19,5124,5111,5124.19,5124.19,10050,15,75334000.00
20010703,5062.70,5172,5056,5070.21,5070.21,49002,40,366662292.00
20010704,5076.36,5322,5076,5264.25,5264.25,14292,14,109939755.00
20010729,4782.57,4783,4442,4781.89,4781.89,9120,13,63787093.00
20010730,4742.95,4743,4743,4742.95,4742.95,500,1,3471000.00
20010731,4725.18,4725,4543,4543.45,4543.45,10327,18,68916550.00
20010801,4643.20,4646,4543,4645.93,4645.93,10010,19,67476320.00
20010804,4679.41,4679,4646,4645.93,4645.93,4512,9,30730136.00
20010805,4645.93,4646,4646,4645.93,4645.93,200,3,1360000.00
20010806,4646.61,4650,4647,4646.61,4646.61,6719,9,45710877.00
20010807,4613.82,4614,4614,4613.82,4613.82,6260,10,42273780.00
20010808,4604.94,4611,4605,4609.72,4609.72,2030,5,13693470.00
20010811,4609.72,4615,4608,4611.77,4611.77,7700,11,51970564.00
20010812,4611.09,4611,4509,4509.28,4509.28,1780,3,11763900.00
20010813,4577.61,4578,4578,4577.61,4577.61,6995,5,46866500.00
20010814,4577.61,4613,4578,4613.14,4613.14,9455,10,63544124.00
20010815,4645.93,4646,4646,4645.93,4645.93,11000,11,74800000.00
20010818,4652.76,4783,4646,4782.57,4782.57,17430,22,120328100.00
20010819,4783.26,4843,4783,4782.57,4782.57,8614,14,60521364.00
20010821,4797.61,4798,4783,4782.57,4782.57,7932,13,55593944.00
20010822,4781.89,4782,4782,4781.89,4781.89,372,1,2603628.00
20010825,4782.57,4783,4783,4782.57,4782.57,2414,3,16898000.00
20010826,4782.57,4783,4781,4781.21,4781.21,2045,6,14314040.00
20010827,4777.79,4778,4646,4645.93,4645.93,5941,9,40561113.00
20010828,4646.61,4647,4645,4645.25,4645.25,1300,3,8839300.00
20010829,4641.15,4641,4611,4611.77,4611.77,2140,4,14450320.00
20010901,4611.77,4612,4611,4611.77,4611.77,3000,4,20249000.00
20010902,4611.77,4612,4612,4611.77,4611.77,4117,3,27789750.00
20010903,4604.94,4605,4605,4604.94,4604.94,441,1,2972340.00
20010904,4625.43,4625,4612,4625.43,4625.43,7077,11,47900890.00
20010908,4645.93,4646,4630,4645.93,4645.93,1249,6,8492096.00
20010910,4645.93,4647,4646,4647.30,4647.30,4300,7,29247160.00
20010912,4509.28,4509,4509,4509.28,4509.28,5000,5,33000000.00
20010915,4509.97,4510,4509,4509.28,4509.28,1408,3,9293208.00
20010916,4509.28,4511,4509,4510.65,4510.65,2012,8,13282118.00
20010917,4509.97,4510,4510,4509.97,4509.97,801,1,5287401.00
20010919,4501.09,4501,4500,4499.72,4499.72,172,2,1132992.00
20010922,4492.89,4509,4493,4508.60,4508.60,8415,13,55468846.00
20010923,4508.60,4511,4509,4511.33,4511.33,3500,3,23098500.00
20010924,4510.65,4511,4511,4511.33,4511.33,10623,13,70139169.00
20010926,4514.07,4515,4514,4514.07,4514.07,3560,7,23524190.00
20010929,4515.43,4515,4515,4514.75,4514.75,1054,9,6965343.00
20011002,4509.28,4514,4509,4509.28,4509.28,775,4,5117303.00
20011006,4509.28,4513,4509,4509.97,4509.97,1772,6,11698810.00
20011007,4509.28,4509,4441,4440.96,4440.96,1860,7,12176000.00
20011008,4372.64,4373,4373,4372.64,4372.64,2500,5,16000000.00
20011013,4304.32,4304,4302,4302.27,4302.27,1000,5,6298500.00
20011014,4299.53,4301,4300,4300.22,4300.22,2157,5,13576143.00
20011016,4268.79,4270,4168,4270.16,4270.16,6320,3,39001760.00
20011017,4270.16,4271,4178,4177.92,4177.92,4010,7,24729650.00
20011020,4270.16,4386,4270,4386.30,4386.30,9936,8,63145600.00
