date,open,high,low,last,close,vol,count,value
20050507,86.75,87,87,86.75,86.75,18397345,2697,23916548500.00
20050508,91.08,91,91,91.08,91.08,3391051,767,4628784615.00
20050509,95.62,96,96,95.62,95.62,4000000,521,5732000000.00
20050511,93.42,95,92,92.95,92.95,3061934,1261,4267582796.00
20050514,91.22,93,88,91.48,91.48,2382144,781,3267884307.00
20050524,86.75,87,84,85.28,85.28,18010,4,23028780.00
20050525,85.35,89,85,85.88,85.88,575345,169,741012079.00
20050528,90.15,90,86,88.28,88.28,492413,140,651711627.00
20050529,88.01,89,85,87.15,87.15,319922,99,418110504.00
20050530,85.48,86,85,85.35,85.35,478106,140,611919066.00
20050531,85.41,85,84,85.21,85.21,309588,86,395627640.00
20050601,85.41,85,84,85.08,85.08,281611,80,359209128.00
20050606,84.74,85,81,83.88,83.88,237085,58,298145666.00
20050607,83.74,85,82,83.34,83.34,269004,83,336234352.00
20050608,83.28,84,82,83.54,83.54,321559,82,402801710.00
20050611,83.41,83,81,82.94,82.94,108354,41,133627023.00
20050612,80.21,83,80,82.14,82.14,136918,51,167550482.00
20050613,82.14,82,78,80.14,80.14,299978,61,360361985.00
20050614,80.21,82,80,80.41,80.41,115241,37,139549676.00
20050615,81.41,81,80,80.54,80.54,168073,67,203082715.00
20050618,80.74,81,80,80.41,80.41,76654,30,92119234.00
20050619,79.94,80,79,80.01,80.01,356035,79,427046110.00
20050620,80.07,80,77,79.61,79.61,154330,44,183889117.00
20050621,79.54,80,78,79.47,79.47,122215,40,145446171.00
20050622,79.34,80,79,79.67,79.67,191128,46,228622445.00
20050625,76.07,76,76,76.00,76.00,224970,60,255689529.00
20050626,77.40,79,76,76.20,76.20,75861,27,87205082.00
20050627,77.07,79,76,76.20,76.20,11068,11,12804360.00
20050628,79.41,80,78,79.94,79.94,278862,78,334254958.00
20050629,79.94,80,77,79.74,79.74,79005,31,93948420.00
20050702,79.81,80,77,79.34,79.34,43450,15,50679117.00
20050703,76.80,78,76,77.60,77.60,158225,38,182004480.00
20050704,75.40,77,75,76.87,76.87,143595,34,164669404.00
20050705,76.34,76,75,76.34,76.34,132026,33,150347568.00
20050706,76.34,77,73,76.14,76.14,28496,12,32060716.00
20050709,76.34,76,75,76.00,76.00,44952,18,50928528.00
20050711,76.00,77,74,75.87,75.87,21734,10,24347698.00
20050712,74.07,76,73,75.67,75.67,14449,8,15946406.00
20050713,72.07,75,72,75.07,75.07,44756,18,48856990.00
20050716,73.60,75,73,74.74,74.74,73637,24,81808072.00
20050717,74.74,75,73,74.54,74.54,69561,19,77354761.00
20050718,73.60,74,73,74.40,74.40,18502,8,20363650.00
20050719,74.07,78,74,75.20,75.20,129341,37,147411075.00
20050720,75.40,77,75,75.34,75.34,20158,9,23239596.00
20050723,77.00,79,76,76.00,76.00,47224,25,55841994.00
20050724,79.74,80,77,77.07,77.07,72846,31,87020390.00
