date,open,high,low,last,close,vol,count,value
20010508,305.21,305,305,305.21,305.21,750,5,2895000.00
20010509,305.37,305,305,305.45,305.45,2000,2,7725000.00
20010512,320.71,321,321,320.71,320.71,2978,2,12078768.00
20010513,328.69,329,329,328.69,328.69,1000,2,4157000.00
20011119,316.28,316,316,316.28,316.28,1000,1,4000000.00
20011120,332.09,332,332,332.09,332.09,1000,3,4200000.00
20011121,348.70,349,349,348.70,348.70,1000,1,4410000.00
20011124,366.09,366,366,366.09,366.09,1000,1,4630000.00
20011125,384.36,384,384,384.36,384.36,1000,2,4861000.00
20011127,403.57,404,404,403.57,403.57,2000,2,10208000.00
20011128,423.73,424,424,423.73,423.73,1000,1,5359000.00
20011205,444.85,445,445,444.85,444.85,2000,1,11252000.00
20011208,467.06,467,467,467.06,467.06,2000,5,11814000.00
20011209,490.39,490,490,490.39,490.39,1875,3,11628750.00
20011211,514.90,515,515,514.90,514.90,1000,1,6512000.00
20020106,527.71,528,528,527.71,527.71,1220,1,8142280.00
20020121,540.84,541,541,540.84,540.84,19000,17,129960000.00
20020203,554.36,554,554,554.36,554.36,1000,6,7011000.00
20020204,568.19,568,568,568.19,568.19,1000,2,7186000.00
20020205,582.35,582,582,582.35,582.35,1500,2,11047500.00
20020206,596.90,597,597,596.90,596.90,1100,1,8303900.00
20020210,602.83,603,603,602.83,602.83,1000,8,7624000.00
20020212,608.84,609,609,608.84,608.84,500,1,3850000.00
20020213,614.93,615,615,614.93,614.93,600,3,4666200.00
20020216,621.01,621,621,621.01,621.01,500,1,3927000.00
20020225,627.18,627,627,627.18,627.18,500,2,3966000.00
20020302,633.43,633,633,633.43,633.43,500,1,4005500.00
20020305,639.75,640,640,639.75,639.75,500,1,4045500.00
20020306,646.08,646,646,646.08,646.08,700,2,5719700.00
20020309,652.48,652,652,652.48,652.48,253,2,2087756.00
20020310,658.97,659,659,658.97,658.97,300,2,2500200.00
20020312,665.53,666,666,665.53,665.53,800,3,6733600.00
20020316,672.17,672,672,672.17,672.17,1000,1,8501000.00
20020317,678.89,679,679,678.89,678.89,800,4,6868800.00
20020318,685.61,686,686,685.61,685.61,1000,2,8671000.00
20020326,692.41,692,692,692.41,692.41,1000,1,8757000.00
20020331,699.29,699,699,699.29,699.29,1500,2,13266000.00
20020410,706.25,706,706,706.25,706.25,1000,1,8932000.00
20020807,1581.39,1581,1107,1377.79,1377.79,11370,20,192353750.00
20020810,1412.19,1412,1412,1412.19,1412.19,8384,23,149738240.00
20020811,1447.45,1447,1447,1447.45,1447.45,1057,4,19349442.00
20020814,1483.59,1484,1423,1483.59,1483.59,9300,33,172817300.00
20020817,1483.59,1484,1484,1483.59,1483.59,4424,5,83004695.00
20020819,1482.95,1483,1482,1481.77,1481.77,3100,2,58139000.00
20020820,1481.61,1482,1482,1481.61,1481.61,2500,1,46845000.00
20020826,1481.61,1482,1482,1481.61,1481.61,1000,1,18738000.00
20020914,1407.60,1408,1408,1407.60,1407.60,6000,6,106812000.00
20021012,1337.23,1337,1337,1337.23,1337.23,1000,2,16912000.00
20021013,1270.41,1270,1270,1270.41,1270.41,1325,3,21288775.00
20021020,1270.41,1334,1207,1333.91,1333.91,7938,16,124934037.00
20021021,1337.46,1337,1337,1337.46,1337.46,514,1,8694310.00
20021027,1404.28,1404,1404,1404.28,1404.28,4678,11,83081280.00
20021028,1404.28,1404,1404,1404.28,1404.28,1025,4,18204000.00
20021029,1404.28,1404,1404,1404.28,1404.28,150,1,2664000.00
20021030,1404.28,1404,1404,1404.28,1404.28,350,1,6216000.00
20021110,1404.12,1404,1404,1404.12,1404.12,1000,1,17758000.00
20021113,1344.19,1344,1344,1344.19,1344.19,2000,4,34000000.00
20021118,1342.92,1343,1343,1343.00,1343.00,1750,3,29722200.00
20021126,1344.19,1344,1344,1344.19,1344.19,822,2,13974000.00
20021130,1344.19,1344,1344,1344.19,1344.19,291,2,4947000.00
20021209,1344.03,1344,1344,1344.11,1344.11,584,3,9927376.00
20021211,1344.19,1344,1344,1344.19,1344.19,416,1,7072000.00
20021214,1344.19,1344,1344,1344.19,1344.19,1400,2,23800000.00
20030120,1344.19,1344,1344,1344.19,1344.19,3567,3,60639000.00
20030128,1346.56,1347,1346,1346.40,1346.40,2730,8,46489900.00
