date,open,high,low,last,close,vol,count,value
20010327,231.29,231,231,231.29,231.29,500,3,3501500.00
20010407,231.19,231,231,231.29,231.29,2200,3,15403600.00
20010408,231.29,232,231,231.85,231.85,2480,3,17381750.00
20010409,232.21,233,232,232.84,232.84,1433,2,10091573.00
20010410,233.17,233,233,233.50,233.50,1250,2,8831700.00
20010414,234.19,236,234,236.14,236.14,2460,5,17513920.00
20010415,237.13,237,237,237.13,237.13,1400,2,10052000.00
20010416,237.79,238,238,237.79,237.79,1000,2,7200000.00
20010417,239.44,239,239,239.44,239.44,1385,4,10019125.00
20010418,241.09,244,241,244.40,244.40,1397,6,10227000.00
20010421,245.06,245,245,245.06,245.06,930,2,6900600.00
20010422,257.31,257,257,257.31,257.31,1180,2,9193380.00
20010423,260.91,261,258,257.61,257.61,1820,2,14278000.00
20010425,257.61,258,254,254.31,254.31,1750,4,13590000.00
20010429,254.31,254,254,254.31,254.31,1480,2,11396000.00
20010430,254.34,254,254,254.34,254.34,2100,4,16172100.00
20010501,254.37,254,254,254.34,254.34,2233,2,17198333.00
20010502,254.34,254,254,254.34,254.34,167,1,1286067.00
20010505,254.34,254,254,254.34,254.34,2000,1,15402000.00
20010507,254.31,254,254,254.34,254.34,5757,9,44330900.00
20010508,254.34,254,254,254.34,254.34,10424,11,80271024.00
20010509,254.27,254,254,254.24,254.24,1760,3,13549840.00
20010515,254.21,254,254,254.34,254.34,6000,7,46195029.00
20010519,254.31,254,254,254.27,254.27,2200,4,16939400.00
20010523,254.17,254,254,254.17,254.17,128,1,985088.00
20010526,246.08,246,246,246.08,246.08,1586,1,11817286.00
20010527,244.40,244,244,244.36,244.36,8441,5,62462959.00
20010528,241.09,244,241,241.09,241.09,10567,17,77381373.00
20010529,241.09,241,241,241.09,241.09,4000,2,29200000.00
20010530,241.09,241,241,241.09,241.09,152500,10,1113250000.00
20010602,241.09,241,241,241.09,241.09,3130,6,22849000.00
20010603,241.09,241,241,241.09,241.09,2000,2,14600000.00
20010606,241.42,242,241,241.42,241.42,12418,21,90705650.00
20010609,241.42,241,241,241.42,241.42,4500,3,32895000.00
20010611,241.42,241,241,241.42,241.42,29390,32,214786830.00
20010612,241.42,241,241,241.42,241.42,8457,17,61820670.00
20010616,241.62,242,242,241.62,241.62,10000,6,73160000.00
20010617,244.07,244,244,244.43,244.43,39340,19,291087340.00
20010618,246.08,249,246,247.86,247.86,14683,20,110016188.00
20010619,248.39,248,248,248.36,248.36,6988,8,52537930.00
20010620,248.36,254,248,248.69,248.69,16518,11,124787570.00
20010623,249.35,249,249,249.35,249.35,1500,1,11325000.00
20010624,254.31,258,250,249.52,249.52,106515,25,804995108.00
20010625,251.00,252,249,249.35,249.35,23885,23,180726360.00
20010812,229.57,238,221,237.76,237.76,68300,57,480413315.00
20010813,237.76,241,238,241.09,241.09,15868,21,114878932.00
20010814,244.40,244,241,241.09,241.09,6000,2,43900000.00
20010815,240.43,241,238,240.57,240.57,26431,26,190528809.00
20010818,237.79,238,234,234.49,234.49,10742,13,77142400.00
20010819,234.46,234,230,229.54,229.54,18500,13,130104500.00
20010820,231.19,231,227,227.22,227.22,3370,5,23364790.00
20010821,226.23,226,226,226.23,226.23,1000,1,6850000.00
20010822,226.23,228,226,227.88,227.88,3105,5,21319927.00
20010825,231.15,231,231,231.15,231.15,1000,1,6999000.00
20010826,226.23,226,226,226.23,226.23,1000,1,6850000.00
20010827,221.28,221,221,221.28,221.28,1000,1,6700000.00
20010829,218.57,219,219,218.64,218.64,2500,3,16549000.00
20010901,218.60,219,218,218.47,218.47,3000,4,19853000.00
20010902,218.47,218,218,218.47,218.47,2000,2,13230000.00
20010903,218.50,219,219,218.50,218.50,30100,15,199173630.00
20010904,218.31,218,218,218.31,218.31,645,1,4263450.00
20010905,218.31,218,218,218.31,218.31,37073,12,245052530.00
20010908,218.31,218,218,218.31,218.31,8317,7,54975370.00
20010909,218.31,218,218,218.31,218.31,3075,3,20325750.00
20010910,218.31,218,218,218.31,218.31,4458,7,29467380.00
20010911,218.31,218,218,218.31,218.31,1748,4,11554280.00
20010912,218.31,218,218,218.31,218.31,2000,6,13220000.00
20010922,218.17,219,218,218.64,218.64,14041,7,92881908.00
20010923,218.31,218,218,218.31,218.31,307,3,2029270.00
20010924,218.31,218,218,218.31,218.31,7750,5,51227500.00
20010925,218.31,218,218,218.31,218.31,5811,6,38410710.00
20010926,218.37,218,218,218.37,218.37,6506,5,43017672.00
20010929,218.37,218,218,218.37,218.37,17,1,112404.00
20011008,218.07,218,218,218.07,218.07,2500,1,16507500.00
20011016,217.65,218,218,217.65,217.65,990,1,6524100.00
20011017,217.51,218,216,217.28,217.28,105860,8,692597636.00
20011020,217.32,218,217,218.31,218.31,7336,9,48427048.00
20011021,218.31,218,218,218.31,218.31,3044,5,20120840.00
20011022,218.31,218,218,218.31,218.31,3000,3,19830000.00
20011023,218.31,219,218,218.97,218.97,11980,8,79326280.00
20011024,218.97,220,219,219.63,219.63,387,3,2570150.00
20011027,221.28,221,221,221.25,221.25,2517,6,16862961.00
20011029,221.21,221,221,221.21,221.21,230,1,1540540.00
20011030,221.18,221,221,221.28,221.28,2500,4,16746161.00
20011103,220.95,221,221,221.05,221.05,4158,3,27837564.00
20011105,219.76,220,220,219.76,219.76,1000,1,6654000.00
20011106,217.84,218,218,217.84,217.84,1749,1,11536404.00
20011107,217.05,217,214,214.31,214.31,4471,7,29169299.00
20011110,214.14,214,214,214.14,214.14,1000,2,6484000.00
20011112,213.85,214,214,213.81,213.81,421,2,2725745.00
20011114,203.15,203,203,203.15,203.15,2000,2,12302000.00
20011117,203.15,213,201,203.15,203.15,10909,16,67465971.00
20011118,203.15,203,203,203.15,203.15,1405,3,8642155.00
20011121,204.67,205,205,205.29,205.29,1914,3,11886424.00
20011124,208.07,208,208,208.07,208.07,714,2,4498200.00
20011125,211.37,211,211,211.37,211.37,2972,2,19020800.00
20011126,214.67,215,211,211.44,211.44,3220,4,20738900.00
20011127,219.63,221,220,221.31,221.31,6000,5,40119000.00
20011203,222.93,223,223,222.93,222.93,1500,1,10125000.00
20011204,223.09,223,223,223.03,223.03,9000,3,60788000.00
20011205,223.09,223,221,221.31,221.31,4695,6,31683003.00
20011208,217.98,218,218,217.98,217.98,1000,1,6600000.00
20011209,214.67,215,215,214.67,214.67,2168,3,14091746.00
20011210,214.67,215,215,214.67,214.67,836,2,5434000.00
20011215,214.67,215,215,214.84,214.84,3304,7,21480250.00
20011222,217.98,218,218,218.04,218.04,12000,12,79215000.00
20011224,218.31,221,218,218.01,218.01,54259,16,358760735.00
20011225,218.01,218,218,217.98,217.98,18512,12,122183712.00
20011226,217.98,218,218,217.98,217.98,2000,2,13200000.00
20011230,217.55,218,218,217.65,217.65,5175,4,34095725.00
20020102,211.50,212,212,211.50,211.50,2000,1,12808000.00
20020112,200.93,201,201,200.93,200.93,6628,11,40324752.00
20020113,200.93,201,201,200.93,200.93,1000,1,6084000.00
20020119,199.81,200,200,199.81,199.81,1820,3,11011000.00
20020120,198.16,198,198,198.16,198.16,556,2,3336000.00
20020121,199.15,208,199,208.03,208.03,7557,5,47089280.00
20020122,208.07,210,208,209.39,209.39,11405,11,72123170.00
20020123,209.55,210,210,209.55,209.55,2500,1,15862500.00
20020126,209.52,210,210,209.52,209.52,1000,1,6344000.00
20020127,204.80,205,205,204.77,204.77,5970,12,37016000.00
20020128,201.46,205,198,205.43,205.43,17960,22,108805300.00
20020129,205.43,205,205,205.43,205.43,2210,5,13746200.00
20020130,205.43,205,205,205.43,205.43,450,1,2799000.00
20020204,205.39,208,205,208.07,208.07,10000,7,62633011.00
20020205,208.07,209,205,204.77,204.77,7500,12,47410000.00
20020206,204.77,205,205,204.77,204.77,928,1,5753600.00
20020209,204.77,205,205,204.77,204.77,1000,1,6200000.00
20020210,204.77,205,205,204.77,204.77,1000,1,6200000.00
20020212,202.26,202,202,202.26,202.26,2000,3,12248000.00
20020216,198.49,198,198,198.49,198.49,680,1,4086800.00
20020218,198.62,199,199,198.62,198.62,296,1,1780144.00
20020219,198.69,199,199,198.66,198.66,730,2,4391244.00
20020220,198.82,199,198,198.16,198.16,6384,9,38355144.00
20020226,194.92,195,195,195.02,195.02,8706,10,51401506.00
20020227,191.22,195,191,194.86,194.86,1522,5,8882814.00
20020302,194.86,195,195,194.86,194.86,781,2,4607900.00
20020305,194.86,195,195,194.86,194.86,661,1,3899900.00
20020306,194.89,195,195,194.86,194.86,4702,6,27742800.00
20020311,194.86,195,195,194.86,194.86,1163,2,6861700.00
20020312,194.86,195,195,194.86,194.86,110,1,649000.00
20020313,194.86,195,195,194.86,194.86,100,1,590000.00
20020316,194.86,195,195,195.02,195.02,1988,5,11730200.00
20020318,195.58,196,195,195.25,195.25,8500,10,50310766.00
20020319,195.35,197,195,196.51,196.51,14050,9,83279734.00
20020403,196.31,196,196,196.34,196.34,1688,3,10034638.00
20020406,196.31,197,196,196.51,196.51,1011,3,6012580.00
20020407,196.51,197,197,196.51,196.51,823,2,4896850.00
20020409,196.51,197,196,196.51,196.51,10795,5,64229540.00
20020410,196.51,197,197,196.51,196.51,10410,6,61939500.00
20020413,196.51,197,197,196.51,196.51,2000,2,11900000.00
20020414,196.51,197,197,196.51,196.51,504,1,2998800.00
20020415,196.51,197,197,196.51,196.51,225,1,1338750.00
20020417,196.54,197,197,196.51,196.51,1734,6,10318300.00
20020420,196.51,197,196,196.51,196.51,7755,4,46140822.00
20020424,199.81,200,200,199.81,199.81,1000,2,6050000.00
20020430,208.07,210,208,209.79,209.79,3800,4,24018000.00
20020501,209.72,210,210,209.72,209.72,1000,1,6350000.00
20020505,211.37,211,211,211.37,211.37,2000,2,12800000.00
20020506,213.02,213,213,213.02,213.02,1000,1,6450000.00
20020507,214.67,215,215,214.67,214.67,1000,2,6500000.00
20020508,216.46,217,216,216.52,216.52,12748,3,83551192.00
20020512,216.52,217,216,216.52,216.52,38923,12,255165702.00
20020515,216.46,218,216,217.98,217.98,7400,5,48772000.00
20020525,217.98,218,218,217.98,217.98,1690,1,11154000.00
20020527,214.67,218,215,217.88,217.88,17000,8,111633492.00
20020528,214.67,215,215,214.67,214.67,900,1,5850000.00
20020603,211.24,211,211,211.24,211.24,500,1,3198000.00
20020612,200.70,201,201,200.70,200.70,4000,1,24308000.00
20020615,200.70,201,201,200.70,200.70,20,1,121540.00
20020616,200.70,201,201,200.70,200.70,1000,1,6077000.00
20020617,197.83,198,198,197.83,197.83,6628,1,39701720.00
20020804,198.16,198,172,171.74,171.74,2536,3,13347200.00
20020806,171.34,172,171,171.77,171.77,14264,15,74120532.00
20020807,171.74,172,172,171.74,171.74,1000,1,5200000.00
20020810,170.42,170,170,170.42,170.42,1217,1,6279720.00
20020811,170.05,170,170,170.42,170.42,10000,4,51552500.00
20020814,170.22,170,170,170.25,170.25,5000,3,25774217.00
20020818,170.12,171,170,171.34,171.34,4890,4,25194897.00
20020820,162.79,163,163,162.79,162.79,1100,1,5421900.00
20020826,162.79,163,163,162.79,162.79,1000,3,4929000.00
20020827,162.76,163,163,162.79,162.79,3400,3,16757200.00
20020901,154.66,155,155,154.66,154.66,3000,1,14049000.00
20020903,154.66,155,155,154.66,154.66,1242,2,5816286.00
20020904,154.56,155,155,154.56,154.56,3000,1,14040000.00
20020910,146.94,147,147,146.94,146.94,1000,1,4449000.00
20020911,146.94,154,147,154.20,154.20,4359,3,19613191.00
20020914,139.60,154,140,154.17,154.17,654,4,2830608.00
