date,open,high,low,last,close,vol,count,value
20061223,74.90,75,73,74.03,74.03,11840000,455,28222813038.00
20061224,74.56,75,74,74.13,74.13,373908,102,894494938.00
20061225,74.41,74,73,73.82,73.82,821080,169,1947938928.00
20061226,73.94,75,73,73.75,73.75,589895,119,1398979721.00
20061227,74.47,75,73,73.91,73.91,332010,75,793901432.00
20061230,74.25,74,73,73.91,73.91,55962,14,133628290.00
20070101,72.79,74,72,73.82,73.82,165131,37,388759435.00
20070102,73.82,74,74,73.82,73.82,30867,9,73232480.00
20070103,73.01,74,73,73.82,73.82,33758,9,79734975.00
20070113,72.36,74,72,73.82,73.82,5988,2,13946522.00
20070131,72.36,74,72,73.82,73.82,110,2,256660.00
20070221,72.36,74,72,73.82,73.82,5010,4,11668760.00
20070224,72.36,74,72,73.82,73.82,2110,2,4914660.00
20070227,72.36,74,72,73.82,73.82,7450,5,17351520.00
20070228,72.36,74,72,73.82,73.82,10010,3,23313760.00
20070303,72.36,73,72,72.76,72.76,877850,199,2044612780.00
20070304,72.98,74,73,72.79,72.79,163214,38,383794831.00
20070305,72.82,74,73,72.79,72.79,77503,23,181848771.00
20070306,72.79,73,73,72.79,72.79,102830,21,240775790.00
20070307,72.39,73,72,72.79,72.79,101034,24,236699350.00
20070311,71.36,73,71,72.79,72.79,2605,3,5984145.00
20070313,71.36,73,71,72.67,72.67,103237,27,237187037.00
20070314,71.36,73,71,72.67,72.67,6661,6,15568927.00
20070317,72.70,73,71,72.64,72.64,27010,8,62114960.00
20070327,74.03,74,73,72.64,72.64,8173,3,19475809.00
20070328,72.64,73,73,72.64,72.64,835,1,1952230.00
20070331,74.00,74,73,72.64,72.64,4037,5,9616221.00
20070403,72.64,73,73,72.64,72.64,30000,9,70130000.00
20070407,72.76,73,71,72.64,72.64,1010,4,2360811.00
20070410,73.94,74,74,73.60,73.60,816162,174,1945705046.00
20070411,75.06,75,74,73.63,73.63,36811,8,88000023.00
20070414,73.63,74,74,73.63,73.63,26651,10,63294124.00
20070415,73.63,74,74,73.63,73.63,24010,6,56888710.00
20070416,73.63,74,74,73.63,73.63,3010,4,7151700.00
20070417,73.63,74,74,73.63,73.63,1257,1,2979090.00
20070418,72.26,74,72,73.57,73.57,40343,12,93806108.00
20070421,73.63,74,74,73.57,73.57,2740,2,6493780.00
20070422,73.32,74,73,73.57,73.57,510,2,1203680.00
20070423,72.45,74,72,73.57,73.57,8456,5,19719752.00
20070424,72.11,74,72,73.54,73.54,19348,7,44907168.00
20070429,72.08,74,72,73.54,73.54,1078,3,2501430.00
20070501,72.08,74,72,73.54,73.54,4295,2,9964870.00
20070512,72.08,74,72,73.54,73.54,10010,5,23223670.00
20070814,55.24,59,51,55.05,55.05,734277,104,1301242485.00
20070828,53.96,55,54,55.05,55.05,6155,3,10691585.00
20070903,53.96,55,54,55.05,55.05,5010,3,8702720.00
20070908,53.96,55,54,54.93,54.93,90010,21,156347680.00
20070925,53.84,55,54,54.90,54.90,11490,5,19912510.00
20071029,53.81,55,54,54.83,54.83,38110,9,66006850.00
20071030,53.75,55,54,54.83,54.83,2010,3,3477650.00
20071211,53.75,54,54,53.75,53.75,100,1,173000.00
20071223,52.69,54,53,53.56,53.56,140100,32,237609880.00
20071231,52.50,54,53,53.56,53.56,5890,3,9954440.00
20080113,53.87,55,53,52.72,52.72,916871,125,1556343650.00
20080114,53.75,54,53,52.75,52.75,22141,10,38303610.00
20080115,53.78,54,53,53.06,53.06,232407,49,402194464.00
20080116,53.81,54,53,53.25,53.25,141873,32,246764806.00
20080120,53.25,53,53,53.25,53.25,30415,6,52131310.00
20080121,52.81,53,52,53.16,53.16,73955,12,124504710.00
20080122,52.81,53,52,53.09,53.09,67980,12,114746090.00
20080123,52.19,53,52,53.09,53.09,3770,3,6336815.00
20080126,52.19,53,52,53.09,53.09,11490,5,19303490.00
20080127,54.15,54,53,53.25,53.25,115010,16,200462140.00
20080128,54.31,54,53,53.25,53.25,4610,2,8057940.00
20080129,54.31,54,53,53.31,53.31,40010,11,69937160.00
20080130,53.31,53,53,53.31,53.31,90,1,154440.00
20080202,53.44,53,53,53.31,53.31,7710,4,13221320.00
20080203,52.85,53,53,53.31,53.31,14070,3,23929160.00
20080204,52.26,53,52,53.31,53.31,5950,2,10008240.00
20080206,53.28,53,52,53.31,53.31,11710,6,19892260.00
20080209,52.26,53,52,53.31,53.31,3552,2,5974804.00
20080220,52.26,53,52,53.31,53.31,10010,4,16837160.00
20080223,52.26,53,52,53.25,53.25,73996,18,125530658.00
20080226,52.19,53,52,53.19,53.19,33379,10,56077040.00
20080310,52.13,53,52,53.19,53.19,599,2,1005462.00
20080311,53.22,53,53,53.19,53.19,421,2,721163.00
20080312,52.13,53,52,53.19,53.19,5577,3,9358546.00
20080317,53.09,53,53,53.19,53.19,11640,3,19894420.00
20080318,52.13,53,52,53.19,53.19,6318,3,10601944.00
20080330,52.13,53,52,53.19,53.19,5602,4,9400496.00
20080428,52.13,53,52,53.16,53.16,18010,7,30221110.00
20080429,52.10,53,52,52.91,52.91,179967,25,301859919.00
20080512,52.91,53,53,52.91,52.91,10000,1,17030000.00
20080609,52.78,53,53,52.91,52.91,1010,2,1716030.00
20080616,51.32,53,51,52.88,52.88,10010,2,16537020.00
20080617,51.29,52,51,52.22,52.22,316010,48,521732810.00
20080621,50.67,52,51,52.22,52.22,1010,2,1647810.00
20080707,50.67,52,51,52.22,52.22,3060,2,4991360.00
20080708,50.67,52,51,51.76,51.76,225010,43,366991660.00
20080709,50.24,53,50,51.63,51.63,204240,39,337041376.00
20080712,53.16,53,52,51.91,51.91,155120,28,264426013.00
20080914,37.28,42,37,40.11,40.11,57010,22,73638030.00
20080915,38.93,40,39,39.80,39.80,200010,24,250612810.00
20080916,38.93,40,39,39.80,39.80,8210,4,10277410.00
20080920,38.62,40,39,39.80,39.80,2080,5,2585820.00
20080923,38.62,40,39,39.77,39.77,20753,9,25796349.00
20080928,39.77,40,40,39.77,39.77,1000,1,1280000.00
20081004,39.77,40,40,39.77,39.77,574,1,734720.00
20081019,40.95,41,40,39.77,39.77,435,2,572950.00
20081111,40.92,41,40,39.77,39.77,6150,4,8099180.00
