date,open,high,low,last,close,vol,count,value
20021103,48.07,51,48,50.36,50.36,1980000,780,8291495000.00
20021104,51.61,52,52,51.61,51.61,250000,209,1101750000.00
20021105,52.90,53,53,52.90,52.90,250000,165,1129250000.00
20021109,54.21,54,54,54.21,54.21,9000,8,41661000.00
20021112,55.56,56,56,55.56,55.56,22200,19,105316800.00
20021117,56.94,57,57,56.94,56.94,15000,11,72930000.00
20021119,58.36,58,58,58.36,58.36,1500460,2071,7476792180.00
20021126,59.81,60,60,59.81,59.81,25528,49,130371496.00
20021130,60.41,60,60,60.41,60.41,23000,15,118634000.00
20021201,61.00,61,61,61.00,61.00,31732,47,165291988.00
20021202,61.61,62,62,61.61,61.61,36000,42,189396000.00
20021203,62.22,62,62,62.22,62.22,34000,29,180642000.00
20021204,62.84,63,63,62.84,62.84,35450,16,190224700.00
20021207,63.46,63,63,63.46,63.46,13730,14,74402870.00
20021208,64.09,64,64,64.09,64.09,33619,36,183996787.00
20021209,64.73,65,65,64.73,64.73,30150,47,166639050.00
20021210,65.37,65,65,65.37,65.37,33457,24,186756974.00
20021211,66.01,66,66,66.01,66.01,20000,15,112740000.00
20021214,66.67,67,67,66.67,66.67,26400,25,150295200.00
20021215,67.33,67,67,67.33,67.33,27906,30,160431594.00
20021216,67.99,68,68,67.99,67.99,20800,14,120764800.00
20021217,68.67,69,69,68.67,68.67,22000,10,129008000.00
20021218,69.35,69,69,69.35,69.35,15000,9,88830000.00
20021221,70.04,70,70,70.04,70.04,15000,8,89715000.00
20021222,70.73,71,71,70.73,70.73,35000,28,211400000.00
20021223,71.44,71,70,71.44,71.44,2150592,1007,13103935684.00
20021224,72.15,72,72,72.15,72.15,7905,5,48702705.00
20021225,72.87,73,73,72.87,72.87,1000,1,6222000.00
20021228,73.59,74,74,73.59,73.59,3000,2,18852000.00
20021231,74.32,74,74,74.32,74.32,1000,10,6346000.00
20030101,75.06,75,75,75.06,75.06,700,4,4486300.00
20030104,75.81,76,76,75.81,75.81,1000,5,6473000.00
20030106,76.55,77,77,76.55,76.55,1074,3,7020738.00
20030107,77.32,77,77,77.32,77.32,8500,3,56117000.00
20030108,78.09,78,78,78.09,78.09,1243,2,8288324.00
20030111,78.86,79,79,78.86,78.86,1000,2,6734000.00
20030113,79.65,80,80,79.65,79.65,1000,3,6801000.00
20030114,80.44,80,80,80.44,80.44,920,2,6319480.00
20030115,81.24,81,81,81.24,81.24,15566,10,107981342.00
20030118,82.05,82,82,82.05,82.05,1700,4,11910200.00
20030119,82.87,83,82,82.87,82.87,248048,209,1754397808.00
20030120,83.69,84,84,83.69,83.69,20940,10,149637240.00
20030121,84.52,85,85,84.52,84.52,1000,1,7217000.00
20030122,85.36,85,85,85.36,85.36,1100,3,8017900.00
20030125,86.20,86,86,86.20,86.20,2000,6,14722000.00
20030126,87.06,87,87,87.06,87.06,36616,24,272203344.00
