date,open,high,low,last,close,vol,count,value
20010403,40.91,41,41,40.97,40.97,428,4,3522328.00
20010407,40.91,41,41,40.91,40.91,62,1,510136.00
20010411,40.91,41,41,40.91,40.91,62,1,510136.00
20010416,40.91,41,41,40.91,40.91,62,1,510136.00
20010424,40.91,41,41,40.91,40.91,124,2,1020372.00
20010428,40.91,41,41,40.91,40.91,310,8,2550680.00
20010505,40.91,41,41,40.92,40.92,1436,5,11815780.00
20010507,40.92,41,41,40.92,40.92,62,1,510322.00
20010512,40.93,41,41,40.92,40.92,4062,5,33436322.00
20010515,40.93,41,41,40.93,40.93,186,3,1531152.00
20010528,42.97,43,43,42.97,42.97,1778,5,15367254.00
20010708,32.32,34,32,33.95,33.95,1148,2,7510544.00
20010710,35.64,36,36,35.64,35.64,1236,11,8860884.00
20010714,35.64,37,36,35.65,35.65,668,7,4864382.00
20010715,35.65,36,36,35.80,35.80,4627,6,33278382.00
20010716,35.80,36,36,36.15,36.15,13026,15,93815200.00
20010717,36.15,36,36,36.15,36.15,210,1,1526910.00
20010729,37.96,38,38,37.96,37.96,1544,7,11786896.00
20010730,39.85,40,40,39.85,39.85,840,7,6732600.00
20010804,41.84,42,42,41.84,41.84,1050,7,8835750.00
20010807,41.84,42,42,41.84,41.84,210,1,1767150.00
20010811,42.88,43,43,42.88,42.88,1074,7,9263250.00
20010815,42.88,43,43,42.88,42.88,210,3,1811250.00
20010822,43.95,44,44,43.95,43.95,1128,8,9971520.00
20010825,43.95,44,44,43.95,43.95,148,1,1308320.00
20010827,45.05,45,45,45.05,45.05,1532,2,13881452.00
20010828,46.17,46,46,46.17,46.17,10886,8,101098282.00
20010901,45.49,46,45,46.17,46.17,1666,5,15450772.00
20010903,46.17,46,46,46.17,46.17,482,4,4476334.00
20010904,46.16,46,46,46.17,46.17,1148,2,10660180.00
20010905,46.16,46,46,46.17,46.17,568,4,5274090.00
20010908,46.17,46,46,46.17,46.17,272,2,2525792.00
20010909,46.17,47,46,46.63,46.63,1582,3,14803060.00
20010910,46.63,47,47,46.63,46.63,18,1,168804.00
20010911,46.63,47,47,46.63,46.63,62,1,581436.00
20010912,46.63,47,47,46.63,46.63,334,4,3132252.00
20010915,46.63,47,47,46.65,46.65,307,2,2879886.00
20010916,46.67,47,47,46.67,46.67,186,2,1745858.00
20010917,46.69,47,47,46.71,46.71,360,3,3381210.00
20010919,46.69,47,47,46.69,46.69,62,1,582180.00
20010922,46.66,47,47,46.66,46.66,6760,12,63440620.00
20010924,46.70,47,47,46.71,46.71,568,3,5335100.00
20010925,46.73,47,47,46.73,46.73,210,2,1973780.00
20010926,46.73,47,47,46.73,46.73,124,2,1165476.00
20010929,46.81,47,47,46.82,46.82,2210,3,20806646.00
20010930,46.90,47,47,46.91,46.91,272,2,2565752.00
20011002,47.01,47,47,47.10,47.10,420,3,3973936.00
20011003,47.57,48,48,47.57,47.57,5000,2,47840000.00
20011006,48.04,48,48,48.04,48.04,210,1,2029230.00
20011008,48.03,48,48,48.05,48.05,1272,3,12288608.00
20011009,48.05,48,48,48.05,48.05,296,2,2860692.00
20011013,48.10,48,48,48.10,48.10,272,3,2631528.00
20011014,48.11,48,48,48.13,48.13,506,5,4897605.00
20011016,48.15,48,48,48.15,48.15,1504,1,14566240.00
20011017,48.18,48,48,48.18,48.18,3648,8,35350420.00
20011020,48.18,48,48,48.18,48.18,420,2,4070220.00
20011022,48.20,48,48,48.21,48.21,630,5,6108260.00
20011024,48.24,48,48,48.23,48.23,1638,3,15891656.00
20011031,48.71,49,49,48.71,48.71,1680,2,16458960.00
20011104,49.19,49,49,49.19,49.19,2610,2,25823340.00
20011105,49.68,50,50,49.68,49.68,7062,3,70563504.00
20011107,49.71,50,50,49.71,49.71,1000,1,9999000.00
20011110,50.21,50,50,50.21,50.21,7000,1,70686000.00
20011111,50.21,50,50,50.21,50.21,272,3,2746866.00
20011113,50.22,50,50,50.22,50.22,420,2,4242420.00
20011114,50.26,50,50,50.26,50.26,65,1,657020.00
20011121,50.46,50,50,50.46,50.46,148,1,1502200.00
20011128,50.53,51,51,50.53,50.53,272,2,2764608.00
20011205,50.64,51,51,50.64,50.64,97,1,987945.00
20011208,50.68,51,51,50.68,50.68,272,3,2772684.00
20011209,51.18,51,51,51.18,51.18,2000,2,20588000.00
20011211,51.18,51,51,51.18,51.18,62,1,638228.00
20011212,51.18,51,51,51.18,51.18,62,1,638228.00
20011217,51.18,51,51,51.18,51.18,148,1,1523512.00
20011218,51.19,51,51,51.36,51.36,1568,4,16184910.00
20011219,51.46,51,51,51.46,51.46,420,2,4347000.00
20011222,51.46,51,51,51.46,51.46,159,2,1645809.00
20011225,51.46,51,51,51.46,51.46,420,3,4347420.00
20011229,51.49,51,51,51.49,51.49,704,2,7291328.00
20011230,51.49,51,51,51.49,51.49,148,1,1532688.00
20011231,51.49,51,51,51.49,51.49,210,1,2174760.00
20020102,51.49,51,51,51.49,51.49,880,2,9113280.00
20020108,51.46,51,51,51.46,51.46,333,1,3446550.00
20020113,51.37,51,51,51.49,51.49,5767,11,59665818.00
20020114,51.46,51,51,51.46,51.46,2910,3,30118500.00
20020122,51.40,51,51,51.39,51.39,1100,2,11371700.00
20020123,51.21,51,51,51.21,51.21,272,2,2801600.00
20020127,51.40,51,51,51.21,51.21,420,3,4335244.00
20020128,51.24,51,51,51.21,51.21,624,3,6430010.00
20020130,51.22,51,51,51.22,51.22,200,1,2060200.00
20020306,51.22,51,51,51.22,51.22,1000,1,10301000.00
20020309,51.73,52,52,51.73,51.73,1075204,139,11186422416.00
20020310,52.24,52,52,52.24,52.24,39136,21,411241088.00
20020311,52.24,52,52,52.24,52.24,3962,6,41631034.00
20020312,52.24,52,52,51.99,51.99,8400,11,88008800.00
20020313,52.24,52,52,52.24,52.24,1094,6,11494658.00
20020319,52.23,52,52,52.23,52.23,100,1,1050600.00
20020327,52.21,52,52,52.21,52.21,1189,3,12484500.00
20020406,52.20,52,52,52.21,52.21,759,4,7969290.00
20020407,52.21,52,52,52.21,52.21,188,6,1974000.00
20020408,52.20,52,52,52.21,52.21,934,2,9806214.00
20020413,52.21,52,52,52.21,52.21,334,7,3507000.00
20020414,52.21,52,52,52.21,52.21,5000,1,52500000.00
20020505,52.21,52,52,52.21,52.21,62,2,651000.00
20020506,52.21,52,52,52.21,52.21,396,5,4158000.00
20020507,52.21,52,52,52.21,52.21,124,2,1302000.00
20020514,52.22,52,52,52.22,52.22,650,2,6826800.00
20020521,52.24,52,52,52.25,52.25,289,2,3037039.00
20020525,52.25,52,52,52.25,52.25,1679,6,17645275.00
20020527,52.26,52,52,52.26,52.26,229,1,2407248.00
20020603,52.27,52,52,52.27,52.27,229,1,2407706.00
20020608,52.28,52,52,52.31,52.31,450,2,4734140.00
20020610,52.32,52,52,52.31,52.31,741,6,7797190.00
20020611,52.34,52,52,52.34,52.34,210,1,2210670.00
20020624,52.86,53,53,52.86,52.86,506,3,5379792.00
20020626,53.39,53,53,53.39,53.39,802,7,8610692.00
20020629,53.40,53,53,53.41,53.41,956,4,10267348.00
20020630,53.95,54,53,53.96,53.96,1160,8,12496292.00
20020729,37.29,37,37,37.29,37.29,1118,3,8385000.00
20020730,37.31,37,37,37.29,37.29,2196,14,16475800.00
20020731,37.29,37,37,37.29,37.29,444,3,3330000.00
20020803,37.30,37,37,37.35,37.35,1500,7,11260181.00
20020804,37.79,38,38,38.04,38.04,1400,5,10649500.00
20020805,38.28,38,38,38.28,38.28,1420,3,10934000.00
20020806,38.28,39,38,38.53,38.53,3098,9,23962740.00
20020807,38.53,39,39,38.53,38.53,272,3,2108000.00
20020810,38.53,39,39,38.53,38.53,2020,5,15655740.00
20020811,38.53,39,39,38.53,38.53,553,2,4285750.00
20020813,38.28,39,38,38.53,38.53,630,5,4861500.00
20020814,38.53,39,39,38.53,38.53,1652,7,12803000.00
20020817,38.53,39,39,38.53,38.53,1996,9,15469200.00
20020818,38.54,39,39,38.53,38.53,1318,5,10215608.00
20020819,38.53,39,39,38.53,38.53,1933,10,14980930.00
20020820,38.53,39,39,38.53,38.53,754,1,5843500.00
20020821,38.54,39,39,38.56,38.56,388,2,3008940.00
20020824,38.58,39,39,38.58,38.58,7336,11,56928070.00
20020825,38.63,39,39,38.64,38.64,162,3,1258905.00
20020828,38.54,39,39,38.54,38.54,777,5,6022625.00
20020831,38.54,39,39,38.54,38.54,420,2,3255840.00
20020901,38.56,39,39,38.56,38.56,210,1,1628550.00
20020902,38.57,39,39,38.57,38.57,598,3,4639284.00
20020903,38.59,39,39,38.62,38.62,420,2,3261300.00
20020904,38.70,39,39,38.74,38.74,970,3,7551950.00
20020907,39.12,39,39,39.12,39.12,750000,5,5901750000.00
20020908,39.12,39,39,39.18,39.18,358,2,2818730.00
20020909,39.24,39,39,39.24,39.24,210,1,1657320.00
20020914,39.63,40,40,39.68,39.68,3842,5,30634412.00
20020917,40.67,41,41,40.67,40.67,10000,2,81790000.00
20020924,41.68,42,42,41.68,41.68,579,6,4853757.00
20020925,42.09,42,42,42.09,42.09,210,1,1777860.00
20020928,42.51,43,43,42.51,42.51,802,4,6857100.00
20020929,42.93,43,43,42.93,42.93,10210,7,88163350.00
20021001,43.36,43,43,43.36,43.36,388,3,3383748.00
20021006,43.79,44,44,43.79,43.79,420,2,3699360.00
20021009,44.89,45,44,44.24,44.24,4324,12,38788276.00
20021012,43.75,44,44,43.75,43.75,280,2,2464000.00
20021013,43.73,44,44,43.73,43.73,137,1,1205052.00
20021015,42.64,43,43,42.64,42.64,974,5,8353998.00
20021016,42.64,43,43,42.64,42.64,597,3,5120469.00
20021019,42.64,43,43,42.64,42.64,1388,2,11903876.00
20021020,42.66,43,43,42.66,42.66,1002,5,8597952.00
20021021,42.77,43,43,42.77,42.77,148,1,1273096.00
20021023,42.78,43,43,43.20,43.20,307,2,2659165.00
20021026,43.21,44,43,43.62,43.62,2312,3,20246040.00
20021027,44.06,44,44,44.06,44.06,1000,2,8861000.00
20021028,44.49,44,44,44.49,44.49,1000,3,8949000.00
20021029,44.25,44,44,44.25,44.25,310,2,2759000.00
20021102,44.25,45,44,44.65,44.65,1496,4,13410400.00
20021105,44.65,45,45,45.09,45.09,4864,6,43806356.00
20021109,45.09,46,45,45.54,45.54,1148,2,10501212.00
20021112,45.53,46,46,45.54,45.54,988,5,9048672.00
20021117,45.54,46,46,45.54,45.54,1124,3,10294716.00
20021118,45.54,46,46,45.54,45.54,480,3,4396320.00
20021119,45.54,46,46,45.54,45.54,2739,2,25086501.00
20021120,45.54,46,46,45.54,45.54,420,4,3846780.00
20021125,45.53,46,46,45.54,45.54,421,2,3855648.00
20021201,45.49,45,45,45.49,45.49,1660,2,15187340.00
20021203,45.48,45,45,45.48,45.48,304,2,2780782.00
20021204,45.49,45,45,45.49,45.49,1000,2,9150000.00
20021207,45.49,45,45,45.48,45.48,1420,2,12992704.00
20021208,45.48,45,45,45.48,45.48,1306,1,11945982.00
20021209,45.47,45,45,45.48,45.48,425,2,3887087.00
20021214,45.46,45,45,45.46,45.46,254,2,2322322.00
20021216,45.03,45,45,45.03,45.03,1148,2,10397436.00
20021217,45.44,45,45,45.48,45.48,986,2,9016226.00
20021222,45.93,46,46,45.93,45.93,24140,7,223005320.00
20021225,45.93,46,46,46.24,46.24,3000,2,27886980.00
20021229,46.23,46,46,46.23,46.23,12287,3,114256813.00
20021231,46.13,46,46,46.13,46.13,1922,2,17832316.00
20030101,45.78,46,46,45.78,45.78,640,1,5892480.00
20030104,45.78,46,46,45.65,45.65,1020,2,9366140.00
20030105,45.64,46,46,45.64,45.64,1164,2,10685520.00
20030107,45.48,46,45,45.61,45.61,29245,17,268156342.00
20030108,45.77,46,46,45.78,45.78,4510,10,41486678.00
20030111,45.78,46,46,45.78,45.78,2955,9,27206106.00
20030112,45.79,46,46,45.85,45.85,2958,13,27245272.00
20030113,45.85,46,46,45.85,45.85,1196,3,11028316.00
20030114,45.86,46,46,46.24,46.24,1277,3,11804029.00
20030115,46.24,46,46,46.26,46.26,1777,6,16527548.00
20030118,46.26,46,46,46.26,46.26,4888,4,45482840.00
20030119,46.26,46,46,46.26,46.26,732,3,6811260.00
20030120,46.26,46,46,46.26,46.26,776,1,7220680.00
20030121,46.26,46,46,46.26,46.26,1800,2,16749000.00
20030122,46.24,46,46,46.23,46.23,2000,2,18599000.00
20030125,46.23,46,46,46.23,46.23,1769,3,16450148.00
20030303,45.77,46,46,45.77,45.77,1000,1,9206000.00
20030319,45.31,45,45,45.31,45.31,21944,26,199997616.00
20030325,45.30,45,45,45.19,45.19,6492,17,59080301.00
20030329,45.17,45,45,45.31,45.31,15923,29,144754862.00
20030330,45.31,45,45,45.31,45.31,767,6,6990438.00
20030331,45.31,45,45,45.31,45.31,1300,8,11847990.00
20030405,45.29,45,45,45.29,45.29,500,2,4555000.00
20030406,45.28,45,45,45.28,45.28,1480,3,13479840.00
20030407,44.83,45,45,44.83,44.83,300,1,2705100.00
20030408,44.38,44,44,44.38,44.38,200,1,1785400.00
20030409,43.94,44,44,43.94,43.94,451122,5,4025716236.00
20030413,43.50,44,44,43.94,43.94,23007,35,201819205.00
20030414,43.94,44,44,43.94,43.94,2300,4,20327400.00
20030415,43.94,44,44,43.96,43.96,3336,6,29487324.00
20030416,43.97,44,44,43.96,43.96,2780,6,24582716.00
20030420,43.96,44,44,43.96,43.96,6920,5,61186640.00
20030422,43.96,44,44,43.96,43.96,1772,6,15668024.00
20030426,43.96,44,44,43.96,43.96,240,3,2122080.00
