date,open,high,low,last,close,vol,count,value
20130922,1014.71,1015,1015,1014.71,1014.71,9973000,4884,99630270000.00
20130923,1065.39,1065,1065,1065.39,1065.39,43533,48,456617637.00
20130924,1118.61,1119,1119,1118.61,1118.61,52000,149,572676000.00
20130925,1174.48,1174,1174,1174.48,1174.48,669117,961,7736999871.00
20130928,1233.19,1233,1201,1233.19,1228.01,4255741,6641,51450958491.00
20130929,1233.09,1239,1203,1203.63,1215.31,1931211,2876,23107721213.00
20130930,1219.78,1220,1158,1166.25,1178.03,713059,1108,8269994185.00
20131001,1171.23,1214,1171,1189.41,1194.08,579346,831,6810565270.00
20131002,1208.71,1254,1186,1253.71,1243.14,869397,990,10640312567.00
20131005,1284.89,1305,1267,1305.20,1297.99,738556,1245,9437952523.00
20131006,1348.88,1363,1300,1311.30,1348.17,2548324,2228,33824445241.00
20131007,1295.05,1320,1281,1289.97,1286.92,1565886,1345,19839919938.00
20131008,1287.94,1298,1255,1279.81,1275.34,633057,654,7948845501.00
20131009,1289.97,1305,1285,1289.97,1292.61,500910,631,6374549492.00
20131012,1317.39,1317,1230,1234.10,1252.69,614600,647,7579635642.00
20131013,1264.47,1264,1199,1218.77,1222.93,1384871,1127,16673617203.00
20131014,1230.75,1270,1231,1249.44,1257.16,607253,656,7516270179.00
20131015,1258.48,1262,1220,1235.02,1232.78,449757,520,5458608292.00
20131019,1228.01,1256,1228,1253.40,1246.29,621487,489,7625594339.00
20131020,1305.41,1305,1240,1284.89,1287.12,641820,624,8133356831.00
20131021,1286.92,1289,1250,1279.81,1264.47,567729,466,7067594097.00
20131029,1350.91,1351,1270,1305.20,1315.77,537356,512,6960969860.00
20131030,1305.20,1381,1305,1381.48,1352.23,1554205,1289,20690987530.00
20131102,1392.86,1420,1386,1411.85,1416.12,1725071,1197,24051703884.00
20131103,1401.70,1416,1352,1396.62,1378.44,1144651,929,15533763332.00
20131104,1392.56,1393,1351,1350.91,1369.19,343435,363,4629653254.00
20131105,1342.07,1371,1326,1338.72,1350.00,270821,287,3599604036.00
20131106,1342.78,1417,1343,1417.34,1405.96,920938,796,12747749343.00
20131109,1432.17,1476,1407,1452.69,1456.14,998473,705,14313979946.00
20131110,1401.70,1452,1387,1422.01,1432.07,539530,429,7607079069.00
20131111,1466.70,1486,1442,1468.23,1468.73,430882,396,6230573003.00
20131112,1482.95,1542,1483,1542.17,1540.55,1945696,1204,29510393891.00
20131116,1617.54,1618,1618,1617.54,1617.54,1128256,512,17967476800.00
20131117,1698.39,1698,1626,1645.47,1681.93,2907600,2601,48146809195.00
20131118,1644.45,1644,1598,1597.93,1603.42,850002,720,13417711142.00
20131119,1564.21,1684,1562,1683.56,1676.96,1777839,1612,29351930096.00
20131120,1736.89,1761,1676,1760.75,1756.18,1691135,1345,29239019667.00
20131123,1828.30,1844,1788,1843.94,1843.23,1385587,1016,25143869524.00
20131124,1935.36,1935,1899,1935.36,1935.15,978631,781,18644861589.00
20131125,2031.85,2032,1930,1945.11,1992.75,2078340,2437,40775632328.00
20131126,1899.91,2000,1893,1893.20,1908.44,1290383,1218,24245632753.00
20131127,1833.89,1940,1834,1871.06,1891.27,1223137,1209,22775290953.00
20131130,1919.72,1986,1910,1985.84,1977.31,897400,683,17469939686.00
20131201,2071.97,2076,1910,1932.31,2021.49,1343503,1539,26738600630.00
20131202,1931.90,1960,1920,1920.43,1926.83,893086,878,16941570712.00
20131203,1919.72,1930,1831,1830.53,1843.54,886247,943,16085304632.00
20131204,1838.46,1935,1838,1919.72,1910.57,434353,659,8170101905.00
20131207,1960.34,1991,1910,1975.58,1970.20,385954,554,7486516317.00
20131208,1975.58,2030,1930,1934.95,1967.56,537311,687,10408208214.00
20131209,1994.88,1997,1930,1934.95,1954.96,564333,638,10861618114.00
20131210,1955.27,1955,1875,1919.41,1897.47,512478,673,9573734218.00
20131211,1919.61,1992,1910,1992.34,1982.59,1088312,1019,21242720165.00
20131214,1980.66,2077,1884,2000.97,2025.45,1029431,1158,20527681723.00
20131215,2036.42,2127,2031,2126.72,2116.36,1531043,1549,31900121646.00
20131216,2204.12,2222,2184,2222.10,2221.38,1454142,2601,31802575034.00
20131217,2272.17,2272,2133,2183.80,2219.25,780714,1112,17058095636.00
20131218,2183.80,2330,2148,2330.17,2303.15,1006231,949,22816661446.00
20131221,2407.26,2418,2387,2418.23,2416.71,687990,560,16369562738.00
20131222,2536.77,2537,2438,2537.48,2528.34,2054759,1785,51147937790.00
20131224,2539.41,2639,2499,2513.91,2546.82,1652164,1725,41426192735.00
20131225,2533.21,2533,2438,2452.97,2464.95,1269372,1382,30804630345.00
20131228,2516.96,2517,2346,2356.48,2383.09,953691,991,22375542566.00
20131229,2356.48,2502,2356,2498.68,2481.92,1098282,1510,26836718594.00
20131230,2538.29,2538,2421,2437.73,2462.21,722476,741,17513597065.00
20140101,2437.73,2438,2339,2339.11,2344.29,738640,695,17047678771.00
20140104,2275.22,2339,2228,2244.75,2259.58,743323,851,16535701595.00
20140105,2295.53,2373,2296,2372.52,2360.13,785454,742,18250429616.00
20140106,2430.42,2478,2377,2473.28,2467.29,1326877,1777,32231432072.00
20140107,2522.04,2522,2344,2375.67,2381.36,477857,638,11203246007.00
20140108,2336.16,2407,2301,2366.63,2318.28,615774,663,14054406742.00
20140111,2366.63,2428,2311,2371.71,2366.12,353189,479,8227476429.00
20140112,2265.16,2428,2248,2266.38,2265.37,547069,547,12201343140.00
20140113,2323.97,2324,2265,2315.85,2285.38,653154,681,14695949132.00
20140114,2285.48,2326,2171,2204.12,2215.80,346557,377,7560151754.00
20140115,2143.17,2224,2105,2122.76,2110.26,404125,455,8396297896.00
20140118,2113.01,2113,2005,2006.05,2018.34,503640,597,10007734057.00
20140216,1909.35,1909,1615,1680.72,1680.82,878890,886,14543516178.00
20140217,1722.66,1765,1676,1726.73,1734.35,761161,841,12996525522.00
20140218,1721.65,1722,1648,1647.70,1652.28,608687,527,9901644035.00
20140219,1675.64,1704,1666,1677.97,1680.61,516299,465,8542864571.00
20140222,1724.59,1765,1706,1764.61,1753.85,646763,484,11167356883.00
20140223,1818.14,1828,1707,1726.73,1770.00,823561,848,14351526862.00
20140224,1726.73,1727,1682,1686.10,1687.83,434750,485,7224048149.00
20140225,1640.39,1666,1604,1603.52,1617.84,201543,219,3210091199.00
20140226,1555.07,1608,1537,1551.82,1551.11,628564,609,9598560662.00
20140301,1583.41,1595,1527,1568.58,1568.58,181497,297,2802845222.00
20140302,1584.53,1585,1490,1490.17,1513.32,212618,229,3167768408.00
