date,open,high,low,last,close,vol,count,value
20040225,1503.26,1503,1503,1503.26,1503.26,181827,95,2181924000.00
20040228,1503.26,1503,1503,1503.26,1503.26,12173,4,146076000.00
20040229,1503.26,1503,1503,1503.26,1503.26,74945,23,899340000.00
20040306,1503.26,1503,1503,1503.26,1503.26,6000,4,72000000.00
20040309,1503.26,1503,1503,1503.26,1503.26,4931,5,59172000.00
20040313,1503.26,1503,1503,1503.26,1503.26,100,1,1200000.00
20040315,1428.10,1489,1428,1488.73,1488.73,3010,5,34318840.00
20040410,1489.48,1503,1489,1494.62,1494.62,615710,8,7388154310.00
20040413,1494.49,1494,1494,1494.49,1494.49,1984,1,23669120.00
20040426,1491.86,1503,1492,1500.38,1500.38,225927,14,2710073033.00
20040508,1425.47,1497,1425,1496.75,1496.75,1010,2,11498480.00
20040509,1491.99,1503,1492,1494.12,1494.12,25010,4,298314270.00
20040518,1503.14,1507,1495,1494.99,1494.99,2010,4,24133340.00
20040519,1503.26,1503,1496,1495.74,1495.74,2010,2,24119400.00
20040601,1495.74,1509,1496,1501.51,1501.51,10010,3,120491860.00
20040605,1501.51,1502,1502,1501.51,1501.51,50,1,599300.00
20040606,1501.51,1509,1502,1503.01,1503.01,5755,4,69242740.00
20040607,1505.77,1509,1505,1505.01,1505.01,8310,5,100039840.00
20040609,1505.01,1505,1505,1505.01,1505.01,2000,1,24028000.00
20040612,1505.01,1505,1505,1505.01,1505.01,950,2,11413300.00
20040613,1505.01,1505,1505,1505.01,1505.01,5756,2,69152584.00
20040614,1505.01,1505,1505,1505.01,1505.01,5000,1,60070000.00
20040616,1509.52,1510,1506,1505.89,1505.89,4110,5,49525210.00
20040619,1509.52,1510,1506,1506.02,1506.02,1010,2,12170220.00
20040621,1509.52,1510,1506,1509.40,1509.40,273760,8,3298793990.00
20040801,1064.81,1065,1065,1064.81,1064.81,1000,1,8500000.00
20040815,1064.81,1065,1065,1064.81,1064.81,1000,1,8500000.00
20040821,1058.42,1058,1058,1058.42,1058.42,60000,6,506940000.00
