date,open,high,low,last,close,vol,count,value
20020305,126.35,128,126,127.25,127.25,751000,710,5387268470.00
20020310,128.52,129,129,128.52,128.52,94113,263,684483849.00
20020311,129.79,130,130,129.79,129.79,823,3,6044935.00
20020316,131.08,131,131,131.08,131.08,500,2,3709000.00
20020317,132.39,132,132,132.39,132.39,2044,4,15313648.00
20020318,133.70,134,134,133.70,133.70,6000,3,45396000.00
20020319,135.02,135,135,135.02,135.02,5150,9,39351150.00
20020331,136.37,136,136,136.37,136.37,500,1,3858500.00
20020403,137.73,138,138,137.73,137.73,1630,3,12704220.00
20020407,139.09,139,139,139.09,139.09,1210,4,9523910.00
20020409,140.46,140,140,140.46,140.46,1000,1,7949000.00
20020410,141.86,142,142,141.86,141.86,10205,35,81925740.00
20020413,143.27,143,143,143.27,143.27,1125,3,9121500.00
20020416,144.71,145,145,144.71,144.71,1500,2,12283500.00
20020420,146.14,146,146,146.14,146.14,1459,5,12065930.00
20020421,147.59,148,148,147.59,147.59,1400,2,11692800.00
20020423,149.05,149,149,149.05,149.05,1610,18,13580350.00
20020424,150.54,151,151,150.54,150.54,1000,3,8519000.00
20020428,152.04,152,152,152.04,152.04,3100,4,26672400.00
20020430,153.56,154,154,153.56,153.56,1800,3,15642000.00
20020504,155.08,155,155,155.08,155.08,13490,15,118388240.00
20020505,156.62,157,157,156.62,156.62,5400,2,47860200.00
20020506,158.17,158,158,158.17,158.17,3313,4,29654663.00
20020507,158.17,160,158,159.74,159.74,139733,179,1262382510.00
20020512,161.33,161,161,161.33,161.33,1000,2,9130000.00
20020518,162.94,163,163,162.94,162.94,1880,10,17335480.00
20020519,164.57,165,165,164.57,164.57,2000,5,18626000.00
20020520,166.21,166,166,166.21,166.21,2000,3,18812000.00
20020521,167.87,168,168,167.87,167.87,1500,3,14250000.00
20020522,167.87,170,168,169.55,169.55,39094,72,374484775.00
20020525,169.55,171,170,171.23,171.23,15094,24,145922160.00
20020526,171.23,171,170,169.53,169.53,75314,96,725549590.00
