date,open,high,low,last,close,vol,count,value
20030204,298.74,299,298,298.25,298.25,1000000,336,18419318300.00
20030205,301.22,301,301,301.22,301.22,4000,3,74336000.00
20030208,304.22,304,304,304.22,304.22,7250,18,136075250.00
20030209,304.22,304,304,304.22,304.22,3400,11,63814811.00
20030210,304.22,304,304,304.22,304.22,1054,3,19782526.00
20030215,301.19,301,301,301.19,301.19,35658,45,662596956.00
20030216,301.19,301,301,301.24,301.24,17842,16,331475814.00
20030217,304.07,304,301,304.07,304.07,2000,4,37345000.00
20030218,305.19,307,304,307.09,307.09,26892,31,506710136.00
20030219,307.96,310,308,307.96,307.96,2050,6,38990200.00
20030222,307.96,308,308,307.96,307.96,714,5,13566000.00
20030223,307.59,308,305,304.88,304.88,3200,5,60522000.00
20030224,301.84,302,302,301.84,301.84,1000,3,18622000.00
20030225,298.82,299,299,298.82,298.82,1000,2,18436000.00
20030226,298.09,299,296,295.84,295.84,3800,9,69490116.00
20030301,295.81,298,296,298.04,298.04,77310,34,1411276676.00
20030302,298.06,300,298,299.86,299.86,5350,7,98942520.00
20030303,299.86,301,300,301.48,301.48,1080,2,20070000.00
20030304,301.48,301,301,301.48,301.48,15000,6,279000000.00
20030305,301.45,301,301,301.48,301.48,5000,3,92995000.00
20030308,301.48,301,301,301.48,301.48,29079,18,540848321.00
20030316,299.86,303,300,303.10,303.10,19269,20,358090270.00
20030317,303.75,304,304,303.75,303.75,1000,2,18740000.00
20030318,303.10,305,303,304.72,304.72,6969,9,130633060.00
20030319,307.77,308,308,307.77,307.77,2045,3,38829460.00
20030326,307.72,308,308,307.77,307.77,5480,5,104046240.00
20030329,307.77,311,308,310.83,310.83,2253,4,42827781.00
20030330,310.83,311,311,310.83,310.83,600,2,11506200.00
20030331,310.83,311,311,310.83,310.83,262,1,5024374.00
20030406,310.83,311,311,310.83,310.83,15000,21,287655000.00
20030407,307.77,311,308,310.80,310.80,2876,9,55023957.00
20030408,310.78,311,311,310.83,310.83,4810,8,92237040.00
20030409,312.83,313,313,312.83,312.83,14995,16,289399000.00
20030412,312.83,313,313,312.83,312.83,19625,17,378762500.00
20030413,312.83,313,313,312.83,312.83,1000,1,19300000.00
20030414,312.83,313,313,312.83,312.83,3589,9,69267700.00
