date,open,high,low,last,close,vol,count,value
20160309,1529.93,1606,1525,1606.38,1532.88,205387,87,2664445722.00
20160312,1609.45,1609,1607,1609.45,1562.07,46342,45,630865104.00
20160314,1640.05,1640,1484,1512.56,1554.39,28815,33,373094073.00
20160315,1583.34,1583,1496,1497.67,1546.12,19261,23,245022046.00
20160316,1474.63,1582,1475,1495.90,1542.22,12152,19,155028437.00
20160326,1536.07,1536,1495,1494.95,1541.39,2174,6,27567900.00
20160327,1500.62,1501,1501,1500.62,1541.03,1025,2,13017500.00
20160328,1467.66,1477,1468,1468.37,1533.00,13210,16,164157830.00
20160329,1536.07,1536,1478,1488.81,1528.86,10792,13,135826100.00
20160330,1478.29,1501,1477,1480.54,1520.00,23588,25,296202216.00
20160402,1490.34,1536,1490,1500.62,1519.18,5731,6,72827498.00
20160403,1488.81,1595,1489,1593.85,1593.85,1540876,25,20785512056.00
20160404,1664.87,1665,1531,1536.07,1593.73,17515,22,236112324.00
20160405,1559.82,1607,1560,1559.82,1588.30,19283,12,254586312.00
20160406,1536.31,1536,1536,1536.31,1587.59,1615,7,20997440.00
20160409,1587.71,1588,1588,1587.71,1587.59,200,1,2687400.00
20160410,1583.34,1583,1583,1583.34,1587.59,100,2,1340000.00
20160411,1512.79,1536,1513,1536.07,1587.00,1002,5,12894256.00
20160412,1571.40,1571,1571,1571.40,1586.76,1914,1,25454286.00
20160413,1557.93,1558,1553,1553.21,1586.64,541,4,7111465.00
20160416,1512.79,1536,1507,1507.36,1571.28,24060,15,307482857.00
20160417,1492.83,1534,1493,1533.71,1563.60,12685,19,160923750.00
20160418,1535.84,1536,1486,1511.26,1549.78,33438,23,428482281.00
20160419,1472.74,1521,1473,1517.05,1545.41,8447,20,106397825.00
20160420,1468.37,1478,1468,1478.29,1542.81,4493,7,56126654.00
20160423,1535.72,1536,1518,1524.26,1541.98,7787,4,100809661.00
20160424,1534.89,1536,1502,1501.81,1541.39,2620,6,33648638.00
20160425,1529.93,1530,1465,1512.44,1540.80,1714,12,21741717.00
20160426,1520.71,1595,1477,1547.89,1572.82,201416,35,2680971543.00
20160427,1512.44,1536,1502,1536.07,1568.80,9372,19,120711470.00
20160430,1491.29,1560,1490,1490.58,1548.83,31000,21,391256252.00
20160501,1559.70,1560,1472,1471.56,1544.93,6242,12,77863757.00
20160502,1502.99,1535,1468,1530.16,1540.33,8623,23,108048193.00
20160509,1603.65,1617,1504,1504.02,1541.01,1700,5,19758000.00
20160510,1566.80,1567,1529,1542.24,1541.96,52858,11,597706600.00
20160511,1549.06,1549,1501,1521.76,1540.46,8900,12,99255600.00
20160514,1501.29,1542,1501,1514.94,1528.45,63073,23,701329643.00
20160515,1528.59,1542,1474,1474.13,1539.78,1053839,33,11889054188.00
20160516,1528.04,1542,1476,1475.91,1541.42,1002000,11,11316757991.00
20160517,1535.41,1552,1535,1538.01,1541.42,4545,5,51332205.00
20160518,1501.29,1515,1501,1514.94,1540.19,4236,6,46812972.00
20160521,1514.94,1522,1515,1521.76,1539.64,2441,5,27114650.00
20160523,1489.15,1501,1489,1489.15,1534.05,13299,11,145154865.00
20160525,1501.57,1503,1502,1502.66,1533.23,3250,4,35766779.00
20160528,1502.11,1508,1502,1502.66,1531.73,6143,9,67659330.00
20160529,1504.02,1528,1504,1504.02,1527.36,18927,11,208620750.00
20160530,1504.02,1505,1501,1501.29,1525.18,11215,17,123536706.00
20160531,1501.29,1501,1485,1501.29,1522.17,9437,9,102854916.00
20160601,1501.29,1501,1475,1501.29,1513.44,33128,13,361779610.00
20160605,1474.81,1475,1475,1474.81,1513.30,500,2,5403000.00
20160606,1476.18,1477,1476,1477.41,1512.48,2722,8,29461911.00
20160607,1483.82,1484,1481,1480.82,1508.53,15800,10,171665700.00
20160608,1501.43,1515,1488,1514.94,1508.12,16275,18,179528075.00
20160611,1540.33,1540,1540,1540.33,1512.89,18000,7,203148000.00
20160612,1501.43,1501,1469,1501.29,1501.70,56172,17,612870425.00
20160614,1474.68,1502,1475,1476.45,1498.84,23030,13,250893420.00
20160615,1553.15,1553,1474,1539.51,1498.15,11926,6,130381026.00
20160618,1494.88,1495,1488,1495.15,1497.61,21900,19,239883324.00
20160619,1502.66,1514,1503,1513.58,1499.11,18132,11,200275880.00
20160620,1501.29,1554,1498,1528.59,1501.97,62690,38,691106336.00
20160621,1542.24,1542,1508,1514.94,1504.70,25565,23,283730664.00
20160622,1513.58,1529,1505,1508.12,1505.52,28000,17,309370420.00
20160625,1514.94,1515,1504,1514.94,1505.66,2623,6,29099700.00
20160626,1509.48,1509,1502,1505.25,1505.39,17924,14,197478922.00
20160628,1505.52,1529,1505,1528.59,1507.43,18846,10,209614980.00
20160629,1508.39,1529,1508,1509.62,1507.57,6761,5,74765242.00
20160702,1517.67,1518,1515,1514.94,1507.84,3077,6,34206384.00
20160703,1507.57,1508,1507,1508.39,1507.71,73497,10,811848844.00
20160704,1508.39,1529,1508,1508.25,1508.12,43945,15,485837872.00
20160705,1508.25,1583,1508,1583.18,1516.31,70479,30,785985479.00
20160709,1542.37,1589,1542,1587.96,1551.24,69331,31,801015646.00
20160710,1588.50,1629,1589,1610.48,1576.22,54296,30,639118951.00
20160711,1654.42,1655,1624,1654.15,1654.70,139703,57,1693801158.00
20160712,1654.83,1677,1654,1671.89,1657.70,20691,21,253509915.00
20160713,1698.51,1699,1639,1663.70,1658.93,23856,17,290838504.00
20160716,1667.80,1668,1638,1667.80,1660.29,24471,15,298681195.00
20160717,1680.08,1720,1640,1639.68,1663.02,23803,16,291911190.00
20160718,1638.46,1638,1638,1637.77,1650.06,62799,17,753815482.00
20160719,1637.77,1651,1638,1637.77,1648.96,11800,5,141713400.00
20160720,1637.77,1638,1609,1609.25,1644.19,21830,22,259523113.00
20160723,1651.28,1651,1617,1617.30,1642.14,19300,17,230659800.00
20160724,1605.84,1684,1576,1576.49,1634.36,26390,21,310734768.00
20160725,1576.36,1638,1570,1637.77,1626.72,17730,11,205615321.00
20160727,1603.65,1638,1590,1637.77,1604.74,75602,34,881804849.00
20160731,1590.14,1610,1570,1571.85,1598.74,32220,22,373547540.00
20160801,1584.68,1665,1585,1665.07,1625.76,54418,9,661153456.00
20160802,1585.09,1675,1585,1596.83,1623.99,7805,8,91393867.00
