date,open,high,low,last,close,vol,count,value
20010325,282.59,283,283,282.59,282.59,1000,8,4221000.00
20010326,282.59,285,283,282.92,282.92,1754,9,7415804.00
20010327,282.86,283,283,283.12,283.12,2306,10,9746574.00
20010403,289.95,290,287,290.15,290.15,3450,13,14866500.00
20010410,297.38,297,297,297.38,297.38,1000,1,4442000.00
20010501,244.96,299,211,211.09,211.09,2493500,4,7864982500.00
20010512,221.60,222,222,221.60,221.60,2000,3,6620000.00
20010513,232.65,233,233,232.65,232.65,2000,3,6950000.00
20010516,244.23,244,244,244.23,244.23,3000,3,10944000.00
20010521,256.41,256,256,256.41,256.41,1000,3,3830000.00
20010526,262.77,263,263,262.77,262.77,1000,2,3925000.00
20010527,269.33,269,269,269.33,269.33,5728,10,23043744.00
20010530,272.01,272,272,272.01,272.01,604,1,2454052.00
20010609,274.69,275,275,274.69,274.69,1773,3,7274619.00
20010612,277.43,277,277,277.43,277.43,2144,4,8884736.00
20010613,280.18,280,280,280.18,280.18,8222,4,34409070.00
20010710,318.00,335,301,335.48,335.48,27408,50,131951118.00
20010711,334.67,335,327,327.11,327.11,16275,26,80740354.00
20010714,319.61,333,319,333.40,333.40,22331,27,108474523.00
20010715,341.70,342,335,341.70,341.70,2409,5,12138600.00
20010716,350.21,350,350,350.21,350.21,3081,4,16116711.00
20010721,358.91,359,359,358.91,358.91,1005,3,5387805.00
20010722,362.46,362,362,362.46,362.46,4631,9,25072234.00
20010723,366.07,366,366,366.07,366.07,1000,2,5468000.00
20010815,369.69,370,370,369.69,369.69,8984,12,49609648.00
20010820,373.37,373,373,373.37,373.37,1000,1,5577000.00
20010821,377.05,377,377,377.05,377.05,1000,1,5632000.00
20010822,380.80,381,378,380.80,380.80,34680,28,197006886.00
20010827,384.55,385,385,384.55,384.55,1224,4,7030656.00
20010828,388.37,388,388,388.37,388.37,1200,3,6961200.00
20010829,392.25,392,392,392.25,392.25,3675,7,21531825.00
20010901,396.13,396,396,396.13,396.13,1250,2,7396250.00
20010902,396.20,400,396,400.08,400.08,21784,32,129866046.00
20010903,396.33,396,396,396.13,396.13,5432,13,32143237.00
20010905,392.18,392,392,392.18,392.18,1237,1,7246346.00
20010908,388.30,388,388,388.30,388.30,2461,4,14273800.00
20010909,384.42,384,384,384.42,384.42,1172,3,6729624.00
20010910,380.60,381,381,380.60,380.60,1000,1,5685000.00
