date,open,high,low,last,close,vol,count,value
20010403,960.14,960,960,960.14,960.14,534,4,5773074.00
20010407,914.76,915,915,914.76,914.76,3809,14,39232700.00
20010408,915.64,960,916,960.14,960.14,1598,4,17176780.00
20010410,960.14,960,960,960.14,960.14,780,3,8432580.00
20010411,960.14,960,960,960.14,960.14,983,3,10627213.00
20010414,960.14,960,960,960.14,960.14,2162,7,23373382.00
20010415,1000.99,1001,1001,1000.99,1000.99,1596,3,17988516.00
20010417,1001.17,1001,1001,1001.17,1001.17,557,3,6279085.00
20010418,1001.17,1001,1001,1001.17,1001.17,804,3,9063492.00
20010421,1012.45,1014,1012,1014.31,1014.31,1049,6,11965883.00
20010422,1015.82,1016,1016,1015.82,1015.82,366,2,4186308.00
20010423,1047.88,1048,1019,1047.97,1047.97,2723,5,31560846.00
20010424,1060.85,1061,1061,1061.38,1061.38,2204,4,26335188.00
20010425,1065.38,1066,1062,1065.65,1065.65,1034,3,12402964.00
20010429,1066.09,1066,1066,1065.56,1065.56,677,6,8124620.00
20010430,1064.85,1065,1065,1064.85,1064.85,1049,7,12577510.00
20010501,1056.68,1057,1057,1056.77,1056.77,4203,10,50009947.00
20010505,1055.97,1057,1056,1056.68,1056.68,2990,6,35561164.00
20010506,1056.68,1057,1057,1056.77,1056.77,1182,4,14063508.00
20010507,1057.39,1057,1057,1057.39,1057.39,366,1,4357596.00
20010508,1057.74,1058,1058,1057.74,1057.74,1555,8,18520100.00
20010509,1057.92,1058,1058,1057.92,1057.92,366,1,4359792.00
20010512,1059.34,1059,1059,1058.81,1058.81,4166,13,49680580.00
20010513,1057.74,1059,1057,1059.07,1059.07,8038,18,95788076.00
20010515,1060.67,1061,1059,1060.67,1060.67,3080,9,36771768.00
20010516,1065.74,1075,1062,1075.06,1075.06,3371,11,40556595.00
20010519,1076.04,1077,1076,1077.19,1077.19,2024,5,24536642.00
20010520,1079.59,1082,1080,1082.17,1082.17,778,3,9476682.00
20010523,1136.25,1136,1136,1136.25,1136.25,1108,5,14175752.00
20010526,1193.00,1193,1193,1193.00,1193.00,2370,4,31836210.00
20010528,1252.59,1253,1253,1252.59,1252.59,3049,9,43003096.00
20010529,1315.21,1315,1315,1315.21,1315.21,2278,4,33734902.00
20010530,1316.18,1348,1316,1318.58,1318.58,11888,31,179234692.00
20010602,1315.29,1318,1315,1315.21,1315.21,10799,21,160005960.00
20010603,1315.29,1320,1315,1318.94,1318.94,5234,13,77723939.00
20010606,1318.94,1319,1319,1318.94,1318.94,4297,13,63817904.00
20010609,1318.94,1319,1318,1317.78,1317.78,378,3,5609414.00
20010611,1317.69,1318,1314,1313.52,1313.52,695,3,10293680.00
20010613,1311.21,1311,1311,1310.85,1310.85,455,6,6717192.00
20010616,1278.08,1278,1278,1278.08,1278.08,2786,9,40093326.00
20010618,1214.23,1214,1214,1214.23,1214.23,10548,16,144212256.00
20010619,1214.23,1215,1214,1214.94,1214.94,5815,21,79541826.00
20010620,1225.60,1226,1217,1225.60,1225.60,2175,7,29980596.00
20010623,1225.60,1226,1226,1225.60,1225.60,3065,6,42294482.00
20010624,1225.60,1226,1226,1225.68,1225.68,1044,14,14407312.00
20010625,1225.86,1226,1226,1225.86,1225.86,1272,5,17557416.00
20010626,1226.22,1227,1226,1226.57,1226.57,2307,6,31854572.00
20010627,1227.46,1243,1227,1243.36,1243.36,2733,7,37864060.00
20010630,1243.54,1252,1244,1252.24,1252.24,2584,11,36256142.00
