date,open,high,low,last,close,vol,count,value
20010325,108.38,108,108,108.39,108.39,2994,4,27529141.00
20010326,108.36,108,108,108.39,108.39,2000,7,18386030.00
20010327,108.35,108,108,108.39,108.39,3382,10,31094299.00
20010331,108.39,108,108,108.36,108.36,3451,10,31729160.00
20010403,108.39,108,108,108.39,108.39,425,2,3907875.00
20010407,108.40,108,108,108.42,108.42,650,4,5977500.00
20010408,108.42,108,108,108.41,108.41,1028,4,9454920.00
20010410,107.27,107,107,106.62,106.62,6450,14,58447650.00
20010411,106.28,106,106,106.28,106.28,425,1,3831800.00
20010414,106.09,106,106,106.03,106.03,23985,45,215875425.00
20010415,105.49,106,105,104.91,104.91,16272,29,144952770.00
20010416,104.91,105,105,104.84,104.84,2831,10,25190534.00
20010417,104.66,105,104,104.43,104.43,3249,3,28844511.00
20010418,104.03,104,104,103.73,103.73,4000,6,35304000.00
20010421,102.55,104,101,101.37,101.37,6091,17,52923754.00
20010422,103.67,104,102,102.55,102.55,32179,77,281606981.00
20010423,102.55,103,103,103.14,103.14,16709,46,145910545.00
20010424,103.14,104,103,104.10,104.10,14123,41,124597966.00
20010425,104.91,108,104,108.45,108.45,22449,71,202454277.00
20010428,110.21,110,108,110.34,110.34,7970,26,74137545.00
20010429,112.22,112,112,112.43,112.43,5875,15,55910805.00
20010430,113.22,115,113,114.40,114.40,7183,28,69357149.00
20010501,114.40,114,114,114.23,114.23,11686,20,113416657.00
20010502,113.72,114,113,113.17,113.17,28204,72,271957105.00
20010505,113.17,113,113,113.34,113.34,10065,41,96719272.00
20010506,113.46,114,113,114.33,114.33,17351,61,167110132.00
20010507,114.33,115,114,114.60,114.60,13240,52,128519833.00
20010508,114.63,117,114,117.16,117.16,12882,25,126259610.00
20010509,117.33,119,117,118.71,118.71,7659,37,76664528.00
20010512,120.84,121,120,120.86,120.86,7622,39,78018909.00
20010513,120.91,121,121,121.41,121.41,19310,74,198346584.00
20010515,123.78,127,123,126.30,126.30,17685,70,188168280.00
20010516,128.49,129,126,128.49,128.49,21871,72,237522550.00
20010519,129.66,130,129,130.43,130.43,12568,35,138528760.00
20010520,130.84,131,131,131.15,131.15,14490,36,160922132.00
20010521,132.85,134,132,132.61,132.61,15147,48,170371004.00
20010523,132.62,133,133,132.68,132.68,24836,53,279675695.00
20010526,132.85,136,133,135.56,135.56,32709,62,371046785.00
20010527,136.15,136,132,132.22,132.22,27120,59,307645898.00
20010528,131.96,132,126,126.14,126.14,37400,82,401640864.00
20010529,125.75,126,120,119.89,119.89,35545,60,364929820.00
20010530,119.86,122,119,120.12,120.12,37529,90,385017440.00
20010602,120.13,124,120,124.36,124.36,18443,31,192039979.00
20010603,124.36,124,123,124.36,124.36,15878,39,167098870.00
20010606,122.59,124,121,121.47,121.47,13364,28,138936176.00
20010609,117.88,118,118,118.12,118.12,6354,20,63589925.00
20010611,119.64,121,118,118.47,118.47,53242,111,534080822.00
20010819,128.37,136,114,133.79,133.79,34122,50,384603552.00
20010820,137.13,137,134,136.38,136.38,89311,153,1030500067.00
20010821,136.38,137,136,136.42,136.42,45727,74,529212332.00
20010822,136.36,136,134,134.50,134.50,21822,37,250909061.00
20010825,132.02,133,131,132.02,132.02,64140,94,718064861.00
20010826,131.97,132,129,128.72,128.72,31072,62,341139832.00
20010827,125.50,126,126,126.14,126.14,67288,94,717700963.00
20010828,126.14,129,126,128.49,128.49,46574,78,507562393.00
20010829,127.31,130,127,128.49,128.49,30815,79,335955590.00
20010901,128.77,130,128,129.07,129.07,35069,98,383718221.00
20010905,139.18,147,139,143.81,143.81,157003,97,1929496522.00
20010908,143.72,144,142,141.97,141.97,79148,38,953696850.00
20010909,139.09,142,139,138.50,138.50,20500,20,241513500.00
20010910,135.05,135,135,135.05,135.05,6766,20,77518062.00
20010911,131.68,132,132,131.68,131.68,29500,39,329544500.00
20010912,128.39,130,128,129.66,129.66,18321,32,200504564.00
20010915,129.62,130,127,127.31,127.31,13409,28,145026748.00
20010916,123.77,124,124,123.77,123.77,11000,13,115500000.00
20010917,117.88,123,118,119.66,119.66,13066,18,132051295.00
20010918,119.03,119,118,118.47,118.47,9000,16,90584283.00
20010919,117.88,124,118,123.72,123.72,24874,47,253369112.00
20010922,123.77,127,124,127.37,127.37,29687,57,317381316.00
20010923,133.20,134,127,128.07,128.07,34942,30,389103967.00
20010924,128.04,128,127,127.38,127.38,6018,12,65364344.00
20010925,126.88,127,121,123.84,123.84,17500,47,184004881.00
20010926,123.85,124,121,123.84,123.84,10314,27,108055387.00
20010929,123.90,124,121,123.77,123.77,37286,39,391038932.00
20010930,123.65,124,124,123.77,123.77,18791,28,197325666.00
20011002,123.79,125,124,123.89,123.89,7468,17,78699201.00
20011003,123.86,127,124,126.72,126.72,14332,22,152264930.00
20011006,126.71,127,127,126.81,126.81,7596,16,81672913.00
20011007,126.96,130,127,130.31,130.31,27204,48,295954097.00
20011008,130.36,130,127,126.79,126.79,18448,32,198800789.00
20011009,127.90,128,124,124.01,124.01,13255,29,139451207.00
20011010,122.59,124,123,123.99,123.99,10426,15,108608400.00
20011013,124.01,125,124,124.03,124.03,15106,35,159024245.00
20011014,124.02,124,124,124.04,124.04,13583,20,142914709.00
20011016,124.04,126,124,126.43,126.43,16200,26,172960807.00
20011017,126.48,127,126,126.54,126.54,8202,21,88033121.00
20011020,126.56,128,127,127.58,127.58,10575,22,114216630.00
20011021,129.36,130,128,129.75,129.75,11564,31,126834982.00
20011022,133.20,133,130,133.20,133.20,19503,35,218375496.00
20011023,133.79,136,133,135.62,135.62,8912,26,102094212.00
20011024,135.66,137,136,137.31,137.31,11668,26,135219152.00
20011027,136.81,138,137,137.41,137.41,10235,23,119387798.00
20011028,137.56,138,136,135.57,135.57,20413,30,236466074.00
20011029,135.56,136,134,134.38,134.38,21945,38,251193168.00
20011030,134.38,141,134,141.10,141.10,13117,31,153911395.00
20011031,148.15,148,141,140.86,140.86,34478,82,421798884.00
20011103,140.86,144,141,143.82,143.82,13635,34,163961038.00
20011104,143.89,147,144,147.35,147.35,9240,27,114653885.00
20011105,147.31,147,144,145.00,145.00,9229,30,114027256.00
20011106,145.31,147,145,145.29,145.29,18003,48,222981866.00
20011107,145.32,146,145,145.58,145.58,16873,35,208110388.00
20011110,145.59,147,146,147.40,147.40,13524,31,168724886.00
20011111,147.35,147,146,145.85,145.85,186513,15,2309096183.00
20011112,143.82,144,143,143.46,143.46,2664,14,32470571.00
20011113,141.45,142,141,141.71,141.71,7765,28,93226335.00
20011114,142.63,143,141,140.87,140.87,13598,35,163327882.00
20011117,139.08,140,138,137.92,137.92,10080,19,118826890.00
20011118,137.36,138,137,137.54,137.54,9118,21,106506766.00
20011119,137.54,139,138,137.92,137.92,5040,15,59229715.00
20011120,138.50,139,139,138.52,138.52,4935,14,58036940.00
20011121,138.05,139,138,138.59,138.59,4404,12,51742519.00
20011124,138.63,139,139,139.09,139.09,4380,17,51555145.00
20011125,139.26,139,139,139.15,139.15,2992,12,35318974.00
20011126,139.27,140,139,139.70,139.70,2871,10,33950102.00
20011127,139.71,142,140,141.90,141.90,5327,21,63786222.00
20011128,142.29,145,142,145.44,145.44,10129,17,124193339.00
20011201,149.07,149,149,149.07,149.07,11585,17,146503910.00
20011202,152.79,153,148,148.17,148.17,25747,18,330393680.00
20011203,147.58,148,146,146.17,146.17,4751,16,59183940.00
20011204,146.23,148,146,147.94,147.94,19153,35,238954024.00
20011205,147.35,149,147,148.17,148.17,10658,24,133763979.00
20011208,148.41,149,148,148.47,148.47,10149,22,127818773.00
20011209,148.44,149,148,148.70,148.70,11316,17,142578489.00
20011210,148.70,149,149,149.26,149.26,4170,13,52716040.00
20011211,149.46,151,149,150.76,150.76,15122,26,192673571.00
20011212,151.47,152,151,151.94,151.94,12860,21,165288485.00
20011215,151.94,153,152,153.25,153.25,20268,37,262964695.00
20011217,153.49,157,153,156.19,156.19,19434,35,256257919.00
20011218,156.19,159,156,158.54,158.54,6112,21,81375168.00
20011219,158.54,160,159,159.98,159.98,4156,10,56305909.00
20011222,160.12,162,160,161.56,161.56,28801,32,393125670.00
20011223,161.63,162,160,162.36,162.36,7573,19,103554000.00
20011224,162.99,164,163,163.98,163.98,2458,12,34001118.00
20011225,163.98,166,164,165.62,165.62,6623,36,92685926.00
20011226,165.84,167,166,167.27,167.27,152197,38,2159255115.00
20011229,168.56,169,169,168.93,168.93,7754,16,111019654.00
20011230,170.60,171,169,168.58,168.58,17325,37,250104490.00
20011231,169.33,169,167,167.97,167.97,30310,36,433586503.00
20020101,167.38,167,166,166.30,166.30,21518,46,304616958.00
20020102,164.64,165,165,164.64,164.64,30123,55,420888169.00
20020105,163.00,163,163,163.00,163.00,1168,4,16151104.00
20020106,161.37,161,161,161.37,161.37,8822,14,120773180.00
20020107,159.77,160,160,159.77,159.77,700,5,9487800.00
20020108,155.79,158,156,157.72,157.72,111342,110,1475337186.00
20020112,157.72,160,158,159.89,159.89,23517,39,315525026.00
20020113,159.85,164,160,160.24,160.24,17960,24,247777867.00
20020114,160.31,161,160,160.54,160.54,3908,14,53184733.00
20020115,161.50,163,162,162.85,162.85,8452,26,116511691.00
20020116,162.67,163,163,162.87,162.87,9812,19,135526700.00
20020119,162.87,164,163,163.26,163.26,19561,33,270884325.00
20020120,163.38,163,163,163.46,163.46,12340,16,171093878.00
20020121,163.42,164,163,163.47,163.47,13370,32,185146505.00
20020122,163.47,163,163,163.47,163.47,3242,12,44960081.00
20020123,163.47,163,163,163.48,163.48,8394,15,116414277.00
20020126,163.49,164,163,163.52,163.52,4933,13,68428260.00
20020127,163.51,164,164,163.85,163.85,11966,23,166112489.00
20020128,163.85,164,164,163.86,163.86,18798,21,261293668.00
20020129,163.90,164,164,163.86,163.86,49532,28,688677308.00
20020130,163.86,164,164,164.08,164.08,5255,15,73061222.00
20020202,164.08,164,163,162.66,162.66,8864,19,122612871.00
20020203,161.04,161,161,161.04,161.04,5821,17,79534679.00
20020204,161.01,161,159,160.37,160.37,11666,25,158894506.00
20020205,160.36,160,158,158.54,158.54,13893,28,187345108.00
20020206,158.56,160,159,160.31,160.31,24157,28,325875929.00
20020209,160.31,161,160,161.02,161.02,11744,22,159900567.00
20020210,161.02,161,160,161.03,161.03,21812,19,297781189.00
20020212,161.04,161,161,161.02,161.02,11595,15,158398295.00
20020213,160.31,160,160,159.72,159.72,4714,16,63899700.00
20020216,159.43,159,159,159.44,159.44,5927,12,80167002.00
20020217,159.44,159,159,159.26,159.26,2832,15,38253034.00
20020218,159.26,159,159,159.43,159.43,4550,9,61503765.00
20020219,159.58,161,160,160.90,160.90,5868,17,79770066.00
20020220,161.00,162,161,161.54,161.54,10497,16,143458441.00
