date,open,high,low,last,close,vol,count,value
20150824,1090.35,1090,1090,1090.35,1090.35,14480,5,22458480.00
20150825,1156.43,1156,1156,1156.43,1156.43,300,1,493500.00
20150913,1089.64,1090,1090,1089.64,1089.64,3070,3,4758500.00
20151125,1476.29,1512,1476,1512.14,1487.54,440,2,931140.00
20151128,1476.29,1512,1476,1512.14,1507.22,1900,2,4074150.00
20151209,1511.44,1511,1511,1511.44,1511.44,90,3,193500.00
20151223,1518.47,1518,1518,1518.47,1518.47,190,7,410400.00
20160116,1757.49,1757,1757,1757.49,1757.49,11670,16,29175000.00
20160118,1757.49,1793,1757,1792.64,1790.53,5300,2,13500000.00
20160131,1790.53,1791,1791,1790.53,1790.53,11,1,28017.00
20160201,1727.26,1791,1727,1791.23,1779.99,30,5,75965.00
20160202,1757.49,1757,1757,1757.49,1757.49,550,1,1375000.00
20160203,1865.75,1866,1866,1865.75,1865.75,800,1,2123200.00
20160206,1789.83,1791,1789,1790.53,1789.83,40,4,101860.00
20160207,1791.94,1792,1792,1791.94,1791.94,5,1,12745.00
20160208,1791.94,1792,1792,1791.94,1791.94,100,1,254900.00
20160214,1791.94,1792,1792,1791.94,1791.94,50,1,127450.00
20160215,1791.23,1791,1791,1791.23,1791.23,105,3,267540.00
20160223,2191.23,2191,2032,2031.87,2143.42,3400,6,9146800.00
20160229,2071.71,2072,2072,2071.71,2071.71,10000,1,26000000.00
20160302,2271.71,2272,2272,2271.71,2271.71,2300,1,6557300.00
20160307,2390.44,2390,2390,2390.44,2390.44,1070,1,3210000.00
20160308,2549.80,2550,2550,2549.80,2549.80,3000,3,9600000.00
20160309,2709.16,2709,2709,2709.16,2709.16,3000,3,10200000.00
20160314,2788.84,2869,2789,2788.84,2839.84,6205,6,22117500.00
20160402,2804.78,2805,2805,2804.78,2804.78,100,1,352000.00
20160406,2800.79,2801,2801,2800.79,2800.79,660,2,2319900.00
20160410,3187.25,3187,3028,3027.89,3157.77,10740,2,42560000.00
20160501,3188.84,3189,3187,3187.25,3188.04,927,6,3708725.00
20160502,3187.25,3187,3187,3187.25,3187.25,423,2,1692000.00
20160503,3187.25,3187,3187,3187.25,3187.25,50,1,200000.00
20160504,3035.85,3187,3036,3187.25,3105.97,1080,3,4209800.00
20160510,3035.85,3036,3036,3035.85,3035.85,1200,2,4572000.00
20160514,3035.85,3187,3028,3187.25,3078.08,1755,4,6780300.00
20160518,3187.25,3187,3187,3187.25,3187.25,540,1,2160000.00
20160528,3035.85,3036,3036,3035.85,3035.85,1560,4,5943600.00
20160605,3035.85,3036,3036,3035.85,3035.85,20,1,76200.00
20160606,3187.25,3187,3187,3187.25,3187.25,248,1,992000.00
20160612,3187.25,3187,3108,3187.25,3155.38,508,7,2011800.00
20160614,3187.25,3187,3187,3187.25,3187.25,144,2,576000.00
20160620,3187.25,3187,3028,3027.89,3137.05,600,3,2362000.00
20160628,3187.25,3187,3187,3187.25,3187.25,248,1,992000.00
20160702,3187.25,3187,3108,3187.25,3150.59,542,5,2142800.00
20160712,3410.36,3418,3410,3418.32,3418.32,14710,4,63098900.00
20160713,3410.36,3410,3410,3410.36,3410.36,170,1,727600.00
20160718,3410.36,3410,3410,3410.36,3410.36,100,1,428000.00
20160724,3409.56,3410,3410,3409.56,3409.56,188,1,804452.00
20160725,3409.56,3410,3410,3410.36,3409.56,2642,2,11305148.00
20160726,3402.39,3402,3402,3402.39,3402.39,3500,1,14945000.00
20160727,3402.39,3402,3402,3402.39,3402.39,3807,3,16255890.00
20160807,3426.29,3466,3426,3426.29,3440.63,390,3,1684000.00
20160809,3426.29,3466,3426,3466.13,3429.48,1200,3,5165000.00
20160813,3426.29,3426,3426,3426.29,3426.29,285,4,1225500.00
20160821,3426.29,3426,3426,3426.29,3426.29,200,2,860000.00
20160828,3665.33,3666,3665,3665.33,3666.13,1666,4,7664600.00
20160829,3665.33,3665,3665,3665.33,3665.33,139,2,639400.00
20160831,3665.33,3665,3665,3665.33,3665.33,39,1,179400.00
20160906,3665.33,3665,3665,3665.33,3665.33,11520,3,52992000.00
20160907,3666.13,3984,3666,3984.06,3732.27,1903,4,8914505.00
20160924,3673.30,3673,3670,3670.12,3670.91,389,2,1792090.00
20160925,3674.10,3674,3673,3673.30,3674.10,300,2,1383226.00
20161002,3673.30,3673,3666,3666.13,3667.73,1126,7,5183192.00
20161004,3666.13,3666,3666,3666.13,3666.13,1600,1,7361600.00
20161005,3666.13,3666,3665,3665.33,3666.13,2050,2,9431726.00
20161015,3665.33,3665,3665,3665.33,3665.33,950,2,4370000.00
20161031,3745.02,3745,3665,3665.33,3710.75,3005,5,13993000.00
20161121,3665.33,3665,3665,3665.33,3665.33,460,3,2116000.00
20161122,3665.33,3665,3665,3665.33,3665.33,65,1,299000.00
20161204,3665.33,3665,3665,3665.33,3665.33,4735,1,21781000.00
20161207,3665.33,3665,3665,3665.33,3665.33,150,1,690000.00
20161214,3665.33,3665,3665,3665.33,3665.33,50,1,230000.00
20161227,3585.65,3586,3586,3585.65,3585.65,3000,1,13500000.00
20161228,3585.65,3586,3586,3585.65,3585.65,1200,2,5400000.00
20161231,3585.65,3586,3586,3585.65,3585.65,40,1,180000.00
