date,open,high,low,last,close,vol,count,value
20181017,3137.96,3138,3138,3137.96,3137.96,32534000,212123,113869000000.00
20181020,3294.86,3295,3295,3294.86,3188.17,45973,344,168950775.00
20181021,3346.86,3347,3347,3346.86,3346.86,143220,487,534640260.00
20181022,3513.62,3514,3514,3513.62,3513.62,155455,1031,609228145.00
20181023,3688.45,3688,3688,3688.45,3688.45,161385,1068,663937890.00
20181024,3872.25,3872,3872,3872.25,3872.25,212388,1460,917303772.00
20181027,4065.01,4065,4065,4065.01,4065.01,283993,1938,1287624262.00
20181028,4267.63,4268,4268,4267.63,4267.63,2345339,2409,11163813640.00
20181029,4481.01,4481,4481,4481.01,4481.01,294021,1995,1469516958.00
20181031,4704.26,4704,4704,4704.26,4704.26,4357395,2558,22863251565.00
20181103,4939.16,4939,4939,4939.16,4939.16,2920019,2385,16086384671.00
20181104,5185.71,5186,5186,5185.71,5185.71,2914456,2375,16857213504.00
20181105,5444.82,5445,5445,5444.82,5444.82,2793630,2088,16965714990.00
20181106,5716.47,5716,5716,5716.47,5716.47,3268731,5236,20841428856.00
20181110,6001.58,6002,6002,6001.58,5971.10,116040,636,776771760.00
20181111,6269.65,6583,6270,6582.55,6561.93,5213966,16512,38163074092.00
20181112,6889.18,6889,6889,6889.18,6889.18,1182897,5325,9089380548.00
20181113,7233.46,7233,7233,7233.46,7233.46,288314,1960,2326117352.00
20181114,7594.77,7595,7595,7594.77,7504.22,97446,637,825465066.00
20181119,7878.98,8273,7485,8272.57,8214.29,29269428,70485,268177817834.00
20181120,8515.54,8625,8276,8624.02,8585.47,33135790,39689,317293356781.00
20181121,8544.23,8715,8157,8156.91,8237.60,16462185,25389,151255709225.00
20181124,7988.36,8043,7826,7826.08,7856.57,3208089,3668,28113113741.00
20181126,7463.87,7464,7464,7463.87,7463.87,2363419,1559,19675463175.00
20181127,7090.90,7666,7091,7225.39,7234.35,10188481,11879,82212290724.00
20181128,7306.97,7397,6906,6948.35,7142.90,2778420,4254,22135191246.00
20181201,6948.35,6975,6786,6786.07,6788.76,7517031,2268,56915928195.00
20181202,6725.10,6947,6555,6903.52,6780.69,2686020,3448,20313765118.00
20181203,7082.83,7120,6993,7119.59,7114.21,3822004,1675,30326963586.00
20181204,7194.90,7340,6850,6975.25,7064.01,1894842,1638,14929353463.00
20181205,6831.80,7074,6715,6766.35,6841.66,1981093,1816,15118462269.00
20181208,6813.86,6854,6536,6536.83,6605.86,2573584,2096,18963152716.00
20181209,6540.41,6545,6276,6302.82,6314.48,3827499,2080,26955403200.00
20181210,6284.89,6630,6280,6630.07,6560.14,2586852,1878,18927979683.00
20181211,6629.17,6629,6325,6365.58,6437.31,1005476,1045,7219276413.00
20181212,6437.31,6635,6339,6344.96,6429.24,1373353,2058,9848298034.00
20181215,6455.24,6455,6108,6114.55,6177.31,2078325,1566,14319354681.00
20181216,6098.41,6114,5899,5962.13,5963.03,1433671,1051,9535335222.00
20181217,5964.82,6186,5919,6042.82,6070.62,1274199,1094,8627723139.00
20181218,6159.37,6159,5881,5917.30,5975.58,652123,805,4346600214.00
20181219,5976.48,5998,5828,5885.03,5899.37,589593,555,3879510095.00
20181222,5901.17,6002,5828,5828.54,5914.61,583562,577,3849645338.00
20181223,5836.61,6141,5837,5997.99,6010.55,952982,772,6389101302.00
20181224,5926.27,6150,5918,6065.24,6033.86,1040861,706,7005397682.00
20181225,6097.51,6275,6016,6113.65,6183.58,604160,716,4166687690.00
20181226,6114.55,6151,6007,6028.48,6081.37,507882,586,3444923175.00
20181229,6095.72,6139,5990,6006.96,6034.75,448138,459,3016388176.00
20181230,6006.96,6312,6007,6281.31,6203.31,1173076,834,8116468086.00
20181231,6320.76,6321,6105,6125.31,6196.13,624643,496,4316628465.00
20190101,6102.89,6196,6052,6106.48,6104.68,1234990,663,8409398234.00
20190102,6105.58,6410,6079,6409.52,6272.34,2513446,1205,17583772637.00
20190105,6446.27,6507,6294,6409.52,6423.86,824166,843,5905061889.00
20190106,6409.52,6745,6371,6744.83,6701.79,3203185,1213,23942304121.00
20190107,6760.07,6904,6595,6625.59,6725.10,1700577,907,12755818249.00
20190108,6616.62,6768,6563,6717.93,6703.59,1334092,761,9974356981.00
20190109,6652.48,6935,6652,6876.62,6853.31,787719,752,6021649249.00
20190112,7029.04,7154,6868,7080.14,7100.76,1209326,922,9577991684.00
20190113,7080.14,7262,7080,7152.76,7138.42,1416597,1064,11279092682.00
20190114,7251.39,7251,7080,7127.66,7139.32,799548,451,6366626162.00
20190115,7191.32,7191,6782,7029.04,6929.52,1499696,675,11591870103.00
20190116,6993.18,7172,6904,6916.97,7016.49,1146265,541,8970838422.00
20190119,6918.76,7216,6919,7083.73,7123.18,701544,416,5573425874.00
20190120,7007.52,7155,6904,6906.21,6981.52,286291,281,2229471233.00
20190121,6813.86,6814,6671,6715.24,6726.00,985199,441,7390753196.00
20190122,6715.24,6769,6572,6720.62,6657.86,374712,386,2782552798.00
20190123,6725.10,6973,6545,6917.87,6781.59,1033492,897,7817791034.00
20190126,6917.87,6989,6781,6858.69,6867.66,304014,338,2328687104.00
20190127,6903.52,6904,6635,6735.86,6735.86,731152,437,5492964105.00
20190128,6644.41,6886,6635,6679.38,6668.62,402425,317,2993067122.00
20190129,6679.38,6724,6554,6553.86,6608.55,501227,336,3694602511.00
20190130,6544.90,6608,6502,6510.83,6544.90,831718,416,6071737292.00
20190202,6518.00,6543,6290,6302.82,6370.96,445848,373,3168015054.00
20190203,6295.65,6321,6097,6269.65,6214.07,691934,330,4795955155.00
20190204,6054.48,6366,6054,6195.24,6230.20,626280,377,4352290776.00
20190205,6222.13,6366,6222,6275.93,6285.79,521551,254,3656663754.00
20190206,6231.10,6303,6189,6266.96,6267.86,426923,267,2984607832.00
20190210,6275.93,6276,6186,6247.24,6219.44,212627,195,1475001168.00
20190212,6220.34,6442,6220,6312.69,6312.69,322982,354,2274165581.00
20190213,6303.72,6444,6277,6298.34,6344.07,755094,602,5343250383.00
20190216,6275.93,6405,6146,6275.03,6266.96,655025,447,4578379739.00
20190217,6146.82,6580,6147,6579.86,6499.17,772766,461,5601659683.00
20190218,6769.04,6824,6500,6823.73,6728.69,1031901,497,7744470190.00
20190219,7020.07,7065,6827,7019.18,7016.49,2352839,780,18412487501.00
20190220,7028.14,7367,6798,7235.25,7170.70,2072030,854,16571686671.00
20190223,7262.15,7262,6948,6966.28,7051.45,1233582,557,9701930070.00
20190224,6904.42,7217,6904,6966.28,7058.63,374023,291,2944595511.00
20190225,6909.80,7262,6910,7015.59,7150.07,718055,377,5726461869.00
20190226,6912.49,7114,6841,6840.76,7026.35,648484,242,5082301893.00
20190227,6863.18,7128,6863,7117.80,7046.97,434330,292,3413874981.00
20190302,6994.07,7101,6904,7038.00,6990.49,356364,180,2778631252.00
20190303,6921.45,7253,6921,7171.59,7140.21,749603,363,5970124792.00
20190304,7243.32,7431,7174,7333.87,7329.39,1084555,556,8865878127.00
20190305,7423.53,7695,7280,7695.18,7655.74,3610078,887,30825021609.00
20190306,7655.74,8038,7578,7782.15,7963.26,4033937,1260,35828959369.00
20190309,7620.77,7836,7565,7565.18,7595.67,2282106,780,19333851054.00
20190310,7375.11,7531,7262,7351.80,7387.66,1270385,583,10468157618.00
20190311,7441.46,7700,7332,7522.15,7566.08,835532,444,7050811669.00
20190312,7322.21,7757,7321,7441.46,7557.11,790568,463,6663779881.00
20190313,7566.98,7718,7432,7620.77,7644.08,874430,608,7455638922.00
20190316,7620.77,7684,7459,7488.08,7537.39,465670,413,3914884034.00
20190317,7442.35,7611,7403,7531.11,7494.35,464634,306,3883853297.00
20190318,7441.46,7657,7379,7647.67,7616.29,718354,378,6102509147.00
20190319,7691.60,7942,7630,7818.91,7795.60,385347,281,3350591406.00
20190325,7930.98,8185,7757,8184.71,8156.02,1374883,363,12507710691.00
20190326,8250.16,8563,8250,8502.99,8487.74,1113385,526,10540457920.00
20190327,8563.06,8643,8120,8156.02,8283.33,1608548,656,14861635826.00
20190330,8156.02,8266,8007,8202.64,8203.53,585841,427,5360635587.00
20190331,8203.53,8613,8204,8613.26,8579.19,3019357,791,28893378879.00
20190406,8965.61,9008,8725,9007.75,8999.68,2631496,569,26415512063.00
20190407,9448.86,9449,8733,8875.96,9207.68,3903119,1229,40085064752.00
20190408,8982.65,8983,8748,8747.75,8754.02,4186795,707,40878024624.00
20190409,8651.81,9191,8652,8773.75,8914.51,1925954,801,19150025933.00
20190410,9099.20,9360,8966,9360.10,9324.24,2060071,848,21423998431.00
20190413,9413.89,9414,8949,8965.61,9113.54,2495212,960,25364700115.00
20190414,8965.61,9059,8697,9055.27,8904.65,1593289,553,15823963522.00
20190415,8807.82,9349,8807,9349.34,9183.48,1978267,669,20262871513.00
20190424,10060.90,10061,9558,9583.98,9596.55,2765545,650,27434155193.00
20190427,9866.46,9866,9291,9408.88,9467.89,732085,513,7164616321.00
20190428,9383.73,9941,9384,9940.95,9881.93,1428524,578,14592198615.00
20190429,10351.12,10370,10013,10103.47,10218.59,787990,454,8323236036.00
20190430,10360.79,10361,9708,9867.42,9844.21,1352851,587,13766519600.00
20190501,9910.96,9911,9655,9843.24,9725.22,889454,409,8942035534.00
20190504,10099.60,10211,9846,10210.85,10069.61,1360096,500,14157595187.00
20190505,10375.31,10573,10235,10572.65,10545.57,1558798,527,16992380821.00
20190506,10641.34,11073,10163,11072.80,11028.30,3096879,699,35305179556.00
20190507,11541.02,11580,10641,11579.71,11365.92,2668352,824,31351744204.00
20190508,11827.36,11934,10799,11933.78,11670.65,2153374,594,25977349309.00
20190511,12189.17,12254,11716,12253.99,12224.96,2636942,547,33324095341.00
20190512,12575.16,12835,12006,12835.39,12675.77,2745916,687,35979739753.00
20190513,13309.41,13309,12963,13309.41,13309.41,3315860,383,45619235404.00
20190514,13974.01,13974,13930,13974.01,13972.08,3700588,656,53445833338.00
20190515,14500.28,14500,13447,13814.39,13788.27,3212966,959,45794287475.00
20190518,13640.26,13640,13100,13620.91,13336.50,1925288,811,26542832211.00
20190519,13618.98,13920,13253,13543.52,13650.90,1042274,479,14707174682.00
20190520,13618.98,13619,12969,13125.61,12997.91,2265056,517,30433778638.00
20190521,12822.81,13437,12823,13059.83,13076.27,659289,335,8911405828.00
20190522,12673.83,13427,12528,12576.13,12751.23,1534698,463,20229510190.00
20190525,12577.10,13021,12156,12576.13,12352.66,916111,424,11698126433.00
20190526,12334.28,12942,12334,12750.26,12790.89,565967,408,7482949804.00
20190528,12923.42,13430,12441,13430.34,13297.80,1092341,250,15015669325.00
20190529,13962.40,13962,13962,13962.40,13962.40,377436,117,5447533788.00
20190601,14659.90,14660,14660,14659.90,14659.90,430378,148,6521948212.00
20190602,15392.21,15392,15392,15392.21,15392.21,137804,83,2192599444.00
20190603,16161.29,16161,16161,16161.29,16161.29,416675,90,6960972550.00
20190608,16969.07,16969,16349,16349.93,16965.20,2076585,244,36417878510.00
20190609,17026.14,17813,16351,17812.63,17390.85,5878389,1094,105675705904.00
20190610,18259.57,18260,18260,18259.57,18259.57,2186819,177,41276208625.00
20190611,19132.16,19172,19132,19171.82,19160.21,2644862,228,52384105364.00
20190612,20117.94,20118,20118,20117.94,20117.94,981387,125,20408924052.00
20190618,21123.06,22178,21123,22178.49,22060.46,716096,149,16329641678.00
20190619,23163.29,23163,23163,23163.29,23163.29,171160,63,4098255040.00
20190622,24321.26,24321,24321,24321.26,24321.26,264041,99,6638254781.00
20190623,25537.28,25537,25537,25537.28,25537.28,360631,126,9519937138.00
20190624,26813.27,26813,26071,26813.27,26751.36,8718721,1572,241097886486.00
20190625,27087.04,28088,26754,28088.30,27971.24,4990596,1243,144299320138.00
