date,open,high,low,last,close,vol,count,value
20160921,450.19,450,450,450.19,450.19,19998800,25195,49997000000.00
20160924,472.70,473,473,472.70,472.70,12126,37,31830750.00
20160925,496.29,496,496,496.29,496.29,20772,58,57247632.00
20160926,520.96,521,521,520.96,520.96,16617,46,48072981.00
20160927,546.89,547,547,546.89,546.89,53236,124,161677732.00
20160928,574.09,574,574,574.09,574.09,99434,251,316995592.00
20161001,602.72,603,603,602.72,602.72,196595,450,658003465.00
20161002,632.79,633,633,632.79,632.79,156832,387,551107648.00
20161003,664.30,664,664,664.30,664.30,341306,793,1259077834.00
20161004,697.44,697,693,697.44,697.44,11869414,19963,45968752542.00
20161005,687.89,693,663,662.68,668.99,5356292,7835,19897223582.00
20161008,648.28,666,643,645.58,652.78,4411958,4606,15992796221.00
20161009,639.27,672,639,660.52,660.70,1407185,1444,5163167002.00
20161010,653.68,681,650,663.94,668.45,1369023,988,5081644929.00
20161015,657.64,670,640,644.68,654.04,1111541,840,4037171558.00
20161016,638.37,646,628,627.93,634.23,996640,800,3510617986.00
20161017,630.09,646,616,619.47,627.21,859780,790,2994659325.00
20161018,619.47,630,603,603.26,612.08,1137264,734,3866090154.00
20161019,601.46,643,601,642.52,634.41,2109617,1172,7433108600.00
20161022,630.81,654,612,623.25,638.37,1158207,601,4105304332.00
20161023,619.65,646,607,608.84,618.20,1556255,662,5342957438.00
20161024,616.04,629,616,621.27,620.19,649024,407,2234923271.00
20161025,628.65,630,618,626.67,623.79,526213,355,1822939824.00
20161026,632.07,655,625,654.94,649.54,1797136,867,6483044890.00
20161029,663.22,682,657,673.49,679.79,3390039,1234,12798693852.00
20161030,669.89,686,659,667.91,673.85,1402779,649,5248721133.00
20161031,669.89,690,670,674.93,681.41,1090360,499,4126447868.00
20161101,678.53,679,648,650.44,661.06,370505,262,1360270413.00
20161102,648.46,666,639,641.07,645.04,390461,212,1398556699.00
20161105,645.04,650,630,639.27,639.81,305529,186,1085530050.00
20161106,630.45,666,630,655.66,655.30,656605,322,2389215544.00
20161107,656.02,675,656,669.71,668.81,240229,201,892177112.00
20161108,666.11,675,642,652.06,649.90,405265,223,1462526687.00
20161109,617.48,630,617,626.67,618.02,1026855,402,3524493135.00
20161112,641.07,641,612,624.87,622.35,465048,195,1606978267.00
20161113,630.27,630,611,616.76,616.58,700844,290,2399485874.00
20161114,628.29,647,625,647.38,644.68,1008196,394,3609511091.00
20161115,653.86,677,648,676.91,673.13,2484531,900,9286297913.00
20161116,696.90,707,683,706.62,704.28,2143197,712,8380999040.00
20161119,739.40,739,739,739.40,739.40,423310,124,1738110860.00
20161121,748.76,765,721,731.29,738.50,3850501,1302,15790935075.00
20161122,736.52,775,737,754.52,766.77,4216579,1408,17956028019.00
20161123,767.13,791,740,771.27,771.27,979135,401,4193234116.00
20161126,756.32,773,735,738.50,749.12,1092810,441,4546047154.00
20161127,729.49,764,720,734.35,740.66,1351123,470,5557246062.00
20161129,736.16,736,708,726.61,716.89,1681718,600,6694112614.00
20161203,717.07,718,681,700.32,690.96,1214712,396,4660772936.00
20161204,693.30,724,693,713.11,716.89,523242,248,2083213321.00
20161205,717.79,738,702,720.31,725.89,519825,251,2095243958.00
20161206,725.89,736,702,707.70,716.71,455893,219,1814430923.00
20161207,714.91,715,681,689.70,688.79,1312398,515,5020254152.00
20161210,696.18,702,674,684.29,681.77,311454,167,1179253270.00
20161211,680.51,695,667,695.10,689.16,609130,236,2330894769.00
20161212,699.78,709,670,681.95,688.07,707345,275,2702771719.00
20161213,676.37,699,666,682.13,672.59,256051,131,956409885.00
20161214,687.89,688,668,673.67,673.49,418963,190,1566814180.00
20161218,684.11,688,656,657.82,663.76,390811,174,1440584383.00
20161219,660.16,676,632,639.27,646.12,632233,269,2268747892.00
20161220,630.27,648,628,635.31,633.51,425198,204,1495979455.00
20161221,633.87,658,630,639.27,637.47,313238,139,1108854866.00
20161224,653.68,669,632,666.29,659.80,1100930,420,4034312602.00
20161225,653.14,679,653,660.52,660.34,262842,184,963886581.00
20161226,671.69,672,641,648.46,650.08,181466,102,655058508.00
20161227,665.93,666,639,648.28,645.58,249350,144,894003233.00
20161228,645.58,657,639,642.88,645.58,128111,84,459275219.00
20161231,633.87,655,630,637.47,634.41,526453,248,1854480243.00
20170101,646.48,657,632,648.28,649.18,331780,194,1196177987.00
20170102,660.88,662,641,654.94,648.82,253733,128,914086128.00
20170103,648.82,659,640,640.17,646.66,258953,138,929880974.00
20170104,648.28,648,631,643.78,636.21,197277,134,697029235.00
20170107,647.92,652,631,647.38,636.03,99332,85,350834717.00
20170108,647.56,648,615,628.29,629.19,320098,226,1118347522.00
20170109,638.55,639,612,623.79,616.40,494184,217,1691778642.00
20170111,628.11,645,610,627.57,634.23,306896,203,1080870288.00
20170114,641.79,646,626,639.27,633.87,348548,158,1226944841.00
20170115,645.94,666,632,665.56,662.68,1305670,437,4805371363.00
20170116,675.29,691,650,676.37,669.35,746388,323,2774132189.00
20170117,666.65,691,657,671.51,670.97,405538,155,1511125445.00
20170118,655.48,671,643,660.70,655.66,525760,213,1914087220.00
20170121,648.28,663,637,655.12,646.84,326641,135,1173362050.00
20170122,657.10,657,640,651.88,648.28,237105,92,853568313.00
20170123,655.48,681,642,680.69,671.87,1358255,525,5068087235.00
20170124,705.36,705,705,705.36,705.36,436534,121,1709903678.00
20170125,723.91,738,699,711.84,718.33,2552622,899,10181563905.00
20170128,734.71,754,731,754.16,749.12,3713114,802,15447291971.00
20170129,756.32,770,724,734.53,749.48,1724472,588,7177646598.00
20170130,743.72,774,712,749.30,750.74,3558613,891,14836049190.00
20170131,752.72,764,713,713.29,721.39,2053784,547,8228074392.00
20170201,713.29,731,694,704.10,704.64,1151641,289,4506163716.00
20170204,699.24,702,670,678.89,684.47,606397,253,2305195541.00
20170205,672.23,691,664,671.69,672.95,605624,299,2262945033.00
20170206,671.69,697,672,683.03,684.29,519526,136,1974087115.00
20170207,700.14,700,673,673.49,678.71,350768,157,1321878153.00
20170208,673.49,710,669,696.54,693.12,568797,156,2189108650.00
20170211,702.30,723,686,711.30,711.12,615801,169,2431658885.00
20170212,711.66,722,687,687.53,699.78,219291,103,852227192.00
20170213,702.30,710,672,677.09,681.41,228592,118,864987269.00
20170214,666.29,696,666,693.48,680.51,313170,115,1183580918.00
20170215,696.72,702,677,679.43,686.63,565404,167,2156107572.00
20170218,700.32,711,684,695.10,696.00,497400,159,1922634005.00
20170227,690.42,690,679,683.57,684.29,449720,136,1708893197.00
20170228,680.69,693,650,661.78,669.17,1171618,287,4353153299.00
20170301,659.08,686,648,671.51,663.40,785239,216,2893111015.00
20170304,672.59,673,654,653.68,659.26,486262,189,1780358673.00
20170305,664.48,664,653,659.08,659.62,223548,156,818915652.00
20170306,654.40,684,654,666.29,673.49,265419,147,992624975.00
20170307,655.12,684,655,674.39,675.47,472857,158,1773477187.00
20170308,686.99,687,652,665.93,666.11,518550,162,1918123299.00
20170311,652.06,657,635,636.21,644.86,406072,133,1454075164.00
20170312,636.75,666,618,654.22,643.06,989370,257,3533172363.00
20170313,668.09,673,654,665.75,662.32,317110,130,1166337548.00
20170314,675.29,684,661,666.29,670.07,300104,111,1116783027.00
20170315,683.93,690,666,675.29,674.75,170679,85,639503209.00
20170318,674.75,684,667,681.95,679.43,213744,91,806445487.00
20170325,679.43,711,676,707.16,695.28,275821,111,1065041993.00
20170326,708.96,709,684,692.40,693.12,132018,81,508135672.00
20170327,697.80,707,680,703.56,701.22,361140,178,1406311109.00
20170328,698.70,707,691,697.98,696.36,145761,65,563730063.00
20170329,705.36,715,701,713.47,710.58,508137,188,2005266131.00
20170403,713.11,713,686,691.32,694.74,197008,111,759988983.00
20170404,676.19,708,676,690.06,688.07,344501,116,1316378187.00
20170405,686.63,708,684,693.30,695.46,282655,108,1091569817.00
20170408,699.06,699,685,688.79,689.52,167168,127,640071636.00
20170409,702.12,724,689,723.91,718.51,887465,252,3540821977.00
20170410,734.53,749,715,738.32,734.89,1163034,262,4745821541.00
20170412,749.12,751,717,729.31,733.63,898373,195,3659882329.00
20170415,733.81,758,721,743.72,743.90,1309150,329,5408183284.00
20170416,734.89,779,735,776.13,762.81,1137081,288,4817015867.00
20170417,780.99,801,774,800.80,798.46,897814,194,3981004605.00
20170418,828.35,828,803,817.55,813.95,1074908,333,4858518185.00
20170419,807.47,809,784,799.54,799.18,635198,157,2819004684.00
20170422,797.74,839,798,824.75,834.30,1111039,234,5147580429.00
