date,open,high,low,last,close,vol,count,value
20030715,951.05,951,951,951.05,951.05,1250000,1332,56250000000.00
20030716,998.61,999,999,998.61,998.61,75000,53,3543750000.00
20030719,1048.53,1049,1049,1048.53,1048.53,70000,79,3472840000.00
20030720,1100.94,1101,1101,1100.94,1100.94,70000,74,3646440000.00
20030721,1155.97,1156,1156,1155.97,1155.97,77024,76,4212904704.00
20030722,1204.67,1214,1112,1141.48,1141.48,356950,312,19919056822.00
20030723,1139.13,1173,1131,1146.55,1146.55,68542,105,3710405715.00
20030726,1151.83,1152,1147,1152.19,1152.19,50705,63,2761813218.00
20030727,1152.53,1167,1153,1166.88,1166.88,6855,15,376959195.00
20030728,1223.69,1225,1172,1221.58,1221.58,166317,83,9634633957.00
20030729,1257.51,1258,1225,1245.65,1245.65,38715,57,2276121330.00
20030730,1305.69,1308,1205,1245.65,1245.65,74313,62,4514043219.00
20030803,1225.80,1226,1205,1204.73,1204.73,4629,13,267366929.00
20030804,1204.35,1204,1202,1202.98,1202.98,21033,28,1197042735.00
20030805,1201.71,1202,1099,1161.91,1161.91,6938,12,379540547.00
20030806,1162.40,1162,1141,1157.94,1157.94,37326,48,2049716223.00
20030809,1157.64,1158,1078,1157.75,1157.75,27580,34,1484526232.00
20030810,1077.88,1147,1078,1147.39,1147.39,12454,19,656993271.00
20030811,1119.98,1141,1080,1141.16,1141.16,28375,35,1511597570.00
20030812,1141.16,1141,1141,1141.27,1141.27,6426,15,346984312.00
20030813,1141.27,1141,1101,1141.24,1141.24,22601,30,1218431022.00
20030816,1099.25,1128,1099,1128.50,1128.50,12450,12,661462910.00
20030817,1098.97,1099,1078,1099.08,1099.08,21237,37,1095795812.00
20030818,1120.11,1120,1078,1120.13,1120.13,31445,27,1625470746.00
20030819,1120.09,1141,1120,1141.27,1141.27,22553,26,1208204617.00
20030820,1140.99,1141,1141,1141.27,1141.27,190,3,10255860.00
20030823,1120.13,1141,1120,1141.27,1141.27,7100,6,376295255.00
20030825,1117.55,1141,1114,1141.27,1141.27,597,4,31516977.00
20030826,1084.20,1141,1084,1141.27,1141.27,8260,11,423740700.00
20030827,1084.20,1141,1084,1141.27,1141.27,101,2,5184000.00
20030831,1084.20,1141,1084,1141.27,1141.27,1170,4,60048000.00
20030901,1084.20,1141,1084,1141.27,1141.27,25010,28,1283040000.00
20030902,1084.20,1141,1084,1141.27,1141.27,25718,36,1319360400.00
20030906,1084.20,1141,1084,1141.27,1141.27,5010,16,257040000.00
20030907,1084.20,1141,1084,1141.27,1141.27,210,2,10800000.00
20030908,1084.20,1141,1084,1141.27,1141.27,3010,6,154440000.00
20030915,1084.20,1141,1084,1125.33,1125.33,554294,66,29751572728.00
20030916,1124.72,1125,1120,1122.01,1122.01,546111,23,29034363056.00
20030921,1098.91,1122,1099,1121.97,1121.97,30,2,1570790.00
20030923,1096.67,1105,1096,1104.87,1104.87,10098,4,523938924.00
20030928,1094.56,1098,1095,1097.98,1097.98,10010,2,518419520.00
20030930,1091.66,1092,1081,1089.21,1089.21,27486,14,1416549736.00
20031001,1081.67,1084,1082,1084.18,1084.18,10010,2,512312990.00
20031005,1035.59,1076,1036,1075.81,1075.81,11010,5,558876220.00
20031006,1070.25,1074,1070,1073.95,1073.95,5010,2,253708150.00
20031014,1020.27,1038,1020,1038.15,1038.15,10010,4,483241210.00
20031018,1037.45,1038,1037,1038.09,1038.09,1010,2,49579180.00
20031019,986.20,987,986,987.19,987.19,14721,12,686926493.00
20031201,1082.09,1082,1057,1065.18,1065.18,1510,3,76104000.00
20031202,1118.44,1118,1118,1118.44,1118.44,49998,17,2645894160.00
20031203,1174.36,1174,1174,1174.36,1174.36,99999,84,5556544434.00
20031206,1233.07,1233,1233,1233.07,1233.07,150730,60,8794191120.00
20031207,1233.09,1233,1233,1233.05,1233.05,521753,29,30441154058.00
20031208,1183.56,1203,1184,1200.80,1200.80,1236820,13,70373671709.00
20031209,1202.58,1205,1203,1203.13,1203.13,532939,17,30325192897.00
20031210,1203.13,1203,1203,1202.62,1202.62,150803,16,8581213830.00
20031213,1202.62,1203,1201,1202.58,1202.58,1730,6,98426270.00
20031214,1208.92,1209,1196,1202.05,1202.05,3931,14,223312895.00
20031215,1202.05,1202,1195,1199.34,1199.34,15659,28,888630712.00
20040114,1183.53,1226,1184,1215.51,1215.51,26611,25,1530502450.00
20040117,1236.46,1248,1226,1245.35,1245.35,44679,30,2632753331.00
20040118,1245.33,1245,1230,1238.80,1238.80,9378,15,547965392.00
20040119,1234.83,1235,1226,1227.43,1227.43,14360,19,833646380.00
20040120,1234.19,1234,1229,1228.72,1228.72,3530,9,205941220.00
20040121,1234.19,1235,1232,1232.16,1232.16,8815,10,514940643.00
20040124,1234.74,1245,1235,1238.40,1238.40,8816,22,518416397.00
20040125,1238.48,1239,1238,1238.55,1238.55,31428,29,1841804859.00
20040126,1238.48,1238,1226,1235.69,1235.69,26189,27,1531225913.00
20040127,1238.12,1238,1205,1215.89,1215.89,27212,19,1565558438.00
20040128,1208.90,1209,1205,1205.37,1205.37,31553,11,1799572330.00
20040131,1205.73,1210,1205,1205.41,1205.41,909,5,51880300.00
20040201,1205.45,1206,1205,1205.41,1205.41,595,7,33942245.00
20040203,1205.41,1215,1205,1206.00,1206.00,3283,9,187668820.00
20040204,1205.73,1206,1205,1205.85,1205.85,1790,6,102053280.00
20040207,1215.24,1217,1207,1207.18,1207.18,2102,10,120890774.00
20040208,1215.24,1215,1212,1211.52,1211.52,8010,9,460615240.00
20040209,1212.91,1213,1212,1211.71,1211.71,110150,8,6319346670.00
20040214,1212.78,1213,1205,1210.18,1210.18,6670,11,381346610.00
20040215,1210.21,1210,1194,1209.11,1209.11,1112,3,62912824.00
20040217,1208.75,1209,1209,1209.06,1209.06,1373,5,78527870.00
20040218,1215.24,1247,1194,1213.74,1213.74,138595,47,7959468848.00
20040221,1228.17,1228,1215,1218.93,1218.93,135730,20,7808471434.00
20040222,1225.80,1226,1219,1225.74,1225.74,15461,19,896700494.00
20040223,1225.74,1226,1226,1225.74,1225.74,107385,30,6228059410.00
20040224,1225.78,1226,1226,1225.68,1225.68,5651,8,327702830.00
20040225,1225.68,1226,1216,1218.83,1218.83,10841,18,623862520.00
20040228,1225.80,1226,1219,1225.21,1225.21,17451,21,1011680427.00
20040229,1222.95,1226,1223,1224.83,1224.83,4010,9,232205326.00
20040303,1223.69,1226,1224,1224.89,1224.89,79102,17,4584579162.00
20040306,1226.01,1226,1226,1226.01,1226.01,20000,2,1160200000.00
20040307,1230.03,1230,1166,1184.40,1184.40,146558,49,8213385099.00
20040308,1204.67,1226,1185,1211.16,1211.16,27153,9,1556064981.00
20040309,1211.18,1211,1211,1211.18,1211.18,32756,12,1877192081.00
20040310,1212.07,1212,1211,1211.18,1211.18,2010,6,115195876.00
20040313,1211.20,1211,1211,1211.18,1211.18,174953,8,10026385903.00
20040314,1211.88,1212,1212,1211.54,1211.54,9558,16,548018012.00
20040315,1213.12,1213,1212,1211.54,1211.54,37605,18,2155717663.00
20040316,1211.54,1212,1212,1211.54,1211.54,10150,4,581851250.00
20040317,1211.54,1258,1212,1231.85,1231.85,20522,16,1196147048.00
20040328,1231.89,1232,1232,1231.87,1231.87,4235,4,246860845.00
20040329,1232.12,1247,1232,1231.95,1231.95,106860,11,6299922570.00
20040330,1236.37,1236,1232,1232.29,1232.29,1260,5,73698070.00
20040404,1232.27,1232,1232,1232.27,1232.27,262,3,15276047.00
20040405,1232.35,1245,1232,1232.29,1232.29,820,8,47844030.00
20040406,1231.87,1232,1232,1232.27,1232.27,110,2,6411760.00
20040407,1225.80,1232,1205,1231.02,1231.02,1799,8,103723775.00
20040412,1225.82,1230,1226,1230.47,1230.47,2100,7,121802300.00
20040414,1230.01,1230,1230,1230.45,1230.45,100340,8,5841832365.00
20040418,1229.76,1230,1230,1230.41,1230.41,690,5,40150773.00
20040424,1228.66,1230,1229,1230.39,1230.39,87,2,5058565.00
20040425,1215.24,1228,1215,1227.71,1227.71,3515,12,202097533.00
20040426,1215.24,1228,1215,1227.62,1227.62,131,2,7538360.00
20040427,1215.21,1220,1166,1219.78,1219.78,3360,3,187753850.00
20040428,1166.22,1219,1166,1219.36,1219.36,163,2,9019643.00
20040501,1158.60,1216,1159,1216.31,1216.31,1010,5,55395510.00
20040502,1155.51,1214,1156,1214.28,1214.28,673,3,36823412.00
20040505,1153.59,1156,1154,1153.63,1153.63,20631,17,1126154218.00
20040508,1164.51,1165,1154,1153.67,1153.67,98,2,5394670.00
20040509,1151.83,1154,1152,1153.65,1153.65,130010,7,7096842637.00
20040510,1153.52,1154,1154,1153.63,1153.63,82,2,4475610.00
20040511,1153.10,1164,1153,1153.63,1153.63,17650,14,963452048.00
20040518,1142.62,1153,1143,1153.16,1153.16,831,2,44932174.00
20040531,1132.81,1152,1133,1152.04,1152.04,1114,6,59733854.00
20040601,1132.35,1152,1132,1151.98,1151.98,56,2,3009658.00
20040602,1094.45,1150,1094,1150.31,1150.31,584,6,30268870.00
20040606,1093.67,1147,1094,1147.10,1147.10,1140,3,59014088.00
20040607,1090.33,1141,1090,1141.37,1141.37,2024,2,104442310.00
20040615,1084.31,1141,1084,1141.12,1141.12,96,2,4952160.00
20040620,1084.08,1084,1084,1084.08,1084.08,500,3,25647000.00
20040621,1029.89,1030,1030,1029.89,1029.89,500,1,24365000.00
20040623,978.40,978,978,978.40,978.40,500,2,23147000.00
20040626,929.50,989,929,978.44,978.44,42961,27,1988939226.00
20040627,978.40,978,978,978.42,978.42,101,2,4675715.00
20040628,978.38,978,978,978.40,978.40,1571,5,72727464.00
20040629,1014.46,1014,979,978.59,978.59,122,2,5839030.00
20040704,978.61,979,979,978.59,978.59,399,4,18474997.00
20040705,957.39,977,957,977.43,977.43,1092,2,49477080.00
20040707,961.64,974,951,974.13,974.13,3510,5,159213420.00
20040711,934.21,958,934,958.03,958.03,8070,12,356724761.00
20040712,933.70,957,934,956.65,956.65,1133,5,50070714.00
20040713,933.36,951,909,951.48,951.48,2862,6,124649576.00
20040714,929.92,976,930,938.69,938.69,22311,24,990958254.00
20040717,938.69,939,939,938.69,938.69,2693,4,119609595.00
20040718,938.65,939,939,938.67,938.67,5105,9,226738059.00
20040720,913.01,937,913,937.38,937.38,1010,2,43643530.00
20040724,908.85,939,909,921.42,921.42,16510,10,717170880.00
20040726,908.79,939,909,933.39,933.39,18182,11,804028400.00
20040727,933.41,933,933,933.39,933.39,68400,10,3020885000.00
20040728,933.41,933,933,933.39,933.39,335,2,14795074.00
20040731,933.39,955,933,953.97,953.97,66720,10,3011631820.00
20040801,953.95,972,954,956.70,956.70,3228,3,148292536.00
20040802,956.74,957,957,956.70,956.70,1383,4,62606450.00
20040803,956.72,957,957,956.70,956.70,4821,5,218237018.00
20040804,956.70,957,957,956.70,956.70,328,1,14847576.00
20040809,956.19,957,956,956.63,956.63,2005,7,90718935.00
20040815,950.57,957,951,956.53,956.53,315,2,14170575.00
20040818,950.04,956,950,956.44,956.44,230,3,10342040.00
20040821,949.98,956,950,956.36,956.36,230,2,10341290.00
20040829,924.21,956,924,956.08,956.08,180,2,7886480.00
20041109,465.00,465,465,464.96,464.96,100000,10,2200020000.00
20041110,488.21,488,488,488.21,488.21,450347,93,10403015700.00
20041113,512.62,513,513,512.62,512.62,741840,132,17993329200.00
20041115,538.23,538,507,518.20,518.20,113258,47,2777060129.00
20041116,518.20,518,497,508.86,508.86,65118,22,1567860101.00
20041117,508.86,509,492,503.15,503.15,19599,18,460017406.00
20041120,503.15,503,493,502.45,502.45,23609,18,560629226.00
20041121,502.79,509,503,507.42,507.42,144761,36,3475696832.00
20041122,507.40,507,505,507.29,507.29,21077,13,505789261.00
20041123,507.27,507,497,502.24,502.24,31482,12,745187384.00
20041124,507.17,518,501,504.50,504.50,283673,29,6897424643.00
20041127,517.80,527,518,520.80,520.80,35688,8,885868070.00
20041128,517.75,518,498,509.55,509.55,25534,16,605806879.00
20041129,496.66,505,486,490.32,490.32,46167,25,1071111716.00
20041130,488.52,494,489,491.21,491.21,54900,26,1276027167.00
20041201,490.62,496,486,486.47,486.47,51893,30,1194502160.00
20041204,486.09,486,480,485.29,485.29,18237,18,417322835.00
20041212,486.09,495,486,494.08,494.08,11510,9,269080780.00
20041215,469.40,494,469,493.68,493.68,710,2,15780590.00
20041219,469.02,481,469,481.34,481.34,22010,9,488451750.00
20041225,457.29,481,457,481.34,481.34,14,2,314298.00
20041229,457.29,481,457,480.79,480.79,1007,3,21799579.00
20050101,456.76,480,457,479.99,479.99,1460,3,31564510.00
20050104,456.00,475,456,474.53,474.53,10010,2,215984530.00
20050105,450.82,469,451,469.14,469.14,10010,3,213531980.00
