date,open,high,low,last,close,vol,count,value
20010325,1816.24,1816,1816,1816.04,1816.04,864,5,7905363.00
20010326,1815.64,1816,1816,1815.64,1815.64,50,1,457350.00
20010327,1814.25,1814,1812,1813.86,1813.86,1205,4,11012280.00
20010328,1810.28,1812,1786,1786.46,1786.46,10979,19,98969011.00
20010331,1786.66,1796,1786,1796.39,1796.39,9028,12,81374296.00
20010403,1796.39,1796,1787,1786.86,1786.86,10403,10,93840553.00
20010407,1787.85,1816,1788,1816.24,1816.24,8998,13,81627571.00
20010408,1817.03,1818,1816,1818.22,1818.22,3252,8,29768132.00
20010409,1818.22,1820,1818,1819.81,1819.81,3291,14,30149952.00
20010410,1822.19,1822,1818,1818.22,1818.22,14425,32,132364962.00
20010411,1822.19,1827,1822,1826.76,1826.76,21086,49,193997975.00
20010414,1836.48,1837,1830,1837.48,1837.48,49000,65,453237797.00
20010416,1929.58,1945,1877,1930.97,1930.97,41333,82,404107493.00
20010417,1930.37,1965,1908,1947.25,1947.25,39663,65,386974921.00
20010418,1957.17,1967,1957,1966.70,1966.70,1022322,50,10128741174.00
20010421,1967.49,1985,1967,1967.69,1967.69,37157,59,368743877.00
20010422,1969.08,1985,1968,1977.02,1977.02,110205,82,1100597342.00
20010423,1975.03,1985,1969,1979.20,1979.20,77677,55,776134651.00
20010424,1984.96,1995,1982,1985.16,1985.16,54484,50,544544754.00
20010425,2004.81,2005,1102,2005.01,2005.01,15133,46,141039568.00
20010428,2025.06,2025,2025,2025.06,2025.06,8796,25,89736792.00
20010429,2045.30,2045,2045,2045.30,2045.30,33952,68,349841408.00
20010430,2065.75,2066,2066,2065.75,2065.75,15426,41,160538382.00
20010501,2086.39,2086,2086,2086.39,2086.39,107542,76,1130373962.00
20010502,2086.59,2107,2087,2107.23,2107.23,176308,126,1871637472.00
20010505,2103.86,2108,2094,2104.45,2104.45,53420,67,566752136.00
20010506,2104.06,2105,2094,2105.05,2105.05,21570,62,228507664.00
20010507,2105.05,2107,2104,2107.43,2107.43,20697,47,219496420.00
20010508,2108.03,2109,2106,2109.22,2109.22,65830,76,698845779.00
20010509,2109.81,2130,2110,2130.26,2130.26,56603,81,606310264.00
20010512,2129.66,2131,2115,2130.26,2130.26,39848,62,427270396.00
20010513,2129.86,2144,2130,2143.96,2143.96,52766,77,568328240.00
20010515,2145.34,2154,1176,2154.08,2154.08,98763,313,783397196.00
20010516,2154.48,2162,2154,2162.22,2162.22,35053,58,381122407.00
20010519,2163.61,2164,2162,2163.41,2163.41,20106,41,219048949.00
20010520,2164.00,2165,2163,2164.40,2164.40,35912,72,391536998.00
20010521,2173.53,2186,2174,2186.04,2186.04,58632,66,645281681.00
20010523,2186.43,2191,2164,2189.81,2189.81,30289,63,332616539.00
20010526,2190.80,2204,2190,2203.70,2203.70,27281,59,301690666.00
