date,open,high,low,last,close,vol,count,value
20190608,9586.35,9586,9586,9586.35,9586.35,4479649,481,44796490000.00
20190609,9586.35,9586,9586,9586.35,9586.35,1704673,258,17046730000.00
20190610,9586.35,9586,9586,9586.35,9586.35,994620,363,9946200000.00
20190611,9586.35,9586,9586,9586.35,9586.35,4606208,1372,46062080000.00
20190612,9586.35,9586,9586,9586.35,9586.35,8927099,1166,89270990000.00
20190701,9595.94,9873,9596,9634.29,9674.55,318542,226,3214869772.00
20190702,9588.27,9692,9556,9557.60,9576.77,470267,337,4698201019.00
20190703,9538.42,9567,9444,9469.40,9503.91,247647,205,2455068117.00
20190706,9574.85,9601,9205,9222.07,9377.37,110152,109,1077452271.00
20190707,9203.86,9232,9145,9202.90,9175.10,310495,171,2971644452.00
20190708,9404.21,9404,9280,9346.70,9315.06,140273,102,1363089647.00
20190709,9298.76,9318,9203,9222.07,9229.74,140650,120,1354204892.00
20190710,9068.69,9211,9059,9206.74,9121.42,198634,206,1890016891.00
20190713,9422.43,9422,8820,8854.92,8986.25,488612,298,4580209484.00
20190714,8838.62,9250,8839,9155.93,9067.73,130951,121,1238624853.00
20190715,9249.87,9250,9015,9126.21,9161.68,103685,109,990917064.00
20190716,9128.13,9232,8628,9011.17,8957.49,226899,96,2120190940.00
20190717,8963.24,9155,8963,9087.86,9134.84,148406,49,1414089067.00
20190720,8924.90,9160,8922,8963.24,8952.70,191868,105,1791909569.00
20190721,8922.02,9011,8922,8953.66,8980.50,72185,56,676232917.00
20190722,8922.02,9145,8826,8896.14,8952.70,118516,76,1106816430.00
20190723,8876.96,8915,8824,8905.72,8875.05,140181,66,1297784538.00
20190724,8772.47,9052,8772,8973.79,8986.25,39971,49,374675466.00
20190727,8868.34,8963,8868,8929.69,8906.68,33729,23,313363590.00
20190728,9000.63,9011,8915,8918.19,8923.94,20897,38,194528042.00
20190729,8924.90,8982,8909,8909.56,8928.73,76060,68,708421615.00
20190730,8992.00,9011,8915,9011.17,8939.28,96068,58,895866864.00
20190731,9140.59,9203,9069,9202.90,9159.76,195818,84,1871040898.00
20190803,9296.85,9298,9126,9296.85,9246.04,66296,65,639419399.00
20190804,9308.35,9395,9212,9394.63,9300.68,214812,100,2084172216.00
20190805,9394.63,9578,9347,9480.90,9478.03,198939,71,1966911551.00
20190806,9395.59,9567,9395,9432.97,9468.44,528658,70,5221433651.00
