date,open,high,low,last,close,vol,count,value
20040920,1342.11,1342,1342,1342.11,1342.11,354075,252,7789650000.00
20040921,1409.22,1409,1344,1344.18,1344.18,118149,515,2604361066.00
20040922,1411.35,1411,1374,1373.53,1373.53,14010,17,324115150.00
20040926,1373.65,1374,1343,1366.27,1366.27,22619,46,505488828.00
20040927,1368.95,1369,1342,1349.37,1349.37,24720,28,544787190.00
20040928,1349.37,1349,1299,1348.27,1348.27,1685,4,36717510.00
20040929,1299.41,1347,1299,1347.17,1347.17,710,2,15130830.00
20041002,1281.10,1341,1281,1341.19,1341.19,2879,7,60468850.00
20041004,1274.15,1341,1274,1341.19,1341.19,57,2,1201492.00
20041005,1274.15,1349,1274,1306.73,1306.73,29969,39,640803386.00
20041006,1348.82,1349,1307,1306.79,1306.79,60,3,1319710.00
20041009,1342.11,1342,1307,1306.79,1306.79,55,2,1204210.00
20041010,1305.51,1306,1263,1302.82,1302.82,2982,5,61798360.00
20041011,1262.80,1307,1257,1302.09,1302.09,7678,13,163610377.00
20041012,1299.71,1302,1300,1301.85,1301.85,3018,6,64298840.00
20041013,1342.11,1342,1303,1303.31,1303.31,1181,4,25975640.00
20041016,1303.31,1303,1303,1303.31,1303.31,250,1,5341000.00
20041019,1303.31,1303,1303,1303.31,1303.31,44,1,940016.00
20041020,1341.26,1341,1303,1303.43,1303.43,124,3,2720064.00
20041024,1337.66,1369,1313,1313.38,1313.38,7688,15,169495111.00
20041025,1378.22,1379,1339,1339.30,1339.30,12763,12,288388224.00
20041026,1406.10,1406,1344,1343.51,1343.51,2045,3,47124970.00
20041027,1343.51,1344,1344,1343.51,1343.51,175,3,3854025.00
20041030,1346.56,1347,1344,1343.51,1343.51,887,4,19559401.00
20041031,1343.51,1373,1344,1362.79,1362.79,22403,7,503517817.00
20041101,1342.11,1362,1342,1362.49,1362.49,454,2,9991340.00
20041102,1294.40,1360,1294,1360.23,1360.23,2006,4,43634050.00
20041103,1340.65,1360,1340,1360.05,1360.05,243,4,5343318.00
20041106,1339.06,1360,1339,1359.86,1359.86,236,2,5183610.00
20041108,1292.09,1359,1292,1359.01,1359.01,416,3,8839770.00
20041113,1292.70,1359,1293,1358.70,1358.70,274,3,5962160.00
20041115,1292.09,1398,1292,1347.54,1347.54,16170,18,354318392.00
20041124,1347.48,1348,1347,1347.48,1347.48,908,3,20056552.00
20050103,1372.43,1372,1372,1372.37,1372.37,2000,2,44993000.00
20050105,1362.12,1372,1362,1372.12,1372.12,770,4,17194200.00
20050108,1354.31,1369,1354,1369.32,1369.32,5010,5,111224460.00
20050111,1300.87,1369,1301,1369.07,1369.07,103,2,2207552.00
20050119,1300.63,1367,1301,1367.12,1367.12,908,3,19369460.00
20050209,1298.80,1367,1299,1366.57,1366.57,266,2,5674250.00
20050227,1298.25,1298,1298,1298.25,1298.25,500,1,10640500.00
20050313,1233.34,1294,1233,1293.73,1293.73,2215,4,44790555.00
20050329,1229.07,1229,1229,1229.07,1229.07,500,1,10073500.00
20050410,1167.64,1168,1168,1167.64,1167.64,27824,20,532551360.00
20050411,1167.64,1168,1168,1167.64,1167.64,60,1,1148400.00
20050417,1219.92,1226,1170,1170.32,1170.32,1001650,6,20130019340.00
20050423,1170.08,1226,1170,1177.03,1177.03,1007700,5,20249654320.00
20050430,1228.82,1229,1177,1177.03,1177.03,14,2,273512.00
20050502,1178.01,1178,1177,1177.03,1177.03,110,2,2123940.00
20050510,1182.89,1183,1177,1177.03,1177.03,210,2,4070940.00
20050516,1177.03,1177,1177,1177.03,1177.03,667,4,12869098.00
20050606,1176.97,1177,1177,1176.97,1176.97,257,1,4958301.00
20050612,1174.35,1177,1174,1176.91,1176.91,526,3,10126226.00
20050618,1171.78,1177,1172,1176.85,1176.85,165,2,3170150.00
20050913,1118.04,1175,1118,1174.96,1174.96,1010,5,18519600.00
20050914,1116.21,1116,1116,1116.21,1116.21,1052184,11,19251810648.00
20051120,1060.21,1183,1060,1118.95,1118.95,28484,13,522456840.00
20051123,1118.95,1119,1119,1118.95,1118.95,174,1,3191508.00
20051225,1159.09,1159,1159,1159.09,1159.09,1000,1,19000000.00
20060117,1152.38,1159,1152,1159.03,1159.03,80,2,1512290.00
20060131,1140.61,1159,1141,1158.97,1158.97,116,2,2171862.00
20060712,1135.85,1157,1136,1156.96,1156.96,2757,6,51336043.00
20060719,1156.96,1157,1157,1156.96,1156.96,2263,5,42917795.00
20060722,1156.96,1157,1157,1156.96,1156.96,10,1,189650.00
20060816,1133.84,1154,1134,1153.54,1153.54,4725,7,87822080.00
20060827,1152.45,1153,1152,1153.48,1153.48,131,3,2474797.00
20061112,1128.59,1129,1129,1128.59,1128.59,1553,1,28730500.00
20061119,1125.48,1129,1125,1128.59,1128.59,35,2,646225.00
20061120,1106.02,1128,1106,1128.10,1128.10,675,3,12241370.00
20061122,1105.59,1106,1106,1106.45,1106.45,30762,10,557499866.00
20061126,1084.36,1106,1084,1096.38,1096.38,14671,10,260814495.00
20061203,1006.58,1007,1007,1006.58,1006.58,5000,1,82500000.00
20061212,1024.82,1025,1007,1007.13,1007.13,1010,2,16964090.00
20061216,1007.13,1007,1007,1007.13,1007.13,500,1,8254500.00
20061220,1024.82,1025,1007,1007.25,1007.25,210,2,3524910.00
20070103,987.12,1007,987,1007.07,1007.07,310,2,5019380.00
20070107,986.94,1005,987,1005.18,1005.18,3010,3,48698770.00
20070109,985.11,1004,985,1003.90,1003.90,2010,2,32460560.00
20070122,983.83,1004,984,1003.84,1003.84,1068,3,17555916.00
20070123,1003.90,1004,1004,1003.84,1003.84,1010,2,16620550.00
20070124,1003.53,1004,1004,1003.84,1003.84,1010,2,16614550.00
20070127,1003.96,1004,1004,1003.84,1003.84,1010,2,16621550.00
20070131,1003.78,1004,1004,1003.84,1003.84,1010,2,16618550.00
20070205,1003.65,1004,1004,1003.84,1003.84,1010,2,16616550.00
20070210,983.77,1004,984,1003.78,1003.78,952,4,15637540.00
20070212,1003.47,1004,1003,1003.78,1003.78,815,3,13406533.00
20070213,983.71,1003,984,1003.29,1003.29,759,4,12242085.00
20070219,1003.53,1004,1003,1003.29,1003.29,1010,2,16614460.00
20070221,1003.53,1004,1003,1003.29,1003.29,1010,2,16614460.00
20070227,983.28,1003,983,1002.98,1002.98,525,2,8465180.00
20070228,1003.53,1004,1003,1002.98,1002.98,810,2,13324410.00
20070303,1003.53,1004,983,1002.74,1002.74,1410,3,23061570.00
20070307,1002.92,1003,1003,1002.74,1002.74,810,2,13316370.00
20070408,1002.74,1003,1003,1002.74,1002.74,395,1,6492615.00
20070414,1067.59,1068,1068,1067.59,1067.59,1000,1,17500000.00
20070416,1067.59,1068,1068,1067.59,1067.59,1000,1,17500000.00
20070418,1088.94,1089,1071,1071.25,1071.25,5535,3,98796850.00
20070421,1071.25,1071,1071,1071.25,1071.25,1000,2,17560000.00
20070501,1071.19,1071,1071,1071.25,1071.25,1010,2,17734600.00
20070502,1070.58,1071,1071,1071.25,1071.25,1010,2,17724600.00
20070527,793.06,793,793,793.06,793.06,1000,1,13000000.00
20070630,793.06,793,793,793.06,793.06,1000,1,13000000.00
20070715,793.06,793,793,793.06,793.06,800,1,10400000.00
20070807,793.06,793,793,793.06,793.06,200,1,2600000.00
20070808,793.06,793,793,793.06,793.06,50,1,650000.00
20070812,793.06,793,793,793.06,793.06,200,1,2600000.00
20070901,793.06,793,793,793.06,793.06,800,3,10400000.00
20070903,793.06,793,793,793.06,793.06,1000,1,13000000.00
20070915,793.00,793,793,793.06,793.06,1010,2,13129000.00
20070916,793.00,793,793,793.06,793.06,1010,2,13129000.00
20070917,793.00,793,793,793.06,793.06,1000,2,12999500.00
20070918,793.06,793,793,793.06,793.06,28,1,364000.00
20070919,793.06,793,793,793.06,793.06,972,1,12636000.00
20070923,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071006,793.06,793,793,793.06,793.06,500,1,6500000.00
20071010,793.06,793,793,793.06,793.06,500,1,6500000.00
20071015,793.06,793,793,793.06,793.06,1500,1,19500000.00
20071016,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071017,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071021,793.06,793,793,793.06,793.06,500,1,6500000.00
20071024,793.06,793,793,793.06,793.06,1000,3,13000000.00
20071121,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071128,793.06,793,793,793.06,793.06,1500,1,19500000.00
20071205,793.06,793,793,793.06,793.06,500,1,6500000.00
20071208,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071222,793.06,793,793,793.06,793.06,1037,2,13481000.00
20071223,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071226,793.06,793,793,793.06,793.06,1000,1,13000000.00
20071230,793.06,809,793,793.55,793.55,8323,7,108512580.00
20071231,809.41,809,797,797.09,797.09,8892,9,117977036.00
20080102,797.03,797,797,797.09,797.09,910,2,11889160.00
20080109,797.09,797,797,797.09,797.09,2150,2,28091900.00
20080113,796.73,797,797,797.09,797.09,510,2,6660660.00
20080426,610.05,780,610,697.29,697.29,10010,5,114417316.00
20080430,696.25,697,696,697.29,697.29,1010,2,11527300.00
20080505,683.38,697,683,697.29,697.29,60,2,674400.00
20080506,683.38,697,683,697.16,697.16,284,3,3183628.00
20080507,683.38,694,683,693.87,693.87,9552,11,107006138.00
20080511,714.67,715,694,694.24,694.24,710,3,8314300.00
20080512,715.04,715,704,703.57,703.57,17995,6,210917515.00
20080514,724.62,725,708,708.02,708.02,8524,4,101245352.00
20080517,729.25,729,709,708.82,708.82,1495,2,17867880.00
20080520,729.99,730,710,709.79,709.79,1841,4,22027432.00
20080526,709.79,710,710,709.79,709.79,855,2,9947925.00
20080527,709.79,710,710,709.79,709.79,2222,3,25852970.00
20080802,857.12,915,857,897.99,897.99,3217,7,47355100.00
20080803,897.99,898,898,897.99,897.99,5134,4,75575480.00
20080810,871.09,898,871,897.63,897.63,1010,4,14618857.00
20080812,870.72,898,871,897.57,897.57,110,2,1574430.00
20080825,870.66,897,871,896.90,896.90,1010,2,14419020.00
20080923,869.99,897,870,896.83,896.83,110,2,1573110.00
20081008,869.93,897,870,896.77,896.77,110,2,1573000.00
20081012,869.93,897,870,896.77,896.77,110,2,1573000.00
20081013,869.93,897,870,896.77,896.77,110,3,1573000.00
20081014,869.93,897,870,896.77,896.77,110,2,1573000.00
20081015,869.93,897,870,896.71,896.71,110,2,1572990.00
20081018,869.93,897,870,896.71,896.71,110,2,1572990.00
20081214,869.87,870,870,869.87,896.47,344,1,4905096.00
20081220,869.63,870,870,869.63,896.41,120,2,1710600.00
20090405,491.09,491,491,491.09,491.09,9379,2,75500950.00
20090418,505.79,506,506,505.79,491.15,125,2,1036375.00
20090429,505.79,506,506,505.79,491.40,625,1,5181875.00
20090503,505.79,506,506,505.79,496.46,14000,3,116074000.00
20090509,511.34,511,511,511.34,496.64,500,1,4191000.00
20090603,566.11,583,566,574.36,573.15,9322,3,66068422.00
20090606,590.29,590,590,590.29,573.63,1134,2,8277066.00
20090607,590.78,591,591,590.78,574.52,2000,1,14610000.00
20090609,591.75,592,592,591.75,574.60,125,1,914625.00
20090613,591.83,592,592,591.83,575.65,2500,1,18295000.00
20090713,592.88,593,593,592.88,592.88,10,1,73310.00
20090714,610.59,611,611,610.59,610.59,10,1,75500.00
20090715,628.87,629,629,628.87,628.87,10,1,77760.00
20090718,647.71,648,648,647.71,647.71,10,1,80090.00
20090719,667.12,667,667,667.12,667.12,1000,1,8249000.00
20090721,687.10,687,687,687.10,677.15,20014,6,170038944.00
