date,open,high,low,last,close,vol,count,value
20200701,13643.52,13644,13644,13643.52,13643.52,1319997902,4481814,20789966956500.00
20200704,14319.20,14319,14319,14319.20,13712.82,440203,1744,7276555590.00
20200705,14397.17,14397,14397,14397.17,13860.09,938953,3517,15605398860.00
20200706,14553.09,14553,14553,14553.09,14284.55,2686776,4492,45137836800.00
20200707,14994.88,14995,14995,14994.88,14457.80,1081091,4153,18713685210.00
20200708,15176.80,15177,15177,15176.80,14838.96,2318424,3811,40618788480.00
20200711,15575.27,15575,15575,15575.27,15072.84,1417503,5292,25486703940.00
20200712,15826.49,15826,15575,15826.49,15289.41,1275695,4720,23306860650.00
20200713,16051.71,16052,16052,16051.71,15557.95,1569030,5839,29074125900.00
20200714,16328.91,16329,16329,16328.91,15731.20,999022,3895,18831564700.00
20200715,16510.83,16511,16511,16510.83,16510.83,4406016,5818,83978664960.00
20200718,17333.77,17334,17334,17333.77,16848.67,1786064,6770,35739140640.00
20200719,17688.94,17689,17689,17688.94,16917.97,372492,1364,7606286640.00
20200722,17758.24,17758,17758,17758.24,17333.77,2180865,8193,44707732500.00
20200725,18200.03,18200,18200,18200.03,17922.82,2986505,8386,62746470050.00
20200726,18815.07,18815,18815,18815.07,18433.92,2510565,6384,54529471800.00
20200727,19352.15,19352,19352,19352.15,18910.36,2284840,8973,51043325600.00
20200803,19853.18,19853,19853,19853.18,19287.49,1751087,6420,38716533570.00
20200804,20248.27,20248,20248,20248.27,19718.49,1978299,7910,44610642450.00
20200805,20697.23,20697,20697,20697.23,20212.35,2238092,8285,51588020600.00
20200809,21218.03,21218,21218,21218.03,21137.22,4028807,10023,95200709410.00
20200810,22187.79,22188,22188,22187.79,22187.79,14529231,8526,359017298010.00
20200811,23292.24,23292,23292,23292.24,23292.24,17578370,3981,455982917800.00
20200812,24450.57,24451,24451,24450.57,24450.57,44241336,25014,1204691579280.00
20200815,25671.75,25672,24837,25671.75,25662.77,201765288,80137,5767442481080.00
20200816,26937.83,26938,26938,26937.83,26937.83,69147920,31794,2074437600000.00
20200817,28284.72,28285,28285,28284.72,28284.72,64052396,27672,2017650474000.00
20200818,29694.47,29694,26965,27835.76,29227.54,93284695,35566,3036015813350.00
20200822,27772.90,27773,27773,27772.90,27772.90,7572013,7172,234202362090.00
20200823,26390.09,27773,26390,26390.09,26390.09,6051948,7454,177867675720.00
20200824,25079.12,25079,25079,25079.12,25079.12,4541497,5363,126844011210.00
20200825,23831.00,26327,23831,26327.24,24908.51,379132545,371445,10515581128270.00
20200826,26147.65,26148,26148,26147.65,26147.65,26824329,41852,781124460480.00
