date,open,high,low,last,close,vol,count,value
20200805,6000.30,6000,6000,6000.30,6000.30,84000000,5415548,529200000000.00
20200809,6300.32,6300,6300,6300.32,6005.07,134716,8740,891146340.00
20200810,6305.08,6305,6305,6305.08,6139.36,3554269,13133,23529260780.00
20200811,6446.04,6446,6446,6446.04,6145.07,143652,9425,972236736.00
20200812,6451.76,6452,6452,6451.76,6148.88,102143,6694,691916682.00
20200815,6455.57,6456,6456,6455.57,6153.65,124340,8111,842776520.00
20200816,6461.28,6461,6461,6461.28,6158.41,111978,7301,759658752.00
20200817,6466.04,6466,6466,6466.04,6165.07,178210,11632,1209867690.00
20200818,6472.71,6473,6473,6472.71,6172.69,182994,11921,1243627224.00
20200819,6481.28,6481,6481,6481.28,6177.46,124252,8072,845534860.00
20200822,6486.04,6486,6486,6486.04,6182.22,124007,7632,844487670.00
20200901,12364.44,12982,12364,12982.26,12365.43,7349617,72293,95824338416.00
20200902,12983.25,12983,12983,12983.25,12439.81,961082,56784,12582485544.00
20200905,13061.60,13062,13062,13061.60,12560.79,778453,49588,10253004463.00
20200906,13188.53,13189,13189,13188.53,12685.75,794974,39972,10572359226.00
20200907,13319.44,13319,13319,13319.44,12958.46,1713168,56426,23009559408.00
20200908,13606.04,13606,13606,13606.04,13169.69,1297171,57512,17797186120.00
20200909,13828.18,13828,13828,13828.18,13309.52,848975,47277,11838107400.00
20200920,13974.95,13975,13975,13974.95,13485.05,985444,63237,13886876848.00
20200921,14158.41,14158,14158,14158.41,13672.48,1037963,53921,14818997751.00
20200922,14355.76,14356,14356,14355.76,13796.44,673929,40210,9755796204.00
20200923,14485.67,14486,14486,14485.67,13935.28,748310,44511,10930564170.00
20200926,14631.45,14631,14631,14631.45,14069.16,685537,42972,10114412898.00
20200927,14772.27,14772,14772,14772.27,14267.50,1002950,37434,14939943200.00
20200928,14980.53,14981,14981,14980.53,14395.43,638585,39979,9646465010.00
20200929,15114.40,15114,15114,15114.40,14528.31,655614,41836,9992212974.00
20200930,15254.23,15254,15254,15254.23,14645.33,574350,33832,8834651700.00
20201003,15377.20,15377,15377,15377.20,14805.00,737217,45365,11431286802.00
20201004,15544.80,15545,15545,15544.80,14931.93,582109,36147,9124558575.00
20201005,15677.69,15678,15678,15677.69,15082.67,684566,36036,10822303894.00
20201007,15836.36,15836,15836,15836.36,15302.83,988012,56607,15777563628.00
20201010,16067.42,16067,16067,16067.42,15500.17,836303,40743,13549781206.00
20201011,16274.69,16275,16275,16274.69,15706.45,864940,46596,14194530340.00
20201012,16490.87,16491,16491,16490.87,15902.80,809505,45347,13461258645.00
20201013,16697.15,16697,16697,16697.15,16056.51,626120,40557,10541982440.00
20201014,16858.79,16859,16859,16858.79,16858.79,3491877,31790,59361909000.00
20201018,17701.73,17702,17702,17701.73,17701.73,3535058,33869,63100785300.00
20201019,18586.32,18586,18586,18586.32,18586.32,3596974,23894,67414486708.00
20201020,19515.54,19516,19516,19515.54,19515.54,4080215,24030,80294550985.00
20201021,20490.38,20490,20490,20490.38,20490.38,3402447,25534,70301359914.00
20201024,21514.80,21515,21515,21514.80,21514.80,3361936,21169,72937201520.00
20201026,22589.79,22590,22590,22589.79,22589.79,11437663,3925,260538525477.00
20201031,22709.79,23718,21461,21618.92,22502.52,56216154,92678,1275604224445.00
20201101,21377.94,22045,21378,21377.94,21392.82,11374920,12832,245383604719.00
20201102,20323.77,20324,20324,20323.77,20323.77,3562927,552,73018625938.00
20201104,19308.28,21339,19308,21339.27,20509.22,52595676,80727,1087755340367.00
20201107,19483.81,19484,19484,19483.81,19483.81,4269193,959,83876834871.00
20201108,18509.96,18510,18510,18509.96,18509.96,3147925,315,58756020125.00
20201109,17584.71,18510,17585,18009.16,17730.49,28714732,44724,513380483668.00
20201110,18335.43,18616,17355,18616.07,18328.48,16650827,54447,307747923563.00
20201111,19090.10,19245,18644,19244.81,19233.90,21749575,31921,421832725911.00
20201114,20022.30,20195,19437,20194.85,20105.60,9590217,28002,194432737968.00
20201115,21103.24,21108,19101,19101.01,19686.11,22977491,36517,456133354818.00
20201116,18702.35,20330,18702,19526.45,19763.46,12503967,35345,249196705192.00
20201117,19536.37,20280,19042,19536.37,19773.38,11919063,34786,237651588595.00
20201118,19734.70,20131,19279,19605.78,19710.90,14085555,42977,279968344428.00
20201121,19832.88,19833,18726,18726.15,18866.97,14136644,33454,268950578646.00
20201122,17925.86,18326,17924,17923.87,17966.52,10632186,20053,192623849993.00
20201123,17652.15,18560,17617,18473.27,18036.93,10752318,34776,195561035637.00
20201124,18643.84,18938,17482,18276.92,18409.80,10024074,28945,186088901571.00
20201125,18386.00,18495,17850,17960.56,18066.68,5278728,28742,96168446327.00
20201128,17751.32,18969,17520,18969.12,18563.51,10743130,37194,201105726949.00
20201129,19447.11,19491,18969,19490.75,19465.96,7472874,25615,146681717663.00
20201130,20438.81,20439,19856,20438.81,20418.97,10391235,33723,213956914090.00
20201201,21123.08,21439,19834,21438.43,21164.73,15964722,48551,340725866274.00
20201202,21817.26,22223,21321,22219.89,22101.88,10914487,33115,243249178205.00
20201205,23206.62,23207,22809,23206.62,23190.76,12656440,23976,295974471098.00
20201206,24350.05,24350,24350,24350.05,24350.05,9464129,24467,232382223466.00
20201207,25566.86,25567,24445,25566.86,25446.86,19788773,49365,507786673136.00
20201208,26279.88,26719,25447,26719.20,26627.97,14255135,49177,382768010087.00
20201209,27958.82,27959,27959,27958.82,27958.82,4475294,43982,126171963742.00
20201212,29356.12,29356,29356,29356.12,28529.04,723438,1158,21415211676.00
20201215,27103.23,27103,27103,27103.23,27103.23,4052543,1221,112470225879.00
