date,open,high,low,last,close,vol,count,value
20010501,473.93,474,474,473.93,473.93,1000,1,4400000.00
20010502,473.82,474,474,473.82,473.82,53678,108,236129522.00
20010506,473.93,474,474,473.93,473.93,342,1,1504800.00
20010516,474.25,474,474,474.25,474.25,857,1,3773371.00
20010625,432.14,432,432,432.14,432.14,1000,1,4012000.00
20010701,453.68,454,454,453.68,453.68,1105,3,4654260.00
20010703,476.30,476,476,476.30,476.30,1000,1,4422000.00
20010709,500.10,500,500,500.10,500.10,1714,2,7958102.00
20010715,525.09,525,525,525.09,525.09,1000,3,4875000.00
20010723,551.26,551,551,551.26,551.26,1714,2,8772252.00
20010805,578.73,579,579,578.73,578.73,1012,5,5437476.00
20010811,607.60,608,608,607.60,607.60,1017,3,5736897.00
20010820,637.97,638,638,637.97,637.97,995,1,5893385.00
20010825,669.85,670,670,669.85,669.85,6662,12,41430978.00
20010826,669.64,670,670,669.75,669.75,2155,2,13397795.00
20010828,667.81,668,654,657.04,657.04,24074,5,146346400.00
20010829,657.04,657,653,653.05,653.05,3931,6,23905100.00
20010903,651.65,652,652,651.65,651.65,2000,2,12100000.00
20010904,651.44,651,651,651.44,651.44,50,1,302400.00
20010922,644.97,658,645,657.90,657.90,9246,24,55619728.00
20010923,664.47,664,664,664.47,664.47,500,1,3084500.00
20010926,671.04,671,671,671.04,671.04,640,1,3987200.00
20010930,671.04,671,671,671.04,671.04,1679,3,10460170.00
20011002,671.04,672,671,670.93,670.93,5694,6,35485831.00
20011006,671.36,671,671,671.36,671.36,857,1,5341681.00
20011007,671.58,672,672,671.58,671.58,857,1,5343395.00
20011008,672.01,672,672,671.90,671.90,685,3,4273530.00
20011010,672.01,672,672,671.90,671.90,500,2,3119200.00
20011013,671.90,672,672,671.90,671.90,1995,6,12445010.00
20011023,672.01,672,672,672.01,672.01,857,3,5346823.00
20011103,688.70,689,689,688.70,688.70,800,7,5115200.00
20011106,705.83,706,706,705.83,705.83,1271,2,8328863.00
20011107,712.83,713,713,712.83,712.83,1300,1,8603400.00
20011208,719.94,720,720,719.94,719.94,857,1,5728188.00
20011222,727.05,727,727,727.05,727.05,857,9,5784750.00
20011225,734.27,734,734,734.27,734.27,3820,2,26040940.00
20011231,741.59,742,742,741.59,741.59,857,1,5900445.00
20020217,630.22,630,630,630.22,630.22,1000,1,5851000.00
20020226,636.46,636,636,636.46,636.46,587,5,3468583.00
20020305,642.82,643,643,642.82,642.82,480,3,2864640.00
20020306,649.17,649,649,649.17,649.17,380,4,2290260.00
20020309,655.64,656,656,655.64,655.64,360,3,2191320.00
20020310,662.10,662,662,662.10,662.10,995,1,6116265.00
20020312,807.83,808,679,807.83,807.83,15715,18,114592707.00
20020313,799.75,800,800,799.75,799.75,1444,5,10721700.00
20020319,791.78,792,792,791.78,791.78,810,2,5954310.00
20020327,791.57,792,792,791.57,791.57,680,1,4997320.00
20020406,791.14,792,791,791.78,791.78,7297,8,53630511.00
20020407,791.78,792,792,791.78,791.78,7398,2,54382698.00
20020410,791.68,792,792,791.78,791.78,3609,5,26528002.00
20020415,791.78,792,792,791.78,791.78,1310,2,9629810.00
20020417,791.78,792,792,791.78,791.78,1357,2,9975307.00
20020421,791.78,792,792,791.78,791.78,125,1,918875.00
20020422,791.78,792,792,791.78,791.78,540,1,3969540.00
20020423,791.68,792,792,791.78,791.78,3436,6,25257356.00
20020424,791.78,792,792,791.78,791.78,887,2,6520337.00
20020512,791.46,792,791,791.78,791.78,2847,5,20923227.00
20020622,775.52,776,776,775.52,775.52,3000,1,21600000.00
20020623,775.52,776,776,775.52,775.52,1000,1,7200000.00
20020706,767.76,768,768,767.76,767.76,100,1,712800.00
20020707,748.59,749,749,748.59,748.59,3500,2,24325000.00
20020817,729.96,730,730,729.96,729.96,2000,2,13554000.00
20020818,711.75,712,712,711.75,711.75,853,2,5636624.00
20021002,676.21,676,676,676.21,676.21,1132,1,7106696.00
20021106,642.50,642,642,642.50,642.50,33480,24,199708200.00
20021112,642.17,642,642,642.39,642.39,4396,5,26211894.00
20021119,643.03,643,643,643.03,643.03,160,1,955200.00
20021120,643.03,643,643,643.03,643.03,2840,3,16954800.00
20021124,643.03,643,643,643.03,643.03,6910,4,41252700.00
20021125,643.03,643,643,643.03,643.03,600,1,3582000.00
20021126,643.14,643,643,643.14,643.14,1178,2,7033838.00
20021202,643.03,675,643,657.04,657.04,5497,5,33954384.00
20021228,678.58,679,679,678.58,678.58,1600000,1,10080000000.00
20021231,680.73,681,681,680.73,680.73,1620235,2,10239885200.00
20030107,679.76,681,680,679.76,679.76,5571,4,35168893.00
20030112,680.09,681,680,680.09,680.09,3186,4,20126520.00
20030119,657.04,657,657,657.04,657.04,4370,3,26657000.00
20030127,654.34,654,647,646.70,646.70,1630,2,9831250.00
20030224,614.38,614,614,614.38,614.38,2500,3,14260000.00
20030308,583.79,584,584,583.79,583.79,2242,3,12151640.00
20030319,560.10,560,560,560.10,560.10,116,1,603200.00
20030415,560.31,560,560,560.31,560.31,400,1,2080800.00
20030416,560.64,561,561,560.64,560.64,218,2,1134690.00
20030419,560.64,561,561,560.64,560.64,182,1,947310.00
20030421,562.79,563,563,562.79,562.79,1285,1,6714125.00
20030427,566.56,567,567,566.56,566.56,500,2,2630000.00
20030510,594.89,595,595,594.89,594.89,2357,2,13017711.00
20030706,538.55,539,539,538.55,538.55,5857,2,29285000.00
20030818,538.55,539,539,538.55,538.55,10000,1,50000000.00
20030823,538.55,539,539,538.55,538.55,100,1,500000.00
20031020,511.63,535,512,534.78,534.78,2957,4,14047900.00
20031022,526.81,539,527,536.62,536.62,16067,5,80171320.00
20031026,538.55,539,539,538.55,538.55,10000,1,50000000.00
20031227,538.55,539,539,538.55,538.55,2100100,2,10500500000.00
20031231,511.63,539,512,538.55,538.55,2191000,2,10407500000.00
20040103,538.45,539,512,538.45,538.45,2192002,4,10414698990.00
20040104,511.73,538,512,538.45,538.45,2191000,2,10409689000.00
20040105,538.45,538,538,538.45,538.45,694,1,3469306.00
20040106,511.63,537,512,537.37,537.37,1010,3,4799890.00
20040107,538.45,539,537,537.48,537.48,2842,4,14209595.00
20040113,537.48,537,537,537.48,537.48,400,1,1996000.00
20040114,537.48,537,511,537.48,537.48,2191200,3,10388778000.00
20040120,510.66,537,511,537.37,537.37,2191000,2,10387779000.00
