date,open,high,low,last,close,vol,count,value
20160105,591.13,591,591,591.13,591.13,14000000,6681,21700000000.00
20160106,620.49,620,620,620.49,620.49,40452,60,65815404.00
20160109,651.38,651,651,651.38,651.38,105328,139,179900224.00
20160110,683.80,684,684,683.80,683.80,330942,414,593379006.00
20160111,717.74,718,718,717.74,717.74,1349771,709,2540269022.00
20160112,753.59,754,744,753.59,753.59,11010976,5375,21754844934.00
20160113,774.19,791,774,790.97,786.77,10471723,6960,21601898186.00
20160116,800.88,820,763,770.37,787.53,5534511,2345,11430440019.00
20160117,787.92,788,748,748.25,753.97,7123206,1727,14084065450.00
20160118,743.68,751,720,733.38,733.00,1158668,532,2227146323.00
20160119,744.82,767,744,762.74,752.07,1555917,541,3068594269.00
20160120,762.74,789,759,789.44,787.53,6340836,710,13094772443.00
20160123,792.87,827,771,826.82,822.62,3829029,483,8258382912.00
20160124,848.55,863,849,863.43,861.52,1225073,140,2767834207.00
20160125,900.42,904,866,896.23,898.51,4436059,549,10451328895.00
20160126,901.95,943,882,943.13,930.93,2033420,243,4964290446.00
20160127,953.43,976,887,887.07,915.29,1504216,330,3609559168.00
20160130,898.89,951,877,915.29,906.90,993204,218,2361876229.00
20160131,907.67,915,862,910.72,888.60,1984321,251,4622994279.00
20160201,909.19,933,900,932.84,929.79,1948238,213,4749246781.00
20160202,938.18,976,908,907.67,940.46,1029668,190,2539598950.00
20160203,901.18,945,901,915.29,920.25,864561,145,2086355385.00
20160206,885.17,953,885,930.55,931.69,1533244,257,3744996576.00
20160207,919.49,950,896,918.73,924.07,810430,171,1963539652.00
20160208,969.83,970,970,970.21,970.21,1113070,111,2831178602.00
20160209,1018.26,1019,954,989.28,1016.36,3719653,301,9914539671.00
20160210,968.69,1067,969,1067.08,1065.17,3912490,302,10929147297.00
20160213,1029.71,1117,1022,1112.84,1080.43,918409,140,2601813012.00
20160214,1086.91,1117,1066,1066.70,1088.44,534964,112,1526700236.00
20160215,1112.46,1125,1086,1090.73,1099.88,804952,99,2321325464.00
20160216,1069.37,1155,1049,1154.80,1115.90,1841575,217,5389090884.00
20160217,1171.58,1172,1172,1171.58,1171.58,215306,19,661420032.00
20160221,1220.39,1239,1148,1200.94,1212.00,332155,58,1055640608.00
20160222,1212.00,1238,1182,1231.83,1217.72,1361502,191,4346991776.00
20160223,1254.72,1270,1158,1212.76,1224.21,767091,137,2462138422.00
20160224,1170.81,1220,1164,1201.32,1203.99,258415,103,815757084.00
20160227,1201.32,1249,1163,1163.19,1203.99,429151,120,1354713875.00
20160228,1151.74,1264,1152,1201.32,1234.12,452228,116,1463577134.00
20160229,1247.09,1289,1202,1258.53,1270.73,461868,83,1538897449.00
20160301,1262.34,1318,1247,1277.60,1297.81,386866,65,1316604171.00
20160302,1247.85,1363,1248,1362.64,1352.35,735533,90,2607964802.00
20160305,1418.32,1420,1381,1419.85,1419.47,1663497,187,6192163095.00
20160306,1490.40,1490,1399,1411.08,1435.87,428494,114,1613150613.00
20160307,1411.08,1436,1392,1392.01,1408.79,680989,83,2515392774.00
20160308,1392.77,1472,1393,1427.86,1444.64,472967,100,1791410582.00
20160309,1453.03,1476,1374,1449.22,1444.64,506254,89,1917451391.00
20160312,1448.83,1487,1373,1400.02,1450.74,589114,94,2241031170.00
20160314,1501.08,1501,1378,1378.28,1386.67,352841,76,1283030313.00
20160315,1317.64,1318,1318,1317.64,1317.64,66325,22,229152875.00
20160316,1252.05,1296,1252,1259.67,1252.05,2156579,215,7080462273.00
20160326,1311.92,1312,1203,1273.78,1275.31,33640,20,112484090.00
20160327,1258.53,1315,1237,1253.57,1279.89,162180,40,544351050.00
20160328,1277.60,1315,1254,1292.85,1292.85,240612,33,815620114.00
20160329,1317.26,1317,1228,1289.04,1292.09,404906,69,1371931765.00
20160330,1227.64,1302,1228,1258.53,1272.26,389699,84,1299846921.00
20160402,1220.39,1295,1220,1253.57,1256.62,128457,41,423290366.00
20160403,1294.00,1294,1194,1258.15,1221.92,119537,42,382959316.00
20160404,1162.04,1255,1162,1237.93,1204.37,70364,44,222186100.00
20160405,1184.16,1217,1175,1174.63,1184.16,528202,112,1639916312.00
20160406,1220.39,1243,1217,1220.39,1229.93,825822,126,2663257521.00
20160409,1201.70,1262,1202,1230.31,1241.37,100464,50,327057904.00
20160410,1220.39,1228,1196,1202.47,1208.19,180644,32,572207583.00
20160411,1235.65,1268,1202,1268.44,1263.49,743505,85,2463053823.00
20160412,1250.90,1271,1228,1246.32,1239.08,76391,33,248203221.00
20160413,1224.21,1224,1209,1213.53,1221.15,146439,31,468905820.00
20160416,1212.76,1282,1160,1282.17,1198.65,943910,104,2967077601.00
20160417,1202.47,1259,1202,1258.53,1258.15,775642,104,2559089630.00
20160418,1296.67,1320,1253,1252.81,1293.23,137755,47,467120125.00
20160419,1254.72,1277,1229,1237.17,1232.21,279062,54,901632128.00
