date,open,high,low,last,close,vol,count,value
20131130,1759.20,1759,1759,1759.20,1759.20,400000,2,1000000000.00
20131203,1780.31,1780,1407,1619.17,1759.20,389000,20,972559000.00
20131209,1776.79,1777,1777,1776.79,1776.79,10000,1,25250000.00
20131211,1548.09,1618,1548,1583.28,1599.46,19000,6,43190000.00
20131222,1688.83,1758,1618,1625.50,1672.64,31500,5,74890000.00
20131230,1759.20,1759,1759,1759.20,1759.20,27000,2,67500000.00
20140101,1759.20,1759,1641,1759.20,1752.86,69990,8,174339000.00
20140104,1759.20,1759,1759,1759.20,1759.20,3628,1,9070000.00
20140107,1795.79,1796,1759,1795.79,1783.12,31000,4,78550000.00
20140112,1759.20,1759,1759,1759.20,1759.20,3000,1,7500000.00
20140113,1759.20,1900,1759,1759.90,1770.46,109582,23,275663400.00
20140114,1694.46,1694,1694,1694.46,1694.46,60416554,1,145483062032.00
20140115,1794.38,1794,1794,1794.38,1794.38,7000,1,17850000.00
20140121,1759.90,1799,1759,1759.90,1764.83,166500,17,417593500.00
20140126,1688.83,1798,1689,1780.31,1757.09,18382,5,45900510.00
20140129,1755.68,1759,1756,1759.20,1756.38,10960,2,27360200.00
20140201,1829.57,1830,1547,1548.09,1684.61,27000,6,64650000.00
20140202,1836.60,1837,1673,1672.64,1822.53,111000,5,287498600.00
20140203,1755.68,1858,1618,1724.01,1811.27,138197,9,355759440.00
20140205,1648.02,1865,1407,1618.46,1680.39,222800,13,531993000.00
20140208,1548.09,1865,1548,1864.75,1829.57,36000,5,93600000.00
20140212,1864.75,1865,1407,1864.75,1825.34,158350,13,410700000.00
20140217,1864.75,1865,1407,1864.75,1850.68,162000,10,426050000.00
20140218,1878.82,2111,1548,2111.04,2000.56,88500,12,251600000.00
20140219,1407.36,2048,1407,1548.09,1959.75,144000,8,401050000.00
20140223,1421.43,2076,1407,1407.36,1998.45,159000,12,451580000.00
20140226,1407.36,1407,1407,1407.36,1407.36,6000,2,12000000.00
20140302,2075.85,2076,1267,1274.36,1647.31,275503,18,644954230.00
20140304,1273.66,1759,1274,1273.66,1564.28,53500,9,118915273.00
20140305,1274.36,1274,1274,1273.66,1274.36,5500,2,9959500.00
20140309,1759.20,1759,1267,1386.25,1367.95,49600,12,96402000.00
20140310,1280.70,1281,1281,1280.70,1280.70,13000,4,23660000.00
20140312,1273.66,1274,1274,1273.66,1273.66,70,1,126700.00
20140315,1274.36,1274,1274,1274.36,1274.36,11850,5,21459850.00
20140317,1273.66,1407,1267,1270.14,1270.14,204000,14,368290000.00
20140318,1273.66,1274,1126,1126.59,1175.85,15000,4,25059000.00
20140326,1301.81,1302,1267,1266.62,1293.36,13000,2,23900000.00
20140330,1196.25,1267,1133,1266.62,1215.25,12000,4,20730000.00
20140407,1266.62,1267,1267,1266.62,1266.62,50000,1,90000000.00
20140408,1161.07,1161,1136,1136.44,1144.89,14000,3,22785000.00
20140409,1142.07,1142,1142,1142.07,1142.07,1000,1,1623000.00
20140412,1548.09,1548,1142,1142.77,1365.14,13300,6,25805200.00
20140413,1548.09,1548,1126,1196.25,1143.48,121050,11,196747800.00
20140414,1548.09,1548,1126,1195.55,1246.92,12375,3,21928125.00
20140415,1126.59,1548,1056,1548.09,1145.59,21000,8,34178000.00
20140419,1055.52,1126,1056,1125.89,1081.55,6100,3,9375000.00
20140420,1618.46,1618,1091,1259.59,1180.77,49010,12,82219900.00
20140421,1618.46,1618,1618,1618.46,1618.46,4000,2,9200000.00
20140426,1231.44,1654,1231,1231.44,1346.14,25690,9,49157500.00
20140427,1231.44,1654,1231,1231.44,1244.10,70425,8,124493750.00
20140428,1231.44,1675,1231,1231.44,1320.10,10000,4,18760000.00
20140429,1231.44,1231,1224,1231.44,1229.33,3155,4,5511250.00
20140430,1674.76,1675,1231,1231.44,1657.87,4155,3,9791250.00
20140503,1688.83,1689,1161,1161.07,1284.21,10000,3,18250000.00
20140504,1196.25,1231,1064,1231.44,1111.11,6600,5,10422620.00
20140505,1231.44,1231,1126,1125.89,1130.81,2100,3,3375000.00
20140506,1125.89,1126,1126,1125.89,1125.89,7925,2,12680000.00
20140507,1055.52,1091,1056,1090.70,1068.18,28650,11,43485400.00
20140510,1090.70,1112,1091,1111.81,1097.74,2892,3,4512600.00
20140512,1055.52,1126,1056,1056.93,1068.89,24146,8,36684954.00
20140514,1057.63,1098,1056,1097.74,1066.07,15275,5,23142000.00
20140517,1125.89,1126,1070,1071.00,1113.22,66620,8,105413600.00
20140518,1073.11,1189,1073,1147.00,1139.96,23095,5,37408350.00
20140519,1147.00,1147,1105,1147.00,1139.96,19300,5,31274440.00
20140520,1125.89,1126,1105,1104.78,1111.81,377760,21,596849200.00
20140521,1125.89,1126,1105,1105.48,1106.18,40270,5,63308348.00
20140524,1106.18,1106,1105,1105.48,1105.48,21000,2,33001000.00
20140525,1106.18,1106,1104,1104.78,1104.78,76000,5,119326000.00
20140526,1105.48,1126,1091,1125.89,1106.18,75710,21,118994212.00
20140528,1104.78,1126,1098,1125.89,1113.22,13258,4,20972980.00
20140531,1097.74,1126,1098,1125.89,1125.18,26892,4,42987200.00
20140601,1125.18,1161,1125,1161.07,1135.74,14600,6,23565000.00
20140602,1125.89,1161,1056,1161.07,1099.85,10200,6,15941000.00
20140603,1125.89,1126,1126,1125.89,1125.89,3000,1,4800000.00
20140607,1125.89,1161,1126,1125.89,1136.44,19698,10,31815910.00
20140608,1147.00,1196,1126,1182.18,1185.00,52350,9,88163000.00
20140609,1125.89,1217,1126,1196.25,1194.85,82508,9,140104432.00
20140610,1125.89,1127,1126,1126.59,1125.89,15000,5,24007000.00
20140611,1055.52,1127,1056,1126.59,1056.93,107800,43,161932300.00
20140614,1161.07,1161,1126,1125.89,1129.40,48300,9,77540000.00
20140615,1055.52,1196,1056,1196.25,1056.93,3054273,8,4587094500.00
20140616,1196.25,1196,1196,1196.25,1196.25,15300,1,26010000.00
20140617,1196.25,1196,1196,1196.25,1196.25,23000,6,39100000.00
20140623,1161.07,1161,1133,1132.92,1157.55,28300,5,46563000.00
20140624,1132.92,1161,1127,1161.07,1138.55,9500,4,15368000.00
20140628,1125.89,1126,1126,1125.89,1125.89,30000,4,48000000.00
20140629,1125.89,1126,1091,1090.70,1116.03,43000,8,68200000.00
20140630,1090.70,1126,1091,1125.89,1118.85,4850,2,7710000.00
20140701,1161.07,1161,1161,1161.07,1161.07,10000,2,16500000.00
20140702,1090.70,1091,1056,1055.52,1073.81,19000,4,29000000.00
20140708,1090.70,1126,1056,1055.52,1066.78,78800,7,119450000.00
20140709,1090.70,1091,1091,1090.70,1090.70,1000,1,1550000.00
20140712,1164.59,1165,1091,1090.70,1094.92,9591,3,14928105.00
20140713,1090.70,1091,1056,1055.52,1075.22,22017,5,33648850.00
20140715,1055.52,1056,1056,1055.52,1055.52,54483,10,81724500.00
20140716,1055.52,1056,1056,1055.52,1055.52,17017,7,25525500.00
20140728,1055.52,1098,1056,1076.63,1066.78,29943,9,45382100.00
20140802,1076.63,1077,1056,1076.63,1075.93,74500,6,113925000.00
20140803,1076.63,1077,1077,1076.63,1076.63,11000,2,16830000.00
20140804,1076.63,1077,1077,1076.63,1076.63,7000,2,10710000.00
20140805,1055.52,1091,1056,1091.41,1072.41,24690,5,37631190.00
20140806,1090.70,1091,1056,1055.52,1071.70,7000,3,10660500.00
20140809,1097.74,1098,1098,1097.74,1097.74,20992,11,32747520.00
20140810,1097.74,1098,1097,1097.04,1097.04,12500,4,19493500.00
20140811,1097.74,1101,1098,1101.26,1099.15,6990,3,10919400.00
20140812,1097.74,1126,1063,1125.89,1103.37,27510,10,43146800.00
20140816,1062.56,1063,1063,1062.56,1062.56,6000,2,9060000.00
20140817,1055.52,1056,1056,1055.52,1055.52,20000,3,30000000.00
20140818,1055.52,1056,1056,1055.52,1055.52,1000,1,1500000.00
20140819,1090.70,1091,1056,1055.52,1063.26,36850,6,55675000.00
20140820,1090.70,1091,1056,1055.52,1066.07,7497,4,11359300.00
20140823,1055.52,1056,1056,1055.52,1055.52,637,1,955500.00
20140824,1055.52,1056,1056,1055.52,1055.52,29000,4,43500000.00
20140825,1055.52,1056,1056,1055.52,1055.52,1000,1,1500000.00
20140826,1055.52,1056,1056,1055.52,1055.52,14500,7,21750000.00
20140827,1055.52,1056,985,1055.52,999.93,14000,4,19900000.00
20140830,1055.52,1056,1056,1055.52,1055.52,3500,1,5250000.00
20140901,1055.52,1056,1056,1055.52,1055.52,1000,1,1500000.00
20140902,1006.26,1006,1006,1006.26,1006.26,8000,3,11440000.00
20140903,1006.26,1006,985,985.15,986.56,13750,4,19280000.00
20140906,1020.33,1020,985,1006.26,1003.45,52000,7,74170000.00
20140907,1006.26,1063,1006,1006.26,1032.30,13850,4,20322450.00
20140910,1006.26,1006,1006,1006.26,1006.26,9000,2,12870000.00
20140913,1006.26,1006,1006,1006.26,1006.26,8000,2,11440000.00
20140914,1006.26,1006,1006,1006.26,1006.26,1000,1,1430000.00
20140915,1006.26,1006,985,1006.26,995.00,3800,4,5374000.00
20140916,1006.26,1056,1006,1055.52,1042.85,19850,5,29425000.00
20140917,1055.52,1056,1004,1004.15,1054.81,112335,5,168356500.00
20140921,1055.52,1056,1056,1055.52,1055.52,10000,1,15000000.00
20140922,986.56,987,985,985.15,985.15,59000,4,82602000.00
20140923,1055.52,1056,985,985.15,1016.82,9000,3,13006000.00
20140927,985.15,985,985,985.15,985.15,6000,1,8400000.00
20140928,985.15,1006,985,1006.26,1003.45,12500,6,17830000.00
20140929,1006.26,1006,1006,1006.26,1006.26,7200,3,10296000.00
