date,open,high,low,last,close,vol,count,value
20140526,155.69,156,156,155.69,155.69,88577469,6514,1550105707500.00
20140528,155.69,156,156,155.69,155.69,22377194,22287,391600895000.00
20140531,161.92,162,162,161.92,161.92,1394965,898,25388363000.00
20140601,168.06,168,164,166.72,166.21,54510135,28188,1018347828382.00
20140602,167.26,169,165,166.72,167.03,11617074,10776,218115666286.00
20140603,165.91,168,165,165.49,166.27,9474007,5796,177063331692.00
20140607,165.48,167,164,164.59,165.23,6172486,5934,114635324813.00
20140608,164.59,165,165,164.64,164.69,6855997,4388,126909058413.00
20140609,165.03,167,165,166.37,166.10,3856856,3684,72006906209.00
20140610,166.63,167,165,166.37,165.82,3225939,2452,60127285312.00
20140611,164.77,166,165,165.74,165.26,2220608,1574,41247501202.00
20140614,164.69,165,159,159.62,162.70,4195847,2373,76733464560.00
20140615,159.72,163,159,160.20,161.49,3445004,2029,62533332053.00
20140616,161.92,166,162,164.59,164.40,4198740,2019,77590514276.00
20140617,163.71,165,161,161.56,163.95,2734806,1288,50396512932.00
20140618,163.70,165,164,164.60,164.41,1510982,1962,27922284325.00
20140621,164.59,165,163,163.00,164.21,1537558,816,28380698286.00
20140622,163.70,165,161,161.98,163.98,2127330,1522,39211119476.00
20140623,162.01,165,162,164.59,164.01,2369082,1250,43674903499.00
20140624,163.70,164,162,162.27,163.54,1788729,925,32880689113.00
20140625,163.54,164,162,162.81,163.08,1593773,910,29215266071.00
20140628,161.92,163,157,156.82,161.45,1453682,930,26379527715.00
20140629,161.03,161,155,155.00,156.91,2151378,1070,37942907635.00
20140630,151.24,156,151,155.69,151.48,1457134,822,24810637795.00
20140701,151.33,158,151,157.54,156.08,501697,469,8813698638.00
20140702,158.37,162,158,162.32,161.94,1362385,899,24798542714.00
20140705,164.59,168,164,168.41,167.86,2646018,1912,49924494827.00
20140706,167.26,167,161,161.15,161.55,1492624,895,27102635332.00
20140707,156.58,164,157,163.16,160.74,537106,467,9703863764.00
20140708,161.92,166,161,165.48,164.51,972197,805,17976785792.00
20140709,164.59,165,161,163.10,163.02,1004049,858,18397905095.00
20140712,161.47,166,161,163.04,163.56,1057543,878,19443015809.00
20140713,162.76,169,158,162.81,165.55,1424149,922,26501158361.00
20140714,163.25,165,162,163.62,164.18,377795,386,6949358788.00
20140715,164.14,164,161,162.01,162.55,562992,486,10286337040.00
20140716,162.36,164,159,162.90,161.82,2033627,1294,36989787891.00
20140723,170.35,170,164,167.02,168.25,1549534,894,24631988780.00
20140726,167.02,167,163,163.00,164.93,410962,443,6368130439.00
20140727,163.10,163,162,161.95,163.75,211109,287,3230833422.00
20140728,164.05,164,162,162.15,162.78,295356,367,4521687413.00
20140802,161.75,163,159,159.15,160.85,361531,328,5464275504.00
20140803,159.19,159,155,158.76,156.74,888217,535,13153740654.00
20140804,156.75,162,157,157.70,159.39,485245,337,7317099503.00
20140805,156.90,159,157,157.70,158.80,186096,186,2773381377.00
20140806,156.14,159,156,159.07,158.60,487047,296,7297916697.00
20140809,158.76,159,156,157.02,157.46,336495,233,4985591570.00
20140810,155.60,157,155,155.28,156.76,229588,248,3380849734.00
20140811,156.62,157,153,153.58,154.40,550992,449,8037803993.00
20140812,154.33,161,151,157.81,157.88,1472814,768,21969366859.00
20140813,159.28,159,155,157.28,157.70,194926,180,2899042531.00
20140816,156.43,158,155,154.65,156.87,146264,214,2137597456.00
20140817,154.56,163,154,156.33,158.22,847471,437,12668798923.00
20140818,157.70,158,155,155.59,157.23,198971,185,2925071284.00
20140819,156.13,162,155,159.82,159.46,1225614,619,18465419201.00
20140820,160.37,163,158,158.04,160.88,430159,249,6550987761.00
20140823,157.70,158,157,156.75,159.67,174124,205,2586784301.00
20140824,157.07,157,156,156.75,157.59,352639,217,5216415618.00
20140825,156.66,157,156,155.85,156.81,296724,211,4379563524.00
20140826,155.64,159,156,157.07,157.84,540207,333,8055998289.00
20140827,158.75,159,157,156.65,157.73,390659,216,5820292248.00
20140830,157.17,159,156,156.65,157.63,318933,230,4747803330.00
20140831,156.65,159,156,158.55,157.45,365940,313,5441062336.00
20140901,157.17,160,157,160.35,158.55,826657,796,12383245876.00
20140902,158.76,163,159,161.73,161.51,782999,523,11948506746.00
20140903,161.94,163,160,161.40,161.38,567419,374,8651459051.00
20140906,160.35,161,159,159.29,160.64,220452,232,3324658065.00
20140907,157.77,159,158,158.03,159.56,222349,120,3320999308.00
20140908,157.71,159,157,158.31,159.12,227233,152,3403846816.00
20140909,158.02,159,158,158.29,158.75,237808,187,3556785457.00
20140910,158.66,165,157,161.46,161.81,805387,396,12312516198.00
20140913,158.76,163,159,159.09,161.81,393095,331,6009819358.00
20140914,161.30,162,159,161.11,161.37,359321,211,5471131785.00
20140915,159.82,164,159,163.00,162.16,2531394,199,38783237939.00
20140916,162.47,166,162,165.64,163.19,973919,497,15015859952.00
