date,open,high,low,last,close,vol,count,value
20010424,6.22,6,6,6.22,6.22,2000,1,12200000.00
20010425,6.22,6,6,6.27,6.27,1600,4,9800000.00
20010428,6.27,6,6,6.22,6.22,1161,2,7090150.00
20010512,6.12,6,6,6.12,6.12,2490,7,14936645.00
20010513,6.12,6,6,6.12,6.12,800,2,4800000.00
20010515,6.12,6,6,6.12,6.12,111,1,666000.00
20010516,6.16,6,6,6.18,6.18,1500,3,9075000.00
20010519,6.18,6,6,6.18,6.18,300,1,1818000.00
20010520,6.18,6,6,6.19,6.19,2100,3,12731200.00
20010527,6.31,6,6,6.31,6.31,5000,2,30905000.00
20010528,6.38,6,6,6.45,6.45,7000,6,44207500.00
20010530,6.73,7,7,6.51,6.51,5100,2,33637900.00
20010602,6.52,7,7,6.52,6.52,5000,2,31950000.00
20010603,6.84,7,7,6.84,6.84,2000,1,13418000.00
20010606,7.19,7,7,7.19,7.19,2500,1,17610000.00
20010609,7.55,8,8,7.55,7.55,3000,3,22188000.00
20010611,7.92,8,8,7.92,7.92,4000,6,31060000.00
20010612,8.32,8,8,8.29,8.29,22194,21,180945635.00
20010613,8.13,8,8,8.13,8.13,1736,4,13835920.00
20010616,8.11,8,8,8.15,8.15,13960,18,108978212.00
20010617,8.15,8,8,8.29,8.29,12575,16,100889633.00
20010618,8.29,8,8,8.29,8.29,12050,15,97954450.00
20010619,8.29,8,8,8.29,8.29,2621,4,21306109.00
20010625,8.27,8,8,8.27,8.27,3800,5,30809000.00
20010702,8.25,8,8,8.25,8.25,400,1,3233600.00
20010704,8.23,8,8,8.23,8.23,500,2,4032000.00
20010708,8.22,8,8,8.22,8.22,735,2,5919344.00
20010709,8.20,8,8,8.20,8.20,1850,3,14872450.00
20010711,8.19,8,8,8.19,8.19,721,3,5790611.00
20010714,8.16,8,8,8.16,8.16,500,1,4000000.00
20010715,8.16,8,8,8.16,8.16,3000,2,24000000.00
20010716,8.16,8,8,8.16,8.16,620,2,4960000.00
20010717,8.06,8,8,8.06,8.06,952,1,7520800.00
20010722,8.06,8,8,8.06,8.06,1782,2,14077800.00
20010723,8.02,8,8,8.02,8.02,800,1,6288800.00
20010724,8.02,8,8,8.02,8.02,5000,4,39305000.00
20010730,8.02,8,8,8.02,8.02,1736,1,13646696.00
20010731,8.02,8,8,8.02,8.02,2000,2,15724000.00
20010805,8.02,8,8,8.02,8.02,3000,2,23589000.00
20010806,8.02,8,8,8.02,8.02,864,1,6792768.00
20010812,8.02,8,8,8.02,8.02,2636,2,20723596.00
20010814,8.06,8,8,8.06,8.06,4500,3,35550000.00
20010815,8.15,8,8,8.15,8.15,3000,3,23970000.00
20010819,8.16,8,8,8.37,8.37,8076,9,65728100.00
20010827,8.44,8,8,8.44,8.44,1500,1,12412500.00
20010903,8.57,9,9,8.57,8.57,10000,1,84010000.00
20010904,8.57,9,9,8.57,8.57,3190,8,26807500.00
20010908,8.62,9,9,8.62,8.62,2000,1,16900000.00
20010909,8.67,9,9,8.67,8.67,587,2,4989600.00
20010911,9.11,9,9,9.11,9.11,1513,2,13503525.00
20010919,9.08,9,9,9.11,9.11,3687,4,32884075.00
20010922,9.18,9,9,9.18,9.18,8000,5,72000000.00
20010923,9.18,9,9,9.18,9.18,4500,4,40500000.00
20011007,9.18,9,9,9.18,9.18,400,1,3599200.00
20011008,8.98,9,9,8.98,8.98,700,2,6160000.00
20011010,8.98,9,9,8.98,8.98,100,2,880000.00
20011023,8.97,9,9,9.20,9.20,7215,19,63665934.00
20011103,9.17,9,9,9.17,9.17,1100,4,9888250.00
20011201,9.13,9,9,9.13,9.13,100,6,894600.00
20011222,9.07,9,9,9.07,9.07,578,1,5136108.00
20011230,8.84,9,9,8.84,8.84,2000,1,17328000.00
20020101,8.81,9,9,8.81,8.81,100,1,863400.00
20020427,6.12,6,5,5.10,5.10,5747,10,29735000.00
20020429,5.36,5,5,5.36,5.36,1860,11,9765000.00
