date,open,high,low,last,close,vol,count,value
20010328,109.45,109,109,109.45,109.45,700,1,3290000.00
20010410,109.42,109,109,109.42,109.42,38,1,178562.00
20010411,109.40,109,109,109.40,109.40,2000,1,9396000.00
20010417,109.40,112,109,111.87,111.87,7648,18,36422120.00
20010418,111.87,112,112,111.87,111.87,5827,13,27991156.00
20010422,111.87,112,112,111.89,111.89,2115,3,10159760.00
20010424,112.01,116,112,116.43,116.43,4154,9,20251100.00
20010425,69.86,116,70,116.43,116.43,4008,13,12824000.00
20010429,116.57,117,117,116.57,116.57,70,1,350420.00
20010430,116.60,117,117,116.60,116.60,500,1,2503500.00
20010501,116.60,117,116,116.43,116.43,2671,4,13360405.00
20010502,116.43,116,116,116.43,116.43,600,1,3000000.00
20010507,116.43,116,116,116.43,116.43,3550,4,17750000.00
20010509,116.43,116,116,116.43,116.43,352,1,1760000.00
20010512,116.43,116,116,116.43,116.43,1224,2,6120000.00
20010513,116.43,116,116,116.43,116.43,9631,22,48155000.00
20010519,118.76,119,119,118.76,118.76,1092,2,5569200.00
20010520,118.76,119,119,118.76,118.76,4467,5,22783700.00
20010521,118.76,119,119,118.76,118.76,41,1,209100.00
20010523,118.76,119,119,118.76,118.76,8100,7,41330000.00
20010526,118.76,119,119,118.76,118.76,7329,12,37381000.00
20010528,122.26,122,119,122.26,122.26,2000,4,10352000.00
20010529,122.26,122,122,122.26,122.26,1000,2,5250000.00
20010530,122.26,122,122,122.33,122.33,4411,4,23157933.00
20010602,122.26,122,122,122.26,122.26,11248,13,59094695.00
20010603,122.26,122,122,122.26,122.26,13670,10,71764500.00
20010606,122.26,123,122,122.72,122.72,1347,2,7078310.00
20010609,123.42,126,123,126.21,126.21,42290,13,223677000.00
20010611,123.02,127,123,122.77,122.77,1300,4,7033800.00
20010612,119.25,123,119,122.77,122.77,14117,22,72162342.00
20010616,121.09,123,121,122.70,122.70,5900,9,30844204.00
20010619,122.70,123,118,122.70,122.70,36091,34,187402800.00
20010625,120.63,121,120,119.81,119.81,4691,5,24155880.00
20010626,119.69,120,117,116.67,116.67,4890,8,25035482.00
20010627,116.67,117,117,116.67,116.67,11000,8,55110000.00
20010630,116.43,119,116,118.76,118.76,7153,13,35908370.00
