date,open,high,low,last,close,vol,count,value
20010326,1227.40,1227,1227,1227.40,1227.40,52,1,265460.00
20010327,1227.88,1228,1228,1227.88,1227.88,90,1,459630.00
20010328,1238.22,1238,1238,1238.22,1238.22,156,1,803400.00
20010331,1238.94,1239,1239,1238.70,1238.70,789,5,4065394.00
20010403,1238.70,1239,1239,1238.70,1238.70,58,2,298816.00
20010408,1238.94,1241,1239,1240.62,1240.62,577,6,2974902.00
20010409,1240.62,1241,1241,1240.87,1240.87,208,2,1073384.00
20010410,1241.83,1242,1242,1241.83,1241.83,810,2,4183650.00
20010411,1241.83,1242,1241,1241.11,1241.11,398,5,2055366.00
20010414,1241.11,1241,1241,1240.87,1240.87,926,5,4779254.00
20010416,1235.82,1236,1236,1235.82,1235.82,95,1,488300.00
20010418,1226.20,1231,1226,1231.01,1231.01,3627,16,18548952.00
20010421,1226.20,1229,1226,1226.20,1226.20,1220,8,6224870.00
20010422,1226.44,1229,1226,1228.60,1228.60,1776,8,9068619.00
20010423,1225.96,1226,1226,1225.96,1225.96,816,4,4160991.00
20010424,1223.79,1226,1224,1225.72,1225.72,8989,13,45776300.00
20010425,1225.48,1226,1225,1226.20,1226.20,2500,7,12746307.00
20010428,1231.25,1231,1226,1228.84,1228.84,4886,10,24985356.00
20010429,1228.84,1241,1229,1240.62,1240.62,1590,7,8143890.00
20010430,1240.87,1241,1241,1240.62,1240.62,2398,9,12375188.00
20010501,1245.43,1247,1245,1246.88,1246.88,260,2,1347736.00
20010502,1250.48,1250,1248,1250.24,1250.24,1266,5,6574990.00
20010505,1251.68,1252,1251,1251.68,1251.68,1348,5,7016797.00
20010506,1253.13,1256,1253,1255.77,1255.77,1338,7,6975372.00
20010507,1256.01,1258,1256,1256.01,1256.01,4056,13,21207495.00
20010508,1269.48,1269,1256,1257.70,1257.70,2183,12,11432090.00
20010509,1258.66,1260,1258,1259.62,1259.62,1106,4,5792566.00
20010512,1260.10,1260,1260,1260.10,1260.10,1188,4,6227028.00
20010513,1267.07,1270,1267,1269.72,1269.72,5630,8,29721160.00
20010515,1270.20,1273,1270,1272.60,1272.60,468,3,2474004.00
20010516,1273.08,1275,1273,1274.53,1274.53,1572,5,8330676.00
