date,open,high,low,last,close,vol,count,value
20111126,7454.78,7456,7450,7452.83,7454.50,661109,33,17668660768.00
20111127,7391.75,7517,7170,7185.06,7391.19,2899940,454,76845176399.00
20111128,7376.68,7377,7099,7307.79,7253.68,3093723,407,80456839366.00
20111129,7369.15,7530,7369,7447.25,7454.22,1192073,188,31857936163.00
20111130,7469.56,7470,7252,7253.68,7303.33,636531,131,16666933910.00
20111203,7252.56,7361,7253,7313.37,7306.39,382590,127,10023353726.00
20111204,7293.84,7517,7294,7398.44,7371.38,240506,141,6416563028.00
20111207,7500.25,7595,7478,7530.93,7541.53,629085,155,17009007663.00
20111210,7566.63,7567,7447,7497.46,7522.00,355762,129,9584173242.00
20111211,7558.54,7559,7266,7330.38,7440.00,212738,75,5590347295.00
20111212,7419.64,7503,7420,7428.01,7441.95,307914,68,8216842733.00
20111213,7530.93,7559,7447,7525.35,7511.68,367836,122,9939190803.00
20111214,7506.38,7528,7491,7525.91,7510.85,201356,80,5421340216.00
20111217,7480.72,7481,7336,7335.68,7359.67,751033,106,19817041816.00
20111218,7252.28,7391,7252,7335.96,7354.65,253748,112,6686415965.00
20111219,7363.57,7364,7341,7362.74,7352.42,439683,96,11589756022.00
20111220,7344.05,7350,7336,7337.36,7344.05,336089,90,8844158408.00
20111221,7391.47,7486,7369,7437.77,7445.30,404063,116,10820472337.00
20111224,7475.14,7531,7437,7530.93,7466.22,234099,73,6286220496.00
20111225,7484.07,7531,7392,7502.76,7474.86,139330,42,3745217042.00
20111226,7503.04,7503,7423,7475.14,7468.45,266909,73,7141633995.00
20111227,7447.81,7584,7448,7530.93,7510.01,284587,80,7694838120.00
20111228,7530.93,7623,7531,7609.03,7569.70,303436,102,8277259440.00
20111231,7648.08,7810,7629,7795.90,7755.18,517968,149,14401593698.00
20120101,7809.85,7810,7702,7752.39,7746.26,262116,90,7271898665.00
20120102,7712.23,7726,7712,7715.02,7742.35,81282,43,2250284765.00
20120103,7754.35,8052,7754,8051.96,8001.47,1349563,398,38715252046.00
20120104,7981.67,8268,7949,8032.71,8126.71,724955,396,21122600189.00
20120107,8032.99,8145,7981,7991.43,8096.31,162373,106,4676455382.00
20120108,8007.05,8089,7992,7999.52,8025.46,370608,58,10630674424.00
20120109,8074.55,8312,8061,8292.39,8263.66,933461,264,27655442152.00
20120110,8263.66,8423,8264,8367.70,8354.31,867179,275,25974095782.00
