date,open,high,low,last,close,vol,count,value
20051102,188.82,189,189,188.82,188.82,6668972,755,6668972000.00
20051105,196.19,198,190,194.30,194.30,1961855,511,2024402028.00
20051106,196.38,204,194,197.13,197.13,2196166,547,2293592280.00
20051107,198.26,200,196,197.70,197.70,1057001,353,1110047409.00
20051108,198.26,199,194,197.13,197.13,577387,199,600423033.00
20051109,196.19,197,191,196.38,196.38,562709,177,580994576.00
20051112,197.89,198,194,196.38,196.38,335184,124,349468320.00
20051113,195.81,196,194,196.00,196.00,334596,108,345192593.00
20051114,195.05,196,192,195.62,195.62,262832,97,269524744.00
20051115,194.49,195,192,194.86,194.86,333769,115,339754173.00
20051116,192.03,194,191,194.49,194.49,144644,49,146710306.00
20051119,192.60,194,191,194.11,194.11,109130,48,110404000.00
20051120,191.28,194,190,193.92,193.92,78888,33,79585204.00
20051121,190.14,194,190,193.73,193.73,85659,31,86263736.00
20051122,189.96,193,190,193.35,193.35,182767,66,183863782.00
20051123,191.65,196,190,193.17,193.17,427386,124,436682248.00
20051126,196.38,203,196,196.38,196.38,771002,171,825654221.00
20051127,206.19,206,193,199.77,199.77,793351,236,863681011.00
20051129,208.65,210,198,202.04,202.04,581176,185,641580631.00
20051130,212.05,212,208,207.52,207.52,1131532,237,1270710196.00
20051203,217.71,218,203,217.71,217.71,13227588,1731,14393312417.00
20051204,228.47,228,228,228.47,228.47,2116868,410,2561410280.00
20051205,239.80,240,226,232.06,232.06,974673,344,1219900236.00
20051206,243.58,244,244,243.58,243.58,2135726,622,2755086540.00
20051210,255.67,256,244,255.48,255.48,2782187,721,3766274334.00
20051211,268.13,268,266,267.94,267.94,2942180,674,4177822080.00
20051212,281.16,281,265,278.89,278.89,6041487,1372,8924707322.00
20051213,279.46,289,274,281.35,281.35,2216799,742,3303916808.00
20051214,279.65,280,267,276.81,276.81,826070,327,1184577805.00
20051217,263.03,275,263,274.55,274.55,325653,135,453635239.00
20051218,260.95,273,261,272.85,272.85,246059,102,340054168.00
20051219,259.25,265,259,265.11,265.11,1136682,270,1560664696.00
20051220,251.89,263,252,257.36,257.36,1478009,461,1993331197.00
20051221,257.36,259,253,256.61,256.61,600998,184,811742122.00
20051224,264.16,269,262,263.97,263.97,1450520,287,2053411659.00
20051225,271.90,272,256,264.35,264.35,712367,208,1000413622.00
20051226,266.99,272,261,264.54,264.54,248893,120,351220410.00
20051227,264.92,269,257,264.35,264.35,384047,154,536726433.00
20051228,264.35,268,261,264.35,264.35,363032,123,509175323.00
20051231,264.35,264,227,264.16,264.16,548904,138,725070799.00
20060101,263.78,264,254,263.41,263.41,190383,75,258478960.00
20060102,262.27,264,258,263.22,263.22,196562,83,272518685.00
20060103,261.14,264,258,262.84,262.84,284699,104,393860118.00
20060104,262.46,263,252,262.65,262.65,95051,45,130571417.00
20060107,256.04,262,250,261.90,261.90,127855,39,170168913.00
20060108,248.87,259,249,259.25,259.25,414707,106,547301999.00
20060109,251.70,258,248,258.50,258.50,149833,76,199199525.00
20060110,250.19,257,246,256.61,256.61,333751,79,437021391.00
20060114,243.96,256,244,256.42,256.42,16647,13,21508584.00
20060115,243.77,256,244,256.23,256.23,28793,16,37172423.00
20060116,243.58,256,244,255.85,255.85,45089,17,58165460.00
20060117,243.20,253,243,252.46,252.46,574107,145,742477181.00
20060118,252.46,253,242,252.27,252.27,75743,34,99471517.00
