date,open,high,low,last,close,vol,count,value
20010328,102.08,102,102,102.08,102.08,4164,1,5683860.00
20010417,106.19,106,106,106.19,106.19,2000,2,2840000.00
20010422,108.81,109,109,108.81,108.81,307,1,446685.00
20010428,111.50,112,112,111.50,111.50,450,2,670950.00
20010507,114.27,114,114,114.27,114.27,225,1,343800.00
20010509,115.39,115,115,115.39,115.39,225,1,347175.00
20010512,115.39,117,115,115.39,115.39,6975,6,10807425.00
20010515,116.51,117,117,116.51,116.51,55000,10,85690000.00
20010516,116.51,117,117,116.51,116.51,225,1,350550.00
20010519,117.63,118,118,117.63,117.63,1200,3,1887600.00
20010520,118.75,119,119,118.75,118.75,9237,8,14668356.00
20010523,119.88,120,120,119.88,119.88,5527,3,8859781.00
20010526,121.07,121,121,121.07,121.07,2450,4,3966550.00
20010527,122.27,122,122,122.27,122.27,500,1,817500.00
20010528,123.47,123,123,123.47,123.47,500,1,825500.00
20010529,123.47,123,123,123.47,123.47,619,6,1021969.00
20010602,123.47,123,123,123.47,123.47,225,1,371475.00
20010603,124.66,125,123,123.47,123.47,2450,4,4054822.00
20010612,122.42,122,122,122.42,122.42,5000,1,8185000.00
20010613,121.22,121,121,121.22,121.22,300,1,486300.00
20011024,100.96,101,101,100.96,100.96,1000,1,1350000.00
20011027,100.96,101,101,100.96,100.96,800,3,1080000.00
20011028,101.03,101,101,100.96,100.96,225,2,303896.00
20011029,100.96,101,101,100.96,100.96,3750,20,5062500.00
20011030,101.70,102,102,101.70,101.70,1522,8,2070920.00
20011031,101.70,102,102,101.70,101.70,4897,5,6661920.00
20011105,101.78,102,102,101.78,101.78,2000,2,2722000.00
20011106,101.70,102,102,101.78,101.78,1097,2,1492920.00
20011107,101.85,102,102,101.78,101.78,2056,4,2800216.00
20011110,101.70,102,102,101.78,101.78,3275,6,4455162.00
20011111,96.69,97,97,96.69,96.69,1000,1,1293000.00
20011112,97.14,97,97,97.14,97.14,225,1,292275.00
20011114,97.14,97,97,97.14,97.14,225,1,292275.00
20011118,97.52,98,98,97.67,97.67,475,4,620150.00
20011120,99.46,101,99,100.96,100.96,42225,7,56199250.00
20011121,100.96,102,101,101.70,101.70,2225,2,3023750.00
20011125,101.70,102,102,101.70,101.70,7600,7,10336000.00
20011126,101.70,102,102,101.70,101.70,50,1,68000.00
20011128,98.34,98,98,98.34,98.34,1000,1,1315000.00
20011201,98.34,98,98,98.34,98.34,225,1,295875.00
20011204,101.70,102,102,101.70,101.70,4950,1,6732000.00
20011210,101.63,102,102,101.63,101.63,6225,2,8459775.00
20011211,101.70,102,102,101.70,101.70,10000,3,13600000.00
20011212,98.49,102,98,101.70,101.70,2000,2,2677000.00
20011215,101.70,103,102,102.83,102.83,9000,5,12323500.00
20011217,103.57,104,104,103.57,103.57,1000,1,1385000.00
20011218,102.53,103,103,102.53,102.53,600,2,822600.00
20011219,102.68,103,103,102.68,102.68,901400,2,1237622200.00
20011225,101.93,102,102,101.93,101.93,600,2,817800.00
20011226,102.15,102,102,102.15,102.15,450,2,614700.00
20011229,102.23,102,102,102.15,102.15,450,2,615000.00
20011231,102.23,102,102,102.23,102.23,1575,3,2153025.00
20020102,102.15,102,102,102.15,102.15,4000,2,5464000.00
20020105,102.23,102,102,102.23,102.23,225,1,307575.00
20020116,89.74,90,90,89.74,89.74,501,2,601200.00
20020119,89.81,90,90,89.81,89.81,275,1,330275.00
20020122,91.76,92,92,91.76,91.76,225,1,276075.00
20020123,94.00,94,94,94.00,94.00,1000,1,1257000.00
20020126,96.32,96,96,96.32,96.32,1150,2,1481200.00
20020128,98.71,99,99,98.71,98.71,1000,1,1320000.00
20020129,98.71,101,96,96.39,96.39,58500,21,77435850.00
20020130,98.71,99,99,98.71,98.71,3225,3,4257000.00
20020202,98.71,99,99,98.79,98.79,6601,4,8716921.00
20020203,98.79,99,99,99.46,99.46,26500,7,35105000.00
20020204,100.21,101,100,100.28,100.28,5500,3,7380500.00
20020205,100.36,100,100,100.28,100.28,11000,5,14757000.00
20020206,100.28,100,100,100.28,100.28,225,1,301725.00
20020209,100.28,100,100,100.28,100.28,2000,2,2682000.00
20020210,100.28,100,100,100.21,100.21,3000,5,4022500.00
20020212,100.21,100,100,100.21,100.21,1150,2,1541000.00
20020213,100.21,100,100,100.21,100.21,2807,4,3761380.00
20020216,100.21,100,100,100.21,100.21,2225,3,2981500.00
20020217,100.21,100,100,100.21,100.21,1500,1,2010000.00
20020219,99.98,100,100,100.13,100.13,6375,5,8527125.00
20020220,100.21,100,100,100.21,100.21,1000,1,1340000.00
20020224,100.21,100,99,98.71,98.71,2225,3,2961500.00
20020225,98.71,99,99,98.71,98.71,4045,6,5339400.00
20020226,98.71,99,99,98.71,98.71,6000,5,7920000.00
20020304,99.01,99,99,99.01,99.01,405,1,536220.00
20020306,99.01,99,99,99.01,99.01,3000,1,3972000.00
20020309,100.21,100,99,99.01,99.01,12327,4,16510180.00
20020310,99.01,99,99,99.01,99.01,1225,2,1621900.00
20020312,99.01,100,99,100.21,100.21,50025,10,67029900.00
20020317,100.21,100,100,100.21,100.21,5000,5,6700000.00
20020318,100.21,100,100,100.21,100.21,1985,1,2659900.00
20020326,100.21,100,100,100.21,100.21,225,1,301500.00
20020403,100.21,100,100,100.21,100.21,262,1,351080.00
20020408,100.36,100,100,100.21,100.21,2500,3,3353846.00
20020409,100.21,100,100,100.21,100.21,225,1,301500.00
20020410,100.36,100,100,100.28,100.28,6775,2,9087275.00
20020413,100.28,100,100,100.28,100.28,225,1,301725.00
20020414,101.03,101,101,101.03,101.03,38110,4,51486610.00
20020421,103.50,103,103,103.50,103.50,150,1,207600.00
20020501,106.04,106,106,106.04,106.04,3600,2,5104800.00
20020505,108.66,109,109,108.66,108.66,1951,2,2834803.00
20020615,102.45,102,102,102.45,102.45,1000,3,1370000.00
20020703,101.40,101,101,101.40,101.40,1000,1,1356000.00
20020707,106.42,106,106,106.42,106.42,1000,1,1423000.00
20020708,111.72,112,112,111.72,111.72,1147,5,1713618.00
20020710,117.26,117,117,117.26,117.26,3000,1,4704000.00
20020713,123.09,123,121,121.15,121.15,1085000,20,1761530000.00
20020714,127.20,127,127,127.20,127.20,150,1,255150.00
20020716,133.56,134,134,133.56,133.56,300,2,535800.00
20020721,140.22,140,140,140.22,140.22,2000,1,3750000.00
20020724,147.17,147,147,147.17,147.17,3500,3,6888000.00
20020727,154.50,155,155,154.50,154.50,2305,3,4762130.00
20020728,162.20,162,162,162.20,162.20,3500,3,7591500.00
20020730,170.28,170,170,170.28,170.28,2000,1,4554000.00
20020731,178.73,179,179,178.73,178.73,352375,78,842176250.00
20020803,183.14,183,183,183.14,183.14,50450,24,123552050.00
20020804,187.70,188,188,187.70,187.70,10000,1,25100000.00
20020805,192.34,192,192,192.34,192.34,150,1,385800.00
20020806,197.13,197,197,197.13,197.13,1150,2,3031400.00
20020807,201.99,202,202,201.99,201.99,2725,3,7360225.00
20020810,207.00,207,207,207.00,207.00,644,1,1782592.00
20020811,212.16,212,212,212.16,212.16,5184,2,14707008.00
20020813,209.39,217,209,217.39,217.39,82912,35,239676244.00
20020814,222.78,223,223,222.78,222.78,500,1,1489500.00
20020817,228.31,228,228,228.31,228.31,6360,10,19417080.00
20020818,233.99,234,234,233.99,233.99,2000,1,6258000.00
20020819,234.37,240,234,239.83,239.83,107682,40,341733250.00
20020820,239.83,240,239,239.83,239.83,56225,16,180277000.00
20020821,239.90,241,240,240.65,240.65,20225,4,64973403.00
20020824,243.04,243,243,243.04,243.04,1355,4,4403750.00
20020825,245.44,245,245,245.44,245.44,10450,5,34296900.00
20020826,247.83,248,248,247.83,247.83,3000,1,9942000.00
20020827,250.30,250,250,250.30,250.30,426,3,1425822.00
20020828,252.76,253,253,252.76,252.76,235,2,794300.00
20020831,255.23,255,255,255.23,255.23,2575,4,8788475.00
20020901,257.77,258,258,257.77,257.77,48850,11,168385950.00
20020902,260.32,260,260,260.24,260.24,118285,27,411744635.00
20020903,260.24,260,259,260.24,260.24,36000,17,124879000.00
20020904,259.49,260,259,258.75,258.75,26322,9,91460560.00
20020907,257.25,257,256,256.20,256.20,35579,8,122033654.00
20020908,253.66,254,254,253.66,253.66,50000,8,169600000.00
20020909,251.19,251,251,251.19,251.19,1000,1,3359000.00
20020910,248.73,249,249,248.73,248.73,110500,19,367523000.00
20020911,246.26,246,246,246.26,246.26,51956,20,171091108.00
20020914,246.26,249,246,248.50,248.50,115011,19,382143777.00
20020915,247.53,248,248,247.53,247.53,9951,10,32937810.00
20020917,247.53,248,248,247.53,247.53,4988,2,16510280.00
20020918,246.78,247,247,246.78,246.78,4792,5,15824730.00
20020922,244.31,244,244,244.31,244.31,500,1,1633500.00
20020923,241.92,242,242,241.92,241.92,500,1,1617500.00
20020925,239.53,240,240,239.53,239.53,500,1,1601500.00
20020928,237.13,237,237,237.13,237.13,500,1,1585500.00
20021002,231.23,231,231,231.23,231.23,500,1,1546000.00
20021014,225.47,225,225,225.47,225.47,270,1,814050.00
20021029,214.25,225,214,225.47,225.47,3570,6,10251150.00
20021112,222.03,223,222,222.85,222.85,4000,16,11897010.00
20021125,222.03,222,222,222.03,222.03,225,1,668025.00
20021204,210.96,211,211,210.96,210.96,2000,1,5642000.00
20021207,201.91,202,202,201.91,201.91,1100,8,2970000.00
20021208,200.42,200,200,200.42,200.42,2000,1,5360000.00
20021214,194.43,196,194,195.93,195.93,4500,7,11737060.00
20021215,190.40,190,190,190.40,190.40,5008,10,12747273.00
20021217,190.32,191,190,190.40,190.40,7225,4,18393750.00
20021218,195.93,197,196,196.68,196.68,758,2,1992250.00
20021221,205.65,206,197,205.65,205.65,2375,4,6488650.00
20021222,215.90,216,198,197.87,197.87,2255,4,6208601.00
20021223,197.87,198,198,197.87,197.87,1425,4,3770550.00
20021228,194.43,194,194,194.43,194.43,3816,2,9921600.00
20021229,189.95,196,190,195.85,195.85,17469,8,45534945.00
20030101,195.18,197,191,197.43,197.43,7300,5,19077134.00
20030108,197.43,197,197,197.43,197.43,10450,6,27588000.00
20030111,197.43,198,197,197.65,197.65,8393,8,22183504.00
20030112,197.87,198,198,197.87,197.87,3935,3,10412010.00
20030114,197.43,198,197,197.72,197.72,24266,9,64174709.00
20030120,190.77,191,191,190.77,190.77,1000,1,2551000.00
20030121,190.99,191,190,189.95,189.95,7409,10,18891685.00
20030122,186.96,187,187,186.96,186.96,3872,4,9680000.00
20030126,183.22,183,183,183.22,183.22,892,1,2185400.00
20030128,179.48,179,179,179.48,179.48,1000,1,2400000.00
20030129,174.17,176,174,174.09,174.09,3000,3,7007000.00
20030202,182.77,183,183,182.77,182.77,1000,2,2444000.00
20030203,191.44,192,191,191.89,191.89,5800,3,14852800.00
20030204,192.04,192,192,192.04,192.04,225,1,577800.00
20030205,195.63,196,196,195.63,195.63,450,2,1177200.00
20030224,190.62,191,191,190.69,190.69,1605,2,4092525.00
20030301,186.96,187,187,186.96,186.96,1000,1,2500000.00
20030309,184.86,185,179,179.48,179.48,1968,3,4795892.00
20030310,179.48,179,179,179.48,179.48,1000,4,2399775.00
20030311,179.48,179,179,179.48,179.48,3533,3,8479200.00
20030312,179.48,179,179,179.48,179.48,3266,4,7838400.00
20030316,179.48,179,179,179.48,179.48,8000,2,19200000.00
20030405,179.48,179,179,179.48,179.48,300,1,720000.00
20030406,176.19,176,176,176.19,176.19,225,1,530100.00
20030428,180.97,181,181,180.60,180.60,225,2,543625.00
20030504,189.57,190,190,189.57,189.57,60000,9,152100000.00
20030505,189.65,190,190,189.57,189.57,30450,11,77196200.00
20030506,189.57,190,190,189.57,189.57,450,3,1140750.00
20030507,189.57,190,190,189.57,189.57,225,1,570375.00
20030511,189.57,190,190,189.57,189.57,225,1,570375.00
20030513,181.20,181,181,181.20,181.20,397,1,961931.00
20030521,190.25,190,190,190.25,190.25,450,3,1144800.00
20030528,190.77,196,191,195.93,195.93,1050,6,2735280.00
20030531,196.00,196,196,196.00,196.00,307,1,804647.00
20030601,205.65,206,206,205.65,205.65,1500,1,4125000.00
20030608,213.13,213,206,213.13,213.13,3200,4,8900000.00
20030610,213.05,213,213,213.13,213.13,5997,7,17087288.00
20031020,289.93,290,289,289.33,289.33,1010,2,3907770.00
20031110,274.90,289,275,289.33,289.33,30,2,110473.00
20031112,274.90,289,275,289.18,289.18,110,2,406270.00
20031122,274.75,289,275,289.11,289.11,20,2,75400.00
20040124,274.68,288,275,288.21,288.21,1090,4,4005380.00
20040403,273.85,274,274,273.85,273.85,500,1,1831000.00
20040406,260.17,260,260,260.17,260.17,500,4,1739500.00
20040413,247.23,260,247,259.57,259.57,1010,2,3340710.00
20040427,246.63,259,247,259.49,259.49,110,2,364500.00
20040621,164.52,165,165,164.52,164.52,225,1,495000.00
20040622,172.75,173,165,167.36,167.36,1510137,29,3486201780.00
20040623,171.25,171,167,167.36,167.36,451,2,1032270.00
20040626,175.66,176,169,169.08,169.08,5010,2,11767610.00
20040627,177.53,178,170,169.83,169.83,2268,2,5383202.00
20040628,178.28,178,170,169.91,169.91,235,2,559120.00
20040629,178.36,178,174,173.57,173.57,10610,5,25304210.00
20040630,182.24,182,174,173.57,173.57,160,2,388760.00
20040703,182.24,182,177,177.16,177.16,10010,4,24393690.00
20040704,185.98,186,183,182.92,182.92,15867,7,39460819.00
20040705,192.04,192,187,186.66,186.66,10010,5,25704960.00
20040706,195.93,196,191,190.55,190.55,10235,3,26814980.00
20040707,200.04,200,191,190.92,190.92,1010,2,2700530.00
20040710,200.42,200,191,190.99,190.99,235,2,628540.00
20040711,200.49,200,200,200.49,200.49,26440,8,70885640.00
20040712,210.51,211,211,210.51,210.51,24000,6,67560000.00
20040713,220.98,221,221,220.98,220.98,130254,26,384900570.00
20040714,231.97,232,227,227.34,227.34,13960,8,43303300.00
20040717,238.70,239,237,236.98,236.98,20636,12,65869806.00
