date,open,high,low,last,close,vol,count,value
20210526,27487.74,27488,27488,27487.74,27487.74,177999279,2355996,5331078406050.00
20210529,28855.25,28855,28855,28855.25,28855.25,1583237,8310,49776971280.00
20210530,30296.17,30296,30296,30296.17,30296.17,1607824,8768,53074270240.00
20210531,31810.52,31811,31811,31810.52,31810.52,1794126,11307,62184407160.00
20210601,33398.30,33398,33398,33398.30,33398.30,2258989,17962,82204609710.00
20210602,35059.49,35059,35059,35059.49,35059.49,17575129,76432,671369927800.00
20210607,36812.47,36812,35069,35454.14,36307.68,115450961,582759,4567619136680.00
20210608,35564.28,36308,34500,34600.60,35114.56,48084723,304051,1839947142750.00
20210609,34233.48,35059,33646,34371.15,34316.08,17352274,109602,648764487990.00
20210612,34316.08,35968,34316,34967.71,35169.63,21838457,54253,836836285790.00
20210613,35417.43,35417,34142,34692.38,34536.35,8813266,41066,331620351630.00
20210614,34187.59,35335,34188,35041.14,34811.69,12697761,48700,481632281300.00
20210615,34875.93,36179,34656,34921.82,35472.50,13760539,40570,531814717460.00
20210616,34738.27,35243,34536,34738.27,34793.33,8530855,51223,323369896740.00
20210619,34536.35,35105,33508,33976.50,34104.99,8584717,22506,319027833200.00
20210620,33682.81,35059,33536,34049.93,34233.48,10304938,23463,384328985120.00
20210621,33976.50,35941,33977,35940.57,35454.14,13259200,25767,512212650750.00
20210622,36702.33,37225,36253,37225.47,37069.45,22490388,21901,908329476740.00
20210623,38088.19,38868,37060,37427.38,37895.46,14671480,25490,605752881370.00
20210626,37932.17,37932,36583,36656.44,37078.62,14159998,25227,571994707210.00
20210627,37464.10,37895,36344,36454.53,36876.71,9095598,13936,365487788670.00
20210628,36344.39,36712,35564,35894.68,35894.68,8451834,19654,330531500400.00
20210629,35913.03,36767,35876,36133.30,36114.95,7533080,16314,296401600640.00
20210630,36133.30,37629,35794,37436.56,36840.00,14513682,20967,582558183370.00
20210707,38150.00,38800,37500,38500.00,38360.00,7878214,7331,302183502620.00
20210710,39100.00,39100,37500,38000.00,38080.00,5562406,15208,211841800840.00
20210711,37700.00,38970,37700,38390.00,38410.00,3854028,13150,148042335130.00
20210712,38200.00,38840,37950,38060.00,38300.00,5338698,15741,204486323880.00
20210713,38050.00,38450,37500,37500.00,37860.00,6219092,15332,235470488260.00
20210714,37480.00,38750,37380,37900.00,38100.00,6123531,19088,233293477970.00
20210717,38400.00,38400,37290,37410.00,37680.00,6682978,13536,251783454940.00
20210718,37890.00,38500,37210,37820.00,37980.00,4917821,10072,186754520900.00
20210719,37530.00,39870,37530,39870.00,39440.00,7532839,12311,297065295960.00
20210726,41410.00,41410,39870,41410.00,41380.00,20092262,10331,831422125600.00
20210727,41800.00,42500,39710,39810.00,40880.00,10342580,12464,422796643580.00
20210728,39900.00,42280,39900,40950.00,41170.00,8837518,12134,363801103700.00
20210731,40700.00,42200.00,40510.00,41190.00,41320.00,6739627,9957,278465759860.00
