date,open,high,low,last,close,vol,count,value
20130416,446.37,446,446,446.37,446.37,1400000,1,10500000000.00
20130417,458.27,464,457,464.22,463.51,79684517,8176,620595738957.00
20130420,470.17,473,450,452.56,461.49,30366404,5599,235468238335.00
20130421,452.86,467,448,466.60,459.04,36871260,4884,284391672389.00
20130422,473.15,477,470,477.38,476.30,10496140,890,83996412783.00
20130423,495.35,495,495,495.35,479.34,1184636,164,9859725428.00
20130424,498.50,499,499,498.50,482.43,1200750,154,10057482000.00
20130427,501.72,502,502,501.72,483.68,490978,107,4138944540.00
20130428,503.03,503,503,503.03,486.90,1224586,119,10350200872.00
20130429,506.36,506,506,506.36,487.85,369499,65,3143697492.00
20130430,507.31,507,507,507.31,489.40,590511,107,5033515764.00
20130501,508.92,509,509,508.92,491.42,778980,82,6661057980.00
20130504,511.06,511,511,511.06,493.15,664311,124,5704438557.00
20130505,512.85,513,513,512.85,494.99,686204,106,5913019868.00
20130506,514.75,515,515,514.75,514.75,8837712,237,76437371088.00
20130507,535.28,535,535,535.28,535.28,9446411,243,84961020534.00
20130508,556.65,557,542,545.82,554.39,186234243,13128,1734847547056.00
20130511,553.44,577,542,576.53,562.60,48991087,5708,463124906612.00
20130512,585.10,585,568,585.10,584.15,67650444,4753,663999240839.00
20130513,589.21,607,584,595.16,600.69,39811901,4206,401820243596.00
20130514,594.50,595,577,577.84,579.39,35654854,3501,347082682733.00
20130515,590.99,603,559,576.71,588.37,44506577,4805,440002985590.00
20130518,566.05,571,565,564.86,570.40,5793642,516,55027107205.00
20130519,547.60,564,548,562.42,549.15,63548067,5327,586387421609.00
20130520,547.54,559,543,544.63,550.10,16182852,3029,149576950818.00
20130521,535.76,542,528,532.90,532.25,22660069,3206,202654011108.00
20130522,517.79,547,512,543.97,530.76,11716805,2135,104496320496.00
20130525,547.54,552,545,551.95,536.95,2253471,320,20868406595.00
20130526,558.38,558,558,558.38,541.65,1639309,137,15379997038.00
20130527,563.32,563,563,563.32,563.32,11151713,491,105550963545.00
20130528,577.30,586,571,585.81,580.93,32906750,3413,321203274515.00
20130529,589.50,604,590,604.14,603.19,29467222,2550,298639882574.00
20130601,603.49,619,579,579.09,591.17,25834272,2324,256616303881.00
20130602,575.52,592,576,584.27,584.33,21119559,2779,207350107762.00
20130603,586.83,608,582,607.66,600.10,32980495,3301,332547939133.00
20130608,617.18,617,599,610.63,610.33,23856349,2722,244640607977.00
20130609,610.04,610,586,585.93,592.96,18789866,2860,187205502920.00
20130610,577.30,595,572,574.92,581.59,18502757,3455,180809000445.00
20130611,581.83,589,567,568.97,572.48,12663180,2704,121800986652.00
20130612,571.23,571,557,562.30,562.54,16370437,2253,154727504944.00
20130615,585.04,585,583,585.04,572.42,3275925,372,32201588090.00
20130616,595.28,595,580,594.50,593.91,29804682,2421,297416118693.00
20130617,595.16,595,580,586.83,589.98,12362082,1660,122540998186.00
20130618,589.21,591,580,581.35,583.31,12601329,1592,123504448505.00
20130619,580.93,587,577,578.37,580.58,9869644,1503,96280949256.00
20130622,584.50,585,557,557.36,561.41,18811507,2031,177440387961.00
20130623,548.02,565,548,552.90,558.67,7689130,1205,72177021730.00
