date,open,high,low,last,close,vol,count,value
20210501,14660.00,15200.00,14460.00,14460.00,14560.00,6258097,986,91099146760.00
20210502,14130.00,14130.00,14130.00,14130.00,14400.00,1275756,189,18026432280.00
20210503,13970.00,13970.00,13970.00,13970.00,14370.00,221063,62,3088250110.00
20210505,13940.00,14840.00,13940.00,13940.00,13980.00,8490188,1313,118666444430.00
20210508,13590.00,14400.00,13590.00,13600.00,13790.00,10212342,1869,140870121400.00
20210509,13500.00,13600.00,13380.00,13380.00,13410.00,3696165,584,49575468640.00
20210510,13030.00,13990.00,13020.00,13730.00,13450.00,7287957,1786,98035785110.00
20210511,13980.00,14250.00,13620.00,14250.00,14150.00,7198559,1048,101887646560.00
20210512,14500.00,14870.00,14000.00,14280.00,14390.00,7140593,1450,102739235530.00
20210515,13810.00,14830.00,13810.00,14140.00,14430.00,4539346,939,65486073140.00
20210516,14150.00,14500.00,13860.00,14010.00,14190.00,2778850,762,39429413600.00
20210517,13910.00,14190.00,13610.00,13750.00,13830.00,2839149,667,39273049590.00
20210518,13460.00,14240.00,13460.00,13900.00,13940.00,2844440,756,39639737490.00
20210519,13650.00,14170.00,13250.00,13250.00,13370.00,3951654,811,52838675860.00
20210522,12950.00,13000.00,12710.00,12710.00,12860.00,1868676,317,23769595290.00
20210523,12220.00,12520.00,12220.00,12230.00,12230.00,9173736,974,112202394190.00
20210524,11700.00,12620.00,11700.00,12410.00,12350.00,5049340,1358,62362004560.00
20210525,12550.00,12960.00,12350.00,12960.00,12900.00,6568916,1211,84711295660.00
20210526,13450.00,13540.00,13000.00,13540.00,13520.00,10019324,997,135468179030.00
20210529,13700.00,14190.00,13700.00,14190.00,14140.00,6226342,487,88069800480.00
20210530,14840.00,14840.00,14190.00,14600.00,14600.00,8510940,1378,124256852040.00
20210531,14540.00,14840.00,13910.00,14000.00,14320.00,4948828,1012,70891630460.00
20210601,13910.00,14500.00,13910.00,14310.00,14260.00,3861967,730,55087640380.00
20210602,14480.00,14970.00,13970.00,14970.00,14890.00,6613354,773,98501773520.00
20210607,15480.00,15620.00,15020.00,15180.00,15350.00,6189616,1457,95024549700.00
20210608,15450.00,15840.00,14590.00,14760.00,15200.00,5027133,1381,76400754720.00
20210609,14510.00,14900.00,14440.00,14440.00,14510.00,4187022,835,60768715570.00
20210612,14120.00,14750.00,14030.00,14060.00,14340.00,4814112,718,69051917960.00
20210613,14300.00,14660.00,13720.00,14380.00,14170.00,2927778,635,41492339270.00
20210614,14500.00,14870.00,14230.00,14870.00,14820.00,5765798,1235,85455292830.00
20210615,15100.00,15100.00,14410.00,14430.00,14650.00,2379875,729,34860063380.00
20210616,14180.00,14850.00,14180.00,14590.00,14580.00,2579982,658,37625476810.00
20210619,14530.00,14790.00,14250.00,14690.00,14520.00,4308847,747,62555241520.00
20210620,14630.00,14840.00,14070.00,14100.00,14260.00,3878252,746,55319911360.00
20210621,14260.00,14280.00,13950.00,14130.00,14130.00,4275105,882,60400683240.00
20210622,14200.00,14440.00,14000.00,14300.00,14170.00,9764718,1593,138373731810.00
20210623,14330.00,14870.00,13700.00,14870.00,14680.00,7016676,1337,102984331060.00
20210626,14990.00,15410.00,14690.00,15400.00,15330.00,13820384,1702,211846041650.00
20210627,15560.00,16090.00,15100.00,16050.00,15980.00,13717969,2286,219277984250.00
20210628,15990.00,16580.00,15500.00,15870.00,15910.00,10540584,1770,167678144590.00
20210629,15990.00,16320.00,15630.00,16120.00,16150.00,3828163,1105,61838010830.00
20210630,16200.00,16940.00,16120.00,16800.00,16610.00,8938716,1609,148498983460.00
20210703,16900.00,17200.00,16000.00,16000.00,16390.00,6406332,1569,105010830030.00
20210704,16010.00,16400.00,15580.00,15890.00,15850.00,13265574,2359,210289812580.00
20210711,15850.00,16180.00,15700.00,15850.00,15860.00,6394876,1009,101441316550.00
20210712,15860.00,16080.00,15400.00,15400.00,15710.00,12348805,2327,194012504000.00
20210713,15360.00,15780.00,15260.00,15330.00,15600.00,8814294,1896,137530620710.00
20210714,15580.00,15580.00,15100.00,15350.00,15260.00,8038277,1704,122646863400.00
20210717,15450.00,15700.00,15050.00,15080.00,15290.00,7053655,1449,107884553720.00
20210718,15000.00,15230.00,14750.00,14990.00,14940.00,8656829,1463,129354460080.00
20210719,14770.00,15680.00,14700.00,15680.00,15590.00,15737653,2293,245410833790.00
20210726,16330.00,16360.00,15890.00,16290.00,16350.00,21314880,2871,348443754960.00
20210727,16500.00,16500.00,15550.00,15560.00,15910.00,8396812,1984,133594303880.00
20210728,15160.00,16240.00,15160.00,15880.00,15920.00,6962525,1495,110850912640.00
20210731,16000.00,16710.00,15860.00,16710.00,16600.00,12297764,1653,204159662720.00
