date,open,high,low,last,close,vol,count,value
20010328,31.38,31,31,30.88,30.88,34062,11,70025034.00
20010331,30.88,31,31,30.88,30.88,786,2,1611300.00
20010407,30.88,32,31,31.56,31.56,9917,3,20746325.00
20010410,31.59,32,32,31.59,31.59,921,1,1931337.00
20010411,31.60,32,32,31.60,31.60,4000,1,8392000.00
20010415,31.93,32,32,31.93,31.93,228,1,483360.00
20010418,32.16,32,32,32.16,32.16,929,1,1983415.00
20010421,32.10,32,32,31.93,31.93,1923,4,4085660.00
20010422,31.62,32,32,31.62,31.62,343,3,719957.00
20010423,31.62,32,32,31.62,31.62,2115,4,4439385.00
20010424,32.16,32,32,32.14,32.14,4837,8,10212593.00
20010429,32.14,32,32,32.14,32.14,4262,5,9097232.00
20010430,32.13,32,32,32.13,32.13,512,2,1092096.00
20010501,32.13,32,32,32.14,32.14,7500,12,16003079.00
20010502,32.14,32,32,32.14,32.14,1162,2,2479708.00
20010505,32.14,32,32,32.13,32.13,8146,7,17376348.00
20010507,32.13,32,32,32.13,32.13,1505,3,3210165.00
20010509,32.08,32,32,32.07,32.07,698,3,1486274.00
20010513,31.99,33,32,33.14,33.14,226422,79,495333801.00
20010516,34.64,35,35,34.64,34.64,11971,3,27533300.00
20010520,34.95,35,35,34.92,34.92,1503,2,3485954.00
20010523,35.14,35,35,35.14,35.14,384,1,895872.00
20010526,35.17,36,35,36.38,36.38,6693,5,15669825.00
20010527,38.18,38,36,38.18,38.18,5200,3,13158200.00
20010528,40.08,40,40,40.08,40.08,27305,13,72658605.00
20010529,42.07,42,40,42.03,42.03,44810,26,124799060.00
20010530,42.03,44,42,42.04,42.04,13058,10,36788773.00
20010602,42.04,42,42,42.03,42.03,10921,5,30472048.00
20010603,42.03,42,42,42.18,42.18,4937,6,13803762.00
20010606,42.13,42,42,42.15,42.15,1352,3,3781896.00
20010611,42.10,42,42,42.01,42.01,675,3,1884412.00
20010613,41.87,42,42,41.87,41.87,4848,3,13477440.00
20010618,39.92,40,40,39.92,39.92,1102,1,2920300.00
