date,open,high,low,last,close,vol,count,value
20210501,25720.00,25870.00,25720.00,25720.00,26380.00,610274,115,15696460220.00
20210502,25590.00,25590.00,25590.00,25590.00,26300.00,393810,25,10077597900.00
20210503,25520.00,25520.00,25520.00,25520.00,26220.00,392995,22,10029232400.00
20210505,25440.00,25440.00,25440.00,25440.00,26140.00,393717,17,10016160480.00
20210508,25360.00,25360.00,25360.00,25360.00,26060.00,392620,19,9956843200.00
20210509,25280.00,25280.00,25280.00,25280.00,25980.00,390344,8,9867896320.00
20210510,25210.00,25440.00,25210.00,25210.00,25680.00,1485178,234,37444314540.00
20210511,24910.00,25590.00,24910.00,24910.00,25150.00,2674457,546,66671592800.00
20210512,24700.00,24910.00,24400.00,24400.00,25040.00,625469,245,15327681790.00
20210515,23800.00,24980.00,23790.00,23820.00,24960.00,307852,239,7406165860.00
20210516,23720.00,24180.00,23720.00,23720.00,24810.00,481513,202,11425987150.00
20210517,23570.00,23780.00,23570.00,23570.00,24650.00,519262,105,12239650640.00
20210518,23420.00,24590.00,23420.00,23430.00,24510.00,737422,191,17603574970.00
20210519,23290.00,23980.00,23290.00,23290.00,24390.00,405803,70,9451543600.00
20210522,23180.00,23180.00,23180.00,23180.00,24270.00,399763,33,9266506340.00
20210523,23060.00,23060.00,23060.00,23060.00,24100.00,592492,16,13662865520.00
20210524,22900.00,24080.00,22900.00,22900.00,23940.00,586418,125,13466461030.00
20210525,22750.00,23640.00,22750.00,22750.00,23740.00,697586,214,15890004050.00
20210526,22560.00,23650.00,22560.00,22560.00,23560.00,734224,260,16673766520.00
20210529,22390.00,24100.00,22390.00,23400.00,23530.00,1438604,557,33770738830.00
20210530,22830.00,23980.00,22360.00,22360.00,23390.00,805918,371,18349172570.00
20210531,22230.00,22880.00,22230.00,22270.00,22550.00,3116406,232,69337326210.00
20210601,21430.00,22350.00,21430.00,21430.00,22450.00,398877,170,8561056670.00
20210602,21330.00,21840.00,21330.00,21570.00,22370.00,344921,270,7419192110.00
20210607,21270.00,22000.00,21260.00,21570.00,22280.00,495027,278,10651944340.00
20210608,21170.00,21730.00,21170.00,21320.00,22160.00,518110,290,11022201890.00
20210609,21060.00,21610.00,21060.00,21300.00,22110.00,194262,149,4100646080.00
20210612,21010.00,21530.00,21010.00,21200.00,22060.00,221150,129,4680376730.00
20210613,20960.00,21180.00,20960.00,20970.00,22010.00,219493,104,4604922900.00
20210614,20920.00,21610.00,20910.00,21150.00,21950.00,353451,229,7489772870.00
20210615,20870.00,21880.00,20870.00,20980.00,21910.00,220735,162,4666671690.00
20210616,20820.00,21310.00,20820.00,20980.00,21850.00,270514,154,5636536970.00
20210619,20760.00,21800.00,20760.00,21780.00,21780.00,509440,215,10802548350.00
20210620,21000.00,21690.00,21000.00,21030.00,21750.00,233969,152,4944396000.00
20210621,20810.00,21460.00,20730.00,21170.00,21720.00,190272,149,3995680700.00
20210622,21000.00,21390.00,20700.00,21380.00,21660.00,407392,246,8574367380.00
20210623,20600.00,22740.00,20600.00,22740.00,22070.00,2705288,655,60465145480.00
20210626,23160.00,23170.00,22940.00,23130.00,22380.00,1294093,490,29951940260.00
20210627,23000.00,23490.00,23000.00,23470.00,22690.00,1372097,469,32124295450.00
20210628,22180.00,23820.00,22180.00,23820.00,22920.00,1111268,379,26276511290.00
20210629,23000.00,24060.00,23000.00,24000.00,23220.00,1341197,491,32106106000.00
20210630,23320.00,24380.00,23320.00,24380.00,23520.00,1185837,442,28880599580.00
20210703,23910.00,24690.00,23910.00,24680.00,23780.00,1074613,682,26382866630.00
20210704,23850.00,24960.00,23850.00,24950.00,24240.00,1700044,503,42387608260.00
20210705,24910.00,25450.00,24910.00,25170.00,24680.00,1713001,421,43400086930.00
20210706,25500.00,25750.00,23950.00,25620.00,25200.00,3830731,833,96732719690.00
20210711,24500.00,24500.00,23580.00,23800.00,23860.00,609559,231,14763146340.00
20210712,23400.00,23790.00,22750.00,22860.00,23760.00,602185,527,13974624510.00
20210713,22620.00,23400.00,22580.00,22750.00,23590.00,763925,382,17465636810.00
20210714,22420.00,22920.00,22420.00,22420.00,23140.00,1546063,645,34694575170.00
20210717,22900.00,22960.00,21990.00,21990.00,22680.00,1948505,979,43100293950.00
20210718,21610.00,22440.00,21550.00,21810.00,22480.00,842230,402,18240816520.00
20210719,21370.00,22300.00,21370.00,21810.00,22390.00,648718,527,14181009800.00
20210726,22380.00,23410.00,22000.00,22390.00,22520.00,3473322,1221,78353731750.00
20210727,22350.00,22350.00,21780.00,21890.00,22460.00,489346,300,10738481810.00
20210728,21640.00,22200.00,21340.00,21500.00,21370.00,6287349,1094,134381334560.00
20210731,20500.00,22040.00,20500.00,21780.00,21460.00,1265027,480,27470457030.00
