date,open,high,low,last,close,vol,count,value
20210501,34040.00,34040.00,34040.00,34040.00,35090.00,2817,6,95890680.00
20210502,34040.00,34040.00,34040.00,34040.00,35090.00,499,3,16985960.00
20210505,34040.00,34040.00,34040.00,34040.00,35090.00,499,3,16985960.00
20210508,34040.00,34040.00,34040.00,34040.00,34940.00,201781,13,6868625240.00
20210510,33900.00,33900.00,33900.00,33900.00,34940.00,2259,5,76580100.00
20210511,33900.00,33900.00,33900.00,33900.00,34920.00,29885,13,1013101500.00
20210512,33880.00,33880.00,33880.00,33880.00,34920.00,2873,6,97337240.00
20210515,33180.00,33180.00,33180.00,33180.00,34040.00,217034,18,7201188120.00
20210516,32340.00,32340.00,32340.00,32340.00,32340.00,532963,37,17236023420.00
20210517,30730.00,30730.00,30730.00,30730.00,31370.00,260004,32,7989922920.00
20210518,29810.00,29810.00,29810.00,29810.00,31330.00,12081,16,360134610.00
20210519,29770.00,29770.00,29770.00,29770.00,31320.00,3661,4,108987970.00
20210522,29760.00,29760.00,29760.00,29760.00,31320.00,535,2,15921600.00
20210523,29760.00,29760.00,29760.00,29760.00,31310.00,1951,6,58061760.00
20210524,29750.00,29750.00,29750.00,29750.00,31270.00,10806,12,321478500.00
20210525,29710.00,29710.00,29710.00,29710.00,30930.00,102847,26,3055584370.00
20210526,29390.00,29390.00,29390.00,29390.00,29970.00,297988,45,8757867320.00
20210529,28480.00,28480.00,28480.00,28480.00,28480.00,910599,197,25933859520.00
20210530,27120.00,28380.00,27060.00,27060.00,27270.00,15916867,3252,434072480570.00
20210531,26350.00,27700.00,25910.00,25910.00,26350.00,4674151,1647,123185874910.00
20210601,25300.00,26290.00,25040.00,25040.00,25130.00,2247345,705,56481935940.00
20210602,23880.00,24550.00,23880.00,24130.00,23980.00,7254001,1812,173958658500.00
20210614,23880.00,24800.00,23740.00,24350.00,24350.00,2629737,863,64031028500.00
20210615,23360.00,25500.00,23360.00,25400.00,24660.00,4623221,1557,114011862020.00
20210616,25300.00,25890.00,24900.00,25890.00,25870.00,3436571,814,88920449060.00
20210619,26220.00,26440.00,24750.00,25100.00,25190.00,2661401,1152,67042115150.00
20210620,24610.00,25400.00,23940.00,24790.00,24060.00,3324671,1025,79976722170.00
20210621,25260.00,25260.00,24100.00,25260.00,25180.00,2010067,610,50613921210.00
20210622,26400.00,26430.00,25360.00,26430.00,26410.00,845866,394,22340585600.00
20210623,27730.00,27730.00,26720.00,27730.00,27640.00,4677285,1412,129288147400.00
20210626,28700.00,29020.00,27740.00,29020.00,28820.00,4619963,1632,133138456770.00
20210627,30000.00,30260.00,28010.00,29300.00,29460.00,2708503,1444,79788470290.00
20210628,29580.00,30000.00,27990.00,28050.00,28700.00,3503897,1681,100566546800.00
20210629,28700.00,29100.00,27290.00,27550.00,27900.00,2099448,1119,58576026190.00
20210630,28050.00,29290.00,27000.00,29290.00,29020.00,4176711,1293,121211156040.00
20210703,30000.00,30470.00,29020.00,29390.00,30160.00,4046011,1752,122020513980.00
20210704,30240.00,30240.00,28810.00,30000.00,29590.00,1619755,958,47935599690.00
20210705,30600.00,31060.00,29600.00,31060.00,30740.00,3136134,1392,96404651290.00
20210706,31700.00,31950.00,30030.00,30970.00,31040.00,3162193,1349,98156403290.00
20210707,31980.00,31980.00,29950.00,31080.00,30530.00,2014985,1115,61517301750.00
20210710,31000.00,31290.00,30020.00,30980.00,30690.00,2120281,1000,65075943920.00
20210711,31000.00,31910.00,30300.00,31450.00,31220.00,3802187,1363,118689452160.00
20210712,31900.00,32680.00,31000.00,32280.00,31890.00,3757723,1409,119829404520.00
20210713,32000.00,32190.00,30300.00,31120.00,31040.00,2113224,1138,65588828460.00
20210714,30100.00,31180.00,29520.00,30000.00,30200.00,2215532,1130,66917034850.00
20210717,30900.00,31000.00,29620.00,30000.00,29950.00,2060061,1116,61699158270.00
20210718,29510.00,30240.00,28500.00,28670.00,28970.00,2437681,1070,70610570460.00
20210719,28500.00,30410.00,28470.00,30410.00,30190.00,4116914,1472,124285035270.00
20210726,30950.00,30950.00,29210.00,29760.00,30060.00,2307237,1162,69360737290.00
20210727,29500.00,30580.00,28560.00,28580.00,28870.00,2839962,1078,81991612450.00
20210728,29200.00,30200.00,28900.00,29770.00,29740.00,1849718,1228,55004674410.00
20210731,30210.00,31220.00,30210.00,31220.00,31120.00,3153317,1248,98138280110.00
