date,open,high,low,last,close,vol,count,value
20010415,9.43,9,9,9.43,9.43,139,1,208500.00
20010422,9.43,9,9,9.43,9.43,15859,4,23788500.00
20010423,9.43,9,9,9.43,9.43,3000,2,4500000.00
20010424,9.43,9,9,9.43,9.43,4467,1,6704967.00
20010428,9.43,9,9,9.43,9.43,8000,4,12008000.00
20010429,9.46,10,9,9.55,9.55,7008,7,10593690.00
20010430,9.43,9,9,9.43,9.43,7936,4,11904000.00
20010501,9.43,9,9,9.44,9.44,8500,2,12757000.00
20010507,9.74,10,10,9.74,9.74,5000,2,7750000.00
20010509,10.23,10,10,10.23,10.23,2000,1,3254000.00
20010512,10.23,10,10,10.23,10.23,12500,3,20337500.00
20010521,10.74,12,10,11.63,11.63,15665,14,27033907.00
20010523,11.63,12,12,11.63,11.63,18340,11,33947000.00
20010526,11.63,12,12,11.63,11.63,9860,8,18241000.00
20010527,12.21,12,12,12.21,12.21,9139,3,17747938.00
20010528,12.82,13,13,12.82,12.82,21000,10,42819000.00
20010529,12.81,13,13,12.82,12.82,7840,4,15982920.00
20010530,12.83,13,13,12.95,12.95,62360,11,128020982.00
20010602,12.83,13,13,12.83,12.83,19738,11,40304996.00
20010603,12.80,13,13,12.57,12.57,18784,8,38127740.00
20010609,12.50,13,12,12.32,12.32,42215,24,82972505.00
20010710,10.06,10,10,10.06,10.06,500,1,800000.00
20010714,10.06,10,10,10.06,10.06,154,1,246554.00
20010716,10.12,10,10,10.12,10.12,13818,7,22238980.00
20010717,10.12,10,10,10.12,10.12,1182,1,1903020.00
20010721,10.62,11,11,10.62,10.62,1436,2,2426840.00
20010722,10.94,11,11,11.15,11.15,10000,8,17644000.00
20010723,11.70,12,12,11.70,11.70,16000,3,29792000.00
20010725,11.73,12,12,11.73,11.73,6561,2,12242826.00
20010728,11.70,12,12,11.73,11.73,59050,26,110322344.00
20010729,11.14,11,11,11.14,11.14,5000,3,8865000.00
20010730,11.14,11,11,11.14,11.14,10731,2,19026063.00
20010801,11.14,11,11,11.14,11.14,34835,7,61315910.00
20010806,11.14,11,11,11.14,11.14,2200,4,3900600.00
20010807,11.13,11,11,11.14,11.14,4236,4,7500666.00
20010811,11.14,11,11,11.14,11.14,21000,9,37233000.00
20010812,11.13,11,11,11.14,11.14,38056,16,67467120.00
20010813,11.14,11,11,11.14,11.14,30000,13,53190000.00
20010814,11.14,11,11,11.14,11.14,5000,1,8865000.00
20010815,11.14,11,11,11.14,11.14,3000,2,5319000.00
20010818,11.19,11,11,11.25,11.25,10000,3,17830000.00
20010819,11.25,11,11,11.25,11.25,18316,5,32785640.00
20010820,11.25,11,11,11.25,11.25,15000,4,26850000.00
20010821,11.25,11,11,11.25,11.25,16000,4,28640000.00
20010822,11.25,11,11,11.24,11.24,11316,3,20250640.00
20010825,11.25,11,11,11.25,11.25,8000,1,14320000.00
20010827,11.24,11,11,11.06,11.06,17651,5,31335830.00
20010829,11.00,11,11,11.00,11.00,5000,3,8750000.00
20010903,10.69,11,11,10.86,10.86,37000,6,63911900.00
20010904,10.82,11,11,10.75,10.75,15559,4,26734890.00
20010905,10.69,11,11,10.69,10.69,5000,4,8500000.00
20010908,10.56,11,11,10.56,10.56,1000,1,1680000.00
20010909,10.55,11,11,10.56,10.56,47961,11,80528862.00
20010911,10.55,11,11,10.74,10.74,27368,11,46041582.00
20010915,10.43,10,10,10.43,10.43,7000,1,11620000.00
20010919,10.44,11,10,10.74,10.74,68066,10,113952190.00
20010922,10.73,11,11,10.73,10.73,42430,5,72428010.00
20010926,10.37,10,10,10.37,10.37,9110,2,15031500.00
20011003,10.37,10,10,10.37,10.37,2000,2,3300000.00
20011007,10.31,10,10,10.31,10.31,63000,11,103759712.00
20011010,10.18,10,10,10.30,10.30,5000,5,8088800.00
20011013,10.30,10,10,10.31,10.31,12290,7,20134810.00
20011017,10.30,10,10,10.30,10.30,2265,1,3712335.00
20011119,7.86,8,8,7.86,7.86,500,1,625000.00
20011120,7.86,8,8,7.86,7.86,3986,4,4982500.00
20011126,7.86,8,8,7.86,7.86,1486,3,1858500.00
20011127,7.88,8,8,7.87,7.87,4322,5,5412144.00
20011204,8.26,8,8,8.26,8.26,13579,11,17842806.00
20011210,8.67,9,8,8.28,8.28,4808,5,6568232.00
20011217,8.28,8,8,8.28,8.28,4007,2,5278219.00
20011226,8.30,8,8,8.30,8.30,977,2,1289640.00
20011230,8.30,8,8,8.30,8.30,1000,2,1320000.00
20020106,8.27,8,8,8.27,8.27,4000,1,5264000.00
20020108,8.26,8,8,8.26,8.26,4903,1,6442542.00
20020112,8.26,8,8,8.17,8.17,101000,11,132700000.00
20020113,8.11,8,8,8.11,8.11,2000,3,2580000.00
20020114,8.11,8,8,8.11,8.11,3000,2,3870000.00
20020115,8.11,8,8,8.17,8.17,13556,9,17575162.00
20020116,8.11,8,8,8.01,8.01,3287,10,4193741.00
20020120,8.01,8,8,8.01,8.01,15127,5,19286925.00
20020202,8.05,8,8,8.05,8.05,1579,1,2021120.00
20020203,8.05,8,8,8.05,8.05,40502,5,51842560.00
20020210,8.05,8,8,8.06,8.06,152002,18,194834562.00
20020212,8.46,8,8,8.46,8.46,765567,79,1030063846.00
20020213,8.19,8,8,8.19,8.19,196,1,255388.00
20020216,8.21,8,8,8.25,8.25,11000,3,14436000.00
20020217,8.25,8,8,8.25,8.25,28980,6,38050740.00
20020218,8.30,8,8,8.30,8.30,500,1,660500.00
20020226,8.31,8,8,8.31,8.31,1000,4,1322000.00
20020306,8.33,8,8,8.33,8.33,196,1,259896.00
20020319,8.35,8,8,8.35,8.35,10000,5,13281000.00
20020413,8.18,8,8,8.18,8.18,4000,1,5204000.00
20020415,8.18,8,8,8.18,8.18,2500,1,3252500.00
20020416,8.18,8,8,8.18,8.18,2382,2,3098982.00
20020430,8.27,8,8,8.27,8.27,63998,18,84178488.00
20020501,8.27,8,8,8.27,8.27,136698,21,179803782.00
20020714,6.91,7,7,6.91,6.91,1000,1,1100000.00
20020715,7.26,7,7,7.26,7.26,1000,1,1155000.00
20020720,7.62,8,8,7.62,7.62,1000,1,1212000.00
20020722,7.62,8,8,7.62,7.62,826,2,1001938.00
20020724,7.64,8,8,7.62,7.62,85354,11,103567948.00
20020727,8.00,8,8,8.00,8.00,6000,3,7638000.00
20020728,8.40,8,8,8.40,8.40,17000,3,22712000.00
20020729,8.81,9,9,8.81,8.81,72000,17,100944000.00
20020730,8.81,9,9,8.81,8.81,8780,2,12309560.00
20020731,8.82,9,9,8.80,8.80,43386,10,60751508.00
20020803,8.80,9,9,8.80,8.80,2000,1,2800000.00
20020804,8.79,9,9,8.79,8.79,489,1,684111.00
20020826,8.36,8,8,8.36,8.36,1000,1,1330000.00
20020902,8.17,8,8,8.11,8.11,28638,6,37208900.00
20020903,8.08,8,8,8.08,8.08,1000,1,1285000.00
20020904,8.05,8,8,7.92,7.92,37095,7,46949700.00
20020908,7.91,8,8,7.92,7.92,51145,7,64394355.00
20020911,7.98,8,8,8.05,8.05,126076,20,159633970.00
20020914,8.05,8,8,8.11,8.11,17215,4,22051100.00
20020917,7.92,8,8,7.92,7.92,95,1,119700.00
20020918,7.92,8,8,7.92,7.92,1256,2,1582560.00
20020924,7.92,8,8,7.92,7.92,1000,1,1260000.00
20020930,7.93,8,8,7.94,7.94,211617,7,266909037.00
20021002,7.94,8,8,7.94,7.94,16559,3,20914017.00
20021008,7.92,8,8,7.93,7.93,69371,9,87418460.00
20021012,7.93,8,8,7.93,7.93,810,1,1022220.00
20021014,7.93,8,8,7.96,7.96,63909,8,80899798.00
20021015,7.96,8,8,7.96,7.96,103317,13,130902639.00
20021016,7.96,8,8,7.96,7.96,2143,1,2715181.00
20021020,7.94,8,8,7.93,7.93,12510,2,15790620.00
20021021,7.94,8,8,7.94,7.94,228171,11,288179973.00
20021026,7.94,8,8,7.93,7.93,49965,11,63028690.00
20021106,7.92,8,8,7.93,7.93,6000,2,7564000.00
20021109,7.92,8,8,7.92,7.92,16000,2,20160000.00
20021111,7.92,8,8,7.92,7.92,3000,1,3780000.00
20021113,7.92,8,8,7.92,7.92,19613,4,24712380.00
20021118,8.11,8,8,8.11,8.11,1958,1,2525820.00
20021123,8.11,8,8,8.11,8.11,1305,1,1683450.00
20021202,8.16,8,8,8.25,8.25,25528,11,33314040.00
20021204,8.25,8,8,8.25,8.25,1958,1,2570854.00
20021209,8.26,8,8,8.25,8.25,6430,7,8446590.00
20021214,8.27,8,8,8.27,8.27,147,1,193305.00
20021217,8.49,8,8,8.49,8.49,5000,1,6750000.00
20021218,8.48,8,8,8.49,8.49,5000,2,6748000.00
20021221,8.49,8,8,8.49,8.49,2000,1,2700000.00
20030108,8.49,8,8,8.49,8.49,440,1,594000.00
20030111,8.48,8,8,8.48,8.48,4996,1,6739604.00
20030118,8.36,8,8,8.35,8.35,63427,7,84349683.00
20030120,8.17,8,8,8.17,8.17,10000,3,13000000.00
20030121,8.17,8,8,8.17,8.17,10100,3,13130000.00
20030122,8.11,8,8,8.05,8.05,5829,4,7491120.00
20030126,8.05,8,8,8.05,8.05,12977,6,16610560.00
20030129,8.05,8,8,7.86,7.86,141077,15,180381250.00
20030201,7.87,8,8,7.86,7.86,10000,2,12515000.00
20030202,7.88,8,8,7.86,7.86,10000,3,12516000.00
20030225,7.86,8,8,7.86,7.86,76242,12,95302500.00
20030301,7.85,8,8,7.85,7.85,18355,2,22925395.00
20030304,7.85,8,8,7.85,7.85,35270,5,44052230.00
20030316,7.86,8,8,7.86,7.86,1545,5,1931250.00
20030329,8.05,8,8,8.05,8.05,7676,2,9825280.00
20030405,8.05,8,8,8.05,8.05,425,1,544000.00
20030407,8.04,8,8,8.05,8.05,143251,16,183219029.00
20030409,8.05,8,8,8.05,8.05,10899,2,13950720.00
20030415,7.86,8,8,7.86,7.86,1000,1,1250000.00
20030504,7.86,8,8,7.86,7.86,81471,9,101838750.00
20030513,7.86,8,8,7.86,7.86,45900,10,57375000.00
20030514,8.49,8,8,8.49,8.49,1000,1,1350000.00
20030524,8.40,8,8,8.40,8.40,7749,1,10352664.00
20030607,8.30,8,8,8.30,8.30,20,1,26420.00
20030629,8.30,8,8,8.30,8.30,5744,1,7587824.00
20030630,8.30,8,8,8.30,8.30,40399,11,53367079.00
20030701,8.17,8,8,8.30,8.30,39500,12,51927500.00
20030707,8.30,8,8,8.30,8.30,508,1,671068.00
20030708,8.30,8,8,8.30,8.30,127,1,167767.00
20030713,8.30,8,8,8.30,8.30,2500,1,3302500.00
20030714,8.30,8,8,8.30,8.30,6865,1,9068665.00
20030715,8.30,8,8,8.30,8.30,10000,2,13210000.00
20030716,8.30,8,8,8.30,8.30,12459,6,16458339.00
20030729,8.43,8,8,8.43,8.43,1312,1,1759392.00
20030820,8.85,9,8,8.43,8.43,10000,2,14079933.00
20030825,8.49,8,8,8.43,8.43,12672,4,17119862.00
20030827,8.49,9,8,8.43,8.43,5714,4,7721030.00
20030830,8.51,9,9,8.52,8.52,30594,6,41444870.00
20030908,8.80,9,9,8.52,8.52,110,2,153550.00
20030909,8.52,9,9,8.52,8.52,8000,3,10840000.00
20030913,8.52,9,9,8.52,8.52,7098,1,9617790.00
20030927,8.54,9,9,8.52,8.52,3196,3,4337238.00
20030930,8.52,9,9,8.52,8.52,1814,1,2457970.00
20031001,8.52,9,9,8.52,8.52,25000,5,33875000.00
20031005,8.54,9,9,8.54,8.54,266839,29,362367362.00
20031011,8.53,9,9,8.53,8.53,155,1,210335.00
20031019,8.55,9,9,8.55,8.55,32044,9,43579840.00
20031029,8.54,9,9,8.54,8.54,16416,5,22285150.00
20031104,8.54,9,9,8.54,8.54,686437,1,932867883.00
20031105,8.54,9,9,8.54,8.54,20000,2,27180000.00
20031111,8.74,9,9,8.74,8.74,30000,3,41700000.00
20031119,8.77,9,9,8.74,8.74,2006420,3,2800963260.00
20031203,8.81,9,9,8.74,8.74,1146032,3,1606736744.00
20031209,8.81,9,9,8.74,8.74,3820,2,5351720.00
20031217,8.81,9,9,8.80,8.80,644041,5,902945462.00
20031222,8.80,9,9,8.80,8.80,300000,1,420000000.00
20031223,8.80,9,9,8.80,8.80,300161,2,420225400.00
20031224,8.80,9,9,8.80,8.80,300000,3,420000000.00
20040104,8.80,9,9,8.80,8.80,2141891,2,2998647400.00
20040110,8.81,9,9,8.82,8.82,15010,3,21134040.00
20040111,8.82,9,9,8.82,8.82,40328,5,56620512.00
20040112,8.82,9,9,8.82,8.82,170040,2,238736160.00
20040114,8.81,9,9,8.82,8.82,541601,3,759324612.00
20040117,8.82,9,9,8.82,8.82,530239,10,743965327.00
20040118,8.83,9,9,8.82,8.82,501010,3,703919040.00
20040120,8.86,9,9,8.82,8.82,501010,3,706424040.00
20040121,8.86,9,9,8.82,8.82,401010,3,565023040.00
20040124,9.11,9,9,8.83,8.83,517369,6,750184600.00
20040125,8.99,9,9,8.93,8.93,520010,4,743614210.00
20040127,9.03,9,9,9.05,9.05,1631873,11,2343546238.00
20040128,9.10,9,9,9.05,9.05,1997895,3,2890953995.00
20040131,9.10,9,9,9.10,9.10,1896013,10,2743530811.00
20040406,12.57,13,13,12.57,12.57,10000,1,20000000.00
20040809,33.33,33,31,32.63,32.63,18610,6,96638420.00
20040810,34.26,34,33,32.85,32.85,5410,3,29487660.00
20040814,34.49,34,33,32.93,32.93,2010,5,11026390.00
20040817,34.57,35,33,33.16,33.16,5810,5,31952760.00
20040818,34.82,35,34,33.72,33.72,13557,11,75090483.00
20040821,35.41,35,34,33.98,33.98,6210,6,34978660.00
20040822,35.41,35,34,34.02,34.02,1328,4,7476840.00
20040823,34.57,35,34,34.02,34.02,172,2,945130.00
20040824,34.02,34,34,34.02,34.02,1943,4,10504449.00
20040825,33.62,34,34,34.00,34.00,1865,2,9976485.00
20040828,33.62,34,32,33.14,33.14,23535,9,121883455.00
20040829,32.37,33,32,33.10,33.10,2027,3,10440210.00
20040901,32.36,33,32,33.09,33.09,180,2,927810.00
20040904,31.44,33,31,33.03,33.03,1460,2,7305450.00
20040905,31.38,32,31,32.41,32.41,15109,4,75440867.00
20040906,30.79,32,31,31.86,31.86,13505,7,66162695.00
20040907,30.27,30,30,30.43,30.43,35916,9,172971706.00
20040908,30.26,30,30,30.41,30.41,4340,4,20895060.00
20040911,30.25,30,30,30.37,30.37,11010,4,52991310.00
20040912,30.25,30,30,30.30,30.30,20080,7,96645120.00
20040914,30.25,30,30,30.28,30.28,12732,4,61279166.00
20040915,28.77,29,29,29.06,29.06,32510,7,148831230.00
20040918,30.15,30,29,29.06,29.06,35197,7,162815779.00
20040919,30.15,30,29,29.47,29.47,15060,6,72257740.00
20040920,30.16,30,30,29.87,29.87,25126,7,120383170.00
20040921,29.87,30,30,29.87,29.87,1250,2,5941250.00
20040922,29.87,30,30,29.87,29.87,3090,4,14682600.00
20040925,29.84,30,30,29.86,29.86,6152,8,29204129.00
20040926,29.83,30,30,29.84,29.84,20884,4,99140684.00
20040927,29.86,30,30,29.84,29.84,19245,5,91413730.00
20040928,29.87,30,30,29.84,29.84,5148,4,24463256.00
20040929,29.92,31,30,29.88,29.88,2030,5,9910163.00
20041003,30.20,30,30,29.90,29.90,2735,4,13142470.00
20041004,30.22,31,30,30.48,30.48,16310,7,81351190.00
20041005,31.11,31,30,30.50,30.50,1010,2,4998520.00
20041006,31.43,31,31,30.52,30.52,1282,3,6408560.00
20041009,31.50,31,31,30.52,30.52,172,2,860342.00
20041010,31.59,32,31,31.23,31.23,22510,12,113826341.00
20041011,32.68,33,32,31.69,31.69,12010,3,62610410.00
20041012,33.27,33,32,31.93,31.93,6210,3,32867400.00
20041020,33.53,34,32,32.13,32.13,4920,5,26241050.00
20041024,33.53,34,32,32.14,32.14,554,3,2952836.00
20041101,35.83,36,36,35.83,35.83,5000,1,28500000.00
20041102,35.83,36,36,35.83,35.83,620,2,3534000.00
20041103,37.62,38,36,35.85,35.85,462,3,2762250.00
20041106,37.64,38,36,35.88,35.88,914,3,5470242.00
20041107,37.68,38,36,36.19,36.19,6963,3,41733862.00
20041108,38.00,38,36,36.20,36.20,280,2,1689740.00
20041109,38.00,38,37,36.64,36.64,10010,3,60518300.00
20041110,38.47,38,37,36.64,36.64,100,2,609190.00
20041113,38.47,38,37,36.69,36.69,1010,3,6179370.00
20041116,38.52,39,37,36.80,36.80,2510,2,15378550.00
20041122,38.64,39,37,36.93,36.93,3010,3,18499760.00
20041124,38.78,39,37,37.02,37.02,2010,3,12396900.00
20041127,38.87,39,37,37.07,37.07,1010,4,6242970.00
20041201,38.91,39,37,37.07,37.07,170,3,1049540.00
20041206,38.92,39,39,38.91,38.91,51011,20,315828216.00
20041213,40.86,41,39,38.93,38.93,510,2,3311940.00
20041214,40.87,41,41,40.87,40.87,500,1,3251500.00
20041215,42.92,43,43,42.92,42.92,861,3,5878908.00
20041218,45.06,45,45,45.06,45.06,500,1,3584500.00
20041219,47.31,47,45,46.71,46.71,118184,52,878310622.00
20041220,46.58,49,47,47.38,47.38,14156,7,106715227.00
20041221,49.74,50,50,49.74,49.74,2060,1,16302840.00
20041225,52.23,52,52,52.23,52.23,46739,9,388354351.00
20041226,54.83,55,53,53.24,53.24,15563,13,135769072.00
20041228,55.90,56,56,55.89,55.89,90732,50,806836504.00
20041229,54.70,55,54,55.49,55.49,10287,14,88915131.00
20050101,55.17,55,53,55.02,55.02,18479,13,160203939.00
20050102,52.28,54,52,54.23,54.23,11508,7,95715146.00
20050103,51.52,54,52,54.17,54.17,797,2,6537229.00
20050104,51.47,54,51,54.02,54.02,2290,5,18756860.00
20050105,51.32,54,51,53.99,53.99,477,2,3898945.00
20050109,51.29,54,51,53.95,53.95,510,2,4165830.00
20050110,51.25,54,51,53.89,53.89,871,3,7110514.00
20050111,51.20,54,51,53.67,53.67,3160,2,25742140.00
20050117,50.99,54,51,53.67,53.67,132,2,1075176.00
20050227,50.99,51,51,50.99,50.99,1000,1,8113000.00
20050301,50.91,51,51,50.91,50.91,100,1,809900.00
20050302,48.37,51,48,50.87,50.87,510,2,3928430.00
20050305,48.33,51,48,50.84,50.84,397,2,3056533.00
20050315,48.30,51,48,50.82,50.82,210,2,1617860.00
20050316,48.28,51,48,50.76,50.76,1043,3,8016256.00
20050329,48.22,51,48,50.72,50.72,510,3,3916690.00
20050403,48.18,48,48,48.18,48.18,1000,1,7666000.00
20050404,45.78,48,46,45.80,45.80,91549,45,667080102.00
20050405,45.80,48,46,46.95,46.95,33136,26,248831547.00
20050406,46.95,47,46,46.02,46.02,38177,13,279283940.00
20050410,45.88,46,46,45.85,45.85,37156,20,270990520.00
20050411,45.76,47,45,45.92,45.92,73529,24,537145799.00
20050412,46.89,47,46,46.07,46.07,7500,10,55794100.00
20050413,48.02,48,47,47.18,47.18,53301,24,400079736.00
20050416,48.08,50,48,48.67,48.67,43068,23,333550162.00
20050417,48.67,49,49,48.67,48.67,3225,6,24972340.00
20050418,48.67,49,48,48.57,48.57,59605,28,460617498.00
20050419,48.54,49,48,48.54,48.54,19609,14,151396084.00
20050423,48.61,49,49,48.57,48.57,25454,9,196833688.00
20050424,48.61,49,46,48.27,48.27,10735,9,81042295.00
20050425,46.15,48,46,47.74,47.74,10010,7,73486950.00
20050427,45.51,48,46,47.55,47.55,3345,3,24224050.00
20050430,45.26,47,45,47.35,47.35,4378,6,31843479.00
20050501,45.26,47,45,46.74,46.74,11635,4,83776360.00
20050502,45.19,47,45,46.54,46.54,4876,3,35058352.00
